Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english
2,2,2,1.5650852132349624e+18,2022-08-31 21:12:47+00:00,['1565085213234962432'],@PizzaExpress @coopuk Fab treat 😋 @HelenB_Coach,,  fab treat  ,False
4,4,4,1.5650846803738132e+18,2022-08-31 21:10:40+00:00,['1565084680373813250'],@FoodhubUK Thai green curry 😋,, thai green curry ,False
7,7,7,1.5650839577078252e+18,2022-08-31 21:07:48+00:00,['1565083957707825154'],@CraghoppersUK Black please #craghoppers,, black please ,False
9,9,9,1.5650696064815473e+18,2022-08-31 20:10:46+00:00,['1565069606481547264'],@LaRedouteUK Love to win for Nhala &amp; Oreo 🐶 https://t.co/LUmSnyqvo9,, love to win for nhala amp oreo  ,False
18,18,18,1.5646948628632453e+18,2022-08-30 19:21:40+00:00,['1564694862863245317'],@holland_barrett Plan healthy meals &amp; walk more 🙌🏼😀,, plan healthy meals amp walk more ,False
19,19,19,1.5646444951064453e+18,2022-08-30 16:01:31+00:00,['1564644495106445316'],"@Stairliftrental Wow , fantastic giveaway would be very handy 🙌🏼❤️",, wow  fantastic giveaway would be very handy ,False
21,21,21,1.564548676546171e+18,2022-08-30 09:40:47+00:00,['1564548676546170883'],I am delighted with my new mugs that in won in your recent competition @allianceonline thankyou very much 🥰 https://t.co/Stq4kZth7o,,i am delighted with my new mugs that in won in your recent competition  thankyou very much  ,False
22,22,22,1.5645483812586865e+18,2022-08-30 09:39:36+00:00,['1564548381258686464'],@allianceonline I love them thankyou very much 🥰,, i love them thankyou very much ,False
27,27,27,1.5643319024793436e+18,2022-08-29 19:19:24+00:00,['1564331902479343618'],@ragtseedsuk Fab treat ! #Harvest22,, fab treat  ,False
35,35,35,1.5642567470779023e+18,2022-08-29 14:20:45+00:00,['1564256747077902336'],@currys England 🏴󠁧󠁢󠁥󠁮󠁧󠁿,, england ,False
36,36,36,1.564237795996074e+18,2022-08-29 13:05:27+00:00,['1564237795996073985'],@HappyBeds Wow 🤩 this would be fabulous 💛 🙌🏼,, wow  this would be fabulous  ,False
40,40,40,1.5635835077455585e+18,2022-08-27 17:45:32+00:00,['1563583507745558530'],@HallmarkUKI My Granddaughters love being princesses 👸🏻 #WorldPrincessWeek https://t.co/qKRiFbMWEA,, my granddaughters love being princesses   ,False
43,43,43,1.5635646657956536e+18,2022-08-27 16:30:40+00:00,['1563564665795653634'],@boxcouk @TPLINKUK For peace of mind &amp; also to keep an eye on my dogs 🐶,,  for peace of mind amp also to keep an eye on my dogs ,False
45,45,45,1.5632714996746977e+18,2022-08-26 21:05:44+00:00,['1563271499674697729'],@easyJetholidays Fab treat ✈️🏝 🇬🇷 @HelenB_Coach       #AnywhereCard,, fab treat          ,False
47,47,47,1.5632056825892209e+18,2022-08-26 16:44:12+00:00,['1563205682589220864'],Win luxury resorts stays and tickets #giveaway #win #celebratethesummer #insideflyer https://t.co/9Qw2u3WFqD,,win luxury resorts stays and tickets     ,False
52,52,52,1.5628470873680814e+18,2022-08-25 16:59:16+00:00,['1562847087368081408'],@HamleysOfficial A) 280                                                        @jamieleighg88,, a                                                         ,False
53,53,53,1.5628452241827717e+18,2022-08-25 16:51:52+00:00,['1562845224182771714'],https://t.co/QgVxeutWGc,,,False
54,54,54,1.5628353495290552e+18,2022-08-25 16:12:38+00:00,['1562835349529055234'],"#CEWEtravelmemory @wanderlustmag @cewe_uk My favourite travel memory was when I visited Singapore , I’d love to see more of south east Asia especially Vietnam &amp; Cambodia ✈️ https://t.co/xTs80ymPCJ",,   my favourite travel memory was when i visited singapore  id love to see more of south east asia especially vietnam amp cambodia  ,False
56,56,56,1.562483143764222e+18,2022-08-24 16:53:05+00:00,['1562483143764221952'],@FoodhubUK Cheese 🧀,, cheese ,False
