Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,id,created_at,edit_history_tweet_ids,text,clean_text,nouns
0,0,1.5650989237229404e+18,2022-08-31 22:07:16+00:00,['1565098923722940417'],"@BreakfastNews @Dom_Perrottet Yes, because we all know how well that worked last time.",yes know well worked last time,time 
1,1,1.5650885993807585e+18,2022-08-31 21:26:14+00:00,['1565088599380758528'],@RyanOsinski @schadhayes @ScottAniol Bullshit.,bullshit,bullshit 
2,2,1.5649313098098483e+18,2022-08-31 11:01:13+00:00,['1564931309809848321'],"@Lord_Sugar All that money, power and privilege and you’re still a bitter, mean, small minded little man. Bless.",money power privilege youre still bitter mean small minded little man bless,money power privilege youre man bless 
3,3,1.5649272038252872e+18,2022-08-31 10:44:54+00:00,['1564927203825287168'],@WeAreBrisbane @StefanTheNurse Tourniquet?,tourniquet,tourniquet 
4,4,1.5649270801856143e+18,2022-08-31 10:44:25+00:00,['1564927080185614337'],"@StefanTheNurse @WeAreBrisbane Yep, looks like the BP cuff.",yep look like cuff,look cuff 
5,5,1.5649221969126646e+18,2022-08-31 10:25:01+00:00,['1564922196912664576'],@Lord_Sugar Wind your neck in.,wind neck,wind neck 
7,7,1.564919556237574e+18,2022-08-31 10:14:31+00:00,['1564919556237574144'],"“My dear doctor, they’re all true.” “Even the lies?”
“Especially the lies.” #StarTrekDS9",dear doctor theyre true even lie especially lie,doctor theyre 
11,11,1.5645905312291308e+18,2022-08-30 12:27:05+00:00,['1564590531229130752'],@LoneyJane Benjamin Sisko,benjamin sisko,benjamin sisko 
14,14,1.5645767647348736e+18,2022-08-30 11:32:23+00:00,['1564576764734873600'],"Well, that’s my new favourite show for the next 5 weeks. I just need to stock up on tissues. #OldPeoplesHomeAu #OldPeopleHomeForTeenagers",well thats new favourite show next week need stock tissue,show week stock tissue 
15,15,1.5645693572333115e+18,2022-08-30 11:02:57+00:00,['1564569357233311745'],This is heartbreaking. #OldPeoplesHomeForTeenagers,heartbreaking,
16,16,1.5645334508537487e+18,2022-08-30 08:40:16+00:00,['1564533450853748736'],@drphiliplee1 @WhitHealth @ChelwestFT Congratulations!,congratulation,congratulation 
21,21,1.5644825472280863e+18,2022-08-30 05:18:00+00:00,['1564482547228086274'],"Murdered his wife in cold blood then told her children that she’d left them. Rest In Peace, Lynette. Rot in hell, murderer. #ChrisDawson",murdered wife cold blood told child shed left rest peace lynette rot hell murderer,wife cold blood child rest peace lynette rot hell murderer 
22,22,1.5643822406286991e+18,2022-08-29 22:39:25+00:00,['1564382240628699136'],@zackferguson ‘Dr Sam Beckett never returned home.’ Broke my heart.,sam beckett never returned home broke heart,sam beckett home heart 
25,25,1.5643482486846628e+18,2022-08-29 20:24:21+00:00,['1564348248684662784'],"@sulleyboat @alex_mlnr @OkieSpaceQueen @HRyanLa You’re a witness, then? You’ve seen/heard a recording of the event? Or you’ve just confused feelings with facts again?",youre witness youve seenheard recording event youve confused feeling fact,youre witness event youve feeling fact 
27,27,1.5642243326663885e+18,2022-08-29 12:11:57+00:00,['1564224332666388480'],@Kieran_Gilbert Courtesy. Ha.,courtesy,courtesy 
28,28,1.564224123831976e+18,2022-08-29 12:11:07+00:00,['1564224123831975938'],@OzKaterji Oh no. I’m so sorry.,sorry,sorry 
30,30,1.5640737583775416e+18,2022-08-29 02:13:37+00:00,['1564073758377541632'],"Dear Hobart. Your airport is too small. Kind regards, etc.",dear hobart airport small kind regard etc,hobart airport kind regard etc 
31,31,1.5640641175432847e+18,2022-08-29 01:35:19+00:00,['1564064117543284736'],@MontyLescalier @Keir_Starmer Yes. You’re enjoying the Tory rule and want more of it. Crystal clear.,yes youre enjoying tory rule want crystal clear,youre rule crystal 
32,32,1.5640636431339643e+18,2022-08-29 01:33:26+00:00,['1564063643133964288'],@JJComfortDog When I was a student nurse I’d hear people talking about wounds that had ‘de-hissed’ &amp; I thought that the patients actually had a wound that was making a hissing sound. #redface,student nurse hear people talking wound dehissed amp thought patient actually wound making hissing sound,student amp patient sound 
34,34,1.5640404507048346e+18,2022-08-29 00:01:16+00:00,['1564040450704834560'],First proper short break since August 2019 is drawing to an end &amp; I had no idea how much I needed it. Bloody marvellous.,first proper short break since august drawing end amp idea much needed bloody marvellous,break august end amp idea bloody 
35,35,1.5640323736665088e+18,2022-08-28 23:29:10+00:00,['1564032373666508800'],@noodles_nood You should be a lot proud.,lot proud,lot 
36,36,1.5640013355400684e+18,2022-08-28 21:25:50+00:00,['1564001335540068352'],"@BrandonLBradfor Why do you hate us, Brandon?",hate brandon,hate brandon 
37,37,1.563998912117371e+18,2022-08-28 21:16:13+00:00,['1563998912117370880'],@CrimeTalkEd @TaraVanHo Oh dear.,dear,dear 
39,39,1.56384506534443e+18,2022-08-28 11:04:53+00:00,['1563845065344430081'],Every now and then I am reminded that my family is dysfunctional. So that’s nice.,every reminded family dysfunctional thats nice,family 
41,41,1.5638220091672576e+18,2022-08-28 09:33:16+00:00,['1563822009167257600'],"@MissBaileyWoof Because they are mean, you gorgeous pup.",mean gorgeous pup,pup 
43,43,1.5636698358377636e+18,2022-08-27 23:28:35+00:00,['1563669835837763584'],@CrossBiddy Snap! Happy Birthday to us!,snap happy birthday,snap birthday 
44,44,1.5636532489005384e+18,2022-08-27 22:22:40+00:00,['1563653248900538368'],@deliman1933 @DocChicago197 @Harrii_W Are you okay?,okay,okay 
45,45,1.5636528303341568e+18,2022-08-27 22:21:00+00:00,['1563652830334156801'],@essexoldbird @Harrii_W I think you’ll be in high demand!,think youll high demand,demand 
46,46,1.5636512202457293e+18,2022-08-27 22:14:36+00:00,['1563651220245729280'],@iainl7 @AdsoMenk Nope. But then I’m not a weirdo.,nope weirdo,nope weirdo 
47,47,1.5636510078252032e+18,2022-08-27 22:13:46+00:00,['1563651007825203200'],@D_Blanchflower And at least there were riots against the Poll Tax.,least riot poll tax,poll tax 
51,51,1.5634943363269427e+18,2022-08-27 11:51:12+00:00,['1563494336326942720'],@Asher_Wolf I can’t begin to imagine. Plenty of people know how hard you worked. I’m sorry. It’s beyond shitty.,cant begin imagine plenty people know hard worked sorry beyond shitty,begin plenty 
52,52,1.5634701197955564e+18,2022-08-27 10:14:59+00:00,['1563470119795556353'],@Asher_Wolf Who in their right mind would think that you didn’t do any of the work on Robodebt???,right mind would think didnt work robodebt,mind work robodebt 
53,53,1.5634029214964244e+18,2022-08-27 05:47:57+00:00,['1563402921496424448'],@jordanbpeterson So brave. 🤣,brave,brave 
54,54,1.5634011535637504e+18,2022-08-27 05:40:56+00:00,['1563401153563750400'],Hobart Botanical Gardens is a) beautiful and b) filled with teenagers chasing Pokémon.,hobart botanical garden beautiful filled teenager chasing pokmon,garden beautiful teenager pokmon 
