,id,created_at,edit_history_tweet_ids,text
0,1.5650949393688576e+18,2022-08-31 21:51:26+00:00,['1565094939368857600'],@sazzlepants76 Thank you Sarah. People like you who specialise in end of life care have my utmost respect. My PS actually text me the next day thanking ME for my support! Difficult on both of us but I feel better prepared for next time ♥️
1,1.5649956006675784e+18,2022-08-31 15:16:42+00:00,['1564995600667578368'],Just got back from uniform shopping with a renacer. I now need a nap to process it all and recover. 😩
2,1.564321723863941e+18,2022-08-29 18:38:57+00:00,['1564321723863941123'],@tinytwink That’s far too cute.
3,1.564320894880825e+18,2022-08-29 18:35:39+00:00,['1564320894880825344'],But not tonight. Tonight I’m watching Netflix and sleeping.
4,1.5643208295754056e+18,2022-08-29 18:35:24+00:00,['1564320829575405569'],It’s time for a good old reflection. And thinking about what I’ve actually learnt and accomplished.
5,1.5643201263206564e+18,2022-08-29 18:32:36+00:00,['1564320126320656384'],"I’ll be honest, I have just got home from shit 2/3 and I am completely drained. Emotionally, physically."
6,1.56431991170637e+18,2022-08-29 18:31:45+00:00,['1564319911706370048'],…the last two days have been unbelievably complex and difficult. Especially after fairly recent media coverage surrounding end of life and withdrawing life support being fought out in courts.
7,1.5643195766949683e+18,2022-08-29 18:30:25+00:00,['1564319576694968323'],I am absolutely living my experience in critical care at the moment BUT…
8,1.564027504419119e+18,2022-08-28 23:09:49+00:00,['1564027504419119104'],RT @SoVeryBritish: Just had someone ask me “what kind of adult wears pyjamas?!” so can we get a retweet from every adult currently enjoying…
9,1.563901506230915e+18,2022-08-28 14:49:09+00:00,['1563901506230915076'],I hung on until it was over and then offered to get a hot drink for them. Had a little cry in the kitchen instead.
10,1.5639013409292124e+18,2022-08-28 14:48:30+00:00,['1563901340929212416'],Came close to having to excuse myself from a family discussion this morning when I started to well up but didn’t want to ‘cause a scene’.
11,1.5635746974299668e+18,2022-08-27 17:10:32+00:00,['1563574697429966854'],@wambamthankymam OMG 😭
12,1.5626014874815488e+18,2022-08-25 00:43:21+00:00,['1562601487481548801'],"@NoContextBrits As a Salfordian, I agree 🤣"
13,1.5625633391377203e+18,2022-08-24 22:11:45+00:00,['1562563339137720320'],@_TrudiTweets I had this for my current placement 😊
14,1.5625087262923244e+18,2022-08-24 18:34:45+00:00,['1562508726292324356'],@NoContextBrits Plastic wallets
15,1.5621519311030354e+18,2022-08-23 18:56:58+00:00,['1562151931103035392'],Anyway. I’ve told her to stop piercing herself and if she wants anything else doing she does it only with my knowledge.
16,1.562151779302871e+18,2022-08-23 18:56:22+00:00,['1562151779302871040'],"Like, I should be angry but then again the only thing I’m concerned about is infection and it looks good so… 🤷‍♀️"
17,1.5621514791038484e+18,2022-08-23 18:55:10+00:00,['1562151479103848448'],She’s just shown me her belly button piercing. She did it herself. It is actually straight and looks really healthy. Gotta say I’m conflicted.
18,1.5621512738262385e+18,2022-08-23 18:54:21+00:00,['1562151273826238464'],My 12 year old daughter has been asking me for weeks what I would do if she went behind my back and got her belly button pierced. I told her I wouldn’t be bothered about the piercing but I wouldn’t be happy about the sneakiness.
19,1.5617918288184402e+18,2022-08-22 19:06:03+00:00,['1561791828818440192'],"@f1nic Yeah I’ll probs go, no idea what night, I’ll decide closer the time"
20,1.561750450491335e+18,2022-08-22 16:21:37+00:00,['1561750450491334656'],@f1nic That’s what I was looking at 🤣 We’ll get tickets eventually
21,1.5617055581551862e+18,2022-08-22 13:23:14+00:00,['1561705558155186177'],@f1nic Literally
22,1.5607133454094664e+18,2022-08-19 19:40:32+00:00,['1560713345409466368'],Old Mout &gt; Kopparberg
23,1.5606960164620452e+18,2022-08-19 18:31:41+00:00,['1560696016462045184'],Just put hair colour stripper on my hair and OMG the smell is knock me sick 🤢
24,1.5603593061507768e+18,2022-08-18 20:13:43+00:00,['1560359306150776833'],"My hair is legit going grey. Found a few silvery streaks at the front of my hair the other day and then yesterday when I had my head upside down putting a bobble in, Amélie said “HA! You’re going grey!” 🙄"
25,1.560280721402368e+18,2022-08-18 15:01:27+00:00,['1560280721402368002'],Ugh. I can feel a migraine coming on.
26,1.5601926653245112e+18,2022-08-18 09:11:33+00:00,['1560192665324511235'],I don’t trust people who drink half a can of coke and put the rest in the fridge for later.
27,1.56002521615113e+18,2022-08-17 22:06:10+00:00,['1560025216151130113'],I am under the duvet. 🥹
28,1.5596734377230213e+18,2022-08-16 22:48:19+00:00,['1559673437723021315'],@VickyBurrows YES!!!! I love his Anatomy lessons!
29,1.559575067276845e+18,2022-08-16 16:17:26+00:00,['1559575067276845057'],@anon_opin Don’t be daft
30,1.5595711307085947e+18,2022-08-16 16:01:47+00:00,['1559571130708594689'],I got 95% on my last assignment of year 2. I can’t believe it.
31,1.55911220467848e+18,2022-08-15 09:38:11+00:00,['1559112204678479873'],The hardest part of the placement is my babies having to stay over at their dad’s when I’m working and I miss their faces.
32,1.5591120022446817e+18,2022-08-15 09:37:22+00:00,['1559112002244681728'],I’ve gotten over Saturday’s shift. Back in today and it’s very very busy but I’m still loving it.
33,1.5589432338451702e+18,2022-08-14 22:26:45+00:00,['1558943233845170179'],Same https://t.co/79KGdKrBSN
34,1.5589369432238735e+18,2022-08-14 22:01:45+00:00,['1558936943223873536'],"A bird* just flew in through the kitchen window and landed on my arm.

* moth. It was a massive moth."
35,1.5588775606452388e+18,2022-08-14 18:05:47+00:00,['1558877560645238784'],@ammanibash Currently experiencing this as a student nurse in the ICU. No one has referred to me as ‘the student’. Was surprised (in a nice way) when I walked out of a room after a  difficult conversation with a patient’s family and the consultant (who I’d never met) said “are you ok Jo?”
36,1.5588700623706276e+18,2022-08-14 17:35:59+00:00,['1558870062370627584'],"“Good weather for drying clothes”

IT’S TOO HOT TO GIVE A SHIT ABOUT WASHING THEM CAROL"
37,1.5588698073485558e+18,2022-08-14 17:34:59+00:00,['1558869807348555787'],"And no, I won’t be moaning in winter when it’s cold and dark. At least I can comfortably leave the house then and sleep at night."
38,1.5588696390016696e+18,2022-08-14 17:34:18+00:00,['1558869639001669635'],"Having a cool shower in a bit will help, sure. But as soon as I step out and I’m hit in the face by the heat of a thousand suns I’ll be a mess again."
39,1.5588693751170417e+18,2022-08-14 17:33:16+00:00,['1558869375117041664'],My bedroom is hotter than Satan’s arsehole so I’m dreading going to bed.
40,1.5588691427106652e+18,2022-08-14 17:32:20+00:00,['1558869142710665219'],I’ve just had a little self pity cry because I’m too hot. I just cleaned the kitchen (10 minutes if that) and I have sweat pouring down my face.
41,1.558520209534849e+18,2022-08-13 18:25:48+00:00,['1558520209534849025'],I’m so done with today. So done.
42,1.5585201259297546e+18,2022-08-13 18:25:28+00:00,['1558520125929754624'],It was so nice to come home and see that my daughter has trashed the kitchen and done absolutely nothing to try and clean it up.
43,1.558519933931225e+18,2022-08-13 18:24:42+00:00,['1558519933931225093'],Plus it’s 32°C out and the air on on the unit is broken (obviously)
44,1.558519824426439e+18,2022-08-13 18:24:16+00:00,['1558519824426438656'],From 11am until I finished at 7pm it was a constant fight. I’ve been covered in EVERY bodily fluid and I caught a right hook.
45,1.558519599049605e+18,2022-08-13 18:23:22+00:00,['1558519599049605121'],"Five of us needed to hold onto a patient weighing 20+ stone with a brain injury, delirium and alcohol withdrawal after they pulled out the tube in their throat."
46,1.558519161906774e+18,2022-08-13 18:21:38+00:00,['1558519161906774018'],Today was the hardest shift I’ve experienced so far in my student nurse journey. I mean PHYSICALLY the hardest.
47,1.558114657373651e+18,2022-08-12 15:34:17+00:00,['1558114657373650944'],@Mhairigirl My favourite
48,1.5578255654654976e+18,2022-08-11 20:25:32+00:00,['1557825565465497600'],@EmergencyBod Oh yay. Now I don’t need to use the communal tea bags in the staff room.
49,1.5577296631531643e+18,2022-08-11 14:04:27+00:00,['1557729663153164288'],Lots of fun this morning. Need a nap now. https://t.co/fBkHri4CAg
50,1.5575060153688228e+18,2022-08-10 23:15:45+00:00,['1557506015368822786'],…my biggest mistake was asking her “what if they don’t have pink?”
51,1.557505901153616e+18,2022-08-10 23:15:18+00:00,['1557505901153615874'],…what colours do they have? Can I have yellow? What if they don’t have yellow? Can I have a two piece? Can I get some new sandals? And some sun glasses? What time are we going? If they don’t have yellow I’ll get blue. If they don’t have blue I’ll get pink…
52,1.557505596739539e+18,2022-08-10 23:14:05+00:00,['1557505596739538945'],Esmée has lost her swimsuit. I have reassured a million times that we will go and get her a new one in the morning. She has now been in my room every 10 minutes since asking questions…
53,1.557477687530324e+18,2022-08-10 21:23:11+00:00,['1557477687530323968'],"@tinytwink It’s always in my neck, like, if I don’t sit straight or I’m in bed it pools under my chin in my neck. It’s absolutely minging."
54,1.5574760471212728e+18,2022-08-10 21:16:40+00:00,['1557476047121272834'],What is the point in having a shower if you just revert to a hot sweaty hangin’ mess after half an hour? #perimenopause #yesiknowimstillyoung #itrunsinthefamily
55,1.557394472618627e+18,2022-08-10 15:52:31+00:00,['1557394472618627075'],"I have worked out that my preferred working pattern is as follows:

Monday: 7pm-7.30am
Tuesday: 7pm - 7.30am
Wednesday: OFF
Thursday: OFF
Friday: 7am - 7.30pm
Saturday: OFF
Sunday: OFF"
56,1.5573873994786245e+18,2022-08-10 15:24:25+00:00,['1557387399478624257'],I’ve just paid £50 to go to a pretend beach tomorrow
57,1.5570781746007736e+18,2022-08-09 18:55:40+00:00,['1557078174600773632'],I put my trousers on inside out this morning and then tripped over them when I tried to pull them up. https://t.co/Bfar2YVE6R
58,1.5570670046449172e+18,2022-08-09 18:11:17+00:00,['1557067004644917252'],Worked with another new (to me) face today. Fell in love with her methods of organising and setting up the machines 😍
59,1.556940766190207e+18,2022-08-09 09:49:39+00:00,['1556940766190206976'],So I’m not actually sure what that means.
60,1.556940700406743e+18,2022-08-09 09:49:24+00:00,['1556940700406743041'],"Consultant: hello, so your patient has been cancelled for theatre this morning hasn’t he?
Me: not that we know of…
Consultant: oh, we were told you guys had cancelled because he was unstable
Me: nope, we’ve got the portable vent ready to go…
Consultant: ok, thank you!"
61,1.5559155260183183e+18,2022-08-06 13:55:43+00:00,['1555915526018318336'],Just sneezed my contact lense out
62,1.555906549771604e+18,2022-08-06 13:20:03+00:00,['1555906549771603968'],@VickyBurrows What the hell is on those chips and why do I need them in my mouth immediately?
63,1.5559017933218447e+18,2022-08-06 13:01:09+00:00,['1555901793321844738'],"BTW, I’m not slating doctors here, the ones I’m working with are incredible, just pointing out that nurses know far more than people realise 👩‍⚕️"
64,1.5559010043060795e+18,2022-08-06 12:58:01+00:00,['1555901004306079747'],You just know the Dr went back to the consultant and said “I’m concerned about this patient’s arterial line”🤣
65,1.555900678266028e+18,2022-08-06 12:56:43+00:00,['1555900678266028034'],Fast forward three hours and the doctors are removing the arterial line because it’s not giving accurate readings and is leaking.
66,1.5559003368370995e+18,2022-08-06 12:55:22+00:00,['1555900336837099520'],"Dr: I don’t really know what it means
 *my mentor returns*
M: any problems?
Me: yeah, the art line waveform…
M: ooh that’s a bit dodgy. I think it’s positional though so let’s mover the patient a bit"
67,1.5558998452395295e+18,2022-08-06 12:53:24+00:00,['1555899845239529474'],"Dr: any concerns 
Me: yes, blah blah arterial wave form blah blah
Dr: right. What’s an arterial waveform?
Me: it shows the change in arterial pressure…
Dr: mmhmm I see. Where is it in the monitor?
Me: the red squiggly line…
Dr: I see, um. Is it normal?
Me: I’m asking you…"
68,1.5558816607801016e+18,2022-08-06 11:41:09+00:00,['1555881660780101633'],"RT @SteffTodd: Yorkshire Kardashians go to Asda x 
#YorkshireKardashians #TheKardashians https://t.co/d2rRM6Z8k6"
69,1.5555256739382067e+18,2022-08-05 12:06:35+00:00,['1555525673938206722'],I think I’ve found where I belong ❤️
70,1.555525548440445e+18,2022-08-05 12:06:05+00:00,['1555525548440444928'],I even had a consultant come and get me and ask if I’d like to assist with inserting a tracheostomy. He made me his airway assist at (which was terrifying) but he talked me through every single detail of the procedure.
71,1.5555252180173537e+18,2022-08-05 12:04:46+00:00,['1555525218017353728'],Every single person on this unit is incredible. Not just because of their skills and dedication but because they WANT TO TEACH YOU.
72,1.555524961640538e+18,2022-08-05 12:03:45+00:00,['1555524961640538112'],Just been told by my supervisor that I would make an amazing critical care nurse. Her words. Not mine.
73,1.5551312165962752e+18,2022-08-04 09:59:09+00:00,['1555131216596275201'],So many new baby doctors today
74,1.5549222379075748e+18,2022-08-03 20:08:45+00:00,['1554922237907574784'],@wambamthankymam But they’re more than double what I pay for three bedrooms! £2000 a month!
75,1.5549200564500808e+18,2022-08-03 20:00:05+00:00,['1554920056450080769'],Why are four bedroom houses so expensive?
76,1.554836041978196e+18,2022-08-03 14:26:14+00:00,['1554836041978195971'],@nicksiobhan Congratulations 🎉
77,1.5541981401311887e+18,2022-08-01 20:11:26+00:00,['1554198140131188738'],I feel a reflection coming on…
78,1.5541980906844324e+18,2022-08-01 20:11:15+00:00,['1554198090684432388'],"Day 4 of ICU nursing. Lots of learning opportunities but a very tough day emotionally. I held it together in the family room, I held it together when my assessor asked if I was ok, I held it together in the changing room. Burst into tears in the car."
79,1.5519449018934927e+18,2022-07-26 14:57:53+00:00,['1551944901893492736'],@jade_w08 I’m second year and 40. Not a chance would I have stuck it out back then.
80,1.5519445217553326e+18,2022-07-26 14:56:22+00:00,['1551944521755332610'],"I’ll be honest, it hit me. I had to fight back the tears when they went under and just stopped fighting."
81,1.5519443893369897e+18,2022-07-26 14:55:50+00:00,['1551944389336989699'],I got the opportunity to observe an intubation on a patient who suddenly deteriorated. I stood out of the way of the team but I ended up being asked to gown up so I could hold the patient’s hand and reassure them.
82,1.5519439867677082e+18,2022-07-26 14:54:14+00:00,['1551943986767708161'],My first shift in critical care almost killed me off but I LOVED it.
83,1.5516539325434798e+18,2022-07-25 19:41:40+00:00,['1551653932543479808'],One escaped. Found him on the floor.
84,1.5516538502553436e+18,2022-07-25 19:41:20+00:00,['1551653850255343616'],I used leeches on a patient today.
85,1.551554499935871e+18,2022-07-25 13:06:33+00:00,['1551554499935870977'],"Well. Critical care nursing is crazy. Fun, but crazy."
86,1.551159841988698e+18,2022-07-24 10:58:20+00:00,['1551159841988698112'],@WeNurses Getting mentally prepared to star my 8 week placement in the critical care unit tomorrow
87,1.5505886120179016e+18,2022-07-22 21:08:28+00:00,['1550588612017901574'],@Skellibobs Shurrup it’s lovely and damp out
88,1.550214195089752e+18,2022-07-21 20:20:40+00:00,['1550214195089752065'],@Mhairigirl I’m literally just watching the last episode now!
89,1.550159740499628e+18,2022-07-21 16:44:17+00:00,['1550159740499628033'],@sazzlepants76 Thank you! I just feel like I’m repeating myself 🤣 I always stress over this part!
90,1.550145750633517e+18,2022-07-21 15:48:41+00:00,['1550145750633517058'],"Me writing a the conclusion to any assignment:

So yeah. That’s it. You just read it. Why do I need to write another 400 words telling you what you just read?"
91,1.5479991960655708e+18,2022-07-15 17:39:03+00:00,['1547999196065570817'],Anything more embarrassing than looking up and grinning like a maniac at the man walking towards your table because you think he’s bringing your food but then realising it’s just some dude going to the toilet?
