id,created_at,edit_history_tweet_ids,text,clean_text
1.5651029956075274e+18,2022-08-31 22:23:27+00:00,['1565102995607527426'],@ashleighweeden Ooh yes!! Will be in touch about that!,ooh yes touch
1.5651007108569825e+18,2022-08-31 22:14:22+00:00,['1565100710856982528'],@ashleighweeden Also I think we need more overlap in our disciplines to consider ways to address healthcare access issues in rural areas! 😉,also think need overlap discipline consider way address healthcare access issue rural area
1.56510054191462e+18,2022-08-31 22:13:42+00:00,['1565100541914619904'],@ashleighweeden Inverness and still early planning but really hopeful I can make it happen even if it’s a short visit. Trying to combine a few visits with visiting spots my family came from in the UK. And thank you I will absolutely let you know.,inverness still early planning really hopeful make happen even short visit trying combine visit visiting spot family came uk thank absolutely let know
1.5650984622148854e+18,2022-08-31 22:05:26+00:00,['1565098462214885376'],@ashleighweeden Oh this is interesting! I’m actually working with UHI in Scotland right now to see if I can come there as part of my sabbatical to learn about how they prepare rural &amp; remote nurses.,oh interesting im actually working uhi scotland right see come part sabbatical learn prepare rural amp remote nurse
1.5650318939842232e+18,2022-08-31 17:40:55+00:00,['1565031893984223233'],@collegeofnurses does this not violate the RHPA and our professional standards/ethical framework? We are required to ensure informed consent with our patients? @ontarionurses https://t.co/Gnbmf2vGoT,doe violate rhpa professional standardsethical framework required ensure informed consent patient
1.5650266600423916e+18,2022-08-31 17:20:07+00:00,['1565026660042391553'],"@RJSzczerba We’re just 2 lost souls swimming in a fish bowl, year after year",lost soul swimming fish bowl year year
1.5650103309415465e+18,2022-08-31 16:15:14+00:00,['1565010330941546499'],"#BirdTwitter my neighbour &amp; I have been gifted a visit by a great blue heron 2x this week. We are not on water, although both have in ground pools but its not gone near them. This seems unusual?  It walks across our yards, &amp; just stands quietly. https://t.co/UB5hlEkX5h",neighbour amp gifted visit great blue heron x week water although ground pool gone near seems unusual walk across yard amp stand quietly
1.5646656232962212e+18,2022-08-30 17:25:29+00:00,['1564665623296221184'],"@DrKateTO @raghu_venugopal @NurseWithSign @fordnation As an educator of new nurses I can tell you they want none of what he’s offering. They are leaders &amp; advocates. They want respect, to be valued and to have a sustainable work-life balance.",educator new nurse tell want none offering leader amp advocate want respect valued sustainable worklife balance
1.5642963194302628e+18,2022-08-29 16:58:00+00:00,['1564296319430262784'],"@sammymarie @kwetoday As a university faculty I can tell you I love getting these requests. It’s a chance to reconnect &amp; see what former students are doing. I also ask them to be very siecific about what they want highlighted in a letter. So go ahead, swoop in &amp; contact them",university faculty tell love getting request chance reconnect amp see former student also ask siecific want highlighted letter go ahead swoop amp contact
1.5639684499483566e+18,2022-08-28 19:15:10+00:00,['1563968449948356611'],@AqiiQna @saramfung @Faussenurse Congratulations!,congratulation
