,Unnamed: 0,id,created_at,edit_history_tweet_ids,text
0,0,1.5651152738623365e+18,2022-08-31 23:12:14+00:00,['1565115273862336512'],
1,1,1.565104640001454e+18,2022-08-31 22:29:59+00:00,['1565104640001454080'],
2,2,1.5651033343062344e+18,2022-08-31 22:24:47+00:00,['1565103334306234368'],
3,3,1.5650819147339205e+18,2022-08-31 20:59:40+00:00,['1565081914733920256'],
4,4,1.565063624917336e+18,2022-08-31 19:47:00+00:00,['1565063624917336064'],"In BC alone, thousands of lives have been lost to this crisis – they are our family, colleagues, and friends and their loss leaves an unfillable void. Read the statement from Michael Sandler, CEO.  
#IOAD2022
https://t.co/f88YnhnUlZ https://t.co/HD8yQ2chZj"
5,5,1.565013544835457e+18,2022-08-31 16:28:00+00:00,['1565013544835457026'],Each year on Aug 31 we observe International Overdose Awareness Day. Far too many lives have been lost to this crisis. We must urgently invest wholeheartedly into systems change to save lives. These deaths are preventable. #NursingKnows we must act NOW. #IOAD2022 @OverdoseDay https://t.co/fPJKnGTB1J
6,6,1.565003912889135e+18,2022-08-31 15:49:43+00:00,['1565003912889135104'],
7,7,1.564763092684505e+18,2022-08-30 23:52:47+00:00,['1564763092684505088'],
8,8,1.56475660147866e+18,2022-08-30 23:27:00+00:00,['1564756601478660096'],"NNPBC members, nominate your nursing colleague (LPN, RPN, RN, NP) for an Award of Excellence. Please note the deadline has been extended to Sept 7. Learn more: https://t.co/cwQxlWRXhz https://t.co/mJnu6sV4pa"
9,9,1.5647110513960591e+18,2022-08-30 20:26:00+00:00,['1564711051396059137'],"NNPBC is hiring! We are seeking qualified candidates for the positions of Administrative Lead, and NP Regional Lead – Interior Region. To learn about these opportunities, visit our site: https://t.co/mz8j8CfwWj https://t.co/6ZvI5gQbeT"
10,10,1.5646498986029302e+18,2022-08-30 16:23:00+00:00,['1564649898602930176'],Tomorrow is International Overdose Awareness Day. Far too many lives have been lost to overdose and a toxic illicit drug supply. These deaths are absolutely preventable – we must #EndStigma around this health issue. #IOAD2022 @OverdoseDay https://t.co/OSOn7q7IMn
11,11,1.5643786108776817e+18,2022-08-29 22:25:00+00:00,['1564378610877681666'],"Save the Date! The 2023 Canadian Women’s Heart Health Summit will take place Apr 28-29, 2023 in Vancouver. Early bird registration opens Nov 1. Learn more: https://t.co/pqTKWiP7tH #CWHHS2023 #HerHeartMatters https://t.co/NN8y7NwF5f"
12,12,1.5643633909735178e+18,2022-08-29 21:24:31+00:00,['1564363390973517824'],
13,13,1.5643330609167606e+18,2022-08-29 19:24:00+00:00,['1564333060916760576'],All COVID-19 vaccines approved for use in Canada are safe and effective at preventing against severe illness and health outcomes from COVID-19. Book your booster appointment this fall: https://t.co/DAb12nNgLY https://t.co/Uo7zWS1v17
14,14,1.5642875105949614e+18,2022-08-29 16:23:00+00:00,['1564287510594961408'],NNPBC Clinical Corner Webinar Series: COVID Therapeutics – Paxlovid. Sept 9 at 8am PT. Register now to join us online: https://t.co/42IcdHLKb4 https://t.co/Lb6Id72z7v
15,15,1.5639916402386207e+18,2022-08-28 20:47:19+00:00,['1563991640238620672'],
16,16,1.5639850174028472e+18,2022-08-28 20:21:00+00:00,['1563985017402847233'],"This summer, practise sun safety! Learn more about UV radiation and how it can affect our health: https://t.co/Cphw7fLyxN #NursingKnows #NursingMatters https://t.co/O869DLc2Rq"
17,17,1.5639394675844506e+18,2022-08-28 17:20:00+00:00,['1563939467584450561'],DYK? The NNPBC Blog features nursing’s unique perspective on topics that matter most to the health and wellness of BC’s communities. Check it out: https://t.co/C893hnQw8g #NursingKnows #NursingMatters #NursingBlog https://t.co/xlyNXSqO1B
18,18,1.5636374773062902e+18,2022-08-27 21:20:00+00:00,['1563637477306290176'],"The deadline to submit nominations for the 2022 Nursing Awards of Excellence is fast approaching! Read more on how to nominate an LPN, NP, RN or RPN for an award: https://t.co/UYBKtt7CPb https://t.co/iGeMs3wvLX"
19,19,1.5635768277041848e+18,2022-08-27 17:19:00+00:00,['1563576827704184832'],"Researchers at McMaster University are seeking LPN, NP, RN, RPN &amp; allied health care providers to participate in a study on counselling pregnant/breastfeeding individuals who use or are considering cannabis use. Learn more: https://t.co/GGxGBeCaXX"
20,20,1.563564815742038e+18,2022-08-27 16:31:16+00:00,['1563564815742038017'],
