,Unnamed: 0,Unnamed: 0.1,id,created_at,edit_history_tweet_ids,text
10,10,10,1.5650420158086676e+18,2022-08-31 18:21:08+00:00,['1565042015808667648'],@linniRsbooks @kelownagurl Got 'the right ars* ache' in our house #thearchers
11,11,11,1.5650411419170324e+18,2022-08-31 18:17:39+00:00,['1565041141917032448'],Aw Shula's not that bad..in small doses  #thearchers
12,12,12,1.5650394553203958e+18,2022-08-31 18:10:57+00:00,['1565039455320395779'],A rude awakening for Shula ..boxing gloves and a hard hat might be a useful gift #thearchers
15,15,15,1.5649883971728015e+18,2022-08-31 14:48:04+00:00,['1564988397172801537'],@JezzaD1972 @MarinaPurkiss I couldn't tell you but hopefully Marina can
28,28,28,1.5649529145100943e+18,2022-08-31 12:27:04+00:00,['1564952914510094337'],Ms Truss will do it if you can get her a Vogue photoshoot thrown in #TorySewageParty #ToryCorruption #partygate https://t.co/8KrSHU1f1o
31,31,31,1.5648934188657582e+18,2022-08-31 08:30:40+00:00,['1564893418865758208'],@Veronic45342690 @Matthew82069336 There is a 4 letter word I could use but I won't ;)
32,32,32,1.5648840400539156e+18,2022-08-31 07:53:23+00:00,['1564884040053915648'],#ToryCorruption https://t.co/J9ctPPLLCd
33,33,33,1.5648839005220086e+18,2022-08-31 07:52:50+00:00,['1564883900522008578'],'Let the bodies pile high' ..which he did is hardly something to sing about #torysewageparty #ToryCorruption #partygate https://t.co/DuiGZA7Uwf
36,36,36,1.5648794271457649e+18,2022-08-31 07:35:04+00:00,['1564879427145764865'],#torysewageparty #ToryCorruption #Partygate #johnsonliedpeopledied https://t.co/QAPTjVdOhb
39,39,39,1.564877001218982e+18,2022-08-31 07:25:25+00:00,['1564877001218981889'],#Torysewageparty #ToryCorruption #Partygate https://t.co/nShmRX4Lbq
43,43,43,1.56468144339311e+18,2022-08-30 18:28:21+00:00,['1564681443393110018'],Not sure the Archer lads can afford to rent Aunty Shula's gaff or heat it unless they have massive piggy banks  #thearchers
44,44,44,1.5646794812515697e+18,2022-08-30 18:20:33+00:00,['1564679481251569665'],Dodgy episode tonight after last night ..wonder where Tracy spent her day? #thearchers
66,66,66,1.5645752427684823e+18,2022-08-30 11:26:20+00:00,['1564575242768482304'],#TorySewageParty #torycorruption https://t.co/aX8MTpb3Aj
74,74,74,1.564548581566169e+18,2022-08-30 09:40:24+00:00,['1564548581566169091'],"Oh dear Nick,schoolboy error there, should have suggested a 'quick chat' and then you would see if you could pull strings at Vogue..smh #TorySewageParty #torycorruption https://t.co/qTmiKWNXIQ"
79,79,79,1.5645459850151567e+18,2022-08-30 09:30:05+00:00,['1564545985015156736'],#TorySewageParty #ToryCorruption https://t.co/3zWZbddY56
80,80,80,1.5645457457427003e+18,2022-08-30 09:29:08+00:00,['1564545745742700544'],@GothaJonny Pwoar!
82,82,82,1.5645442519412408e+18,2022-08-30 09:23:12+00:00,['1564544251941240832'],What she says #TorySewageParty #ToryCorruption #partygate https://t.co/IqwIp1GVaj
93,93,93,1.5645099319062364e+18,2022-08-30 07:06:49+00:00,['1564509931906236419'],#TorySewageParty #ToryCorruption https://t.co/06MNuCBdLW
97,97,97,1.5645071014807552e+18,2022-08-30 06:55:34+00:00,['1564507101480755200'],@satnav2012 Yep and would be enthusiastic about Kenton's themed nights! #thearchers
107,107,107,1.564354932073005e+18,2022-08-29 20:50:54+00:00,['1564354932073005057'],"So the lady the young lad assaulted in the taxi queue is the victim Joe was having an affair with who he was trying to shake off, am I right?#TheSuspect"
110,110,110,1.5643391948766454e+18,2022-08-29 19:48:22+00:00,['1564339194876645376'],@archers_fan2015 @TheBullsEye1 Yep it don't have to happen overnight #thearchers
111,111,111,1.5643385216153518e+18,2022-08-29 19:45:42+00:00,['1564338521615351810'],@Kosmo100 @archers_fan2015 Well it is Ambridge so who knows
