,id,created_at,edit_history_tweet_ids,text
0,1.565049406931587e+18,2022-08-31 18:50:30+00:00,['1565049406931587076'],"RT @albolt76: *******🥰Please Retweet Poll For Best Results🥰********
Jacko-Fi-Mike's @rahhead01 World Cup Of Film Actresses😂Please vote for…"
1,1.5650491375313306e+18,2022-08-31 18:49:26+00:00,['1565049137531330568'],"RT @albolt76: *******🥰Please Retweet Poll For Best Results🥰********
Jacko-Fi-Mike's @rahhead01 World Cup Of Film Actresses😂Please vote for…"
2,1.5650070371839672e+18,2022-08-31 16:02:08+00:00,['1565007037183967239'],"RT @PickardJE: Rees-Mogg Whitehall buildings efficiency drive:

- plan to sell £1.5bn of buildings, just 1% of the total £150bn of  governm…"
3,1.5649466984676805e+18,2022-08-31 12:02:22+00:00,['1564946698467680257'],"RT @AkanKwaku: The future is very much rooted in the past, which we glorify at our peril. If we never learn, we are bound to repeat. Hunger…"
4,1.5649466229577318e+18,2022-08-31 12:02:04+00:00,['1564946622957731842'],RT @JolyonMaugham: Fodbanks are running out of food and Liz Truss' plan is to cut taxes for the rich https://t.co/iAUttQb1rc
5,1.5648685968320348e+18,2022-08-31 06:52:01+00:00,['1564868596832034816'],RT @Lucy_cat_lady: So GP looks at my knee and says ‘I can see already there’s a significant problem and I’m going to need to refer you. Hav…
6,1.564865796014211e+18,2022-08-31 06:40:54+00:00,['1564865796014211074'],"RT @natalieben: As @TheGreenParty said at the time, the #DirtyProfitsTax, AKA the #windfalltax, set at grossly inadequate level.

A few pro…"
7,1.5648657371471708e+18,2022-08-31 06:40:40+00:00,['1564865737147170816'],RT @davesumnersmith: When questioned on his 'farewell tour' it seems @BorisJohnson was unprepared to give himself a score out of ten for hi…
8,1.5646895623744717e+18,2022-08-30 19:00:36+00:00,['1564689562374471686'],"RT @snb19692: Yay Great news!  From the middle of next year if we travel to the EU We're all going to be fingerprinted, photographed and st…"
9,1.5646640534857646e+18,2022-08-30 17:19:15+00:00,['1564664053485764613'],"RT @YorksBylines: Another 5 downsides. The Disneyland express is cancelled, a Kent brewery sees a 95% fall in export sales and despite a su…"
10,1.5646638000785203e+18,2022-08-30 17:18:14+00:00,['1564663800078520321'],RT @LBC: James O'Brien is stopped in his tracks as this NHS manager reveals he is planning to convert some of the spare rooms in his hospit…
11,1.564663378068603e+18,2022-08-30 17:16:34+00:00,['1564663378068602880'],RT @eddiemair: There are points when you can actually witness her buffering. Watch for the blinking.
12,1.5646136548336763e+18,2022-08-30 13:58:59+00:00,['1564613654833676290'],"RT @keepnhspublic: 🚑 Our NHS is Understaffed, underfunded and underappreciated.

📰 Great piece from @JatinderHayre_  in @SectorFocus 

👇 ht…"
13,1.5646133981255025e+18,2022-08-30 13:57:57+00:00,['1564613398125502467'],"RT @compassion_heal: NHS plans to open warm banks for hospital staff who can’t afford heating 

LBC News  https://t.co/gaY1uAb3pU"
14,1.5645024248905236e+18,2022-08-30 06:36:59+00:00,['1564502424890523651'],"RT @lewis_goodall: Figures from IRC

🇵🇰the monsoons have destroyed 3,000km of road
🇵🇰130 bridges 
🇵🇰495,000 homes
🇵🇰Sindh and Balochistan p…"
15,1.5645021353199534e+18,2022-08-30 06:35:50+00:00,['1564502135319953408'],"RT @rubymournie: Our postie has just sent me this, can you pass it on: This is what’s really going on at Royal Mail so you can tell your fr…"
16,1.5644994713665946e+18,2022-08-30 06:25:15+00:00,['1564499471366594560'],RT @ToriesOutNow22: People have not fallen out of love with the NHS as reported in the rag that is The Sunday Times &amp; we never will. #GTTO
17,1.5643440711786537e+18,2022-08-29 20:07:45+00:00,['1564344071178653701'],RT @IvorBumpton: @ToriesOutNow22 The NHS is more vulnerable than ever. It will take each and every one of us to fight and protect it. https…
18,1.5643439608558797e+18,2022-08-29 20:07:19+00:00,['1564343960855879680'],RT @jemmaforte: Wow. Look how openly they describe the illegality of the referendum across the pond! Makes you realise quite how muted our…
19,1.564310348991271e+18,2022-08-29 17:53:45+00:00,['1564310348991270919'],RT @thelowse: She’s got a fair point. 👍🏻 https://t.co/PXyQ9xc6Ea
20,1.5642964608412262e+18,2022-08-29 16:58:34+00:00,['1564296460841226240'],RT @wessiedutoit: What happened when Germany let people use the local train network for just 9 Euros per month: https://t.co/FpTZYAGl9L
21,1.564296159895724e+18,2022-08-29 16:57:22+00:00,['1564296159895724033'],RT @Anna_Soubry: #LizTruss chickened out. Expect more of the same when she wins - a combo of arrogance &amp; fear of scrutiny.
22,1.564295673205375e+18,2022-08-29 16:55:26+00:00,['1564295673205374977'],RT @BelTel: The founder of a west Belfast food and school uniform bank has said over 100 children per day have arrived to be kitted out ahe…
23,1.5642954260099277e+18,2022-08-29 16:54:27+00:00,['1564295426009927682'],RT @guardian: Home Office accused of deliberately leaving anti-slavery post unfilled https://t.co/Fwfvfp4OyO
24,1.5642953998207386e+18,2022-08-29 16:54:21+00:00,['1564295399820738566'],"RT @snowleopardess: Truss just pulled out of the interview scheduled to take place on the BBC tomorrow.
If a leadership candidate is not pr…"
25,1.5642952190965555e+18,2022-08-29 16:53:38+00:00,['1564295219096555520'],"RT @13sarahmurphy: Truss spent the entire summer telling most of us she doesn’t represent us, won’t help us, doesn’t value us, won’t protec…"
26,1.5642951537660436e+18,2022-08-29 16:53:22+00:00,['1564295153766043651'],"RT @mjtward19: If you  still don't believe that @trussliz is merely going to be a puppet of the right wing lunatics in the ERG, then the fa…"
27,1.5642950204668682e+18,2022-08-29 16:52:50+00:00,['1564295020466868224'],"RT @chrisgreybrexit: This once again exposes the peculiar nature of this contest. Sure, we know that we don't have a presidential system, a…"
28,1.5642948294666895e+18,2022-08-29 16:52:05+00:00,['1564294829466689545'],"RT @KernowDamo: For 30 years the Rough gas field represented 70% of our gas storage capacity. Owned by Centrica, it was closed after fallin…"
29,1.564282469117055e+18,2022-08-29 16:02:58+00:00,['1564282469117054976'],"RT @theipaper: 'We can't scour supermarkets for deals or use comparison sites - we need more help than a £150 Government payment.'

Life is…"
30,1.5642821980014387e+18,2022-08-29 16:01:53+00:00,['1564282198001438721'],"RT @lorrainemking: Unless you've lived in Notting Hill before 1965 you have no right to complain about the annual carnival.
They remind me…"
31,1.5642820530252104e+18,2022-08-29 16:01:19+00:00,['1564282053025210374'],"RT @LouiseRawAuthor: This is shocking, irresponsible government propaganda. This is not honest reporting. This is not news.

People are not…"
32,1.564281913019433e+18,2022-08-29 16:00:45+00:00,['1564281913019432962'],"RT @MarchForRejoin: National Rejoin March
Speakers: @Femi_Sorry @mikegalsworthy @SiobhanBenita @MadeleinaKay @snb19692 @SarahLudford @Green…"
33,1.5642818125448806e+18,2022-08-29 16:00:21+00:00,['1564281812544880643'],RT @SkewSmug: Tory MPs who've claimed over £1 million in expenses for rent and utilities over the last 5 years while letting their London p…
34,1.5642817603005317e+18,2022-08-29 16:00:09+00:00,['1564281760300531712'],RT @derekjames150: I hear the #LabourParty is planning to introduce a resolution at next month's party conference to change our undemocrati…
35,1.5642815964458598e+18,2022-08-29 15:59:30+00:00,['1564281596445859840'],"RT @AntiRacismDay: These are the scenes from the @lmhrnational float at #carnival2022 with @NEUnion 🤩

Remember the anti-racist roots of #N…"
36,1.5642815660624325e+18,2022-08-29 15:59:22+00:00,['1564281566062432257'],"RT @BrentPollution: Really nasty pollution incident, Montrose Playing Fields, on the Silk Stream. Has been reported to EA - 2095153. Hope @…"
37,1.564281181759279e+18,2022-08-29 15:57:51+00:00,['1564281181759279106'],RT @patnabatanzi: It's a vibe!! #Carnival2022 https://t.co/FHkufBj3qO
38,1.5642807969696686e+18,2022-08-29 15:56:19+00:00,['1564280796969668611'],RT @Bbmorg: We need leaders who want to make the whole country and it’s people healthier and happier not just the 1% richer.
39,1.5642805570763735e+18,2022-08-29 15:55:22+00:00,['1564280557076373505'],"RT @Feargal_Sharkey: Last Friday morning that was illegal, not any more it’s not."
40,1.5642803457337754e+18,2022-08-29 15:54:32+00:00,['1564280345733775366'],RT @JustTreatment: Thousands of children with #cysticfibrosis are suffering and dying because US company Vertex is charging up to $310k a y…
41,1.564279859588858e+18,2022-08-29 15:52:36+00:00,['1564279859588857857'],RT @BtaD42255016: @MarcelloRuffini 12 Years 12 Years 12 Years 12 Years 12 Years 12 Years 12 Years 12 Years 12 Years 12 Years 12 Years 12 Ye…
42,1.5642789399583457e+18,2022-08-29 15:48:56+00:00,['1564278939958345728'],@ChillaxBcn @northlondonpoly Cloud cuckoo land
43,1.5641818125024788e+18,2022-08-29 09:22:59+00:00,['1564181812502478850'],RT @megs1970: It’s called asset stripping. Putin did it in Russia. The Tories have done it here for decades. Only now is the public seeing…
44,1.5641816750048133e+18,2022-08-29 09:22:27+00:00,['1564181675004813312'],RT @danielgoyal: I get it now. Some of the angry Tory base are becoming aware of just how badly the U.K. has done with Covid and the subseq…
45,1.5641815725170893e+18,2022-08-29 09:22:02+00:00,['1564181572517089280'],RT @louisa_compton: Our #dispatches also reveals that Environment Agency officers are told to ignore calls from the public and not to look…
46,1.5641812555367424e+18,2022-08-29 09:20:47+00:00,['1564181255536742400'],RT @MarinaPurkiss: This absolutely reeks of corruption…
47,1.5641806008225874e+18,2022-08-29 09:18:10+00:00,['1564180600822587400'],"RT @lingardenisle: I love #OurNHS. There  from cradle to grave for all for so long, we sometimes take for granted that it always will be. O…"
48,1.5641802754830008e+18,2022-08-29 09:16:53+00:00,['1564180275483000832'],"RT @doctor_oxford: ""It is simply unacceptable to rewrite history, by blaming scientists, to save a political class that has systematically…"
49,1.5641790022601605e+18,2022-08-29 09:11:49+00:00,['1564179002260160515'],"RT @natalieben: Disastrous development for the health of us all. 

Private health sucks staff and resources from NHS, and relies on our NHS…"
50,1.5641786434878054e+18,2022-08-29 09:10:24+00:00,['1564178643487805441'],RT @Peston: Why is there so little seeming focus in the energy crisis debate about the catastrophe facing small businesses? Significant num…
51,1.5641711641755484e+18,2022-08-29 08:40:41+00:00,['1564171164175548424'],"RT @ChirpyChet: Thank you @PeterStefanovi2 

Doing my bit to get it to 5 million views by May 5th
Please RT and share widely 

#JohnsonOut9…"
52,1.564170948982571e+18,2022-08-29 08:39:49+00:00,['1564170948982571009'],RT @martyn_joseph: Inhumane  https://t.co/CPvLE150wK
53,1.564170889222054e+18,2022-08-29 08:39:35+00:00,['1564170889222053889'],"RT @IDickson258: @liztrussparody @RishiSunak 1. We will soon be witnessing a real increase in young care experienced people, already living…"
54,1.5641707937681654e+18,2022-08-29 08:39:12+00:00,['1564170793768165376'],"RT @Keir_Starmer: Britain’s nuclear test veterans are national heroes.

It’s appalling that they’ve still not had justice after years of ma…"
55,1.5641695831535124e+18,2022-08-29 08:34:24+00:00,['1564169583153512448'],"RT @eiecampaign: NEW: @Survation poll reveals overwhelming support for #EnoughIsEnough campaign demands.

Do you agree with:

- Capping ene…"
