Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,created_at,edit_history_tweet_ids,text,clean_text,non_english
1,1,1,1.5650921073036616e+18,2022-08-31 21:40:11+00:00,['1565092107303661568'],@marc_wintermute @DaveLloyd2000 @Keir_Starmer @JeremyVineOn5 Stop twisting everyone’s words. You’re being ridiculous,    stop twisting everyones words youre being ridiculous,False
2,2,2,1.5650883190919004e+18,2022-08-31 21:25:07+00:00,['1565088319091900425'],"@garydunion @Keir_Starmer @labourpress @JeremyVineOn5 ""Why do we need shareholders in the water, railway, energy, NHS industries, surely it makes sense to have public ownership and plough profits back into these organisations.""",    why do we need shareholders in the water railway energy nhs industries surely it makes sense to have public ownership and plough profits back into these organisations,False
3,3,3,1.5650880865264148e+18,2022-08-31 21:24:12+00:00,['1565088086526414849'],"@marc_wintermute @DaveLloyd2000 @Keir_Starmer @JeremyVineOn5 Why do we need shareholders in the water, railway, energy, NHS industries, surely it makes sense to have public ownership and plough profits back into these organisations.",    why do we need shareholders in the water railway energy nhs industries surely it makes sense to have public ownership and plough profits back into these organisations,False
4,4,4,1.565084842907386e+18,2022-08-31 21:11:19+00:00,['1565084842907385861'],@RMTunion @BernieSanders Fabulous Bernie! Kinda puts Starmer to shame. See you on the next picket line guys x,  fabulous bernie kinda puts starmer to shame see you on the next picket line guys x,False
7,7,7,1.5650675746977587e+18,2022-08-31 20:02:42+00:00,['1565067574697758725'],"Amazing! Bernie Sanders, a politician from the USA supports a UK @RMT strike.
But @Keir_Starmer discourages his own MPs from attending workers industrial action https://t.co/2a2BHhAhgO","amazing bernie sanders a politician from the usa supports a uk  strike
but  discourages his own mps from attending workers industrial action ",False
8,8,8,1.565065798699438e+18,2022-08-31 19:55:38+00:00,['1565065798699438081'],"@bbc5live @Keir_Starmer @NickyAACampbell @BBCSounds @BBCNews @BBCiPlayer Why is he {&amp; shadow health sec Streeting} accepting money from hedge funders, bankers &amp; those who profit from NHS privatisation? 👇👇
https://t.co/pngDXSP7lG","      why is he amp shadow health sec streeting accepting money from hedge funders bankers amp those who profit from nhs privatisation 
",False
9,9,9,1.5650341763735757e+18,2022-08-31 17:49:59+00:00,['1565034176373575686'],@FascistCentre @danielgoyal Malnutrition has long term consequences. No political solutions on the horizon. Even our local food bank was broken into on Monday. People are desperate,  malnutrition has long term consequences no political solutions on the horizon even our local food bank was broken into on monday people are desperate,False
10,10,10,1.5650337444860723e+18,2022-08-31 17:48:16+00:00,['1565033744486072326'],"@danielgoyal My gran, my dad &amp; his siblings spent years in the workhouse. They were fed, had warmth &amp; shelter. Better times", my gran my dad amp his siblings spent years in the workhouse they were fed had warmth amp shelter better times,False
11,11,11,1.5650116480201933e+18,2022-08-31 16:20:28+00:00,['1565011648020193280'],@Julie70627827 I made a bet with myself that he couldn't help himself to not mention it. I won!, i made a bet with myself that he couldn't help himself to not mention it i won,False
12,12,12,1.5650104798225367e+18,2022-08-31 16:15:49+00:00,['1565010479822536705'],@GordonS10273254 @KarlTurnerMP @Keir_Starmer @UKLabour Oh Wow! Another reason not to vote @UKLabour after @ 50 years of voting for no other party. Starmer &amp; those named in the #LabourLeaks have made many politically homeless,    oh wow another reason not to vote  after   years of voting for no other party starmer amp those named in the  have made many politically homeless,False
13,13,13,1.565009266993414e+18,2022-08-31 16:11:00+00:00,['1565009266993414147'],@KarlTurnerMP @Keir_Starmer @UKLabour Why did he join picket lines when he was in the race for LOTO? It takes 1 or 2 hours only out of your day to show your support for workers taking industrial action.,   why did he join picket lines when he was in the race for loto it takes  or  hours only out of your day to show your support for workers taking industrial action,False
14,14,14,1.5649892730441236e+18,2022-08-31 14:51:33+00:00,['1564989273044123653'],"@JeremyVineOn5 @theJeremyVine @Keir_Starmer The utilities need renationalising! This was what he promised before being elected as Labour leader. Now he has U turned! He accepts donations from hedge funders, profiteers etc. His influencers aren't the ordinary people but the mega rich",   the utilities need renationalising this was what he promised before being elected as labour leader now he has u turned he accepts donations from hedge funders profiteers etc his influencers aren't the ordinary people but the mega rich,False
15,15,15,1.5649825347059057e+18,2022-08-31 14:24:46+00:00,['1564982534705905666'],"@jrc1921 That was the most bizarre excuse ever!! The converse is true. Because of the pandemic, it is more essential that services/utilities are nationalised. Mega fail #StarmerOut", that was the most bizarre excuse ever the converse is true because of the pandemic it is more essential that servicesutilities are nationalised mega fail ,False
16,16,16,1.564981506891817e+18,2022-08-31 14:20:41+00:00,['1564981506891816963'],Not even crumbs from the master's table #ToryFascists #ToryCostOfLivingCrisis https://t.co/JupUEdMFtD,not even crumbs from the master's table   ,False
20,20,20,1.564973264765608e+18,2022-08-31 13:47:56+00:00,['1564973264765607937'],What has #Covid got to do with nationalisation?? #StarmerOut #LabourHypocrisy https://t.co/4vE7yNdisP,what has  got to do with nationalisation   ,False
21,21,21,1.5649723254345275e+18,2022-08-31 13:44:12+00:00,['1564972325434527749'],"@MartinSLewis @BrianUkulele My gran, my dad &amp; his siblings spent time in workhouses. They had food, warmth &amp; shelter. Good times",  my gran my dad amp his siblings spent time in workhouses they had food warmth amp shelter good times,False
22,22,22,1.5649716241469112e+18,2022-08-31 13:41:25+00:00,['1564971624146911233'],@OwenJones84 @AnneLindsay7 @EmmaKennedy This version of #LabourParty    will never get my vote. https://t.co/pngDXSP7lG,   this version of     will never get my vote ,False
24,24,24,1.564970534001148e+18,2022-08-31 13:37:05+00:00,['1564970534001147906'],@simonmaginn No renationalising from these 2  https://t.co/pngDXSP7lG, no renationalising from these   ,False
26,26,26,1.5649684781798277e+18,2022-08-31 13:28:55+00:00,['1564968478179827712'],@pepejansz @electrodecay @JeremyVineOn5 @Keir_Starmer @OwenJones84 @theJeremyVine Why resort to insults?,      why resort to insults,False
27,27,27,1.5649668772054958e+18,2022-08-31 13:22:33+00:00,['1564966877205495810'],"@pepejansz @FaultFinderUK @JeremyVineOn5 @Keir_Starmer @OwenJones84 @theJeremyVine Dont need to 'read the room'. I read the #LabourLeaks &amp; was horrified to discover how @UKLabour deliberately enabled a Tory government. After all the effort we put in in 2017/19, we suspected we were being obstructed. That document confirmed it. Never again",      dont need to 'read the room' i read the  amp was horrified to discover how  deliberately enabled a tory government after all the effort we put in in  we suspected we were being obstructed that document confirmed it never again,False
28,28,28,1.5649658765871923e+18,2022-08-31 13:18:35+00:00,['1564965876587192320'],"@patanna @JeremyVineOn5 @lukeakehurst @Keir_Starmer @OwenJones84 @theJeremyVine If you read the #LabourLeaks you'll have a clear understanding of who are the 'Tory Enablers'. I read every page &amp; due to the duplicitous nature of the new regime, will never vote @UKLabour again. There's enough corruption with the Tories without Starmer's rabble",      if you read the  you'll have a clear understanding of who are the 'tory enablers' i read every page amp due to the duplicitous nature of the new regime will never vote  again there's enough corruption with the tories without starmer's rabble,False
29,29,29,1.5648924431321907e+18,2022-08-31 08:26:47+00:00,['1564892443132190720'],@JeremyVineOn5 @Keir_Starmer @theJeremyVine Wow! coming across very badly.,   wow coming across very badly,False
