id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english
1.5642999711423283e+18,2022-08-29 17:12:31+00:00,['1564299971142328320'],"@scotsmike1985 That was much better - can’t blame him for trying the formula again, but it doesn’t work :/",,wa much better cant blame trying formula doesnt work,False
1.5642991241991045e+18,2022-08-29 17:09:09+00:00,['1564299124199104515'],@JustifyMyLee God what a load of shit 🤣,,god load shit,False
1.5642845298834555e+18,2022-08-29 16:11:09+00:00,['1564284529883455494'],@JustifyMyLee It’s shit love 🤗,,shit love,False
1.564213945547776e+18,2022-08-29 11:30:40+00:00,['1564213945547776002'],"@PJA75 Yeah, it’s great that she can do her own thing - but this is not a great comeback.",,yeah great thing great comeback,False
1.5642094654355046e+18,2022-08-29 11:12:52+00:00,['1564209465435504640'],@the_smogs @JackGray93 I taught him that,,taught,False
1.5642082271008113e+18,2022-08-29 11:07:57+00:00,['1564208227100811264'],"@NicwithoutaK83 Exactly, That’s why I’m surprised people are bumming it 🤣",,exactly thats im surprised people bumming,False
1.5642074015611126e+18,2022-08-29 11:04:40+00:00,['1564207401561112580'],@JackGray93 @the_smogs Costa bomb / Costa lotta,,costa bomb costa lotta,False
1.5642072072305582e+18,2022-08-29 11:03:54+00:00,['1564207207230558208'],Do people really like Hold Me Closer? Or only like it because it’s Britney 🤷🏻‍♂️,,people really like hold closer like britney,False
1.564206797224903e+18,2022-08-29 11:02:16+00:00,['1564206797224902659'],@lebontempkid It’s weird cos I’ve never experienced this - whenever I’ve said to hello or been said hello to I’ve always been welcomed / welcoming,,weird co ive never experienced whenever ive said hello said hello ive always welcomed welcoming,False
1.5642033346128937e+18,2022-08-29 10:48:31+00:00,['1564203334612893697'],@djdabes_ I immediately thought of dick but I think that’s wrong,,immediately thought dick think thats wrong,False
1.564203222893568e+18,2022-08-29 10:48:04+00:00,['1564203222893568000'],@djdabes_ Also what’s D-word 👴🏻,,also whats dword,False
1.564203135782064e+18,2022-08-29 10:47:43+00:00,['1564203135782064129'],@djdabes_ Are you courting someone older babes x,,courting someone older babe x,False
1.5641956043010744e+18,2022-08-29 10:17:48+00:00,['1564195604301074434'],@ncl_medic ‘My friends call me Jo’ 😬,,friend call jo,False
1.564183439632384e+18,2022-08-29 09:29:27+00:00,['1564183439632384000'],@djdabes_ Is he not Gucci then love x,,gucci love x,False
1.5639109279127716e+18,2022-08-28 15:26:35+00:00,['1563910927912771585'],"@zecprinceroyal Suppose a woman invites a man back to her place they fool around, she then asks him to leave. By your logic, if he assaults her that’s absolutely fine. 🤦🏻‍♂️",,suppose woman invite man back place fool around asks leave logic assault thats absolutely fine,False
1.5639058830206607e+18,2022-08-28 15:06:33+00:00,['1563905883020660738'],"@zecprinceroyal Nobody ‘wants’ to be sexually assaulted, no matter what the situation.",,nobody want sexually assaulted matter situation,False
1.5639051115791524e+18,2022-08-28 15:03:29+00:00,['1563905111579152385'],@ChrisTreen Love this film 🤗,,love film,False
1.5639048616741192e+18,2022-08-28 15:02:29+00:00,['1563904861674119171'],@harrisonjbrock I loved Welcome to my truth - she was amazing at hoopla 😍,,loved welcome truth wa amazing hoopla,False
1.5639035815682376e+18,2022-08-28 14:57:24+00:00,['1563903581568237568'],Ridiculous! 😡 https://t.co/XbQf4dxNSp,,ridiculous,False
1.5639034871922196e+18,2022-08-28 14:57:01+00:00,['1563903487192219650'],@zecprinceroyal @thetimes Absolutely ridiculous comment,,absolutely ridiculous comment,False
1.5634968320426967e+18,2022-08-27 12:01:07+00:00,['1563496832042696709'],@Joe_363_ Probably fosters too 🤢,,probably foster,False
1.563461270892073e+18,2022-08-27 09:39:49+00:00,['1563461270892072960'],@miggyluv @OctopusEnergy It was £68 when first moving into the house… octopus took over when our company went bust and it’s been rising ever since. It’s a bigger than average house but I still don’t see how it would go up by that much.,,wa first moving house octopus took company went bust rising ever since bigger average house still dont see would go much,False
1.5634583291498414e+18,2022-08-27 09:28:07+00:00,['1563458329149841409'],@OctopusEnergy @miggyluv Mine is quoted as £1200 a month 🫠,,mine quoted month,False
1.5634381993637642e+18,2022-08-27 08:08:08+00:00,['1563438199363764227'],@BRUCETEEL @latimes What the critics are saying… https://t.co/mL00LuPx0M,,critic saying,False
1.5631311497773916e+18,2022-08-26 11:48:02+00:00,['1563131149777391616'],@victoriaehmann Exactly 🗑,,exactly,False
1.5630834721301832e+18,2022-08-26 08:38:35+00:00,['1563083472130183168'],Why does Charli XCX show in the ‘for you’ section when I’ve hidden it 🤷🏻‍♂️,,doe charli xcx show section ive hidden,False
1.563082483205165e+18,2022-08-26 08:34:39+00:00,['1563082483205165057'],Cold cold heart / higher lover were great - it was repetitive shit that came after 😬,,cold cold heart higher lover great wa repetitive shit came,False
1.563082270038102e+18,2022-08-26 08:33:48+00:00,['1563082270038102019'],Elton is going to rinse this formula just like Kygo did.,,elton going rinse formula like kygo,False
1.562862988658217e+18,2022-08-25 18:02:27+00:00,['1562862988658216960'],@_lusotart_ One of my favs. Ever ❤️,,one favs ever,False
1.5628619182680474e+18,2022-08-25 17:58:12+00:00,['1562861918268047360'],@EgglestonMathew Honestly this has wound me up so much. Trying to make us feel bad about the cost of living crisis? Utter cunt,,honestly ha wound much trying make u feel bad cost living crisis utter cunt,False
1.562861104098816e+18,2022-08-25 17:54:58+00:00,['1562861104098816008'],https://t.co/QTncb6ueeT,,,False
1.562860473724203e+18,2022-08-25 17:52:28+00:00,['1562860473724203009'],Are you taking the piss? @BorisJohnson you cannot use the war in Ukraine to ignore the fact that the Tories have been screwing everyone over for 12yrs… 😡 https://t.co/1BWdh3Ui64,,taking piss cannot use war ukraine ignore fact tory screwing everyone yr,False
1.5628588473283584e+18,2022-08-25 17:46:00+00:00,['1562858847328358402'],I absolutely love ‘I will never shop here again’ tweets. Like the stores actually give a shit.  Idiots 🤣 #boycottMarksandSpencer,,absolutely love never shop tweet like store actually give shit idiot,False
1.5625218835303995e+18,2022-08-24 19:27:01+00:00,['1562521883530399749'],Calum Best gets where water can’t https://t.co/VSidt2qrs4,,calum best get water cant,False
1.562418938243334e+18,2022-08-24 12:37:57+00:00,['1562418938243334144'],@GatzReborn That was a good day! X,,wa good day x,False
1.561277081203495e+18,2022-08-21 09:00:37+00:00,['1561277081203494912'],@dyerAndie Like white wine in a soda stream 🫧,,like white wine soda stream,False
1.561276797551104e+18,2022-08-21 08:59:30+00:00,['1561276797551104001'],@NicwithoutaK83 Probably reading too much into things atm,,probably reading much thing atm,False
1.5612767495136297e+18,2022-08-21 08:59:18+00:00,['1561276749513629696'],"@NicwithoutaK83 She’s always been a lap cat, and she will cry for you to stop what you are doing to cuddle. I can’t tell if she’s doing that more or less, has she noticed he’s not here.🤷🏻‍♂️",,shes always lap cat cry stop cuddle cant tell shes le ha noticed,False
1.5612730750895268e+18,2022-08-21 08:44:42+00:00,['1561273075089526789'],Been a few days since Tobi died. I do wonder how this one is doing without her brother 😢 https://t.co/VNZGTQmiDV,,day since tobi died wonder one without brother,False
1.5609266028081316e+18,2022-08-20 09:47:57+00:00,['1560926602808131584'],@NottsCounty1991 @jlmitchell24 @Backpainandwine It’s not a bitch move at all - surely it’s up to those getting married who they invite 🤔,,bitch move surely getting married invite,False
1.5605489462373048e+18,2022-08-19 08:47:17+00:00,['1560548946237304832'],@the_smogs I’ve just started Ted Lasso! V good!,,ive started ted lasso v good,False
1.5605485374144184e+18,2022-08-19 08:45:39+00:00,['1560548537414418432'],@the_smogs Nikki loves that show x,,nikki love show x,False
1.5605196744163082e+18,2022-08-19 06:50:58+00:00,['1560519674416308224'],@gerardolramos Thank you xx,,thank xx,False
1.5605194356639375e+18,2022-08-19 06:50:01+00:00,['1560519435663937537'],@PearsonLyme @DimitheGreat85 Also… check out ‘wanted’ by the dooleys for another late 70’s bop 🕺,,also check wanted dooleys another late bop,False
1.5605181242476954e+18,2022-08-19 06:44:48+00:00,['1560518124247695360'],@PearsonLyme @DimitheGreat85 I love that song 😍,,love song,False
1.5603592022284124e+18,2022-08-18 20:13:18+00:00,['1560359202228412418'],"@Kib_v2 Thanks love, it’s so sudden too - just strange not having him here, he was so vocal too, the house will be a lot quieter now x",,thanks love sudden strange wa vocal house lot quieter x,False
1.5603590680106926e+18,2022-08-18 20:12:46+00:00,['1560359068010692608'],@AbbieWightwick Thanks Abbie ❤️,,thanks abbie,False
1.5601684730992271e+18,2022-08-18 07:35:25+00:00,['1560168473099227136'],@IanMugan That’s lovely x,,thats lovely x,False
1.5601586119256064e+18,2022-08-18 06:56:14+00:00,['1560158611925606401'],"@AnneDel81230567 @AltitudeFilms I enjoyed Anne Frank house - I agree with you in parts, it’s very touristy. But I was moved, especially that video of people talking about her. ‘All Her would haves are our opportunities’ - just makes you think",,enjoyed anne frank house agree part touristy wa moved especially video people talking would opportunity make think,False
1.5601471658209772e+18,2022-08-18 06:10:45+00:00,['1560147165820977159'],Poor little Tobi cat 💔 https://t.co/s3b60Yl1T4,,poor little tobi cat,False
1.5601463045750784e+18,2022-08-18 06:07:19+00:00,['1560146304575078400'],"We lost little Tobi last night - he was such a character, a funny cat, I will miss his ‘hello’ 😢 https://t.co/uSiRvsLBko",,lost little tobi last night wa character funny cat miss hello,False
1.559883252244136e+18,2022-08-17 12:42:03+00:00,['1559883252244135937'],@TheSimonC90 Haha it’s the only station at the hospital that we get a clear signal… that and kiss and I’m too old for that 👴🏻,,haha station hospital get clear signal kiss im old,False
1.55983362827998e+18,2022-08-17 09:24:51+00:00,['1559833628279980032'],"We listen to Smooth radio in work, so a lot of songs that are 30-50 yrs old… I do wonder if one day they’ll play WAP",,listen smooth radio work lot song yr old wonder one day theyll play wap,False
1.5585267329610383e+18,2022-08-13 18:51:43+00:00,['1558526732961038337'],Arrived at Dreamland - waiting for the Sugababes 😍,,arrived dreamland waiting sugababes,False
