id,created_at,edit_history_tweet_ids,text,clean_text,non_english,nouns
1.563532964566184e+18,2022-08-27 14:24:42+00:00,['1563532964566183936'],"@paulmarkkirby @MartinSLewis I’m with EDF for my electricity only (gas with another supplier). I have a smart meter, so readings always accurate, and pay my bill quarterly online. Luckily got a 2 year fix in February but still nearly double the price for the same quarter last year.",edf electricity gas another supplier smart meter reading always accurate pay bill quarterly online luckily got year fix february still nearly double price quarter last year,True,electricity gas meter reading pay bill year fix price quarter year 
1.5628485226798817e+18,2022-08-25 17:04:58+00:00,['1562848522679881729'],@MartinSLewis Can’t answer the poll because I have a gas tariff fix that ends in &lt;6 months and an electric tariff fix that ends in 18 months as I use different suppliers for each. Also do DD for gas and quarterly billing for electric.,cant answer poll gas tariff fix end month electric tariff fix end month use different supplier also gas quarterly billing electric,True,answer poll gas tariff month tariff end month use supplier gas billing 
1.5584059003852718e+18,2022-08-13 10:51:35+00:00,['1558405900385271808'],@drjgreenwood 😢 Sorry for your loss. I’ll miss seeing Oliver on Morning Live ❤️,sorry loss ill miss seeing oliver morning live,True,loss ill morning live 
1.555300269424083e+18,2022-08-04 21:10:54+00:00,['1555300269424082944'],@timspector seems to be a fault on the C-19 app today can’t report. Deleted the app 3 times logged back in but still getting this: https://t.co/WXUZQ21CfA,seems fault app today cant report deleted app time logged back still getting,True,fault app today report time 
1.549700434134274e+18,2022-07-20 10:19:10+00:00,['1549700434134274048'],"@DrAmirKhanGP Been refreshing the birdbath twice a day, always have water out for other animals, plus an extra larger bowl of water out for the foxes and their cubs, which seems to have gone down well. I wish they’d return the gardening gloves they brought back to where they nicked them from.",refreshing birdbath twice day always water animal plus extra larger bowl water fox cub seems gone well wish theyd return gardening glove brought back nicked,True,birdbath day water bowl water fox cub glove 
1.5396732200010097e+18,2022-06-22 18:14:36+00:00,['1539673220001009664'],@MartinSLewis 96 days of electric from beginning of February to beginning of May £229.19 including standing charges and VAT,day electric beginning february beginning may including standing charge vat,True,day beginning charge vat 
1.539670899368108e+18,2022-06-22 18:05:22+00:00,['1539670899368108033'],@MartinSLewis I fixed the EDF electricity rate in February till 2024.,fixed edf electricity rate february till,True,electricity rate till 
1.5396700947579904e+18,2022-06-22 18:02:10+00:00,['1539670094757990402'],@MartinSLewis I get my gas from British Gas on direct debit and my electricity from EDF and pay quarterly online as I don’t always use the same account to pay. Smart meters for both. https://t.co/YOCqmzvCBk,get gas british gas direct debit electricity edf pay quarterly online dont always use account pay smart meter,True,gas gas debit electricity online dont pay smart meter 
1.53844358632858e+18,2022-06-19 08:48:28+00:00,['1538443586328580101'],@akaseano @elevatelabs Or “superfluous” and “redundant” etc.,superfluous redundant etc,True,redundant etc 
1.5384433000336794e+18,2022-06-19 08:47:20+00:00,['1538443300033679361'],@akaseano @ElevateLabs So you don’t need to say “every time” and “always”.,dont need say every time always,True,time 
