id,created_at,edit_history_tweet_ids,text,clean_text,nouns
1.5643203984681615e+18,2022-08-29 18:33:41+00:00,['1564320398468161542'],"Bracing walk up Roseberry topping. Forgot how steep it is in places, but worth it for the spectacular views at the top! https://t.co/Wf1BInBQdt",bracing walk up roseberry topping forgot how steep it is in places but worth it for the spectacular views at the top ,walk roseberry place view
1.563647822364377e+18,2022-08-27 22:01:06+00:00,['1563647822364377089'],Can anyone recommend a private investigator to help look for a missing person who was living in Yorkshire? Asking for a friend..,can anyone recommend a private investigator to help look for a missing person who was living in yorkshire asking for a friend,anyone investigator person yorkshire friend
1.5636051947175117e+18,2022-08-27 19:11:43+00:00,['1563605194717511680'],"@ScottybooSb @WeMHNurses @MarkOneinFour @LeilaSharda Thank you, means a lot! I love the track suit comment! Humour aside, very true about co production and being authentic. I have a few more ideas up my sleeve to explore!",    thank you means a lot i love the track suit comment humour aside very true about co production and being authentic i have a few more ideas up my sleeve to explore,thank track suit comment humour production idea sleeve
1.563604930094842e+18,2022-08-27 19:10:40+00:00,['1563604930094841856'],@LeilaSharda @WeMHNurses @MarkOneinFour @ScottybooSb Thank you Leila. That’s very kind! The landscape has changed so much when I think about how subversive it was to tweet at all when I started out. Going to write some reflections. Look forward to speaking soon 😊,    thank you leila that’s very kind the landscape has changed so much when i think about how subversive it was to tweet at all when i started out going to write some reflections look forward to speaking soon ,thank kind landscape reflection
1.563476744212218e+18,2022-08-27 10:41:18+00:00,['1563476744212217856'],"@_NatashaDevon Oh interesting, Natasha! Is this aimed at young people?", oh interesting natasha is this aimed at young people,natasha people
1.5634502964533207e+18,2022-08-27 08:56:12+00:00,['1563450296453320705'],End of an era signing off and out from @WeMHNurses Will miss working with @MarkOneinFour @ScottybooSb and more recently @LeilaSharda Am reflecting on how much mental health social media has changed over the years.,end of an era signing off and out from  will miss working with   and more recently  am reflecting on how much mental health social media has changed over the years,signing health medium year
1.562167201444012e+18,2022-08-23 19:57:39+00:00,['1562167201444012035'],@ajheadland Nice to see you today! Hope you have a great holiday 😎, nice to see you today hope you have a great holiday ,today holiday
1.5614577499798487e+18,2022-08-21 20:58:32+00:00,['1561457749979848704'],"@Katewales20 Welcome back, Kate. Hope you had a good break :-)", welcome back kate hope you had a good break ,hope break
1.5611411859594158e+18,2022-08-21 00:00:37+00:00,['1561141185959415808'],Second time at the cinema this week. Thinking of getting an annual pass @cineworld https://t.co/cB7edgSI0h,second time at the cinema this week thinking of getting an annual pass  ,time cinema week thinking
1.5604053271322132e+18,2022-08-18 23:16:35+00:00,['1560405327132213249'],Bullet Train is so good. More than a nod to Tarantino. Absolutely crackers https://t.co/ROX8ExyqB2,bullet train is so good more than a nod to tarantino absolutely crackers ,bullet train cracker
1.5603915737870828e+18,2022-08-18 22:21:56+00:00,['1560391573787082753'],@RobBaskind @CodyRigsby @onepeloton I keep meaning to try the strength classes. The yoga is good,   i keep meaning to try the strength classes the yoga is good,meaning strength yoga
1.5603914277917573e+18,2022-08-18 22:21:21+00:00,['1560391427791757312'],@catintosh22 @RobBaskind I prefer neurodiversity. I think it is less deficit based and sounds more inclusive,  i prefer neurodiversity i think it is less deficit based and sounds more inclusive,neurodiversity deficit
1.5603457323218412e+18,2022-08-18 19:19:47+00:00,['1560345732321841153'],"@RobBaskind @CodyRigsby @onepeloton Ah yes, am a bit hit and miss! Just hit my one year anniversary and trying to get back into a routine with it. They are great aren’t they. I do the meditation classes as well",   ah yes am a bit hit and miss just hit my one year anniversary and trying to get back into a routine with it they are great aren’t they i do the meditation classes as well,year anniversary meditation
1.5603046362543557e+18,2022-08-18 16:36:28+00:00,['1560304636254355460'],"#NursesActive Back on peloton today for a low impact ride to ease me back in, followed bu a meditation class. Love @CodyRigsby for motivation!! #onepeloton https://t.co/1oh1DPIIZF", back on peloton today for a low impact ride to ease me back in followed bu a meditation class love  for motivation  ,peloton today impact ride meditation class love motivation
1.5603011220610417e+18,2022-08-18 16:22:31+00:00,['1560301122061041666'],@LizHughesDD @CharlRWalker @WeMHNurses @rcpsychCCQI @RCNMHForum @davidamunday @Unite_MHNA @Rachel_Luby @tiredlegs @ajheadland though probably reflects that female nurses generally only have that insight due to their own lived experience rather than it being part if existing knowledge base,          though probably reflects that female nurses generally only have that insight due to their own lived experience rather than it being part if existing knowledge base,nurse insight experience part knowledge base
1.5603009049430712e+18,2022-08-18 16:21:39+00:00,['1560300904943071233'],@LizHughesDD @CharlRWalker @WeMHNurses @rcpsychCCQI @RCNMHForum @davidamunday @Unite_MHNA @Rachel_Luby @tiredlegs @ajheadland Yes i agree. I have been on HRT for a few years as went through early menopause. I wouldn’t have had that understanding before. It is interesting that it is normalised for a gynaecologist or obstetrician to be male but not usual for a male nurse to have this awareness &gt;,          yes i agree i have been on hrt for a few years as went through early menopause i wouldn’t have had that understanding before it is interesting that it is normalised for a gynaecologist or obstetrician to be male but not usual for a male nurse to have this awareness gt,year menopause gynaecologist nurse awareness
1.5601881370029957e+18,2022-08-18 08:53:33+00:00,['1560188137002995712'],"@LizHughesDD @CharlRWalker @WeMHNurses @rcpsychCCQI @RCNMHForum @davidamunday @Unite_MHNA @Rachel_Luby @tiredlegs I know of examples where individual practitioners are doing work in this area, but I don’t think it happens across the board or is embedded in culture. There is a nurse at HMP Newhall who is doing lots around menopause. She was recently on Davina McCall documentary @ajheadland",         i know of examples where individual practitioners are doing work in this area but i don’t think it happens across the board or is embedded in culture there is a nurse at hmp newhall who is doing lots around menopause she was recently on davina mccall documentary ,example practitioner work area board culture nurse newhall davina mccall
1.5601871104008684e+18,2022-08-18 08:49:28+00:00,['1560187110400868359'],Beyond the Blues: Poet Mary Ruefle’s Stunning Color Spectrum of Sadnesses – The Marginalian &lt; Love this on the different colours of sadness https://t.co/YK5WgU2ql7,beyond the blues poet mary ruefle’s stunning color spectrum of sadnesses  the marginalian lt love this on the different colours of sadness ,blue color spectrum sadness colour sadness
1.56002812693103e+18,2022-08-17 22:17:44+00:00,['1560028126931030016'],@EclairClare @CHydeFamilyLaw @LeanneHPatrick I can’t remember but think I probably did as well. It’s still a very patriarchal system and not at all trauma sensitive,   i can’t remember but think i probably did as well it’s still a very patriarchal system and not at all trauma sensitive,system trauma
1.560027607307002e+18,2022-08-17 22:15:40+00:00,['1560027607307001857'],Listening to OMD. It’s taking me back to when I lived in the nurses home at St James’ Hospital in the early 90’s @judebyrne11 #studentdays Showing my age!!,listening to omd it’s taking me back to when i lived in the nurses home at st james hospital in the early   showing my age,nurse home james hospital
1.559975438444798e+18,2022-08-17 18:48:22+00:00,['1559975438444797961'],"@samabdulla @LizHughesDD @RobBaskind Yes I agree. Obviously a blanket approach isn’t helpful, but when we are talking ADHD with no other learning disability, I feel that it should not sit under the learning disability category",   yes i agree obviously a blanket approach isn’t helpful but when we are talking adhd with no other learning disability i feel that it should not sit under the learning disability category,blanket approach helpful disability learning disability category
1.5599505158905242e+18,2022-08-17 17:09:20+00:00,['1559950515890524160'],I really feel that we need to move away from categorising ADHD as a learning disability. Interested in other thoughts @RobBaskind,i really feel that we need to move away from categorising adhd as a learning disability interested in other thoughts ,adhd disability thought
1.5599500574447247e+18,2022-08-17 17:07:30+00:00,['1559950057444724736'],Great couple of days visiting some of our health in justice services in the south and midlands and talking to lots of staff and patients! Lots of recurring themes around trauma and neuro diversity and good to see progress being made in these areas. Now for the long journey home https://t.co/qoLOy5lBva,great couple of days visiting some of our health in justice services in the south and midlands and talking to lots of staff and patients lots of recurring themes around trauma and neuro diversity and good to see progress being made in these areas now for the long journey home ,couple health justice service south midland staff patient theme trauma diversity progress area journey home
1.5599489179402977e+18,2022-08-17 17:02:59+00:00,['1559948917940297728'],@CHydeFamilyLaw @LeanneHPatrick Important point. I had a 1:1 with a mediator who completed a form to say that mediation was not appropriate,  important point i had a with a mediator who completed a form to say that mediation was not appropriate,point mediator form mediation
1.5587888105861612e+18,2022-08-14 12:13:07+00:00,['1558788810586161152'],"#NursesActive I’ve spent a lot of time this weekend, either in the swimming pool or walking by the river. So good for the mind and soul! Lucky to live in York where it is all so accessible. https://t.co/v3HwGvZMKm", i’ve spent a lot of time this weekend either in the swimming pool or walking by the river so good for the mind and soul lucky to live in york where it is all so accessible ,time weekend swimming pool walking river mind soul york
1.558547609316475e+18,2022-08-13 20:14:41+00:00,['1558547609316474880'],@Michaelabooth7 @SimonRitchie8 You must!! A reward for the dissertation slog! I’d treat you if you were in York,  you must a reward for the dissertation slog i’d treat you if you were in york,reward dissertation slog treat york
1.5584806644371825e+18,2022-08-13 15:48:40+00:00,['1558480664437182465'],@AnneCooke14 @DrSdeG I’ll put it on my list. Think i’ll start with Notes from a small island then,  i’ll put it on my list think i’ll start with notes from a small island then,list start note island
1.558480368117973e+18,2022-08-13 15:47:29+00:00,['1558480368117972993'],@AnneCooke14 I like his style of writing. Not sure why i haven’t read any of his books before!, i like his style of writing not sure why i haven’t read any of his books before,style book
1.5584788030385723e+18,2022-08-13 15:41:16+00:00,['1558478803038572551'],"A lovely spot in York for coffee and cake. So relaxing, sat watching the boats go by 🙏 https://t.co/GEpw3QALOS",a lovely spot in york for coffee and cake so relaxing sat watching the boats go by  ,spot york coffee boat
1.5583810381324206e+18,2022-08-13 09:12:47+00:00,['1558381038132420610'],Loving this book. First time I’ve read a Bill Bryson. Such an interesting read about what we know and don’t know ( but think we know) about who Shakespeare was https://t.co/USlaWzGEXl,loving this book first time i’ve read a bill bryson such an interesting read about what we know and don’t know  but think we know about who shakespeare was ,book time bill bryson read shakespeare
1.5582214426549002e+18,2022-08-12 22:38:36+00:00,['1558221442654900226'],Late night swim #nursesactive https://t.co/H5y6KZkmFy,late night swim  ,night swim
1.5574847686101893e+18,2022-08-10 21:51:20+00:00,['1557484768610189312'],"Lovely late night swim this evening after work. Couldn’t be bothered, but so glad I made the effort! #NursesActive https://t.co/KbfTS43ww5",lovely late night swim this evening after work couldn’t be bothered but so glad i made the effort  ,night swim evening work effort
1.557411046394151e+18,2022-08-10 16:58:23+00:00,['1557411046394150912'],@Michaelabooth7 Thanks Michaela. That’s made my day and the feeling is mutual ❤️, thanks michaela that’s made my day and the feeling is mutual ,thanks feeling
1.5570998577263002e+18,2022-08-09 20:21:50+00:00,['1557099857726300161'],"@Michaelabooth7 @Becca_Bev Ha, lets cook up a plan! Let me know when you are free",  ha lets cook up a plan let me know when you are free,plan
1.5570991793438392e+18,2022-08-09 20:19:08+00:00,['1557099179343839232'],@Michaelabooth7 @Becca_Bev The PH work also on my agenda this week 😉,  the ph work also on my agenda this week ,work agenda week
1.557099052654895e+18,2022-08-09 20:18:38+00:00,['1557099052654895104'],@Michaelabooth7 @Becca_Bev Yes tomorrow?,  yes tomorrow,tomorrow
1.5570885442707128e+18,2022-08-09 19:36:52+00:00,['1557088544270712832'],"Had an amazing week off with my family in Cornwall. Recharged and raring to go tomorrow. Lots going on with suicide prevention work tomorrow excited that @Becca_Bev will be joining us on a placement , working with me on the development of our suicide prevention strategy. https://t.co/xBG3SRzh7Y",had an amazing week off with my family in cornwall recharged and raring to go tomorrow lots going on with suicide prevention work tomorrow excited that  will be joining us on a placement  working with me on the development of our suicide prevention strategy ,week family cornwall tomorrow prevention work tomorrow placement development prevention strategy
1.557085955336577e+18,2022-08-09 19:26:35+00:00,['1557085955336577026'],"Looking forward to our next @WeMHNurses twitter chat organised by @LeilaSharda , when we will be talking about when niceness becomes toxic with @debraejackson. Date to follow soon! https://t.co/Vqn9o58Vh6",looking forward to our next  twitter chat organised by   when we will be talking about when niceness becomes toxic with  date to follow soon ,twitter becomes date
1.5569550937438372e+18,2022-08-09 10:46:35+00:00,['1556955093743837187'],@UKCoachleader @NHSProviders @johnwalsh88 @NHSLeader @NHSLeadership Congratulations Beverley. You’re an inspiration. Good to read 🌻,     congratulations beverley you’re an inspiration good to read ,congratulation inspiration
1.5569215951003853e+18,2022-08-09 08:33:29+00:00,['1556921595100385281'],"Jesus Moreno, age 41 missing from his home in Yorkshire since August 2nd. Jesus is a friend of a friend’s. Please share #Leeds #Harrogate https://t.co/oWqaVT5Kjk",jesus moreno age missing from his home in yorkshire since august jesus is a friend of a friends please share   ,jesus moreno home yorkshire august jesus friend friend share
1.5568986523496776e+18,2022-08-09 07:02:19+00:00,['1556898652349677569'],@Katewales20 @WeMHNurses Yes agree. Really interesting to see this being articulated in an article. Not something you hear people talk about though very real,  yes agree really interesting to see this being articulated in an article not something you hear people talk about though very real,article something people
1.5567624318834606e+18,2022-08-08 22:01:01+00:00,['1556762431883460611'],Oh this is very interesting. Agree that niceness culture can be used to silence people. Is also evident at times with online nursing culture. Interested to know what others think. Maybe a future @WeMHNurses twitter chat https://t.co/Vqn9o58Vh6,oh this is very interesting agree that niceness culture can be used to silence people is also evident at times with online nursing culture interested to know what others think maybe a future  twitter chat ,agree culture people time nursing culture others future twitter
1.5560352231958856e+18,2022-08-06 21:51:21+00:00,['1556035223195885570'],"Day 5 of #nursesactive mostly driving back from Cornwall, but had a swim at hotel and walk round Stratford upon Avon tonight https://t.co/k3IRwKWts0",day of  mostly driving back from cornwall but had a swim at hotel and walk round stratford upon avon tonight ,cornwall swim hotel walk round stratford tonight
1.555908764116697e+18,2022-08-06 13:28:51+00:00,['1555908764116697090'],@KirtonRanjit Excuse typo *Ranjit, excuse typo ranjit,excuse typo ranjit
1.5556590614834217e+18,2022-08-05 20:56:37+00:00,['1555659061483421696'],Rewarded with a lovely sunset for our last night in Cornwall. Have so loved this week away. #Cornwall is such a special place ✨ https://t.co/16yXs0UkWG,rewarded with a lovely sunset for our last night in cornwall have so loved this week away  is such a special place  ,sunset night cornwall week place
1.555657084712194e+18,2022-08-05 20:48:46+00:00,['1555657084712194049'],Just saw an NHS worker in a pizza shop in Cornwall- recognisable by lanyard. So wanted to go up to her and ask her about working in Cornwall as I would directly on twitter. Reminded myself that we are strangers though always feels like we are part of one #NHS family,just saw an nhs worker in a pizza shop in cornwall recognisable by lanyard so wanted to go up to her and ask her about working in cornwall as i would directly on twitter reminded myself that we are strangers though always feels like we are part of one  family,worker pizza shop cornwall lanyard cornwall twitter stranger feel part family
1.5556169925136916e+18,2022-08-05 18:09:27+00:00,['1555616992513691650'],Booked myself onto @DoWhatYouLoveXx Summer online writing course. 30 mins a day is just what i need to get myself back into my daily practice routine. Looking forward to it!,booked myself onto  summer online writing course mins a day is just what i need to get myself back into my daily practice routine looking forward to it,summer online course practice routine
1.5556145546416292e+18,2022-08-05 17:59:46+00:00,['1555614554641629186'],"@Katewales20 @KirtonRanjit @FoNScharity @TRClinPsych Ok, looks like we have a meeting on the 11th. Are you away then?",    ok looks like we have a meeting on the are you away then,look meeting
1.555612149719892e+18,2022-08-05 17:50:13+00:00,['1555612149719891968'],"@KirtonRanjit @Katewales20 @FoNScharity @TRClinPsych Ok, i can sort that when i get back next week. Look forward to it",    ok i can sort that when i get back next week look forward to it,week
1.555611503377744e+18,2022-08-05 17:47:38+00:00,['1555611503377743875'],@KirtonRanjit @Katewales20 @FoNScharity Have we got something booked in as a follow up? @TRClinPsych,   have we got something booked in as a follow up ,something follow
1.5556113354461716e+18,2022-08-05 17:46:58+00:00,['1555611335446171650'],"Another busy day, getting plenty of steps in again for #nursesactive and surfing lesson for my youngest #familiesactive #porthmeorbeach Will be sad to leave Cornwall tomorrow but feeling recharged and creative after a good rest. https://t.co/PULAOslI8R",another busy day getting plenty of steps in again for  and surfing lesson for my youngest   will be sad to leave cornwall tomorrow but feeling recharged and creative after a good rest ,plenty step lesson cornwall tomorrow rest
