Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,created_at,edit_history_tweet_ids,text,clean_text,non_english,whitespace
0,0,0,1.5650786166853796e+18,2022-08-31 20:46:34+00:00,['1565078616685379584'],@JasonMacDowell @Furrysponge1973 @davidjtansey Well what is his family going to use to eat or pay for kids lunches etc for the next month,   well what is his family going to use to eat or pay for kids lunches etc for the next month,True,False
1,1,1,1.565077746329555e+18,2022-08-31 20:43:07+00:00,['1565077746329554945'],@drummanyspirit Brilliant event. See u next year. Fabulous weather too., brilliant event see u next year fabulous weather too,True,False
10,10,10,1.5638393362060124e+18,2022-08-28 10:42:07+00:00,['1563839336206012418'],@OBroinG @theoleary @colmflynnire @Enterprise Oh they had but we’re going to miss flight to return to NZ. Got absolutely no joy online or twitter. Just disgraceful,    oh they had but we’re going to miss flight to return to nz got absolutely no joy online or twitter just disgraceful,True,False
11,11,11,1.5638326111848243e+18,2022-08-28 10:15:23+00:00,['1563832611184824320'],@theoleary @colmflynnire @Enterprise @enterprisecares is the car rental company.,    is the car rental company,True,False
12,12,12,1.5638283200762675e+18,2022-08-28 09:58:20+00:00,['1563828320076267521'],@theoleary @colmflynnire Or @Enterprise car rental in Dublin airport. Charged my family for imaginary damage and never resolved it in 2019,  or  car rental in dublin airport charged my family for imaginary damage and never resolved it in 2019,True,False
14,14,14,1.5635902733802086e+18,2022-08-27 18:12:25+00:00,['1563590273380208641'],@Equateall @lalapetes @elisaperego78 @BregmanPs I stayed on aspirin for months,    i stayed on aspirin for months,True,False
15,15,15,1.5635901973755494e+18,2022-08-27 18:12:07+00:00,['1563590197375549442'],@lalapetes @Equateall @elisaperego78 @BregmanPs U poor thing.,    u poor thing,True,False
16,16,16,1.5635442800899195e+18,2022-08-27 15:09:40+00:00,['1563544280089919490'],@Equateall @lalapetes @elisaperego78 @BregmanPs Hardly anyone has had clot removed surgically because these are micro clots. It would be far too dangerous to remove them. Mictoclots are too small to remove,    hardly anyone has had clot removed surgically because these are micro clots it would be far too dangerous to remove them mictoclots are too small to remove,True,False
18,18,18,1.5635418596829143e+18,2022-08-27 15:00:03+00:00,['1563541859682914305'],@pavcolorectal65 @VishalDavidMas1 @EmieMoose Patients are suffering anyway but to think the doctors mind sing them remain unpaid makes u wonder what country they are in?,   patients are suffering anyway but to think the doctors mind sing them remain unpaid makes u wonder what country they are in,True,False
19,19,19,1.5635414724060242e+18,2022-08-27 14:58:30+00:00,['1563541472406024194'],@drummanyspirit what an amazing venue and line up here in the beautiful county of Cavan. Congratulations, what an amazing venue and line up here in the beautiful county of cavan congratulations,True,False
22,22,22,1.563284574540419e+18,2022-08-26 21:57:41+00:00,['1563284574540419073'],@DeborahCurran Irish people won’t tho., irish people won’t tho,True,False
23,23,23,1.5632654373828772e+18,2022-08-26 20:41:38+00:00,['1563265437382877184'],@Pjdoyle @AddressingLife @MichealMartinTD @ProfoundIreland We have generators,    we have generators,True,False
24,24,24,1.563263934672806e+18,2022-08-26 20:35:40+00:00,['1563263934672805891'],@DeborahCurran The greed is unreal. Then they rent it out on the weekend, the greed is unreal then they rent it out on the weekend,True,False
25,25,25,1.5631909301566996e+18,2022-08-26 15:45:35+00:00,['1563190930156699650'],@kfinmccarthy It’s hard to know what to be with your patients and I suppose gauge it as u normally do., it’s hard to know what to be with your patients and i suppose gauge it as u normally do,True,False
26,26,26,1.5631712071673528e+18,2022-08-26 14:27:12+00:00,['1563171207167352834'],@kfinmccarthy Weren’t u just gorgeous!, weren’t u just gorgeous,True,False
27,27,27,1.563169462949331e+18,2022-08-26 14:20:16+00:00,['1563169462949330944'],@ashleyrich @JamesTMaw Nice guy,  nice guy,True,False
29,29,29,1.563168624743166e+18,2022-08-26 14:16:57+00:00,['1563168624743165958'],@oldman_rogers @martenIRL I thought so too but no! Maybe next year,  i thought so too but no maybe next year,True,False
