id,created_at,edit_history_tweet_ids,text,withheld,clean_text
1.564248152693248e+18,2022-08-29 13:46:36+00:00,['1564248152693248006'],@DirtyLeeds1969 Dad feels the same. He’s never taken to him felt it was a waste of money. Never known dad to dislike a player so much.,,dad feel never taken felt waste money never known dad dislike player much
1.5639815228264038e+18,2022-08-28 20:07:07+00:00,['1563981522826403841'],@ElnaM92749637 Can see you’re doing some in Herefordshire. If you’re doing any in the Forest of Dean just down the road let me know if I can do anything to help x,,see youre herefordshire youre forest dean road let know anything help
1.56364030689305e+18,2022-08-27 21:31:14+00:00,['1563640306893049857'],"@fatterpenguin Cheap, cheap, cheap?",,cheap cheap cheap
1.563053841171755e+18,2022-08-26 06:40:50+00:00,['1563053841171755009'],Maybe now people will realise that @ofgem are not willing to/not here to protect the public and have no interest in protecting the public from rising prices. They’re in it with the electric companies. #Ofgem,,maybe people realise willing tonot protect public interest protecting public rising price theyre electric company
1.5619928180500808e+18,2022-08-23 08:24:42+00:00,['1561992818050080769'],@DailyMirror As predicted she's really going to milk this not helped by the mirror 'shocking assault' jeez don't ever go outside you'll be shocked by what you see. Pathetic reporting and pathetic by the mother.,,predicted really going milk helped mirror 'shocking assault' jeez ever outside shocked see pathetic reporting pathetic mother
1.5613638957004104e+18,2022-08-21 14:45:36+00:00,['1561363895700410369'],The second best place today to watch the game was definitely this bar in London 😂🤣😂🤣 #leeds #lufc #LeedsUnited #alaw #mot,,second best place today watch game definitely bar london
1.5612758387878912e+18,2022-08-21 08:55:41+00:00,['1561275838787891201'],@TonyP146 @GWRHelp 😂 no harm in being third best behind Bristol and Yorkshire 😂,,harm third best behind bristol yorkshire
1.5612733303171072e+18,2022-08-21 08:45:43+00:00,['1561273330317107201'],@TonyP146 @GWRHelp Train manager a Yorkshire man too it just gets better 😂,,train manager yorkshire man get better
1.5612663780232397e+18,2022-08-21 08:18:06+00:00,['1561266378023239681'],@GWRHelp I’m going to try it again so who knows I may be a convert. Praise to her and the train manager who I understand shouldn’t be on this one but stepped in so we could run as our TM was delayed. You’re all ok you know 😃,,going try know may convert praise train manager understand shouldnt one stepped could run delayed youre know
1.561265953152942e+18,2022-08-21 08:16:24+00:00,['1561265953152942080'],@StoolFootball @wcheung_uk,,
1.561265740312871e+18,2022-08-21 08:15:34+00:00,['1561265740312870915'],@GWRHelp 😂 yep coffee girl here. She offered me coffee or tea. I made a face at tea so she offered to make one for me to try. Never fancied one before. She’s great and you’ve got a star here working for you!,,yep coffee girl offered coffee tea made face tea offered make one try never fancied one shes great youve got star working
1.5612646253033062e+18,2022-08-21 08:11:08+00:00,['1561264625303306240'],@GWRHelp Karenna (?) In particular is great and very warm and friendly. If you tell her she makes a great cup of tea she’ll know what I mean 🤣 my first cup of tea EVER!,,karenna particular great warm friendly tell make great cup tea shell know mean first cup tea ever
1.5612604308484096e+18,2022-08-21 07:54:28+00:00,['1561260430848409604'],@GWRHelp your 0835 crew from BPW to PADDare fantastic especially the ladies in first class!!,,crew bpw paddare fantastic especially lady first class
1.5612561398027796e+18,2022-08-21 07:37:25+00:00,['1561256139802779648'],@JoinRejoinEU I would ask @Mark_J_Harper who has the River Seven run right through his constituency but there’s no photo op so he won’t reply or care.,,would ask river seven run right constituency photo wont reply care
1.5612553829908562e+18,2022-08-21 07:34:24+00:00,['1561255382990856192'],I love the first day after a rail strike. Quiet first train out of Bristol and carriage to myself…right by the coffee 😂 https://t.co/YpOJqf1ezY,,love first day rail strike quiet first train bristol carriage myselfright coffee
1.5612547779206597e+18,2022-08-21 07:32:00+00:00,['1561254777920659458'],"@networkrailwest Ahh memories. I was 15 on my pony, barrier moved slightly in wind. Pony said no wtf. I fell off broke every bone in my right wrist. That would be the barrier we rode past twice a day 😂 always think of it when I drive past.",,ahh memory pony barrier moved slightly wind pony said wtf fell broke every bone right wrist would barrier rode past twice day always think drive past
1.5607476045769728e+18,2022-08-19 21:56:40+00:00,['1560747604576972800'],"@grizzthe111 @tix2tottenham @HotspurTickets Yeah it's a scam says the man trying to pay via paypal  - so you'll pay then claim you never got them, claim your ££ back and sale them on. https://t.co/YYFX2VGS5f",,yeah scam say man trying pay via paypal pay claim never got claim back sale
1.560746502905303e+18,2022-08-19 21:52:18+00:00,['1560746502905303041'],@tix2tottenham @grizzthe111 @HotspurTickets ha I'm a Leeds fan so I have no clue about your ground at all! I've just been roped in to do him a favour!,,i'm leeds fan clue ground i've roped favour
1.5607448323559342e+18,2022-08-19 21:45:39+00:00,['1560744832355934210'],@grizzthe111 @HotspurTickets @tix2tottenham no sorry he's said bank transfer only,,sorry he's said bank transfer
1.560742895258411e+18,2022-08-19 21:37:58+00:00,['1560742895258411010'],@grizzthe111 @HotspurTickets @tix2tottenham done - they are £100 a ticket though,,done ticket though
1.56074149856793e+18,2022-08-19 21:32:25+00:00,['1560741498567929856'],My boss has 2 tickets for sale for #Tottenham #spurs #hotspur #tottenhamhotspur against Wolves - up in the gods - but he can't now go. They can be emailed over to you asap after payment. @HotspurTickets @tix2tottenham,,bos ticket sale wolf god can't emailed asap payment
1.5594881999526625e+18,2022-08-16 10:32:15+00:00,['1559488199952662528'],"@BBCNews Should stop using his phone whilst driving, and stop when requested to by the police then. BBC showing their hatred towards the Met again. So glad I don't fund this vile organisation anymore.",,stop using phone whilst driving stop requested police bbc showing hatred towards met glad fund vile organisation anymore
1.5590719091988398e+18,2022-08-15 06:58:03+00:00,['1559071909198839811'],@nationalrailenq Think you mean #Yate ;-),,think mean
1.558213546814722e+18,2022-08-12 22:07:14+00:00,['1558213546814722051'],@itsginajones Does it have to be Bristol? There’s a lovely Italian in Chepstow. They have an outdoor area that overlooks the River Wye and you could see seals and Peregrine Falcons,,doe bristol lovely italian chepstow outdoor area overlook river wye could see seal peregrine falcon
1.5581101830956728e+18,2022-08-12 15:16:30+00:00,['1558110183095672832'],@traceyb78 Loved this programme! Found it on the firestick the other day and said when the weather changes I'll watch it again from the beginning. I can remember the dancing baby being talked about so much!,,loved programme found firestick day said weather change i'll watch beginning remember dancing baby talked much
