,id,created_at,edit_history_tweet_ids,text,withheld
0,1.56401876433254e+18,2022-08-28 22:35:06+00:00,['1564018764332539910'],@kerrycakesl @GoodLawProject @ofgem No worries. Thanks for trying,
1,1.5639917454902927e+18,2022-08-28 20:47:44+00:00,['1563991745490292738'],"I've added my name to @GoodLawProject's petition telling @Ofgem they need to do more to protect customers as energy prices soar. 

Will you add yours too? Please sign",
2,1.5617386590528965e+18,2022-08-22 15:34:46+00:00,['1561738659052896257'],"RT @BBCLauraKT: BREAKING: Historians have confirmed that if inflation hits the expected 18.6% in January, it will become morally acceptable…",
3,1.5598131993855672e+18,2022-08-17 08:03:41+00:00,['1559813199385567233'],"RT @CountBinface: He’s not just a terrible Prime Minister.
He’s a terrible man too. https://t.co/0gmfj2W81I",
4,1.559813049309139e+18,2022-08-17 08:03:05+00:00,['1559813049309138944'],RT @lisanandy: It takes some brass neck to say British workers need “more graft” when you’ve served in a government that hasn’t done its da…,
5,1.5563385390418985e+18,2022-08-07 17:56:37+00:00,['1556338539041898505'],RT @PeterStefanovi2: Has this been reported anywhere today? Have I missed it?,
6,1.5538296236365742e+18,2022-07-31 19:47:05+00:00,['1553829623636574211'],RT @BBCLauraKT: It's amazing how the Metropolitan Police can arrest a woman for heading to a peaceful protest so much quicker than they can…,
7,1.5525330028314665e+18,2022-07-28 05:54:47+00:00,['1552533002831466498'],I just signed the petition on @organisehq to protect our right to strike. Will you add your name? https://t.co/MwPfoeViiG,
8,1.55208609945079e+18,2022-07-27 00:18:57+00:00,['1552086099450789888'],The government is trying to push through a new law to let companies hire temporary staff to cover during strikes. This would undermine our right to strike and pose big safety risks - sign the petition to stop this happening: https://t.co/AqOnWttc2h,
9,1.5495460870353756e+18,2022-07-20 00:05:50+00:00,['1549546087035375618'],RT @helenmallam: London’s burning.  When Mayor Boris Johnson was challenged about his ten fire station closures he told Labour Assembly lea…,
10,1.5474949361650893e+18,2022-07-14 08:15:18+00:00,['1547494936165089281'],RT @BBCFLauraKT: BREAKING: Boris Johnson's press officer has threatened legal action if you suggest he travelled with a Russian violinist t…,
11,1.5462024871238533e+18,2022-07-10 18:39:34+00:00,['1546202487123853312'],RT @djm197401: @jessphillips This you https://t.co/GMGcYZNwYG,
12,1.5425856942327398e+18,2022-06-30 19:07:44+00:00,['1542585694232739841'],"RT @BBCFLauraKT: BREAKING: The royal family is getting a ""£30 million bonus"" from you, the tax payer, in a year when they've paid off a rap…",
13,1.5422428929573356e+18,2022-06-29 20:25:33+00:00,['1542242892957335553'],RT @D_Raval: Imagine if we had to deal with a major emergency on the rail system like a 7/7 attack and there were no ticket office staff th…,
14,1.5422428180135035e+18,2022-06-29 20:25:15+00:00,['1542242818013503489'],RT @DeborahMeaden: Today we slipped further away from Democracy and further into Darkness..and we did it quietly with little or no protest.,
15,1.5422427355911455e+18,2022-06-29 20:24:56+00:00,['1542242735591145472'],"RT @PippaCrerar: Full story on Met Police for ""not properly investigating"" Boris Johnson over Downing Street lockdown parties 👇
https://t.c…",
16,1.5422426135579525e+18,2022-06-29 20:24:27+00:00,['1542242613557952513'],RT @BrokenBarnet: How many other unpublicised stories are there like this? How many more will there be next winter?,
17,1.5422425326204682e+18,2022-06-29 20:24:07+00:00,['1542242532620468227'],"RT @ronanburtenshaw: The stories behind these strikes are beyond mental.

BT denies that it has a foodbank for its workers, calling it a ‘c…",
18,1.542242211265405e+18,2022-06-29 20:22:51+00:00,['1542242211265404929'],"RT @simonmaginn: Hazarika of course is one of the scammers who constructed the 'antisemitism crisis'.
Now she's defending Starmer's wholesa…",
19,1.541001120444719e+18,2022-06-26 10:11:12+00:00,['1541001120444719105'],"RT @TomLondon6: Thing is, it was obvious BEFORE the last election that Johnson was a LIAR with contempt for the Rule of Law

And YET many o…",
20,1.541000952110633e+18,2022-06-26 10:10:32+00:00,['1541000952110632961'],"RT @eastnitty: @PoliticsJOE_UK @glastonbury The ‘King of the North’ was a former chair of Labour Friends of Apartheid Israel, voted for the…",
21,1.5407451424827515e+18,2022-06-25 17:14:02+00:00,['1540745142482751489'],RT @davjam8: I can't look at Boris Johnson without thinking of the dirty rotten bastards masquerading as Labour MPs who destroyed their own…,
22,1.540744975368876e+18,2022-06-25 17:13:22+00:00,['1540744975368876035'],"RT @PeterStefanovi2: Someone, anyone, please tell this cretin IT’S NOT A TRAIN DRIVERS STRIKE",
23,1.540484101542744e+18,2022-06-24 23:56:45+00:00,['1540484101542744065'],"RT @davjam8: @Keir_Starmer @simonlightwood Petrol £2 ltr
Electric and gas sky rocketing 
Some of the highest covid death rates in the world…",
24,1.5401207031980196e+18,2022-06-23 23:52:44+00:00,['1540120703198019589'],"RT @EleanorMorton: Ok I am gonna stop tweeting about it, but the media are going to try and turn Mike Lynch into a hate figure, and it's go…",
25,1.5400805373642998e+18,2022-06-23 21:13:08+00:00,['1540080537364299777'],"RT @helenski7: I'm loving how #MickLynch and #KevinCourtney are not only pushing the case for their own members, but are also generalising…",
26,1.5400804832200008e+18,2022-06-23 21:12:55+00:00,['1540080483220000769'],RT @JasonManford: Wow! Who is this brilliant person? Absolutely nails the argument for unions. So pleased I saw this.,
27,1.5400799005599212e+18,2022-06-23 21:10:36+00:00,['1540079900559921155'],RT @nickh1877: @RMTunion I propose #MickLynch for PM. We need someone with integrity to run the country. https://t.co/wSPA63uQUS,
28,1.540044918781055e+18,2022-06-23 18:51:35+00:00,['1540044918781054978'],"RT @anabl18: @BBCFLauraKT @robinthemint A mere detail: these workers don’t get paid for these shifts, PM, as far as I know, doesn’t go unpa…",
29,1.5400448731093074e+18,2022-06-23 18:51:25+00:00,['1540044873109307396'],RT @BBCFLauraKT: BREAKING: Prime minister who skipped five Cobra meetings during a national crisis is extremely angry that rail workers hav…,
