,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at
13704,13704,13704,13704,98419,project watch center,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,PROJECT WATCH: ACE Medical Center as of May 2020 | https://t.co/7Jwx40Zg4I ⁦@jyrillpielago⁩ https://t.co/Ohm7c5ecXc,project watch ace medical center as of may    ,2020-05-11 00:07:57+00:00
13705,13705,13705,13705,98418,gyud loide announce pina thrilling,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.6097188296544854,False,@loidetim2 Wla may change gyud loide.. nag announce pa pina thrilling at 7pm.., wla may change gyud loide nag announce pa pina thrilling at,2020-05-11 00:13:39+00:00
13706,13706,13706,13706,104029,family,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,@SarahJane48 We all genuinely appreciate you all being here to allow us and our family to have stayed safe. We will miss you! 💕, we all genuinely appreciate you all being here to allow us and our family to have stayed safe we will miss you ,2020-05-11 05:09:16+00:00
13707,13707,13707,13707,104028,christmas home today,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,It feels like Christmas! I’m going home today ❤️❤️❤️❤️ https://t.co/5Vw93iA426,it feels like christmas i’m going home today  ,2020-05-11 05:10:28+00:00
13708,13708,13708,13708,89609,announcement people house family latter safer park limit contact alert,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.5588008846394855,False,Woke up still reeling about last night’s ‘announcement’. Why can people go to work but not to the houses of their family? Of which the latter is likely ‘safer’. Who can you meet in the park? Is it only if it’s sunny? Limit contact. Open to interpretation. Whatever. Alert.,woke up still reeling about last night’s announcement why can people go to work but not to the houses of their family of which the latter is likely safer who can you meet in the park is it only if it’s sunny limit contact open to interpretation whatever alert,2020-05-11 06:26:32+00:00
13709,13709,13709,13709,121600,heidi advice confusion today people,1,1_thank_enjoy_brilliant_support,thank - enjoy - brilliant - support - thankyou - whoop - jackie - yeah - thanks - help,1.0,False,@hpeder I don’t know Heidi. But I wish he’d get better advice. There will be a lot of confusion today for people 😞, i don’t know heidi but i wish he’d get better advice there will be a lot of confusion today for people ,2020-05-11 06:43:13+00:00
13710,13710,13710,13710,121599,sense,1,1_thank_enjoy_brilliant_support,thank - enjoy - brilliant - support - thankyou - whoop - jackie - yeah - thanks - help,0.8626797728104747,True,@AthanasiaTrian1 😂😂 would have made more sense if he was 😂😂,  would have made more sense if he was ,2020-05-11 06:43:48+00:00
13711,13711,13711,13711,121598,anyone confusion today,1,1_thank_enjoy_brilliant_support,thank - enjoy - brilliant - support - thankyou - whoop - jackie - yeah - thanks - help,0.2662216065054842,False,@AthanasiaTrian1 @edie_rische Neither could anyone else. There will be a lot of confusion today.,  neither could anyone else there will be a lot of confusion today,2020-05-11 06:44:22+00:00
13712,13712,13712,13712,66455,wait,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0649253236652013,True,Laying here awake thinking about how I can’t wait to be included on Mother’s Day 😭😭😭,laying here awake thinking about how i can’t wait to be included on mother’s day ,2020-05-11 06:56:07+00:00
13713,13713,13713,13713,66454,thread,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@WhySharksMatter @chrissyteigen @ImSarahRice I feel like you would LIVE for this thread @braincandypod,   i feel like you would live for this thread ,2020-05-11 07:08:11+00:00
13714,13714,13714,13714,13405,video cost baby moment restriction update system family baby home support,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"Remote video costs £24.72 per day for the nnu, or 62p per day per baby. At the moment, with lockdown restrictions, the virtual update system is enabling families to check on their baby at the nnu when they are at home. Support by donating via Justgiving https://t.co/Jq7pYdbzNN https://t.co/dmfvF9xvob",remote video costs  per day for the nnu or per day per baby at the moment with lockdown restrictions the virtual update system is enabling families to check on their baby at the nnu when they are at home support by donating via justgiving  ,2020-05-11 08:11:50+00:00
13715,13715,13715,13715,89608,morning mile today resistance band swim thing,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,Morning miles. Tired legs today. Off to do some resistance band swim drill things now... https://t.co/E2BgjyUq99,morning miles tired legs today off to do some resistance band swim drill things now ,2020-05-11 08:26:48+00:00
13716,13716,13716,13716,10457,calder france isolation virus programme,1,1_thank_enjoy_brilliant_support,thank - enjoy - brilliant - support - thankyou - whoop - jackie - yeah - thanks - help,1.0,False,"@MichAckerley @hcuklive @SimonCalder @BBCOne Very irresponsible of Simon Calder to promote France as a way back into the UK to avoid self isolation (quarantining) when returning from holiday. Let’s just spread the virus more. I’m so disappointed you allowed this to be aired, otherwise I enjoy watching the programme.",    very irresponsible of simon calder to promote france as a way back into the uk to avoid self isolation quarantining when returning from holiday let’s just spread the virus more i’m so disappointed you allowed this to be aired otherwise i enjoy watching the programme,2020-05-11 09:47:44+00:00
13717,13717,13717,13717,10456,point tweet piece,1,1_thank_enjoy_brilliant_support,thank - enjoy - brilliant - support - thankyou - whoop - jackie - yeah - thanks - help,1.0,False,"@pglayfield @MichAckerley @hcuklive @SimonCalder @BBCOne I agree. Came on here to make the same point, saw your Tweet, but decided to say my piece anyway.",     i agree came on here to make the same point saw your tweet but decided to say my piece anyway,2020-05-11 09:49:55+00:00
