,Unnamed: 0,Unnamed: 0.1.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
8938,8938,8938,bread leader culture opportunity worker,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.8984593828605005,False,"@NursesTake Yep, but it’ll take a new bread of leaders to change corporate culture, that is if they are given the opportunity to lead. Be loyal to your workers and they’ll be loyal to you.", yep but it’ll take a new bread of leaders to change corporate culture that is if they are given the opportunity to lead be loyal to your workers and they’ll be loyal to you,2020-02-09 00:22:25+00:00,None,1,Positive
8939,8939,8939,besties office president nursing organization father husband leader blog help word,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"Blake, one of my besties, is the youngest to ever hold the office of President of a national nursing organization. He’s a great father, husband, an amazing leader. I was excited when he told me he was going to start a blog. Help me spread the word for him. #leadership #Nurse https://t.co/5beJG3xu9H",blake one of my besties is the youngest to ever hold the office of president of a national nursing organization he’s a great father husband an amazing leader i was excited when he told me he was going to start a blog help me spread the word for him   ,2020-02-09 00:27:57+00:00,None,1,Positive
8940,8940,8940,profession woman future employer woman,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"@NursesTake Also interestingly, professions that become more women dominated, even if they paid more, start to pay less. Think the future of #physicians, which will become female dominated. Sadly employers feel it’s ok to pay less for “Women’s work”. https://t.co/PdHoDkNPTX", also interestingly professions that become more women dominated even if they paid more start to pay less think the future of  which will become female dominated sadly employers feel it’s ok to pay less for womens work ,2020-02-09 00:29:28+00:00,None,2,Negative
8941,8941,8941,quick rate drip refresh mind,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"@CarePlanMedia @BeAHappyNurse Quick, what’s the rate of the drip shown above? Refresh those Med-calc minds.",  quick what’s the rate of the drip shown above refresh those medcalc minds,2020-02-09 00:30:51+00:00,None,0,None
8942,8942,8942,data nurse nursing support ratio patient safety,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@AACNme More data on why safe nurse (and nursing support) staffing ratio is important for patients safety., more data on why safe nurse and nursing support staffing ratio is important for patients safety,2020-02-09 00:33:19+00:00,None,1,Positive
8943,8943,8943,split femalemale respect profession nurse morbidity mortality profession woman,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"@NursesTake It truly is why. It shouldn’t have to take reaching a 50/50 split of female/male to gain respect. As a profession, nurses are vital at reducing morbidity and mortality. And just because a profession becomes more women dominated should not indicate it’s now worth less. Not fair.", it truly is why it shouldn’t have to take reaching a split of femalemale to gain respect as a profession nurses are vital at reducing morbidity and mortality and just because a profession becomes more women dominated should not indicate it’s now worth less not fair,2020-02-09 00:36:43+00:00,None,1,Positive
8944,8944,8944,ratio solution number acuity patient observation ratio,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.9839552062518168,False,"@OnlyintheICU @AACNme I understand where ANA is coming from though. Ratios alone is not the solution. If you look at numbers only you can be given high acuity patients that should have more nurse observation, yet it complies with the ratio.",  i understand where ana is coming from though ratios alone is not the solution if you look at numbers only you can be given high acuity patients that should have more nurse observation yet it complies with the ratio,2020-02-09 02:15:44+00:00,None,2,Negative
8945,8945,8945,ratio floor health care policy participation nurse floor care something nurse patient right ratio,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.5524878326826212,False,@OnlyintheICU @AACNme I think that ratios should be the floor of health care policy. But there should be an active participation of the nurses on the floor on how patient care should be divided. Something like AACN’s HWE that connects the right nurse to the right patient to the right ratio.,  i think that ratios should be the floor of health care policy but there should be an active participation of the nurses on the floor on how patient care should be divided something like aacn’s hwe that connects the right nurse to the right patient to the right ratio,2020-02-09 02:18:33+00:00,None,1,Positive
8946,8946,8946,floor nurse patient hospital administration number acuity matter,3,3_congratulation_luck_award_jenny,congratulation - luck - award - jenny - achievement - team - winner - congrats - hero - football,0.9213780621556678,False,"@OnlyintheICU @AACNme That can mean that on the same PCU floor one nurse has 3:1, another 4:1, and yet another with patients who are declining a 2:1 without the hospital administration protesting that it doesn’t meet the numbers. Acuity matters.",  that can mean that on the same pcu floor one nurse has another and yet another with patients who are declining a without the hospital administration protesting that it doesn’t meet the numbers acuity matters,2020-02-09 02:20:28+00:00,Life,2,Negative
8947,8947,8947,nurse union patient work condition nurse action status,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"@NursesTake @OnlyintheICU @AACNme That’s why nurses should ban together, Union or not, they need to stick together and speak out about unsafe patient and work conditions. We nurses need to take action and not just accept the status quo.",   that’s why nurses should ban together union or not they need to stick together and speak out about unsafe patient and work conditions we nurses need to take action and not just accept the status quo,2020-02-09 03:01:36+00:00,None,1,Positive
8948,8948,8948,leadership position nursing health care organization health care facility voice self advocacy leadership skill change,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.3175167775387894,False,"@NursesTake @OnlyintheICU @AACNme We also must take up leadership positions with nursing and health care organizations, as well as health care facilities, to become louder voices. I think we all need to sharpen our self advocacy, leadership, and economic skills to demonstrate why change must occur.",   we also must take up leadership positions with nursing and health care organizations as well as health care facilities to become louder voices i think we all need to sharpen our self advocacy leadership and economic skills to demonstrate why change must occur,2020-02-09 03:03:43+00:00,None,1,Positive
8949,8949,8949,leadership advocate,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.8593992067408481,False,"@NursesTake @OnlyintheICU @AACNme Been there too, have been fired, just makes me speak out more. And drives me to leadership and becoming an nurse advocate",   been there too have been fired just makes me speak out more and drives me to leadership and becoming an nurse advocate,2020-02-09 03:17:08+00:00,None,2,Negative
8950,8950,8950,nurse degree administration something health care environment,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.1564661885117112,False,"@NursesTake @OnlyintheICU @AACNme If more nurses got law degrees (would want pay to match) and brought out the law when administration tried something, it’ll be a different health care environment.",   if more nurses got law degrees would want pay to match and brought out the law when administration tried something it’ll be a different health care environment,2020-02-09 03:19:12+00:00,None,1,Positive
8951,8951,8951,floor staffing policy ratio cannot staff acuity,8,8_food_school_life_meal,food - school - life - meal - child - cream - community - poverty - machine - sense,0.1745055898545692,False,"@OnlyintheICU @AACNme Totally agree, like I stated, it should be the floor of safe staffing policy. A set max ratio that cannot be passed and then staff by acuity from that.",  totally agree like i stated it should be the floor of safe staffing policy a set max ratio that cannot be passed and then staff by acuity from that,2020-02-09 03:20:40+00:00,Life,1,Positive
8952,8952,8952,people leadership position organization data case,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0410613333839931,False,"@OnlyintheICU @AACNme Well, that’s when we need people who think differently to move into leadership positions within these organizations and speak up. There is data that supports it, and it should be used to make the case.",  well that’s when we need people who think differently to move into leadership positions within these organizations and speak up there is data that supports it and it should be used to make the case,2020-02-09 03:38:54+00:00,None,1,Positive
8953,8953,8953,point issue area shortage area compliance city hospital excuse supply,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"@OnlyintheICU @AACNme I’ll point out though that it is an economic issue in rural areas. We do have some serious shortages in some areas that would make compliance impossible. Though large city hospitals do not have an excuse, there is more supply than they want to admit.",  i’ll point out though that it is an economic issue in rural areas we do have some serious shortages in some areas that would make compliance impossible though large city hospitals do not have an excuse there is more supply than they want to admit,2020-02-09 03:41:08+00:00,None,2,Negative
8954,8954,8954,excuse practice staffing access hospital position ratio,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.1507890989877509,False,"@OnlyintheICU @AACNme It shouldn’t be a total excuse not to practice safe staffing, but it does make critical access rural hospitals in a tough position to comply with mandatory ratios.",  it shouldn’t be a total excuse not to practice safe staffing but it does make critical access rural hospitals in a tough position to comply with mandatory ratios,2020-02-09 03:42:53+00:00,None,2,Negative
8955,8955,8955,problem profession profession city choice,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.2401087763264164,False,@OnlyintheICU @AACNme The problem is turn over and leaving the profession or not entering the profession. Because there are no jobs in the city of your choice.,  the problem is turn over and leaving the profession or not entering the profession because there are no jobs in the city of your choice,2020-02-09 03:43:43+00:00,None,2,Negative
