,Unnamed: 0,Unnamed: 0.1.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
10839,10839,10839,workplace violence work functioning nurse crosssectional study,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.2542292441943405,False,Workplace Violence Is Associated With Impaired Work Functioning in Nurses: An Italian Cross‐Sectional Study https://t.co/V3Q3UE0xdZ,workplace violence is associated with impaired work functioning in nurses an italian crosssectional study ,2020-03-26 07:47:02+00:00,None,0,None
10840,10840,10840,thank,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.717719476080329,True,@amirkingkhan @NHSuk Thank you 😊,  thank you ,2020-03-26 07:58:40+00:00,None,1,Positive
10841,10841,10841,watch school series thing,1,1_thank_enjoy_brilliant_support,thank - enjoy - brilliant - support - thankyou - whoop - jackie - yeah - thanks - help,0.7108834125739184,False,Now I’ve purchased Disney+ shall I watch high school musical the musical the series because I think that’s the only thing left to do,now i’ve purchased disney shall i watch high school musical the musical the series because i think that’s the only thing left to do,2020-03-26 08:51:06+00:00,Life,0,None
10842,10842,10842,lockdown bonnie scotland today,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,Day 3 of Lockdown here in Bonnie Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿💙💙😷😷😷Hope ye all are well and safe today https://t.co/PGYjV6lWZe,day of lockdown here in bonnie scotland hope ye all are well and safe today ,2020-03-26 08:56:47+00:00,None,1,Positive
10843,10843,10843,chicken broccoli orzotto,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,@MarksBitch27 @MadAlix14 I made a chicken and broccoli ‘orzotto’. Was lovely.,  i made a chicken and broccoli orzotto was lovely,2020-03-26 09:44:51+00:00,None,1,Positive
10844,10844,10844,thought world,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.5786106365647493,False,We’ve been locked inside now for 8 days after starting to feel ill. Genuinely starting to feel agoraphobic at the thought of going out and about in the big wide world one day,we’ve been locked inside now for days after starting to feel ill genuinely starting to feel agoraphobic at the thought of going out and about in the big wide world one day,2020-03-26 09:52:27+00:00,None,0,None
10845,10845,10845,fever self isolate,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.8908496708178534,False,@Skellibobs Seriously though if you have a fever self isolate., seriously though if you have a fever self isolate,2020-03-26 09:53:16+00:00,None,2,Negative
10846,10846,10846,jogging bottom,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0035359875277082,False,It’s a sad day when your jogging bottoms feel too tight.,it’s a sad day when your jogging bottoms feel too tight,2020-03-26 10:22:47+00:00,None,2,Negative
10847,10847,10847,jogging bottom,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,@DrRayBakes My jogging bottoms feel tight, my jogging bottoms feel tight,2020-03-26 11:42:35+00:00,None,0,None
10848,10848,10848,today people tear,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,Have been informed today that I’m one of the 1.5 million people who has to shield is it possible to drown in your own tears ???,have been informed today that i’m one of the million people who has to shield is it possible to drown in your own tears ,2020-03-26 11:43:42+00:00,None,2,Negative
10849,10849,10849,joke week nurse time shopping sibling decision disney yesterday,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"All jokes aside I’m really worried about not being able to go outside for a whole 12 weeks. I won’t get to register as a nurse on time, I won’t be able get my own shopping or see my mum and siblings. At least I made the brave decision to purchase Disney+ yesterday though",all jokes aside i’m really worried about not being able to go outside for a whole weeks i won’t get to register as a nurse on time i won’t be able get my own shopping or see my mum and siblings at least i made the brave decision to purchase disney yesterday though,2020-03-26 12:12:27+00:00,None,1,Positive
10850,10850,10850,stranger,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"They Comfort Strangers, So No One Dies Alone https://t.co/yzobAy6W1f",they comfort strangers so no one dies alone ,2020-03-26 13:05:19+00:00,None,0,None
10851,10851,10851,teaching teaching semester please,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,#currentstatus and #onward focusing on teaching and completing the teaching and closing the semester. #Corona please stay away I’ve got teaching to finish. #G20Summit #education, and  focusing on teaching and completing the teaching and closing the semester  please stay away i’ve got teaching to finish  ,2020-03-26 13:10:42+00:00,None,1,Positive
10852,10852,10852,area child access food whilst school letter,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"Critical areas still to be addressed to ensure children have access to good, nutritional food whilst schools are fully/ partially closed. We've co-drafted a letter to @educationgovuk with @sfmtweet @UKSustain @Food_Foundation @ChefsinSchools Read more: https://t.co/IxcdSuEiwC",critical areas still to be addressed to ensure children have access to good nutritional food whilst schools are fully partially closed we've codrafted a letter to  with     read more ,2020-03-26 13:45:07+00:00,None,0,None
10853,10853,10853,thank,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,True,Thank you 😊 💋💕 https://t.co/BdOwupzKRk,thank you   ,2020-03-26 14:11:04+00:00,None,1,Positive
