,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at
25517,25517,25517,25517,44667,meeting visit friend bonus colleague time note,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@nursekelsey Two great meetings and a covid appropriate visit with a friend! Bonus: a senior colleague took time to send me a really supportive note, two great meetings and a covid appropriate visit with a friend bonus a senior colleague took time to send me a really supportive note,2020-11-05 01:14:22+00:00
25518,25518,25518,25518,44666,hour,9,9_friend_kenny_home_point,friend - kenny - home - point - morning - people - mate - message - bloody - reply,0.4245115084071824,False,"@emmaandollie @ketaminh 6 hours, you mean? 😜",  hours you mean ,2020-11-05 05:06:31+00:00
25519,25519,25519,25519,5568,news oncology nurse making,5,5_birthday_heart_dance_treat,birthday - heart - dance - treat - miss - pizza - wish - failure - instagram - skye,0.7645557091030689,False,@SHURadiotherapy That’s great news! And I bet I know who some of them are! We have some very passionate oncology nurses in the making 🥰, that’s great news and i bet i know who some of them are we have some very passionate oncology nurses in the making ,2020-11-05 07:24:48+00:00
25520,25520,25520,25520,5567,thanks think session part science module,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"@SHURadiotherapy Thanks Jo! Will have a think about how we can do this, would be a great extra curricular session or maybe even part of their Science module learning 👍🏻", thanks jo will have a think about how we can do this would be a great extra curricular session or maybe even part of their science module learning ,2020-11-05 07:28:16+00:00
25521,25521,25521,25521,121350,robin sleep well,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@Robin08139490 Goodnight sweet Robin. Sleep well💕💕, goodnight sweet robin sleep well,2020-11-05 07:34:11+00:00
25522,25522,25522,25522,14222,conference wait conference visit,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,We are ready for day 2 of the #CPHVA2020 conference and can’t wait to have you join us. To enter the conference visit https://t.co/NtXJUv9JIz,we are ready for day of the  conference and can’t wait to have you join us to enter the conference visit ,2020-11-05 07:42:58+00:00
25523,25523,25523,25523,37077,mine tomorrow,2,2_shift_night_tonight_match,shift - night - tonight - match - ward - sleep - game - bless - emotion - today,1.0,False,@unit_1974 Mine is 9 days after tomorrow. Yay us for perfect lockdown annual leave timing, mine is days after tomorrow yay us for perfect lockdown annual leave timing,2020-11-05 07:53:10+00:00
25524,25524,25524,25524,4272,technology conference,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,#acutetelestroke new technology in neurology conference #now https://t.co/ijfVmJtJCP, new technology in neurology conference  ,2020-11-05 08:36:58+00:00
25525,25525,25525,25525,56895,nope,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,@_SJPeace_ Nope we dont want them, nope we dont want them,2020-11-05 09:16:26+00:00
25526,25526,25526,25526,89178,today year today year today mile trend morning miler,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.5345531490462976,False,"Today was a really rubbish, slow run. But that happens. Then Facebook throws out 3 years ago today and my current 10km pb, and 4 years ago today with my current 5 mile pb. Bucking the trend this morning with my rubbish 8 miler.... https://t.co/lQl8migN0X",today was a really rubbish slow run but that happens then facebook throws out years ago today and my current pb and years ago today with my current mile pb bucking the trend this morning with my rubbish miler ,2020-11-05 09:17:26+00:00
25527,25527,25527,25527,56894,carpet workplace daughter dizzy,8,8_food_school_life_meal,food - school - life - meal - child - cream - community - poverty - machine - sense,0.0953473306207722,False,"@NeuroRebel Carpets, the carpets in her workplace make my daughter dizzy", carpets the carpets in her workplace make my daughter dizzy,2020-11-05 09:19:56+00:00
25528,25528,25528,25528,56893,word,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,Interesting .... yes thats one word for it https://t.co/AUKGwRJlIF,interesting  yes thats one word for it ,2020-11-05 09:23:38+00:00
25529,25529,25529,25529,31053,president arizona nevada vote count,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"A great day for a new President 🤞 will be watching Georgia, Arizona and Nevada with vote counts continuing #USElectionResults #BidenHarris #BlueSkies",a great day for a new president  will be watching georgia arizona and nevada with vote counts continuing   ,2020-11-05 09:24:27+00:00
25530,25530,25530,25530,31052,hour team belfast,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,And for next few hours I am leaving the US to join this great team in Belfast (virtually 😅) for #voicesofleadership @wibni https://t.co/4KFqiNmjlH https://t.co/G24ws6VE90,and for next few hours i am leaving the us to join this great team in belfast virtually  for    ,2020-11-05 09:25:54+00:00
