,Unnamed: 0,Unnamed: 0.1.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
30529,30529,30529,nursing blog nursing news story leader safety tale,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"Follow our nursing blog for the latest nursing news, inspiring stories form nurse leaders, patient safety tales, and much more. https://t.co/cAoLPKcBNk https://t.co/EsHAFIIphq",follow our nursing blog for the latest nursing news inspiring stories form nurse leaders patient safety tales and much more  ,2021-01-06 00:00:36+00:00,None,1,Positive
30530,30530,30530,quality diet,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.892623269872041,False,Interested in learning about how dietary fat quality in normolipidic diets affects hepatocyte's nuclear #phenotypes? #openaccess https://t.co/hDmydWkwHn,interested in learning about how dietary fat quality in normolipidic diets affects hepatocyte's nuclear   ,2021-01-06 00:00:37+00:00,None,1,Positive
30531,30531,30531,genius,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,True,Always said you were a genius 😂😂😂😂 https://t.co/7uJ41gRzed,always said you were a genius  ,2021-01-06 00:21:39+00:00,None,0,None
30532,30532,30532,year voting responsibility,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.4422118637047225,False,@retardcaieb @GoldenDarkness7 @KEEMSTAR Im so confused... earlier this year ppl wanted to lower the voting age to 16... now 17 is too young to accept responsibility?!?,   im so confused earlier this year ppl wanted to lower the voting age to now is too young to accept responsibility,2021-01-06 00:51:52+00:00,Life,2,Negative
30533,30533,30533,others stranger evening,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.9580018184399304,False,"@Pat_brownie Does it make you feel better to insult others? It’s okay, I understand and I am sorry you’re taking this personally and acting emotional around a silly strangers tweet :) have a wonderful evening", does it make you feel better to insult others it’s okay i understand and i am sorry you’re taking this personally and acting emotional around a silly strangers tweet  have a wonderful evening,2021-01-06 00:57:51+00:00,None,1,Positive
30534,30534,30534,information training module engagement kidney research,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"Check out more information on KidneyPRO, a web-based training module for patient engagement in kidney research. @CSNSCN #kidneydisease https://t.co/XamdSJ8Jzl",check out more information on kidneypro a webbased training module for patient engagement in kidney research   ,2021-01-06 01:00:29+00:00,None,1,Positive
30535,30535,30535,holiday shrug,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.9785680693250802,False,@DoganLodge @dirtE_11b @Vintageclash @DangerRand_ @ZLanerOFFICIAL Well it was just Christmas holidays *shrugs*,     well it was just christmas holidays shrugs,2021-01-06 02:32:00+00:00,None,1,Positive
30536,30536,30536,director mode anxiety work,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,@lucyalanaxo Our managing director has gone into complete panic mode. I’m trying but my anxiety is building and I’ve got uni work to catch up on, our managing director has gone into complete panic mode i’m trying but my anxiety is building and i’ve got uni work to catch up on,2021-01-06 02:39:15+00:00,None,2,Negative
30537,30537,30537,unemployment approx,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,@WSJ Jobs.... we need to focus on getting jobs so ppl can travel Unemployment in US at approx 14%!, jobs we need to focus on getting jobs so ppl can travel unemployment in us at approx,2021-01-06 02:39:47+00:00,None,0,None
30538,30538,30538,thread parent guardian teacher education administrator,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"Important thread for any parent/ guardian, teacher, education administrator and politician #COVID19 #onpoli #cdnpoli https://t.co/cRmbCxvUUg",important thread for any parent guardian teacher education administrator and politician    ,2021-01-06 02:42:22+00:00,None,1,Positive
30539,30539,30539,fake,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@sadtypebeat_ @JamiiSharkTART @Its_Jawsh Hope this isn’t fake :/,   hope this isn’t fake ,2021-01-06 03:16:17+00:00,None,0,None
30540,30540,30540,friend friend carson fact side source,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"@BrockBrandon5 @TashaTwe @PiperPlaysYT @ItsJoko I am also to believe that his friends knowing this happened and was disgusted, continued to be “friends” with Carson until now? I, too, will wait till all facts are provided and we hear another side (from the source)",    i am also to believe that his friends knowing this happened and was disgusted continued to be friends with carson until now i too will wait till all facts are provided and we hear another side from the source,2021-01-06 03:23:50+00:00,None,1,Positive
30541,30541,30541,view downunder stacey program purple state,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@mclemoremr View from Downunder Stacey Abram's needs to be cloned her programs rolled out across all purple states, view from downunder stacey abram's needs to be cloned her programs rolled out across all purple states,2021-01-06 03:35:11+00:00,None,0,None
