,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
1968,1968,benefit home picture goldfinch daughter,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.99296966321595,False,Benefits of working from home - finally seen got picture of elusive goldfinch spotted by my mum and daughter twice already! https://t.co/pE26kw9i3A,benefits of working from home  finally seen got picture of elusive goldfinch spotted by my mum and daughter twice already ,2019-06-06 09:47:21+00:00,None,1,Positive
1969,1969,catch hope,0,0_thank_thanks_hope_moment,thank - thanks - hope - moment - kind - weekend - minute - easter - dream - hello,1.0,False,That is a phenomenal catch from Hope. #CWC19,that is a phenomenal catch from hope ,2019-06-06 10:07:14+00:00,Life,1,Positive
1970,1970,beach month,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.3300798628464478,False,Visited #omahabeach beach a few months ago and took this of a US soldier dragging another man ashore #DDay75Anniversary https://t.co/n13JRhm5yC,visited  beach a few months ago and took this of a us soldier dragging another man ashore  ,2019-06-06 11:27:37+00:00,None,0,None
1971,1971,england coach cooper contender swansea appleton cameron toshack john eustace frame,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"England Under 17 coach Steve Cooper emerges as a leading contender for Swansea job. Michael Appleton, Cameron Toshack and John Eustace remain in frame https://t.co/KJcvMWETo7",england under coach steve cooper emerges as a leading contender for swansea job michael appleton cameron toshack and john eustace remain in frame ,2019-06-06 11:38:07+00:00,None,1,Positive
1972,1972,video hole,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.4538260496148432,False,Includes a video where I look into a hole. https://t.co/ZXAwmkEu2A,includes a video where i look into a hole ,2019-06-06 12:25:59+00:00,None,0,None
1973,1973,word henstra whodunit campus novel history comparison read,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@creature_dan Just started reading The Red Word by Sarah Henstra, is a bit of a whodunit campus novel, that some have given Secret History comparisons. It isn't, but it is a good read.", just started reading the red word by sarah henstra is a bit of a whodunit campus novel that some have given secret history comparisons it isnt but it is a good read,2019-06-06 13:37:58+00:00,None,1,Positive
1974,1974,spell llandudno today,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,@DerekTheWeather @BBCWalesToday @BBCRadioWales @BBCRadioCymru @bbcweather Yes. Sunny spells in Llandudno today.😎,     yes sunny spells in llandudno today,2019-06-06 14:55:37+00:00,None,1,Positive
1975,1975,work amaral colour image past,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"Amazing work by artist Marina Amaral who has brought colour to some iconic images from #DDay, which brings the past that little bit closer. #DDAY75 https://t.co/QWgmlTrqgS https://t.co/17B0cPjyit",amazing work by artist marina amaral who has brought colour to some iconic images from  which brings the past that little bit closer   ,2019-06-06 14:57:33+00:00,None,1,Positive
1976,1976,sunshine shower chester today weather time,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"After switching so often between sunshine and showers in Chester today, the weather has now broken and it's currently sunny and raining at the same time.",after switching so often between sunshine and showers in chester today the weather has now broken and it's currently sunny and raining at the same time,2019-06-06 15:39:02+00:00,None,1,Positive
1977,1977,element people,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0466887808053285,False,"I mean it looks great, but it looks like they missed a crucial element. How did those people get in? https://t.co/frtVrct4sm",i mean it looks great but it looks like they missed a crucial element how did those people get in ,2019-06-06 16:39:41+00:00,None,1,Positive
