,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
1718,1718,avoids humiliation humiliation humiliation failure,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.3198778797578033,False,Avoids ‘humiliation’ after humiliation of being told to go and humiliation of #Brexit failure. https://t.co/PcDARkacJe,avoids humiliation after humiliation of being told to go and humiliation of  failure ,2019-05-24 07:24:55+00:00,None,2,Negative
1719,1719,theresa minister june,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Theresa May to step down as Prime Minister on June 7.,theresa may to step down as prime minister on june,2019-05-24 09:06:57+00:00,None,0,None
1720,1720,year time history minister paragraph,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"Honestly, in 100 years' time, in the history of UK Prime Ministers, she will barely merit a paragraph. https://t.co/SEGdQB3TTI",honestly in years time in the history of uk prime ministers she will barely merit a paragraph ,2019-05-24 09:18:21+00:00,None,1,Positive
1721,1721,anniversary election fate,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,"A day short of the two-year anniversary of that General Election which, arguably, ultimately sealed her fate. https://t.co/jBEfu3xGBS",a day short of the twoyear anniversary of that general election which arguably ultimately sealed her fate ,2019-05-24 09:25:29+00:00,None,2,Negative
1722,1722,head number people idea chump idea johnson character,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.4388351605692091,False,"This really does my head in, the number of people - and I've no idea who this chump is - who revel in the idea of Johnson being a ""colourful character"" and jolly good fun. https://t.co/bQiCanWp9b",this really does my head in the number of people  and i've no idea who this chump is  who revel in the idea of johnson being a colourful character and jolly good fun ,2019-05-24 10:17:31+00:00,None,1,Positive
1723,1723,boris johnson politician profile achievement principle position issue brexit interest,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.9291308211889742,False,"Boris Johnson is an abject politician, consistently over-promoted due to his profile rather than his achievements. A man without principles, he frequently changes his position on issues, such as Brexit, to ensure his own interests are best served.",boris johnson is an abject politician consistently overpromoted due to his profile rather than his achievements a man without principles he frequently changes his position on issues such as brexit to ensure his own interests are best served,2019-05-24 10:17:32+00:00,None,1,Positive
1724,1724,addition history comment watermelon smile people letter office,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.4272191458644639,False,"In addition, he has a history of making grossly offensive comments - ""watermelon smiles"", ""ridiculous that people should choose to go around looking like letter boxes"", etc. - that should disqualify him from ever holding high office.",in addition he has a history of making grossly offensive comments  watermelon smiles ridiculous that people should choose to go around looking like letter boxes etc  that should disqualify him from ever holding high office,2019-05-24 10:17:33+00:00,None,2,Negative
1725,1725,city vintage travel poster,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Can you guess the British city from the vintage travel poster? https://t.co/EnuAWqmCu3,can you guess the british city from the vintage travel poster ,2019-05-24 10:26:10+00:00,None,0,None
1726,1726,despair kingdom,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0743706912203271,False,I despair for the United Kingdom. https://t.co/nG3vAdC9Y2,i despair for the united kingdom ,2019-05-24 11:52:57+00:00,None,1,Positive
1727,1727,year sake performance season,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.1889102025345627,False,Mad that this was only four years ago. 5-0 at HT for heaven's sake. And not even Stoke's best performance that season. https://t.co/wVl9E2Yleh,mad that this was only four years ago at ht for heaven's sake and not even stoke's best performance that season ,2019-05-24 13:18:28+00:00,None,2,Negative
1728,1728,trolling class,2,2_tweet_twitter_account_timeline,tweet - twitter - account - timeline - people - follower - troll - like - time - reply,1.0,True,Scottish political trolling is in a class of its own. https://t.co/AbKOFKrvep,scottish political trolling is in a class of its own ,2019-05-24 13:22:26+00:00,Life,0,None
1729,1729,slogan dont,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,The art of sloganeering — could this slogan have stopped #Brexit? ‘Don’t leave — it’s what the French want us to do.’ https://t.co/m3dIlpBNDM https://t.co/Nf70keMZgT,the art of sloganeering  could this slogan have stopped  dont leave  it’s what the french want us to do  ,2019-05-24 13:59:34+00:00,None,2,Negative
1730,1730,comment nonleague,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.4118506585474605,False,@richard_kaputt I will recycle my comment ‘if he can get Lincoln out of non-league...’, i will recycle my comment if he can get lincoln out of nonleague,2019-05-24 14:16:48+00:00,None,0,None
1731,1731,someone plenty politician bland surname davis,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,@lanegreene Speaking as someone who reflexively also calls him Boris I don't think this is right. There are plenty of distinctive politicians with bland surnames who don't get first-named. How about David Davis?, speaking as someone who reflexively also calls him boris i don't think this is right there are plenty of distinctive politicians with bland surnames who don't get firstnamed how about david davis,2019-05-24 16:05:30+00:00,None,0,None
1732,1732,politician name livingstone surname,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@lanegreene Also, the only other politician universally called by their first name I can think of is Ken Livingstone, who does not have a boring surname at all.", also the only other politician universally called by their first name i can think of is ken livingstone who does not have a boring surname at all,2019-05-24 16:06:20+00:00,None,1,Positive
1733,1733,word hoverboards headline,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.6720468150263504,False,Not often I get to write the words 'exploding hoverboards' in a headline... https://t.co/JhiShRmAp3,not often i get to write the words exploding hoverboards in a headline ,2019-05-24 16:49:29+00:00,None,0,None
1734,1734,kind video resort,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.6642678070160037,False,Love these kind of videos. See what became of this resort deserted because of planning laws https://t.co/194EVf9Mt1,love these kind of videos see what became of this resort deserted because of planning laws ,2019-05-24 18:48:28+00:00,None,1,Positive
1735,1735,insight wilder journey nonleague premier league,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,Fascinating insight from Chris Wilder on his journey from non-league to the Premier League at @FAWCoachEd #FAWCoachConf https://t.co/dKXVCKRWTl,fascinating insight from chris wilder on his journey from nonleague to the premier league at   ,2019-05-24 19:17:27+00:00,None,1,Positive
1736,1736,barclay brother farage cartoonist,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.8971669093232643,False,Who does the Barclay brothers love more - Farage or Matt the cartoonist? 🤔 https://t.co/lYwIsZFDXG,who does the barclay brothers love more  farage or matt the cartoonist  ,2019-05-24 19:18:40+00:00,None,1,Positive
1737,1737,therapy session,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,@Long19Alan @Staceywestblog @LincolnCity_FC If they included talking about the non-league days as well that would be good. It could be the therapy session I never had.,   if they included talking about the nonleague days as well that would be good it could be the therapy session i never had,2019-05-24 19:22:11+00:00,None,1,Positive
1738,1738,page kind emotion thing politics,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Front pages while not kind to the end of May capture brilliantly that raw emotion — such a rare thing politics. #tomorrowspaperstoday https://t.co/qT4N9kv15N,front pages while not kind to the end of may capture brilliantly that raw emotion  such a rare thing politics  ,2019-05-24 21:25:52+00:00,None,1,Positive
1739,1739,hour bleeding night,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.3736764360519182,False,Yep. This is why it takes me three hours to cook tea every bleeding night. https://t.co/ytriWSSD5S,yep this is why it takes me three hours to cook tea every bleeding night ,2019-05-24 21:58:53+00:00,None,1,Positive
1740,1740,birthday nicholas,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.575135602249588,False,"@nicholasmcgee24 Happy birthday, Nicholas", happy birthday nicholas,2019-05-24 22:05:32+00:00,None,1,Positive
1741,1741,guardiola respect week,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@VillaPunks Guardiola lost so much respect last week. Come on, Pep, my man", guardiola lost so much respect last week come on pep my man,2019-05-24 22:53:28+00:00,None,1,Positive
1742,1742,mission charity shield breath others trophy,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.9170773885495974,False,@15DanJ @VillaPunks I'm on a one man mission to stop Pep mentioning the Charity Shield in the same breath as the others trophies,  i'm on a one man mission to stop pep mentioning the charity shield in the same breath as the others trophies,2019-05-25 00:05:53+00:00,None,1,Positive
1743,1743,travel army wembley today buzz city story league,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.509648386402726,False,"Safe travels to the Amber Army marching on Wembley today. Great to see such a buzz around the city. I know the story of going from the Hellenic League to here is well told, but it doesn’t make it any less marvellous",safe travels to the amber army marching on wembley today great to see such a buzz around the city i know the story of going from the hellenic league to here is well told but it doesn’t make it any less marvellous,2019-05-25 08:13:16+00:00,None,1,Positive
1744,1744,party member stewart etonianoxbridge production bunch serve boris,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,"Teenage Labour Party member Rory Stewart might be anothe Etonian/Oxbridge production, but he is the best out of this lamentable bunch (plus he wouldn’t serve under Boris). https://t.co/UcnLsoCUEa",teenage labour party member rory stewart might be anothe etonianoxbridge production but he is the best out of this lamentable bunch plus he wouldn’t serve under boris ,2019-05-25 08:18:43+00:00,None,1,Positive
1745,1745,morning goodwood ferrari owner,0,0_thank_thanks_hope_moment,thank - thanks - hope - moment - kind - weekend - minute - easter - dream - hello,0.9875071078070032,False,Saturday morning at Goodwood for a Ferrari Owners Club track day https://t.co/WZVX3SAQdb,saturday morning at goodwood for a ferrari owners club track day ,2019-05-25 10:30:52+00:00,Life,0,None
1746,1746,look summer aussie,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.9834450308664874,False,Looks like it's going to be a long summer for the Aussies https://t.co/jq6TrwuMdE,looks like it's going to be a long summer for the aussies ,2019-05-25 11:08:35+00:00,None,1,Positive
1747,1747,keeper league team season,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Joe Day of @NewportCounty is an impressive keeper named in the PFA League Two Team Of The Season for 2018-19. Just saying....don't read too much into it @LutonTown fans.,joe day of  is an impressive keeper named in the pfa league two team of the season for just sayingdont read too much into it  fans,2019-05-25 15:22:28+00:00,None,1,Positive
1748,1748,evening press office feature,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"Good evening, press office (features)! https://t.co/qLjpDtyFGv",good evening press office features ,2019-05-25 15:35:21+00:00,None,1,Positive
1749,1749,cruel sheer football bloody hell,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"So desperately cruel for Newport, sheer unrivalled joy for Tranmere. Football, bloody hell.",so desperately cruel for newport sheer unrivalled joy for tranmere football bloody hell,2019-05-25 16:32:48+00:00,None,2,Negative
1750,1750,fish chip year,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.2178115238991172,False,"#BeachHut fish and chips. Once a year, this is probably allowed. #Frinton ⁦@frintonspirit⁩ https://t.co/2O2cfwQnP3", fish and chips once a year this is probably allowed   ,2019-05-25 17:12:21+00:00,None,0,None
1751,1751,greenwood hope,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,That looks awful for Joe Greenwood. Hope he recovers quickly #MagicWeekend,that looks awful for joe greenwood hope he recovers quickly ,2019-05-25 18:31:25+00:00,None,0,None
1752,1752,blake austin,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,BLAKE AUSTIN!!! 🔥🔥🔥,blake austin ,2019-05-25 19:26:26+00:00,None,0,None
1753,1753,warrington trafford time today class revenge,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,"@PKendrickWIG As a Warrington fan who has seen Wigan beat us at Old Trafford three times, today definitely does not class as revenge! 😂", as a warrington fan who has seen wigan beat us at old trafford three times today definitely does not class as revenge ,2019-05-25 20:07:10+00:00,None,1,Positive
1754,1754,stoke story league site desk interest team warrington,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.8429737509323191,False,"@PKendrickWIG I never watched RL growing up in Stoke, then had to upload stories to the Super League site on the web desk at PA so thought I'd best take an interest. Absolutely loved it once I started watching it, so picked nearest team to Stoke to support ... and that's Warrington!", i never watched rl growing up in stoke then had to upload stories to the super league site on the web desk at pa so thought i'd best take an interest absolutely loved it once i started watching it so picked nearest team to stoke to support  and that's warrington,2019-05-25 20:18:22+00:00,None,1,Positive
1755,1755,decision side wire,4,4_journalist_journalism_paper_boat,journalist - journalism - paper - boat - newspaper - career - news - pier - breath - reminder,1.0,False,@PKendrickWIG Hahaha - more than once too! I'm happy with my decision. We'll win one day and it will be glorious. 🙂 And I'm pretty sure the closest side geographically after Wire was Salford 👀, hahaha  more than once too i'm happy with my decision we'll win one day and it will be glorious  and i'm pretty sure the closest side geographically after wire was salford ,2019-05-25 20:22:29+00:00,Work,1,Positive
1756,1756,convert sport world super league,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.8761670612243553,False,"@PKendrickWIG It was 2011 when I became a convert to the greatest sport in the world, so they weren't in Super League.", it was when i became a convert to the greatest sport in the world so they weren't in super league,2019-05-25 20:28:41+00:00,None,1,Positive
1757,1757,load stick warrington salford route planner back term house,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,@PKendrickWIG Hahaha. I used to get loads of stick for picking Warrington over Salford. AA Route Planner backs me up in terms of which is closest to the house I grew up in 😂, hahaha i used to get loads of stick for picking warrington over salford aa route planner backs me up in terms of which is closest to the house i grew up in ,2019-05-25 20:30:25+00:00,None,1,Positive
1758,1758,tweet anything week,2,2_tweet_twitter_account_timeline,tweet - twitter - account - timeline - people - follower - troll - like - time - reply,0.6849113076322315,False,Shame Huddersfield didn’t tweet anything last week. https://t.co/ocj8K2xryR,shame huddersfield didn’t tweet anything last week ,2019-05-25 21:13:02+00:00,Life,2,Negative
1759,1759,project boris swing,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.4839901856040515,False,Project ‘Stop Boris’ is in full swing. #tomorrowspaperstoday https://t.co/Q4icq5aMV5,project stop boris is in full swing  ,2019-05-25 21:56:45+00:00,None,2,Negative
1760,1760,league referee dean crowd rover league playoff wembley today jasper carrot football city question,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.3438231612434816,False,"Premier League referee Mike Dean was seen in the crowd supporting Tranmere Rovers at the League 2 Play-Off Final at Wembley today. Comedian Jasper Carrot wasn't there, although he's also a football fan, supporting Birmingham City. The big question is: Are they in any way related? https://t.co/APgL9ES13z",premier league referee mike dean was seen in the crowd supporting tranmere rovers at the league playoff final at wembley today comedian jasper carrot wasn't there although he's also a football fan supporting birmingham city the big question is are they in any way related ,2019-05-25 23:04:52+00:00,None,1,Positive
1761,1761,event tomorrow,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Don’t forget this excellent event tomorrow #Colchester #fete #HalfTerm https://t.co/U03KSvzSiw,don’t forget this excellent event tomorrow    ,2019-05-26 05:53:17+00:00,None,1,Positive
1762,1762,thing husband,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.9297984895990352,False,Things you don’t want to hear on a #BankHolidayWeekend Husband: “We’ve run out of tea.” 🙄,things you don’t want to hear on a  husband weve run out of tea ,2019-05-26 06:36:18+00:00,None,1,Positive
1763,1763,regret life league season year today,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.7048144054638441,False,"Possible the deepest regret of my life is that I was not alive to see the greatest ever end to a league season, 30 years ago today. https://t.co/A5rvNPwAr8",possible the deepest regret of my life is that i was not alive to see the greatest ever end to a league season years ago today ,2019-05-26 08:07:34+00:00,None,1,Positive
1764,1764,reason book football,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.4529163901937208,False,@waltonandy There is a reason it's the greatest book ever written about football., there is a reason it's the greatest book ever written about football,2019-05-26 08:46:46+00:00,None,1,Positive
1765,1765,something politics someone raab minister candidate custard charge country,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,There's something seriously wrong with British politics when someone as idiotic as Dominic Raab can: a) become a cabinet minister. b) be considered a legitimate candidate to be the next PM. I'd rather put an egg custard in charge of the country. https://t.co/enOPmgXly8,there's something seriously wrong with british politics when someone as idiotic as dominic raab can a become a cabinet minister b be considered a legitimate candidate to be the next pm i'd rather put an egg custard in charge of the country ,2019-05-26 09:57:29+00:00,None,2,Negative
1766,1766,trumpesque britain minister approach trump,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@BrianMcFadden You’d be happy if such a Trump-esque, Britain First prime minister took the same approach to the Irish as Trump does to Mexicans then?", you’d be happy if such a trumpesque britain first prime minister took the same approach to the irish as trump does to mexicans then,2019-05-26 10:05:38+00:00,None,1,Positive
1767,1767,thanks link,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@kayaburgess No, I have been meaning to watch it for ages though. Thanks for the link.", no i have been meaning to watch it for ages though thanks for the link,2019-05-26 10:16:01+00:00,None,1,Positive
1768,1768,mike book,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.320405049611303,False,@danbloom1 Any of Mike Gayle’s books. Can’t recommend enough., any of mike gayle’s books can’t recommend enough,2019-05-26 10:59:32+00:00,None,1,Positive
1769,1769,stewart form milkshake form protest,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.7911859812199432,False,Stewart Lee is on form: ‘We have entered the Age of the Weaponised Milkshake. But is milkshake a legitimate form of protest? ‘ https://t.co/tQAN8i57eX https://t.co/IXoPlGKcba,stewart lee is on form we have entered the age of the weaponised milkshake but is milkshake a legitimate form of protest   ,2019-05-26 11:20:49+00:00,None,2,Negative
1770,1770,computer action shot face viewer watching,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,@stewarthend @ryanjennings1 Not watched it yet but I was filmed with computer action shots. Obviously they thought my face would compel viewers to keep watching!,  not watched it yet but i was filmed with computer action shots obviously they thought my face would compel viewers to keep watching,2019-05-26 11:41:58+00:00,None,0,None
1771,1771,bullet yesterday today worrying development,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"Bullets yesterday, cherry yoghurt today. A worrying development. https://t.co/EE3Kige0Jo",bullets yesterday cherry yoghurt today a worrying development ,2019-05-26 15:26:15+00:00,None,2,Negative
1772,1772,club boot today divine anything game striker fire club squib,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@SunderlandAFC, the club too big for its boots. Arrogant fans shown today that you have no divine right to win anything in this game. A £4million striker on fire at his previous club, but a damp squib against @CAFCofficial. #CHASUN #LeagueOnePlayoffFinal", the club too big for its boots arrogant fans shown today that you have no divine right to win anything in this game a million striker on fire at his previous club but a damp squib against   ,2019-05-26 17:22:48+00:00,None,2,Negative
1773,1773,summer luton pool bath road,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.4798327147687951,False,Those lazy-hazy-crazy days of summer: Luton Open Air Swimming Pool in Bath Road in the 1950s. https://t.co/p8Dfw9gg6U,those lazyhazycrazy days of summer luton open air swimming pool in bath road in the ,2019-05-26 18:36:45+00:00,None,0,None
