,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
12123,12123,ovie sigh,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,Ovie *sighs*,ovie sighs,2020-12-03 00:15:18+00:00,None,0,None
12124,12124,damn school memory,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.458678093465465,False,😍 damn high school memories https://t.co/jpzQLe0qJj, damn high school memories ,2020-12-03 00:52:25+00:00,None,2,Negative
12125,12125,people turn,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,How people can be so sick and cruel makes my stomach turn like,how people can be so sick and cruel makes my stomach turn like,2020-12-03 00:54:04+00:00,None,2,Negative
12126,12126,lucy family scam money thing tomorrow heart look thing week,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.4019665949451177,False,"Was absolutely buzzing to be welcoming little Lucy to the family only to find out it was a scam and my money has gone. Worst thing is dreading telling my mam tomorrow, my heart is breaking 💔 look at all her wee things we had for her next week https://t.co/hwoqRQGzgT",was absolutely buzzing to be welcoming little lucy to the family only to find out it was a scam and my money has gone worst thing is dreading telling my mam tomorrow my heart is breaking  look at all her wee things we had for her next week ,2020-12-03 00:56:25+00:00,None,2,Negative
12127,12127,song production drink,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.6596046121480326,False,@Brian_Callihan Damn what a great song man 🤠🎸🎤 and the production is awesome!!! I’ll drink to that 🍻@Brian_Callihan, damn what a great song man  and the production is awesome i’ll drink to that ,2020-12-03 01:06:54+00:00,None,1,Positive
12128,12128,living music retire,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,So fed-up with my day job! Wish I could make a living from my music and retire from trucking!,so fedup with my day job wish i could make a living from my music and retire from trucking,2020-12-03 07:39:39+00:00,None,1,Positive
12129,12129,thats sail,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,@sallywhitwell @BarbaraKPiano Thats true. Tho not as good as his come sail away 😁,  thats true tho not as good as his come sail away ,2020-12-03 08:16:05+00:00,None,1,Positive
12130,12130,season ticket,14,14_ticket_wembley_stadium_price,ticket - wembley - stadium - price - booking - show - sale - ticketmaster - diamond - pricing,0.2285235485238167,False,"How many season tickets @LFC? It seems you do indeed, walk alone... https://t.co/nCPA7tqB11",how many season tickets  it seems you do indeed walk alone ,2020-12-03 08:21:34+00:00,Life,2,Negative
12131,12131,xmas film manger piano student school school video,10,10_christmas_soup_merry_xmas,christmas - soup - merry - xmas - biscuit - crochet - carol - blanket - dinner - yorkshire,1.0,False,@BarbaraKPiano Lol. Brilliant Xmas film!! Still prefer it to away in a manger tho Have 4 poor piano students at one school who have been asked to practise it to record for school video :( its really hard, lol brilliant xmas film still prefer it to away in a manger tho have poor piano students at one school who have been asked to practise it to record for school video  its really hard,2020-12-03 08:52:12+00:00,Life,1,Positive
12132,12132,emergency design fault castle biscuit dunking suggestion,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"Emergency! Crucial design fault discovered at Cobweb Castle as McVitie’s digestive biscuit refuses to go all the way into my new tea mug for ritual dunking. Suggestions, please. #BiscuitDunking https://t.co/3DpUXkwNZU",emergency crucial design fault discovered at cobweb castle as mcvitie’s digestive biscuit refuses to go all the way into my new tea mug for ritual dunking suggestions please  ,2020-12-03 09:53:47+00:00,None,2,Negative
12133,12133,productivity mood mood everything,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.4057723912814308,False,Wishing that my productivity didn't depend so much on my mood Good mood = everything super easy and obvious,wishing that my productivity didn't depend so much on my mood good mood  everything super easy and obvious,2020-12-03 10:12:36+00:00,None,1,Positive
12134,12134,yeah people,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,@teachypiano Eek - yeah I wouldn't want to be out around ... well people, eek  yeah i wouldn't want to be out around  well people,2020-12-03 11:05:08+00:00,None,1,Positive
12135,12135,thanks review night,2,2_album_review_cover_jack,album - review - cover - jack - list - duet - year - poverty - song - release,1.0,False,Thanks for the lovely review of Silent Night @AndyHoldcroft. https://t.co/lGoWaJfGtz,thanks for the lovely review of silent night  ,2020-12-03 11:11:13+00:00,Work,1,Positive
12136,12136,tune evening charity christmas radio play,10,10_christmas_soup_merry_xmas,christmas - soup - merry - xmas - biscuit - crochet - carol - blanket - dinner - yorkshire,1.0,False,Tune in to @BBCCWR this evening at 8.20pm to hear me talk about my charity Christmas single and the exclusive first radio play of it! #Coventry https://t.co/j00iC54bHv,tune in to  this evening at to hear me talk about my charity christmas single and the exclusive first radio play of it  ,2020-12-03 11:13:33+00:00,Life,1,Positive
