,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
4054,4054,sound drygate saor winterfylleth tonight sound halfway,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"Despite the sound being iffy at Drygate, Saor (and Winterfylleth) were so good tonight. When they fixed the sound for Saor halfway through, it was just magic 😍 https://t.co/4UGVDZM1V9",despite the sound being iffy at drygate saor and winterfylleth were so good tonight when they fixed the sound for saor halfway through it was just magic  ,2020-02-09 00:20:27+00:00,None,1,Positive
4055,4055,burnin inty skull,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.36311625420533,False,@ntyrbbygrl Ma eyes are fuckin burnin inty his skull, ma eyes are fuckin burnin inty his skull,2020-02-09 00:52:35+00:00,None,0,None
4056,4056,band profesh night tour,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"Normally when I’m working w bands I keep it all v profesh. Last night, steaming Jen just went straight for “WHEN ARE YOUS TAKING ME ON TOUR?” https://t.co/oKHxGvVlPJ",normally when i’m working w bands i keep it all v profesh last night steaming jen just went straight for when are yous taking me on tour ,2020-02-09 09:02:57+00:00,None,1,Positive
4057,4057,debate decision road cash green money,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.8509243002226835,False,@PaulOnPolitics doing a sterling job hosting debate on Swale council’s decision to not to support £38m road cash. Greens say money should be spent on more buses. What say you? @TimesGuardian @KMSittingbourne https://t.co/ReZ8T8UVIy, doing a sterling job hosting debate on swale council’s decision to not to support m road cash greens say money should be spent on more buses what say you   ,2020-02-09 10:48:53+00:00,None,2,Negative
4058,4058,revolution radio life album stretch imagination love song,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"So, new Green Day... Better than Revolution Radio as it has a bit of life but still not a great album by any stretch of the imagination. Listen to the new Spanish Love Songs album instead.",so new green day better than revolution radio as it has a bit of life but still not a great album by any stretch of the imagination listen to the new spanish love songs album instead,2020-02-09 11:14:15+00:00,None,1,Positive
4059,4059,didny card,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.9452960168977524,False,@ntyrbbygrl Didny say no either so it’s on the cards maybe! 🤩, didny say no either so it’s on the cards maybe ,2020-02-09 11:16:11+00:00,None,2,Negative
4060,4060,damn preorders time,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,"@THWBcb1 Damn. Man, I hate pre-orders as they’re never on time 😔", damn man i hate preorders as they’re never on time ,2020-02-09 11:18:27+00:00,None,2,Negative
4061,4061,yeah preorders,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,"@THWBcb1 Yeah, I’ve given up on waiting on pre-orders for my first listen. I’m on my second listen myself but it’s so so good 😍", yeah i’ve given up on waiting on preorders for my first listen i’m on my second listen myself but it’s so so good ,2020-02-09 11:23:16+00:00,None,1,Positive
4062,4062,pick lady luck,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.6922556678816714,False,@HalleyHills Take a pick Lady Luck 🙌🏻.... https://t.co/A7KLSEt4mD, take a pick lady luck  ,2020-02-09 11:26:39+00:00,None,1,Positive
4063,4063,spotify desktop,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.8503110832667732,False,@THWBcb1 Free Spotify on desktop?, free spotify on desktop,2020-02-09 11:31:52+00:00,None,1,Positive
4064,4064,footballer award haircut week,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.632984823136178,False,I sometimes wonder if footballers get awards for the daftest haircut of the week! #JustSayin',i sometimes wonder if footballers get awards for the daftest haircut of the week ,2020-02-09 13:22:09+00:00,None,1,Positive
4065,4065,honk deid,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,@wildfloweravidn honk if thatcher’s deid, honk if thatcher’s deid,2020-02-09 13:54:55+00:00,None,0,None
4066,4066,sony life holy surfing stagedives night,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.4113553837462155,False,Filming on a Sony has changed my entire life holy fuck! Caught some surfing and attempted stage-dives at @Dudetripsuk last night and I'm pretty chuffed 🙌 https://t.co/RMbErzroqR,filming on a sony has changed my entire life holy fuck caught some surfing and attempted stagedives at  last night and i'm pretty chuffed  ,2020-02-09 14:04:53+00:00,None,2,Negative
4067,4067,calm minute tree winter weather kind,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"@vspearson85 It's been remarkably calm here. Sunny even, until about ten minutes ago, and the trees have just started swaying. I must say, since I've been back it's been a remarkably mild winter with very little extreme weather of any kind.", it's been remarkably calm here sunny even until about ten minutes ago and the trees have just started swaying i must say since i've been back it's been a remarkably mild winter with very little extreme weather of any kind,2020-02-09 15:23:33+00:00,None,1,Positive
4068,4068,hole tweet,0,0_tweet_twitter_account_follower,tweet - twitter - account - follower - timeline - anxiety - feed - parody - audience - thing,0.9008197436278746,False,Hole are and forever will be better than Nirvana. That’s it. That’s the tweet.,hole are and forever will be better than nirvana that’s it that’s the tweet,2020-02-09 16:28:50+00:00,Life,1,Positive
4069,4069,lark shelter roast potato queenborough minster couple isle,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,This storm-chasing lark takes it out of you. Had to seek shelter in the Admiral’s Arm (free roast potatoes) at windswept Queenborough and now warming up at Minster WMC with this suspicious-looking couple on the not-so-sun-kissed Isle of Sheppey @AdmiralsArm @TimesGuardian https://t.co/bNVtydEQ61,this stormchasing lark takes it out of you had to seek shelter in the admiral’s arm free roast potatoes at windswept queenborough and now warming up at minster wmc with this suspiciouslooking couple on the notsosunkissed isle of sheppey   ,2020-02-09 16:39:32+00:00,None,1,Positive
4070,4070,face twitter,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"Let’s face it, there’s not a lot on Twitter of much use. Apart from this... https://t.co/IqwwNAhIR7",let’s face it there’s not a lot on twitter of much use apart from this ,2020-02-09 18:13:48+00:00,None,0,None
4071,4071,reply woman girl fuck,11,11_woman_trans_argument_gender,woman - trans - argument - gender - people - misogynist - debate - reminder - right - misogyny,0.4833242788788888,False,"@witherandfade The replies basically entail him saying that “women are too touchy” n that he’s only baiting girls to reply to him, personally I just think that’s misogynistic as fuck but 🤷‍♀️", the replies basically entail him saying that women are too touchy n that he’s only baiting girls to reply to him personally i just think that’s misogynistic as fuck but ,2020-02-09 18:37:15+00:00,Life,2,Negative
4072,4072,listen prod ptech santiago ralph burg,5,5_morning_listen_burg_ralph,morning - listen - burg - ralph - breakfast - chris - sailor - blog - mornin - kanye,0.9028491827710524,False,Listen to Brooklyn Syndrome ( prod. P-Tech Santiago) by Ralph Burg #np on #SoundCloud https://t.co/tPCAtL9jla,listen to brooklyn syndrome  prod ptech santiago by ralph burg  on  ,2020-02-09 20:51:40+00:00,Life,0,None
4073,4073,crowdsurfing hiatus song tuesday buzzing,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,I’m insanely excited to announce that I will end my long-standing crowdsurfing hiatus to this song on Tuesday. Buzzing doesn’t even cover it 😍 https://t.co/ax4HkZPXJs,i’m insanely excited to announce that i will end my longstanding crowdsurfing hiatus to this song on tuesday buzzing doesn’t even cover it  ,2020-02-09 23:34:54+00:00,None,1,Positive
4074,4074,week yeovil,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,Looking forward to seeing @FascinatingAida this week in Yeovil @octagontheatre,looking forward to seeing  this week in yeovil ,2020-02-10 08:46:55+00:00,None,0,None
4075,4075,brilliant week,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.502588247184442,False,@OctagonYeovil Looking forward to seeing the brilliant @FascinatingAida later this week!!, looking forward to seeing the brilliant  later this week,2020-02-10 08:49:04+00:00,None,1,Positive
4076,4076,embodiment ofbut lady,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.7261242733890524,False,I am the human embodiment of✌️but I love these ladies 💖 https://t.co/9El4pobz9V,i am the human embodiment ofbut i love these ladies  ,2020-02-10 12:54:46+00:00,None,1,Positive
4077,4077,venom economy,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.5844304600817569,False,@vodkalibbi @talktoniight @wildfloweravidn £8.50 for a venom? In this economy?,    for a venom in this economy,2020-02-10 13:07:14+00:00,None,0,None
4078,4078,lack coverage election medium today wonder unification,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,Remarkable lack of coverage of the Irish election from the British media today. No wonder too. Irish unification gets closer and closer #GE2020,remarkable lack of coverage of the irish election from the british media today no wonder too irish unification gets closer and closer ,2020-02-10 13:33:12+00:00,None,0,None
4079,4079,tour someone tour mind home,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.5025649997502485,False,Can aii announce a tour soon that I can follow or can someone take me on tour I am losing my MIND at home,can aii announce a tour soon that i can follow or can someone take me on tour i am losing my mind at home,2020-02-10 19:06:21+00:00,None,2,Negative
4080,4080,case suggestion today apple,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.7493794100071681,False,"In case this gets back to Mrs Nurden, can I just say these suggestions emailed to me today from Apple in the run up to Valentine's Day were totally unsolicited... https://t.co/82tEa984ok",in case this gets back to mrs nurden can i just say these suggestions emailed to me today from apple in the run up to valentine's day were totally unsolicited ,2020-02-10 20:15:35+00:00,None,0,None
4081,4081,episode power,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.3211071257738231,False,I dunno how I feel about the final episode of Power you know... 😕,i dunno how i feel about the final episode of power you know ,2020-02-10 22:58:41+00:00,None,0,None
4082,4082,suggestion thank,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,"@itstorikayla solid suggestion, thank you!", solid suggestion thank you,2020-02-10 23:05:59+00:00,None,1,Positive
4083,4083,child thing authority figure voice exists,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.3128344809180091,False,"#Newsnight Cat Incoming! Children DO believe things told to them by authority figures, especially in a serious voice. And THAT is why you shouldn't tell them God exists!", cat incoming children do believe things told to them by authority figures especially in a serious voice and that is why you shouldn't tell them god exists,2020-02-10 23:10:22+00:00,None,2,Negative
4084,4084,guitar round,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.1867532006647465,False,@vspearson85 When learning guitar it's usually the other way round., when learning guitar it's usually the other way round,2020-02-10 23:14:12+00:00,None,0,None
