,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
11188,11188,sort medium adult standard child,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,They’re still not really getting it but sort of and why has it taken this long for the media to grasp that they’re applying adult standards to a child?,they’re still not really getting it but sort of and why has it taken this long for the media to grasp that they’re applying adult standards to a child,2020-11-06 00:15:04+00:00,None,0,None
11189,11189,dire time,7,7_time_breath_breathe_people,time - breath - breathe - people - thing - something - place - yeah - change - everything,1.0,False,dire times 📰 https://t.co/CHjx5VkKkZ,dire times  ,2020-11-06 05:14:58+00:00,Life,2,Negative
11190,11190,musician month link thread share,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,It’s #BandcampFriday again. Thank you to @Bandcamp for being so incredible and supporting independent musicians so positively over the last few months. Buy my handmade CDs on https://t.co/UzkjzJbtdx - pop your own links in this thread and I’ll share them. #NewMusic https://t.co/8TAH5sDJdX,it’s  again thank you to  for being so incredible and supporting independent musicians so positively over the last few months buy my handmade cds on   pop your own links in this thread and i’ll share them  ,2020-11-06 08:52:44+00:00,None,1,Positive
11191,11191,influencer question post hashtags,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,"Can confirm that the influencer in question has seen this FB post so yes, I'm living my days assuming that I helped encourage the use of hashtags. https://t.co/sXJV4x0sqo",can confirm that the influencer in question has seen this fb post so yes i'm living my days assuming that i helped encourage the use of hashtags ,2020-11-06 10:45:03+00:00,None,1,Positive
11192,11192,look bingo,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.5166837297112347,False,So apparently destiel became canon and now twitter looks like 2011 tumblr. Didn't have that on my 2020 bingo,so apparently destiel became canon and now twitter looks like tumblr didn't have that on my bingo,2020-11-06 11:17:18+00:00,None,1,Positive
11193,11193,thanks spin,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.7366338325809434,False,Thanks for the spin! https://t.co/Ur2LNr55RC,thanks for the spin ,2020-11-06 11:19:26+00:00,None,1,Positive
11194,11194,show year headline,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,I literally haven't watched this show in ten years but this fucking headline https://t.co/NNmT0RsUK1,i literally haven't watched this show in ten years but this fucking headline ,2020-11-06 11:20:14+00:00,None,0,None
11195,11195,writer character show,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"@robbieamacleod Spn writers really mde the character gay in the most homophobic way possible, makes me glad I checked out of this show in 2013 😂", spn writers really mde the character gay in the most homophobic way possible makes me glad i checked out of this show in ,2020-11-06 11:48:52+00:00,None,1,Positive
11196,11196,trump stroke,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,biden: 264 trump: 214 strokes: 1251,biden trump strokes,2020-11-06 13:06:45+00:00,None,0,None
11197,11197,lease landlord block fuck,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,Have just been told that we are not allowed to re-sign our lease!! The landlord is refurbishing the entire block! FUCK! Might as well move back to Scotland!,have just been told that we are not allowed to resign our lease the landlord is refurbishing the entire block fuck might as well move back to scotland,2020-11-06 13:41:52+00:00,None,2,Negative
11198,11198,trump step,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.3976308864017063,False,biden: 264 trump: 214 steps: 5678,biden trump steps,2020-11-06 13:56:31+00:00,None,0,None
11199,11199,listen soul scene,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.6302834554568953,False,Listen to Indie Soul by Scenes #np on #SoundCloud https://t.co/zYqnAuOlLK,listen to indie soul by scenes  on  ,2020-11-06 14:05:44+00:00,None,0,None
11200,11200,today insane scene,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,@SparkLocalMusic @PlasticGlass1 @DeepSleepUK @thisisZELA @ulaalovell Today pretty much summing up how insane the NE scene is atm 🔥,     today pretty much summing up how insane the ne scene is atm ,2020-11-06 14:12:20+00:00,None,1,Positive
11201,11201,imagine medium everything nazi inauguration muffle fart,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.7450765637590233,False,"Imagine if the media had shut down everything, this contentious nazi spouted since his inauguration? Muffle this fart forever. #TrumpOut",imagine if the media had shut down everything this contentious nazi spouted since his inauguration muffle this fart forever ,2020-11-06 15:40:22+00:00,None,2,Negative
11202,11202,ability walk work,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.8992215531660848,False,All I want is the ability to go for a walk after work without it being pitch black,all i want is the ability to go for a walk after work without it being pitch black,2020-11-06 16:27:29+00:00,None,1,Positive
11203,11203,okay johnny depp grindelwald,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.5916626327289067,False,"Okay, so now that Johnny Depp will not be playing Grindelwald... who should replace him? 🧐",okay so now that johnny depp will not be playing grindelwald who should replace him ,2020-11-06 18:02:00+00:00,None,1,Positive
11204,11204,influencers post,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,"@lisarazu98 Not going to lie, i do not follow him. Or all Maltese influencers. But only ONE of those I follow has been marking her posts.", not going to lie i do not follow him or all maltese influencers but only one of those i follow has been marking her posts,2020-11-06 19:00:25+00:00,None,0,None
11205,11205,influencer question comment convo brandscompanies influencers influencers transparency,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,@iknowhannah Influencer in question has told me she’s seen the comment in a convo we had on IG too. We had a lovely chat about it. I think it needs to be regulated by law and brands/companies paying influencers AND influencers need to UNDERSTAND how transparency is important, influencer in question has told me she’s seen the comment in a convo we had on ig too we had a lovely chat about it i think it needs to be regulated by law and brandscompanies paying influencers and influencers need to understand how transparency is important,2020-11-06 19:01:49+00:00,None,1,Positive
11206,11206,parr street time,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,Love Parr Street. Have had a good few fab times there... https://t.co/P6zsLtdlsI,love parr street have had a good few fab times there ,2020-11-06 19:05:32+00:00,None,1,Positive
11207,11207,turtle trump,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,“Like an obese turtle on it’s back in the hot sun” - CNN on Trump. lmao.,like an obese turtle on it’s back in the hot sun  cnn on trump lmao,2020-11-06 19:46:44+00:00,None,1,Positive
11208,11208,girl america year,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,YA GIRL GOT HER JOB IN AMERICA NEXT YEAR 😍🇺🇸,ya girl got her job in america next year ,2020-11-06 20:26:10+00:00,None,0,None
11209,11209,music radio stuff york summer babyyy,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.9329749269032612,False,teaching music n radio and stuff ahh New York here a come next Summer babyyy,teaching music n radio and stuff ahh new york here a come next summer babyyy,2020-11-06 20:26:35+00:00,None,0,None
