,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
13428,13428,bridgerton tiktok,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0814694540601642,False,Bridgerton TikTok is where I’m at with my FYP and I love it,bridgerton tiktok is where i’m at with my fyp and i love it,2021-01-06 00:27:30+00:00,None,1,Positive
13429,13429,glow congrats,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"@myabriabe glow on Mya, congrats!", glow on mya congrats,2021-01-06 06:44:07+00:00,None,1,Positive
13430,13430,james bond,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,@iamErinMcAndrew Skyfall (James Bond), skyfall james bond,2021-01-06 09:40:11+00:00,None,0,None
13431,13431,thank remix night,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.403406322019392,False,@DazzzG Thank you. Have you heard the cool remix of Night Is Gone? https://t.co/AsI36BCehG, thank you have you heard the cool remix of night is gone ,2021-01-06 10:18:16+00:00,None,1,Positive
13432,13432,people total album radio promotion people hand incentive donation,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.1146024769017107,False,"Just 5 people have on their own, raised over 10% of the total needed to re-release our album on CD pay for some radio promotion! So come on people, give us a hand, there are some great incentives and #freebies available for donations of over £25 ;) See https://t.co/sFuJIIC3mH",just people have on their own raised over of the total needed to rerelease our album on cd pay for some radio promotion so come on people give us a hand there are some great incentives and  available for donations of over   see ,2021-01-06 10:25:10+00:00,None,1,Positive
13433,13433,music solo music vocalist finger music,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,@Spotify Electronic Music including New solo music by our vocalist @MrJamieJamal Plus the usual (fingers crossed new music from) @tracey_thorn @eddireader @BoyGeorge @HudMo @TheHollyJohnson #JohnGrant #DepecheMode #Madonna #Bjork @billybragg @MassiveAttackUK, electronic music including new solo music by our vocalist  plus the usual fingers crossed new music from           ,2021-01-06 10:28:47+00:00,None,0,None
13434,13434,brovid homo,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.6856742913127549,False,Brovid-19! No homo! Is this guy going to jail or what? https://t.co/tnwq5IDhGO,brovid no homo is this guy going to jail or what ,2021-01-06 11:29:00+00:00,None,2,Negative
13435,13435,today generation woman teenager liar relationship girl school,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"Today I realised that I come from a generation of women who, as teenagers, watched Pretty Little Liars and romanticised and obsessed over a relationship between a 15-year-old girl and her high school teacher. One which was Illegal AND toxic. I think that says a lot about us. 🤔",today i realised that i come from a generation of women who as teenagers watched pretty little liars and romanticised and obsessed over a relationship between a girl and her high school teacher one which was illegal and toxic i think that says a lot about us ,2021-01-06 12:28:00+00:00,None,2,Negative
13436,13436,wool issue,10,10_christmas_soup_merry_xmas,christmas - soup - merry - xmas - biscuit - crochet - carol - blanket - dinner - yorkshire,1.0,False,@_Jo_Harrison1 @JenniPinnock @saxylizbeth Aldi wool issues??,   aldi wool issues,2021-01-06 12:30:29+00:00,Life,0,None
13437,13437,enemy give presave,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.3831114739480896,False,Enemy is out on the 15th! Give it a pre-save here: https://t.co/IACGoM8mzI 💜 💜 💜 https://t.co/C3Cc2UMphY,enemy is out on the give it a presave here     ,2021-01-06 12:34:48+00:00,None,2,Negative
13438,13438,dread absolute clip thing,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.3976627056783489,False,Dread to think the absolute clip I’d have been if I was 14 when tik tok was a thing,dread to think the absolute clip i’d have been if i was when tik tok was a thing,2021-01-06 12:54:49+00:00,None,2,Negative
13439,13439,kitten condition,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.922962065941918,False,New for 2021. God Kills Another Kitten (Mixes) EP By This Human Condition Out - now! Featuring mixes by @fluxmusicuk @fusedofficial @Audiofetish_DE Links.👇 https://t.co/wfO46dWylc #NewMusic2021 #NewMusic #electronicmusic https://t.co/zW3ptW0XFD,new for god kills another kitten mixes ep by this human condition out  now featuring mixes by    links     ,2021-01-06 13:07:28+00:00,None,2,Negative
