,Unnamed: 0,Unnamed: 0.1.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
23578,23578,23578,covid america intersection health equity workforce,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,COVID-19 and Black America: The Intersection of Health Equity and the NP Workforce https://t.co/4zjjHpJroS #RecommendedReading #Nurses #FOANed https://t.co/CplcYYM7r7,covid and black america the intersection of health equity and the np workforce     ,2020-10-09 00:53:02+00:00,None,0,None
23579,23579,23579,prayer,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"@backthebluedawn @BZofficer @teacher_wrusd Oh, no! Prayers!! 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",   oh no prayers ,2020-10-09 00:55:59+00:00,None,0,None
23580,23580,23580,night friend night,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"@bulletgifts Night, my friend! Will message you later! Have a restful night, you and. Rick both. 🙏🙏", night my friend will message you later have a restful night you and rick both ,2020-10-09 00:57:21+00:00,None,1,Positive
23581,23581,23581,research challenge infarction endocarditis paper,2,2_shift_night_tonight_match,shift - night - tonight - match - ward - sleep - game - bless - emotion - today,1.0,False,Read research on the challenges in managing acture myocardial infarction associated with infective endocarditis in this #openaccess paper. @AFMResearch https://t.co/jIpZKYSX6S,read research on the challenges in managing acture myocardial infarction associated with infective endocarditis in this  paper  ,2020-10-09 01:00:44+00:00,Work,1,Positive
23582,23582,23582,trial reality goggles dogsb,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.6470926244028076,False,US Army trials augmented reality goggles for dogsb https://t.co/G4rs47o0Ng,us army trials augmented reality goggles for dogsb ,2020-10-09 03:48:26+00:00,None,0,None
23583,23583,23583,hope,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,True,@mel_mcdonagh @CathyWinfield Hope you are ok Mel,  hope you are ok mel,2020-10-09 04:18:15+00:00,None,1,Positive
23584,23584,23584,bless thank care,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,@mel_mcdonagh @CathyWinfield Bless you. Yes I am ok thank you. See you soon and take care,  bless you yes i am ok thank you see you soon and take care,2020-10-09 05:37:48+00:00,None,1,Positive
23585,23585,23585,infection assist device implication destination therapy,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,Driveline Infection in Ventricular Assist Devices and Its Implication in the Present Era of Destination Therapy. #heartfailure https://t.co/w0qeHP8oqc,driveline infection in ventricular assist devices and its implication in the present era of destination therapy  ,2020-10-09 07:00:36+00:00,None,0,None
23586,23586,23586,outcome,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.2859296106755222,False,Early outcomes of #3D printed total #Talus #Arthroplasty https://t.co/WDjPll8THh,early outcomes of  printed total   ,2020-10-09 08:00:36+00:00,None,0,None
23587,23587,23587,article retrograde ejaculation today,8,8_food_school_life_meal,food - school - life - meal - child - cream - community - poverty - machine - sense,1.0,False,Read this recently published #openaccess article on retrograde ejaculation after a #prostatectomy is available to browse today! @AmJMensHealth https://t.co/8mmAlsizF4,read this recently published  article on retrograde ejaculation after a  is available to browse today  ,2020-10-09 09:00:38+00:00,Life,0,None
23588,23588,23588,girl,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,True,Beautiful girl https://t.co/AqCHPnWGeM,beautiful girl ,2020-10-09 10:17:21+00:00,None,1,Positive
23589,23589,23589,apron ready share meal bubble sign access recipe ragu sign today,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,1.0,False,Get your aprons at the ready and share a meal with your social bubble for #WorldFoodDay. Sign up now and get access to healthy and delicious recipes – like this comforting ragu. Sign up today https://t.co/N7zvsAr2P3 #FFLGetTogethers https://t.co/pT42w8pNH8,get your aprons at the ready and share a meal with your social bubble for  sign up now and get access to healthy and delicious recipes  like this comforting ragu sign up today   ,2020-10-09 10:35:04+00:00,Life,1,Positive
23590,23590,23590,collection nursing week,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,New CE Collection for National Pediatric Nursing Week! https://t.co/3zb15tKsIi #ProudPediatricNurse #autism #nutrition #depression #concussion #sleep #diabetes https://t.co/Cwf2LbOGB4,new ce collection for national pediatric nursing week         ,2020-10-09 11:15:07+00:00,None,0,None
23591,23591,23591,hospital minute telephone appointment hour half,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.9441325277269664,False,been trying to get through to the hospital for the last 25 minutes because my telephone appointment is now an hour and a half late 🙄🙄,been trying to get through to the hospital for the last minutes because my telephone appointment is now an hour and a half late ,2020-10-09 11:51:21+00:00,None,0,None
23592,23592,23592,conference info,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,Currently #SHA virtual conference is running #nursing_cardiac_care useful info #COVID19,currently  virtual conference is running  useful info ,2020-10-09 12:13:45+00:00,None,1,Positive
23593,23593,23593,mortality percent patient ecmo patient subscription care nurse,3,3_congratulation_luck_award_jenny,congratulation - luck - award - jenny - achievement - team - winner - congrats - hero - football,0.0186669014028162,False,Mortality Below 40 Percent for COVID-19 Patients Put on ECMO PLUS: Transporting Critically Ill Patients | New CE Subscription for Critical Care Nurses | Remdesivir | PPE https://t.co/9wR4uEG2vU https://t.co/T35VmAsdTO,mortality below percent for covid patients put on ecmo plus transporting critically ill patients  new ce subscription for critical care nurses  remdesivir  ppe  ,2020-10-09 15:15:10+00:00,Life,0,None
23594,23594,23594,afternoon walk centre slip rock lake morning femur afternoon training card pint,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.9737125994467,False,Boring Friday afternoon waiting to be seen in the walk in centre after a slip on wet rocks in the lakes this morning and a bruised femur. Had had an afternoon of training planned but that’s off the cards..... I feel a pint may be needed later. https://t.co/h0Cmbltm8o,boring friday afternoon waiting to be seen in the walk in centre after a slip on wet rocks in the lakes this morning and a bruised femur had had an afternoon of training planned but that’s off the cards i feel a pint may be needed later ,2020-10-09 15:39:52+00:00,None,2,Negative
23595,23595,23595,strike work position homeless patient cold middle night paper tshirts shoe fails clothing,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,1.0,False,"Why RNs strike: I work in the ER and am in the unfortunate position of having to send homeless patients out into the cold in the middle of the night in paper t-shirts, with no shoes because AHS fails to provide clothing like the law requires. #1u https://t.co/Asg9LVnQQY",why rns strike i work in the er and am in the unfortunate position of having to send homeless patients out into the cold in the middle of the night in paper tshirts with no shoes because ahs fails to provide clothing like the law requires  ,2020-10-09 16:01:09+00:00,Life,2,Negative
23596,23596,23596,brand advice asap,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.9674544459926284,False,@obkatiekat protect your brand! I would seek legal advice ASAP, protect your brand i would seek legal advice asap,2020-10-09 16:03:09+00:00,None,0,None
