,Unnamed: 0,Unnamed: 0.1.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
25613,25613,25613,comorbid chronic pain stress disorder veteran,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.9852102960900704,False,Just published! #BritJPain Comorbid chronic pain and post-traumatic stress disorder in UK veterans https://t.co/YJMEWuFAPF,just published  comorbid chronic pain and posttraumatic stress disorder in uk veterans ,2020-11-06 00:00:35+00:00,None,2,Negative
25614,25614,25614,time intervention allegation attack democracy podium house,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"Time for an intervention - sad, dangerous and unsubstantiated allegations - an attack on democracy from a podium in the White House #TrumpMeltdown https://t.co/t02KhbVjJR",time for an intervention  sad dangerous and unsubstantiated allegations  an attack on democracy from a podium in the white house  ,2020-11-06 00:12:06+00:00,None,2,Negative
25615,25615,25615,lead georgia pennsylvania democracy fraud,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,Trump’s lead shrinking dramatically in Georgia and Pennsylvania and more to come - this is called democracy - not fraud #BidenForPresident https://t.co/Zi0fymnG6K,trump’s lead shrinking dramatically in georgia and pennsylvania and more to come  this is called democracy  not fraud  ,2020-11-06 00:35:58+00:00,None,0,None
25616,25616,25616,lemme something time quesadilla throw,2,2_shift_night_tonight_match,shift - night - tonight - match - ward - sleep - game - bless - emotion - today,1.0,False,Lemme put y’all on to something.. Next time you make chicken quesadillas.. throw this in it. You’re welcome. https://t.co/KYPjbpet6K,lemme put y’all on to something next time you make chicken quesadillas throw this in it you’re welcome ,2020-11-06 02:07:37+00:00,Work,1,Positive
25617,25617,25617,mask addition,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,@HelenforrestH How to wear your masks was a great addition. 👍🏻, how to wear your masks was a great addition ,2020-11-06 06:46:18+00:00,None,1,Positive
25618,25618,25618,clever,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,😅 clever boy https://t.co/wX59eTFoXf, clever boy ,2020-11-06 09:06:31+00:00,None,1,Positive
25619,25619,25619,lockdown till,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.7724362335614349,False,"@courtcrossland Omg that’s so good 😩😩 so happy you got it!! Will have to catch up when lockdowns over. Hahaha wish I finished at 4, 7am till 8pm for me 😭😭😭", omg that’s so good  so happy you got it will have to catch up when lockdowns over hahaha wish i finished at till for me ,2020-11-06 09:15:15+00:00,None,1,Positive
25620,25620,25620,onnnnn,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,Come onnnnn 🙊 https://t.co/QR82FYF92s,come onnnnn  ,2020-11-06 09:25:43+00:00,None,0,None
25621,25621,25621,number count,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.5617753666460166,False,"I know some of these numbers have changed already, but America count faster 🙊 https://t.co/lxQ7fukabI",i know some of these numbers have changed already but america count faster  ,2020-11-06 09:31:16+00:00,None,2,Negative
25622,25622,25622,slice incumbent house,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,😂😂 send a slice to the incumbent in the White House https://t.co/mp6ffvNsS5, send a slice to the incumbent in the white house ,2020-11-06 09:44:51+00:00,None,0,None
