,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
4683,4683,acknowledgement person side business others year,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.6361477081100615,False,Getting an #IWD2021 acknowledgement from a very senior person in the America side of the business #brilliant getting it totally ignored by others when you could have died last year #priceless,getting an  acknowledgement from a very senior person in the america side of the business  getting it totally ignored by others when you could have died last year ,2021-03-09 00:25:59+00:00,None,2,Negative
4684,4684,people rugby year taste star,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"@kmm16x You now know how to tackle people better than I do and I played rugby for over 10 years, I'm not arguing with you 🤣 but I really can't tell you how proud I feel to see you moving on like you are now - just need to get your taste in dogs to improve!! You're an utter star!!", you now know how to tackle people better than i do and i played rugby for over years i'm not arguing with you  but i really can't tell you how proud i feel to see you moving on like you are now  just need to get your taste in dogs to improve you're an utter star,2021-03-09 00:27:25+00:00,None,1,Positive
4685,4685,alpaca breeding beginner,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,@archer_rs Alpaca breeding for beginners?, alpaca breeding for beginners,2021-03-09 11:41:16+00:00,None,0,None
4686,4686,rapido announce hornby announce lion something tell post,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,Rapido announce Titfield Thunderbolt the day after Hornby announce Lion? Something tells me Hornby were wanting to be first past the post. #TMRGUK,rapido announce titfield thunderbolt the day after hornby announce lion something tells me hornby were wanting to be first past the post ,2021-03-09 18:32:18+00:00,None,0,None
4687,4687,twitter today,5,5_tweet_twitter_people_someone,tweet - twitter - people - someone - account - musk - twat - year - thread - reply,1.0,False,Wins Twitter for today! https://t.co/eBJGAo5rAl,wins twitter for today ,2021-03-09 20:06:52+00:00,Life,1,Positive
4688,4688,disney service piece costume,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@DennisHaysbert I'm refreshing myself on the UK Disney+ service, although I have all the DVD's under the TV. Even have a piece of your costume. https://t.co/TmhLJ8wUkv", i'm refreshing myself on the uk disney service although i have all the dvd's under the tv even have a piece of your costume ,2021-03-09 20:17:23+00:00,None,0,None
4689,4689,house place,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"@mickleeds23 @rikko71 226 from current house, if we move around 376 from new place.",  from current house if we move around from new place,2021-03-09 23:14:48+00:00,None,0,None
4690,4690,colleague week,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.8425704013278845,False,"@CatFankles Having lost 3 colleagues in a week, I know how you feel.", having lost colleagues in a week i know how you feel,2021-03-10 06:47:14+00:00,None,2,Negative
4691,4691,thank moron hammock cattle prod,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.5049664392798235,False,"@CatFankles Thank you, it's the morons who wear chin hammocks as soon as they step onboard that really rile me up. Wish we'd get issued with cattle prods to sort them out.", thank you it's the morons who wear chin hammocks as soon as they step onboard that really rile me up wish we'd get issued with cattle prods to sort them out,2021-03-10 06:54:13+00:00,None,1,Positive
4692,4692,everyone hope,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.3230122685427622,False,#goodmorning everyone. Hope you have an amazing day!, everyone hope you have an amazing day,2021-03-10 07:11:49+00:00,None,1,Positive
