,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
1718,1718,correction milk chocolate,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"@WCMLSimon @kentishwizard Correction, milk chocolate",  correction milk chocolate,2020-03-26 07:16:56+00:00,None,0,None
1719,1719,week time,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"@TheGasMan1985 Same, they ask for them 4-6 weeks ahead of time. https://t.co/RevP5zVNmF", same they ask for them weeks ahead of time ,2020-03-26 07:19:57+00:00,None,0,None
1720,1720,yesterday something email address,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.3365009647786949,False,@Chris_I_Carter Russ messaged me yesterday and said his did too and something about email addresses being too long on screen....feeling a bit left out now!, russ messaged me yesterday and said his did too and something about email addresses being too long on screenfeeling a bit left out now,2020-03-26 09:44:41+00:00,None,0,None
1721,1721,people note advice dare interaction people,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"I’m obviously very glad people are taking note of the advice given, but this is awfully strange. Dare I say, I think I’m missing the interaction with people. https://t.co/ojzI4LHSWF",i’m obviously very glad people are taking note of the advice given but this is awfully strange dare i say i think i’m missing the interaction with people ,2020-03-26 10:51:40+00:00,None,2,Negative
1722,1722,boredom mistress,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@SuperMarioMugan I was at first! Boredom is a cruel mistress though., i was at first boredom is a cruel mistress though,2020-03-26 11:10:04+00:00,None,2,Negative
1723,1723,husband risk list anyone distancing person messroom conductor akimbo slutty chicken,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"You can’t kiss or hug your husband, because he’s on the serious risk list. Can’t hug anyone else because of social distancing. When you’re a tactile person like me, not nice. You walk in the messroom, and there’s a hot conductor sat there, legs akimbo like a slutty chicken...",you can’t kiss or hug your husband because he’s on the serious risk list can’t hug anyone else because of social distancing when you’re a tactile person like me not nice you walk in the messroom and there’s a hot conductor sat there legs akimbo like a slutty chicken,2020-03-26 16:24:45+00:00,None,1,Positive
1724,1724,thing meter rule exists,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,Good thing this 2 meter rule exists...,good thing this meter rule exists,2020-03-26 16:25:39+00:00,None,1,Positive
1725,1725,part space name,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.5997564955624312,False,"At least part of me will be going to space, my name. https://t.co/WBukEsfKJd https://t.co/7qyZSBkTd0",at least part of me will be going to space my name  ,2020-03-26 21:30:08+00:00,None,0,None
1726,1726,people people liberty bastard life thing expertise,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.8387177698210363,False,"All these people who are complaining about people losing their liberty why we do what’s necessary to control this little bastard and save life, I’m wondering, how would you do things differently? I await your epidemiological expertise...",all these people who are complaining about people losing their liberty why we do what’s necessary to control this little bastard and save life i’m wondering how would you do things differently i await your epidemiological expertise,2020-03-27 05:55:34+00:00,None,0,None
1727,1727,mate result lack recovery,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.1976799863019027,False,"@ItsRichJames My mate has (probably, we’re not sure as a result of woeful lack of testing) just got over it. It’s not nice, but you’ll be fine, I’m sure. Wishing you a speedy recovery.", my mate has probably we’re not sure as a result of woeful lack of testing just got over it it’s not nice but you’ll be fine i’m sure wishing you a speedy recovery,2020-03-27 06:30:21+00:00,None,1,Positive
1728,1728,instrument legend note,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.5683236917364698,False,"To those of us that are woeful at playing this instrument, it’s reassuring that even the legends drop the odd bum note 😆 https://t.co/mm11cCA1a9",to those of us that are woeful at playing this instrument it’s reassuring that even the legends drop the odd bum note  ,2020-03-27 06:37:38+00:00,None,2,Negative
1729,1729,care drink shit storm pass,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.5070956935350854,False,"@dez_bond @JonVanBondy Don’t believe you buggered off without so much as a man hug! 😉 Hope you guys are well. Take good care, we’ll all grab a drink when this shit storm passes",  don’t believe you buggered off without so much as a man hug  hope you guys are well take good care we’ll all grab a drink when this shit storm passes,2020-03-27 06:41:33+00:00,None,1,Positive
1730,1730,guess work,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,It is imperative we get our act together on this. Guess work doesn’t cut it. https://t.co/8R6KT1MFWD,it is imperative we get our act together on this guess work doesn’t cut it ,2020-03-27 07:58:09+00:00,None,2,Negative
1731,1731,thing number life,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@StuartSB13X We just don’t know, that’s the thing. Better safe than sorry. If they’ve got the numbers right, it’s 230000 lives saved.", we just don’t know that’s the thing better safe than sorry if they’ve got the numbers right it’s lives saved,2020-03-28 10:59:09+00:00,None,1,Positive
1732,1732,thing amount case scenario anything family family bastard,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"@StuartSB13X IF. And that’s the thing. That amount was very conservative. Worse case scenario anything up to 500,000. Your family, my family. We shouldn’t underestimate this little bastard.", if and that’s the thing that amount was very conservative worse case scenario anything up to your family my family we shouldn’t underestimate this little bastard,2020-03-28 11:15:05+00:00,None,2,Negative
