,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
21794,21794,donald trump point,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.4735129319771901,False,@Hazels_Vibes @emmakennytv @impulsivewoman @realDonaldTrump @JuliaHB1 @McGiff @MichaelYeadon3 @FatEmperor Donald Trump has had it (in more ways than one). No point telling him.,        donald trump has had it in more ways than one no point telling him,2020-12-03 00:16:13+00:00,None,2,Negative
21795,21795,regulator article vaccine university,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.5245323687775544,False,"@Hazels_Vibes EU regulators will decide by Dec 29th according to that article, so not long to wait. Also Oxford vaccine, developed by universities, doesn’t seem to be far behind.", eu regulators will decide by dec according to that article so not long to wait also oxford vaccine developed by universities doesn’t seem to be far behind,2020-12-03 00:53:59+00:00,None,0,None
21796,21796,morning yesterday,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,@Constant55 @virkjay @NicolaWood64 @jjb3621 Morning for yesterday,    morning for yesterday,2020-12-03 05:25:11+00:00,None,0,None
21797,21797,morning yesterday,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,@NicolaWood64 @virkjay @Constant55 @jjb3621 Morning for yesterday,    morning for yesterday,2020-12-03 05:25:24+00:00,None,0,None
21798,21798,morning yesterday,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,@jjb3621 @virkjay @Constant55 @NicolaWood64 Morning for yesterday,    morning for yesterday,2020-12-03 05:25:46+00:00,None,0,None
21799,21799,spot kind,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.9980522538331712,False,@virkjay @Constant55 @NicolaWood64 @jjb3621 It’s a spit spot kind of day - we will be making our own ☀️ Have a good day,    it’s a spit spot kind of day  we will be making our own  have a good day,2020-12-03 05:26:50+00:00,None,1,Positive
21800,21800,morning,2,2_morning_james_claire_paul,morning - james - claire - paul - nicola - thanks - adventure - monday - beatles - queue,1.0,True,@virkjay @Constant55 @NicolaWood64 @jjb3621 Morning lovely,    morning lovely,2020-12-03 05:47:14+00:00,Life,1,Positive
21801,21801,morning,2,2_morning_james_claire_paul,morning - james - claire - paul - nicola - thanks - adventure - monday - beatles - queue,1.0,True,@Constant55 @virkjay @NicolaWood64 @jjb3621 Morning lovely,    morning lovely,2020-12-03 06:45:18+00:00,Life,1,Positive
21802,21802,luck today,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,Best of luck @DrFrostMaths in the @TeacherPrize today!,best of luck  in the  today,2020-12-03 06:50:27+00:00,None,1,Positive
21803,21803,topic list advance formula sheet exam place inspection grading people,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,1. “More generous grading” 2. “Topic lists given in advance” 3. “Formulae sheets provided” 4. “Extra back up exams in place for those who miss them” 5. “No full Ofsted inspections until at least March” 6. No regional grading What do we think people? https://t.co/pEg4o6p5cY,more generous grading topic lists given in advance formulae sheets provided extra back up exams in place for those who miss them no full ofsted inspections until at least march no regional grading what do we think people ,2020-12-03 07:07:34+00:00,None,2,Negative
21804,21804,opinion sampg paul simon solo artist garfunkel backing singer,2,2_morning_james_claire_paul,morning - james - claire - paul - nicola - thanks - adventure - monday - beatles - queue,0.3452701462539922,False,@MrEFinch @DWearing1972 @smithsmm @ClareCampbell7 @amasingcic @AnneQuinton @danriley1976 Controversial opinion - S&amp;G and Paul Simon solo should be considered the same artist. Garfunkel was just a (very very good) backing singer.,       controversial opinion  sampg and paul simon solo should be considered the same artist garfunkel was just a very very good backing singer,2020-12-03 07:08:44+00:00,Life,1,Positive
21805,21805,paul simon songbook nothing billing harmonica,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@MrEFinch @DWearing1972 @smithsmm @ClareCampbell7 @amasingcic @AnneQuinton @danriley1976 Me too. Hearing the Paul Simon Songbook blew me away - they lose almost nothing. It’s like giving equal billing to Bob Dylan’s harmonica,       me too hearing the paul simon songbook blew me away  they lose almost nothing it’s like giving equal billing to bob dylan’s harmonica,2020-12-03 07:17:32+00:00,None,2,Negative
21806,21806,winter wonderland james,2,2_morning_james_claire_paul,morning - james - claire - paul - nicola - thanks - adventure - monday - beatles - queue,0.982466624840442,False,@jjb3621 @virkjay @Constant55 @NicolaWood64 Winter wonderland James,    winter wonderland james,2020-12-03 07:18:35+00:00,Life,0,None
21807,21807,morning,2,2_morning_james_claire_paul,morning - james - claire - paul - nicola - thanks - adventure - monday - beatles - queue,1.0,True,@jjb3621 @Constant55 @virkjay @NicolaWood64 Morning,    morning,2020-12-03 07:18:41+00:00,Life,0,None
21808,21808,inspection term summer term inadequate school monitoring visit,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,"No graded inspections next term, until at least summer term Inadequate and some RI schools to receive “supportive monitoring visits” https://t.co/vMLN0V0ITF",no graded inspections next term until at least summer term inadequate and some ri schools to receive supportive monitoring visits ,2020-12-03 07:23:05+00:00,None,2,Negative
21809,21809,code conduct,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@NadineDorries You know that’s not true... isn’t there some code of conduct for MPs??? https://t.co/bGPuUdcClu, you know that’s not true isn’t there some code of conduct for mps ,2020-12-03 09:35:52+00:00,None,2,Negative
21810,21810,opposition challenge,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,"Empire-building at its worst. Unaccountable, undemocratic and unwanted. And it is extremely concerning that Her Majesty's Opposition seems to have run away from any challenge to all this. https://t.co/nJvUyxzafF",empirebuilding at its worst unaccountable undemocratic and unwanted and it is extremely concerning that her majesty's opposition seems to have run away from any challenge to all this ,2020-12-03 11:43:26+00:00,None,2,Negative
