,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
29300,29300,beautiful smile,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.9553194139763268,False,@Constant55 @virkjay @jjb3621 @NicolaWood64 Beautiful smile,    beautiful smile,2021-03-09 06:45:58+00:00,None,1,Positive
29301,29301,school share puppy,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.1803994824769423,False,@dsheadteacher @bekblayton Absolutely! They have become used to the new normal way of school and now have to share it with what looked like over active hyper new puppies!,  absolutely they have become used to the new normal way of school and now have to share it with what looked like over active hyper new puppies,2021-03-09 07:12:22+00:00,None,1,Positive
29302,29302,recess speaker,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,How about HOC cancelling all ‘recess’ to ‘catch up’? Speaker?,how about hoc cancelling all recess to catch up speaker,2021-03-09 08:17:24+00:00,None,2,Negative
29303,29303,teacher coat cold,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@MartinRemains Kids and teachers can wear coats if it’s cold, kids and teachers can wear coats if it’s cold,2021-03-09 08:27:25+00:00,None,0,None
29304,29304,constituent press behaviour health struggle mocking suicide health page today,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.3491473536556287,False,@_RobbieMoore hi I’m your constituent. We’ve spoken before about the press behaviour. I have mental health struggles. What are you going to do to hold them to account for their mocking of suicide and mental health struggled across every one of their pages today?, hi i’m your constituent we’ve spoken before about the press behaviour i have mental health struggles what are you going to do to hold them to account for their mocking of suicide and mental health struggled across every one of their pages today,2021-03-09 08:37:11+00:00,None,2,Negative
29305,29305,people solution housing crisis moaning solution,6,6_energy_price_bill_cost,energy - price - bill - cost - water - inflation - company - crisis - profit - petrol,1.0,False,@_RobbieMoore Can you elaborate where you think people should live and what your solution is to the housing crisis? Otherwise it looks like you’re just moaning and have no better solution., can you elaborate where you think people should live and what your solution is to the housing crisis otherwise it looks like you’re just moaning and have no better solution,2021-03-09 08:38:38+00:00,Life,2,Negative
29306,29306,woman area work care rise year life expectancy difference woman constituency country,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@_RobbieMoore Hi I’m your constituent. Many many Women in your area work in low paid NHS or care jobs and an NHS pay rise would help to address the 10 year life expectancy difference between wealthy and poor women in your constituency. Which is one of the most unequal in the country., hi i’m your constituent many many women in your area work in low paid nhs or care jobs and an nhs pay rise would help to address the year life expectancy difference between wealthy and poor women in your constituency which is one of the most unequal in the country,2021-03-09 08:40:35+00:00,None,0,None
29307,29307,teacher load book classroom decade,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@_RobbieMoore As a teacher I have to buy loads of books for my classroom because we have been systematically defunded for a decade :( worse than the 1970’s. https://t.co/EjoRODlIA0, as a teacher i have to buy loads of books for my classroom because we have been systematically defunded for a decade  worse than the ,2021-03-09 08:46:57+00:00,None,2,Negative
29308,29308,constituent assurance hypocrisy press behaviour parto gaslighting,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"@_RobbieMoore As your constituent I would like your assurance that you see the hypocrisy here and that you don’t think this press behaviour is acceptable. Also, that you know or can look up Madonna del Parto and understand what gaslighting is. Thankyou https://t.co/Kc9xlN1Bse", as your constituent i would like your assurance that you see the hypocrisy here and that you don’t think this press behaviour is acceptable also that you know or can look up madonna del parto and understand what gaslighting is thankyou ,2021-03-09 09:01:34+00:00,None,1,Positive
29309,29309,relationship history curriculum literacy inclusion diversity history look security vocab march,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.4489190462969422,False,"What's the relationship betw a thorough, well-sequenced history curriculum, literacy inclusion? What do breadth diversity in primary history look like? How can high-leverage teaching ensure security in rich vocab? Join me @Mastin_SJJH @HistoryPrimary @histassoc on 15 March https://t.co/MVrNSlOR77",what's the relationship betw a thorough wellsequenced history curriculum literacy inclusion what do breadth diversity in primary history look like how can highleverage teaching ensure security in rich vocab join me    on march ,2021-03-09 10:26:18+00:00,None,1,Positive
