,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
20510,20510,friday,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.9107144885323656,False,@virkjay @Constant55 @NicolaWood64 @jjb3621 Happy Friday 😘,    happy friday ,2020-11-06 05:23:04+00:00,None,1,Positive
20511,20511,week plan week friday,1,1_holiday_week_summer_easter,holiday - week - summer - easter - bank - term - food - solidarity - school - recovery,1.0,False,@Constant55 @virkjay @NicolaWood64 @jjb3621 Pull together the week and plan for next week Happy Friday,    pull together the week and plan for next week happy friday,2020-11-06 05:33:49+00:00,Work,1,Positive
20512,20512,morning weekend,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"@virkjay @Constant55 @NicolaWood64 @jjb3621 Morning Jay, weekend is almost here",    morning jay weekend is almost here,2020-11-06 06:04:11+00:00,None,0,None
20513,20513,roman book,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@MissC_1717 @AnneliseGray @FrithaL @ZephyrPress @KtWillett Roman book!,     roman book,2020-11-06 06:30:33+00:00,None,0,None
20514,20514,house everyone,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,Strange sneaking around the house- everyone still asleep #Lockdown2 off to work I go,strange sneaking around the house everyone still asleep  off to work i go,2020-11-06 06:43:55+00:00,None,2,Negative
20515,20515,school morning,2,2_morning_james_claire_paul,morning - james - claire - paul - nicola - thanks - adventure - monday - beatles - queue,0.4069616210622201,False,"That's looks great, warm too (bit chilly at school this morning) ☺ 🎇 🔥 https://t.co/fP223fHWli",that's looks great warm too bit chilly at school this morning    ,2020-11-06 07:03:06+00:00,Life,1,Positive
20516,20516,today time violet lunch cleaner fruit premise field,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"I got to @TVInfants early today, catch up time. Violet is preparing lunch, the cleaners are busy as always, Billy is getting the fruit out checking the premises. I thought I'd show you the beautiful #sunrise over our frosty field @bbcweather isn't it stunning? https://t.co/OC2ZxeiwwI",i got to  early today catch up time violet is preparing lunch the cleaners are busy as always billy is getting the fruit out checking the premises i thought i'd show you the beautiful  over our frosty field  isn't it stunning ,2020-11-06 07:08:51+00:00,None,1,Positive
20517,20517,friday,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,@NicolaWood64 @virkjay @Constant55 @jjb3621 I’m dancing 😘 Happy Friday,    i’m dancing  happy friday,2020-11-06 07:27:57+00:00,None,1,Positive
20518,20518,morning james,2,2_morning_james_claire_paul,morning - james - claire - paul - nicola - thanks - adventure - monday - beatles - queue,0.9122969340656002,True,@jjb3621 @virkjay @Constant55 @NicolaWood64 Morning James,    morning james,2020-11-06 07:28:06+00:00,Life,0,None
20519,20519,agree decision year,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.682663559481327,False,Agree with the decision but why wasn’t this being done years ago? https://t.co/AuXqXT6fJx,agree with the decision but why wasn’t this being done years ago ,2020-11-06 07:52:37+00:00,None,1,Positive
20520,20520,delivery shop thing panic,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,"#lockdown2uk day 2 I still have to work, but can I get a good delivery? No no I can not have shops sold out of things? Yes yes they have..... shop nicely stop panic buying some of us still need to work and we can’t get what’s needed", day i still have to work but can i get a good delivery no no i can not have shops sold out of things yes yes they have shop nicely stop panic buying some of us still need to work and we can’t get what’s needed,2020-11-06 08:02:38+00:00,None,1,Positive
20521,20521,girl feel kwan girl skating life,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.052827068690395,False,@GhenetActually This is also bringing back so many 90s girl feels. I was a major Kwan fan girl (and had never been ice skating in my life), this is also bringing back so many girl feels i was a major kwan fan girl and had never been ice skating in my life,2020-11-06 08:36:17+00:00,None,1,Positive
20522,20522,tapper,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0997895788647543,False,@ByVictoria__ Tapper, tapper,2020-11-06 08:52:26+00:00,None,0,None
20523,20523,commentator meantime labour hope,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.4508256694281265,False,This is why we need #PR. Experienced intelligent commentators feel free to take a pop at @libdems. In the meantime Labour have no hope of winning without PR either. @MakeVotesMatter https://t.co/J6fh8mhBqZ,this is why we need  experienced intelligent commentators feel free to take a pop at  in the meantime labour have no hope of winning without pr either  ,2020-11-06 09:17:56+00:00,None,1,Positive
20524,20524,head ocado delivery november area,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,@Ls182 Does my head in. I’ve looked on Ocado and no deliveries at all in November for my area left, does my head in i’ve looked on ocado and no deliveries at all in november for my area left,2020-11-06 09:20:29+00:00,None,2,Negative
20525,20525,tang blog blog hullblog blog,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@yv-tang​ @rikkiarundel​ @oneswallowmakes​ @knowlesyfromhull-blog​ @bobzillabob​ @sagea-then​ @bamberboozle​ @eddiecoatesmadden​ @fatmancunianfat-blog​ @timpickstone​ @andyoyo1​ @soundsofthecity-hull-blog​ @danncook1985​ @danncook85-blog​... https://t.co/iXnzkmkBOc,tang   blog  then   blog   hullblog  blog ,2020-11-06 12:00:33+00:00,None,0,None
20526,20526,difference trump trumpism,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,Difference between taking Trump outta the WH and defeating Trumpism. #FridayThoughts,difference between taking trump outta the wh and defeating trumpism ,2020-11-06 12:02:34+00:00,None,2,Negative
20527,20527,trumpet lesson,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.3122236715578256,False,@secretHT1 My sons still having trumpet lessons, my sons still having trumpet lessons,2020-11-06 12:03:26+00:00,None,0,None
20528,20528,walk drive school book traffic book,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@melanietutors I’ve gone from a 5 min walk to a 20-30 min drive and I was dreading it but I love the school and I’m so much happier. I listen to audio books and sometimes when the traffic snarls up I’m happy cos it means I get to listen to more of my book 😀, i’ve gone from a min walk to a min drive and i was dreading it but i love the school and i’m so much happier i listen to audio books and sometimes when the traffic snarls up i’m happy cos it means i get to listen to more of my book ,2020-11-06 12:05:41+00:00,None,1,Positive
20529,20529,viability election platform front garden,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.7498480499116962,False,I’ve often pondered the viability of standing for election on a platform of Front Gardens For All. https://t.co/kP476fgBWL,i’ve often pondered the viability of standing for election on a platform of front gardens for all ,2020-11-06 13:08:20+00:00,None,0,None
20530,20530,thankyou lockdown business hospitality family school,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.2493026102385725,False,@walkininthedead Thankyou gala! It’s not really a proper lockdown here non essential businesses closed and hospitality closed and we can’t see Furness and family but we can still go to work and school, thankyou gala it’s not really a proper lockdown here non essential businesses closed and hospitality closed and we can’t see furness and family but we can still go to work and school,2020-11-06 13:39:18+00:00,None,0,None
20531,20531,lite pick republican base donor party,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"@CorkusBucksuth So true. Being ""GOP lite"" picks off a few Republicans and sacrifices the Dems' natural base. It plays well with the wealthy, powerful donors who actually own the party. https://t.co/RzZ8rdcWgT", so true being gop lite picks off a few republicans and sacrifices the dems natural base it plays well with the wealthy powerful donors who actually own the party ,2020-11-06 14:16:08+00:00,None,1,Positive
20532,20532,pattern question trump argument matter,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"@MajorPhilebrity So true. And yet, the pattern persists. Question is how we break it. When Trump runs in 2024 we'll have the same ""lesser evil"" argument no matter who the Dem is.", so true and yet the pattern persists question is how we break it when trump runs in we'll have the same lesser evil argument no matter who the dem is,2020-11-06 14:18:54+00:00,None,2,Negative
20533,20533,food thought,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,@Toure Many listened to Bernie though. Food for thought there., many listened to bernie though food for thought there,2020-11-06 14:19:46+00:00,None,0,None
20534,20534,covid response lack people people conspiracy american mask life,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@DonaldJTrumpJr your Dad’s covid response (or lack there of) has pissed people off and that’s gone against him Because he has actively killed people by spouting conspiracies and telling Americans not to wear masks or socially distance telling them to go about their lives as normal. #ByeByeTrump, your dad’s covid response or lack there of has pissed people off and that’s gone against him because he has actively killed people by spouting conspiracies and telling americans not to wear masks or socially distance telling them to go about their lives as normal ,2020-11-06 14:41:01+00:00,None,2,Negative
20535,20535,trump state please,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,I hear trump has said he might leave the states 🤣 don’t let him in the Uk please #BidenHarrisLandslide2020 #2020Elections #DumpTrump2020,i hear trump has said he might leave the states  don’t let him in the uk please   ,2020-11-06 14:54:53+00:00,None,1,Positive
20536,20536,head discrimination towards teacher please article academisation school today,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"The Head, found guilty of discrimination and 'animus' towards this teacher, referred to himself as 'FIG-JAM'. Please read the article to see how disgusting this is, and to understand how academisation has poisoned so many of our schools today. https://t.co/ih9sNn9KCU",the head found guilty of discrimination and animus towards this teacher referred to himself as figjam please read the article to see how disgusting this is and to understand how academisation has poisoned so many of our schools today ,2020-11-06 14:55:28+00:00,None,2,Negative
20537,20537,tang blog blog hullblog blog,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.2868609322759947,False,@yv-tang​ @rikkiarundel​ @oneswallowmakes​ @knowlesyfromhull-blog​ @bobzillabob​ @sagea-then​ @bamberboozle​ @eddiecoatesmadden​ @fatmancunianfat-blog​ @timpickstone​ @andyoyo1​ @soundsofthecity-hull-blog​ @danncook1985​ @danncook85-blog​... https://t.co/d0LPEbP918,tang   blog  then   blog   hullblog  blog ,2020-11-06 15:01:02+00:00,None,0,None
20538,20538,ratio furries manics something weekend world,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.649974042038495,False,@bennewmark The tricky bit here was whether the ratio of Furries to Manics would be 2:3 or 3:2. SFA: She’s Got Spies SFA: Something 4 the Weekend SFA: It’s not the End of the World? MSP: Ifwhiteamericatoldthetruthforoneday... MSP: Faster #FridayFive, the tricky bit here was whether the ratio of furries to manics would be or sfa she’s got spies sfa something the weekend sfa it’s not the end of the world msp ifwhiteamericatoldthetruthforoneday msp faster ,2020-11-06 16:35:20+00:00,None,2,Negative
20539,20539,week child colleague everything,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"That. Was. An. Ok. Week. Is that ok? Children were much better behaved than before HT. Colleagues rested and cheerful. Given *everything else*, yeah. It was ok.",that was an ok week is that ok children were much better behaved than before ht colleagues rested and cheerful given everything else yeah it was ok,2020-11-06 16:36:33+00:00,None,1,Positive
20540,20540,hear hear,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"@JennyBrasso Hear, hear!", hear hear,2020-11-06 16:55:53+00:00,None,0,None
20541,20541,student school today revision teacher moment,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,55 students stayed behind after school today for maths revision... ON A FRIDAY! Really proud teacher moment!,students stayed behind after school today for maths revision on a friday really proud teacher moment,2020-11-06 17:25:46+00:00,None,1,Positive
20542,20542,people spot research crap traveller group,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@kelvmackenzie People like you definitely do not deserve top spots 🙄 Do your research before talking crap. Irish Traveller is a recognised ethnic group., people like you definitely do not deserve top spots  do your research before talking crap irish traveller is a recognised ethnic group,2020-11-06 17:35:37+00:00,None,1,Positive
20543,20543,explosion sense,5,5_thank_kind_thanks_bridge,thank - kind - thanks - bridge - touch - glad - motivation - note - shock - company,0.1961814724307551,False,Explosion Makes sense https://t.co/k5PR5FDDI4,explosion makes sense ,2020-11-06 18:22:35+00:00,Life,0,None
20544,20544,word,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.8373765839240072,False,@kittywenham I have no words, i have no words,2020-11-06 18:23:48+00:00,None,2,Negative
20545,20545,world president state america content tweet congrats pair,0,0_tweet_twitter_account_people,tweet - twitter - account - people - reply - response - timeline - hashtag - someone - parody,1.0,False,Imagine a world so fucked up that the actual current president of the United States of America is so dangerous that he has to be censored with a “Some or all of the content shared in this Tweet is bullshit” warning. Congrats to @Twitter for finally growing a pair though! https://t.co/52kpjkjUgw,imagine a world so fucked up that the actual current president of the united states of america is so dangerous that he has to be censored with a some or all of the content shared in this tweet is bullshit warning congrats to  for finally growing a pair though ,2020-11-06 20:10:19+00:00,Life,2,Negative
20546,20546,tweet something,0,0_tweet_twitter_account_people,tweet - twitter - account - people - reply - response - timeline - hashtag - someone - parody,1.0,False,A tweet about something good! It’s been ages since I’ve seen that https://t.co/uL1RN4V6Jo,a tweet about something good it’s been ages since i’ve seen that ,2020-11-06 20:24:30+00:00,Life,1,Positive
20547,20547,book weekend page character,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,Got this gorgeous book to read over my first lockdown weekend. I'm a few pages in and already invested in the character and very intrigued! #TheMidnightLibrary @matthaig1 https://t.co/EnXHt49lJg,got this gorgeous book to read over my first lockdown weekend i'm a few pages in and already invested in the character and very intrigued   ,2020-11-06 20:25:52+00:00,None,1,Positive
20548,20548,bloody column spreadsheet life,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,"@MrEFinch @samtwiselton Ed, you’re in my ‘bloody love em’ column too (within the spreadsheet of LIFE). 😌",  ed you’re in my bloody love em column too within the spreadsheet of life ,2020-11-06 20:57:40+00:00,None,1,Positive
20549,20549,stay carole work,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.1751282784373445,False,@carolecadwalla Stay strong Carole. We love your work, stay strong carole we love your work,2020-11-06 22:30:02+00:00,None,1,Positive
20550,20550,issue misogyny racism unity goal wage,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.8998793398686117,False,"@AngryBlackLady Issues can be cast in ways that are more or less inclusive. Misogyny, racism often but don't necessarily preclude unity on a shared goal, like making the minimum wage liveable.", issues can be cast in ways that are more or less inclusive misogyny racism often but don't necessarily preclude unity on a shared goal like making the minimum wage liveable,2020-11-07 00:57:22+00:00,None,1,Positive
