Unnamed: 0,id,created_at,edit_history_tweet_ids,text,clean_text,non_english,whitespace
0,1.5646855205879194e+18,2022-08-30 18:44:33+00:00,['1564685520587919361'],"@Tha5SOSFamily Stop this shit, my IBS will flare right up", stop this shit my ibs will flare right up,True,False
1,1.564660127772328e+18,2022-08-30 17:03:39+00:00,['1564660127772327938'],"@Nmbourne07 @finneas That isn’t the students’ fault though. So they deserve some relief off their debts. Tuition is high because we live in a capitalist society and there are no repercussions for how expensive they are. I mean, we have tuition fees here in the UK for the exact same reason.",  that isn’t the students’ fault though so they deserve some relief off their debts tuition is high because we live in a capitalist society and there are no repercussions for how expensive they are i mean we have tuition fees here in the uk for the exact same reason,True,False
2,1.5646570241426596e+18,2022-08-30 16:51:19+00:00,['1564657024142659585'],"@Nmbourne07 @finneas Yeah. The teachers, nurses, doctors etc who all contribute hell of a lot to society. They deserve to have their debt reduced, especially considering their jobs.",  yeah the teachers nurses doctors etc who all contribute hell of a lot to society they deserve to have their debt reduced especially considering their jobs,True,False
3,1.564649014666183e+18,2022-08-30 16:19:29+00:00,['1564649014666182656'],@5SOS I don’t trust y’all one bit 😂, i don’t trust y’all one bit ,True,False
4,1.56464660371302e+18,2022-08-30 16:09:54+00:00,['1564646603713019906'],@CALMDAlLY Shut up no, shut up no,True,False
5,1.5646241713338122e+18,2022-08-30 14:40:46+00:00,['1564624171333812227'],@WildflowerCas Carousel for sure, carousel for sure,True,False
6,1.5646126526803354e+18,2022-08-30 13:55:00+00:00,['1564612652680335373'],@yungblud @BanquetRecords Ordered!!!,  ordered,True,False
7,1.564533780559315e+18,2022-08-30 08:41:35+00:00,['1564533780559314945'],@Rhi5SOS Nope! An email I got yesterday said that they haven’t been posted yet but will be soon!, nope an email i got yesterday said that they haven’t been posted yet but will be soon,True,False
8,1.5642894997436334e+18,2022-08-29 16:30:54+00:00,['1564289499743633408'],National Cinema Day is on my birthday. This is a sign. I can celebrate my birthday for CHEAP,national cinema day is on my birthday this is a sign i can celebrate my birthday for cheap,True,False
9,1.5642704376343757e+18,2022-08-29 15:15:09+00:00,['1564270437634375682'],@Rhi5SOS Wait what does that upgrade get you?, wait what does that upgrade get you,True,False
10,1.564244671542575e+18,2022-08-29 13:32:46+00:00,['1564244671542575105'],"@RoyalAlbertHall Hi, no worries! Just got an email response so all is sorted now 😊", hi no worries just got an email response so all is sorted now ,True,False
11,1.5642416376514806e+18,2022-08-29 13:20:43+00:00,['1564241637651480576'],@martalftv @RoyalAlbertHall No harm in doing so 😊,  no harm in doing so ,True,False
12,1.5642406133813985e+18,2022-08-29 13:16:39+00:00,['1564240613381398529'],"@RoyalAlbertHall Done, thank you 😊", done thank you ,True,False
13,1.5642399271052575e+18,2022-08-29 13:13:55+00:00,['1564239927105257477'],@martalftv @RoyalAlbertHall Yeah,  yeah,True,False
14,1.5642355437848658e+18,2022-08-29 12:56:30+00:00,['1564235543784865794'],@RoyalAlbertHall Is there a way to check if my tickets for 5 Seconds Of Summer have been dispatched yet? I see my peers receiving theirs and it has made me worried 😅, is there a way to check if my tickets for 5 seconds of summer have been dispatched yet i see my peers receiving theirs and it has made me worried ,True,False
15,1.5642344275464356e+18,2022-08-29 12:52:04+00:00,['1564234427546435585'],@not_your_h0ney SCREAMING, screaming,True,False
16,1.5642343532233687e+18,2022-08-29 12:51:46+00:00,['1564234353223368704'],OH. MY. GOD. https://t.co/c46LBNG9b9,oh my god ,True,False
17,1.563992940011217e+18,2022-08-28 20:52:29+00:00,['1563992940011216896'],"Despite how overwhelmed I got earlier, I’m feeling better. I’ve had a nap, a nice meal and watched some of my favourite shows. Definitely a lot calmer and relaxed now. 

If that autism clinic doesn’t diagnose me then I will be very shocked, especially after lately 😅","despite how overwhelmed i got earlier i’m feeling better i’ve had a nap a nice meal and watched some of my favourite shows definitely a lot calmer and relaxed now 

if that autism clinic doesn’t diagnose me then i will be very shocked especially after lately ",True,False
19,1.5639546284247777e+18,2022-08-28 18:20:14+00:00,['1563954628424777728'],@RAHGALASOS I hope lilac so we can be matching, i hope lilac so we can be matching,True,False
20,1.5639365579580457e+18,2022-08-28 17:08:26+00:00,['1563936557958045696'],"@nothsaeroda @RAHGALASOS Row 1, seats 122-123! You?",  row 1 seats 122123 you,True,False
21,1.5638786828501975e+18,2022-08-28 13:18:28+00:00,['1563878682850197505'],"Got overwhelmed at my grandparents this morning. Sensory overload isn’t something to be ignored, it zaps your energy.",got overwhelmed at my grandparents this morning sensory overload isn’t something to be ignored it zaps your energy,True,False
22,1.563815036694438e+18,2022-08-28 09:05:33+00:00,['1563815036694437888'],@michael_hourly I miss them and can’t wait for ono! https://t.co/dNcQ9BGoXj, i miss them and can’t wait for ono ,True,False
23,1.5638147399138673e+18,2022-08-28 09:04:22+00:00,['1563814739913867265'],"@hemmingsirwin I was gonna go this year too but it was so close to my Billie Eilish and ABBA Voyage gigs that I decided not to. They’re lucky to have so many options, wish we had something similar 😂", i was gonna go this year too but it was so close to my billie eilish and abba voyage gigs that i decided not to they’re lucky to have so many options wish we had something similar ,True,False
24,1.5638062673444045e+18,2022-08-28 08:30:42+00:00,['1563806267344404480'],"@hemmingsirwin I’m up for Yungblud and Coldplay hahah. Like, do they just expect us to never experience live music? Don’t exactly have great venues here 😂", i’m up for yungblud and coldplay hahah like do they just expect us to never experience live music don’t exactly have great venues here ,True,False
25,1.563692860339327e+18,2022-08-28 01:00:04+00:00,['1563692860339326976'],@nothsaeroda @RAHGALASOS Same!!!,  same,True,False
26,1.5636717729810678e+18,2022-08-27 23:36:16+00:00,['1563671772981067778'],@hemmingsirwin Is this for Harry Styles? Damnnnn they really wanna gatekeep. Going Cardiff twice next year already so fuck em 😂, is this for harry styles damnnnn they really wanna gatekeep going cardiff twice next year already so fuck em ,True,False
27,1.563211177320018e+18,2022-08-26 17:06:02+00:00,['1563211177320017921'],Harry Styles why… I paid for 2 gigs yesterday and now you announce this?! Mind? Blown.,harry styles why… i paid for 2 gigs yesterday and now you announce this mind blown,True,False
28,1.5631860665923707e+18,2022-08-26 15:26:15+00:00,['1563186066592370688'],This is such a beauty @muse!!! https://t.co/3JiU4Sljs1,this is such a beauty  ,True,False
29,1.5630933916545477e+18,2022-08-26 09:18:00+00:00,['1563093391654547458'],Oh this new album from @muse absolutely fucks oh my goodness,oh this new album from  absolutely fucks oh my goodness,True,False
30,1.5628432970682368e+18,2022-08-25 16:44:12+00:00,['1562843297068236800'],@muse See you in Plymouth! Gonna be a rowdy one!, see you in plymouth gonna be a rowdy one,True,False
31,1.56283046959863e+18,2022-08-25 15:53:14+00:00,['1562830469598629889'],@muse Buzzing!!!, buzzing,True,False
32,1.5627978861693174e+18,2022-08-25 13:43:46+00:00,['1562797886169317378'],@RobFodder @lozziepop89 @muse Ah good! Might see you there then,   ah good might see you there then,True,False
33,1.5627850210645484e+18,2022-08-25 12:52:38+00:00,['1562785021064548353'],@RobFodder @lozziepop89 @muse I just went on the Plymouth gig and there are standing tickets still!,   i just went on the plymouth gig and there are standing tickets still,True,False
34,1.562784708416508e+18,2022-08-25 12:51:24+00:00,['1562784708416507909'],@muse See you in Plymouth!!!, see you in plymouth,True,False
35,1.5627507437060956e+18,2022-08-25 10:36:26+00:00,['1562750743706095618'],@_georgia__w M32!!!, m32,True,False
36,1.56274729430247e+18,2022-08-25 10:22:44+00:00,['1562747294302470144'],"Jks, I’m already crying 😂",jks i’m already crying ,True,False
37,1.5627471665268283e+18,2022-08-25 10:22:13+00:00,['1562747166526828545'],"This week alone I’ve booked Yungblud, Muse and Coldplay tickets!?! 

I could cry.","this week alone i’ve booked yungblud muse and coldplay tickets 

i could cry",True,False
38,1.5627447993626788e+18,2022-08-25 10:12:49+00:00,['1562744799362678786'],@_georgia__w SAME!!! WHAT SECTION ARE YOUR TICKETS?!?, same what section are your tickets,True,False
39,1.562742841566458e+18,2022-08-25 10:05:02+00:00,['1562742841566457857'],@_georgia__w WHAT DATE AND VENUE?, what date and venue,True,False
40,1.5627427380799816e+18,2022-08-25 10:04:37+00:00,['1562742738079981570'],IM SEEING COLDPLAY NEXT YEAR WTF,im seeing coldplay next year wtf,True,False
41,1.562737122058326e+18,2022-08-25 09:42:18+00:00,['1562737122058326016'],@_georgia__w Yeah just saw!, yeah just saw,True,False
42,1.5627351135697183e+18,2022-08-25 09:34:19+00:00,['1562735113569718272'],@_georgia__w Queue is barely moving!, queue is barely moving,True,False
43,1.5627249404740895e+18,2022-08-25 08:53:54+00:00,['1562724940474089472'],Feel like i may throw up waiting for coldplay tickets ya know,feel like i may throw up waiting for coldplay tickets ya know,True,False
44,1.562720229213741e+18,2022-08-25 08:35:11+00:00,['1562720229213741056'],I’M SEEING MUSE NEXT YEAR,i’m seeing muse next year,True,False
45,1.5625681483812372e+18,2022-08-24 22:30:52+00:00,['1562568148381237248'],"Just a polite ask that if you have already been to Coldplay’s current tour, please give us who haven’t a chance to get tickets. We crave the same experience you’ve already had. All the other venues, until now, have been to far from me. Give us a chance, please.",just a polite ask that if you have already been to coldplay’s current tour please give us who haven’t a chance to get tickets we crave the same experience you’ve already had all the other venues until now have been to far from me give us a chance please,True,False
46,1.562544442862895e+18,2022-08-24 20:56:40+00:00,['1562544442862895104'],@nothsaeroda Oh nice!!! Will probably see you then!, oh nice will probably see you then,True,False
47,1.562541737004118e+18,2022-08-24 20:45:55+00:00,['1562541737004118017'],@LukeCutforth This is amazing Luke! So so proud! Can’t wait to see it!, this is amazing luke so so proud can’t wait to see it,True,False
48,1.5625402700798566e+18,2022-08-24 20:40:05+00:00,['1562540270079856640'],"@nothsaeroda Circle U!!! Can’t remember my exact seats though, but in the front row", circle u can’t remember my exact seats though but in the front row,True,False
49,1.562527753378734e+18,2022-08-24 19:50:21+00:00,['1562527753378734080'],@Mandy6766 @OfficialJuuls Manchester is probably the best chance since there’s 2 dates. If think of trying I’d go for that. Good luck!,  manchester is probably the best chance since there’s 2 dates if think of trying i’d go for that good luck,True,False
51,1.5624337332734607e+18,2022-08-24 13:36:45+00:00,['1562433733273460742'],@Argyle hi! Ticketmaster are no help so do you know what’s happening here?! Not the stress we need the day before presale opens 😅 https://t.co/DiRR7UxGKr, hi ticketmaster are no help so do you know what’s happening here not the stress we need the day before presale opens  ,True,False
52,1.5624279651617423e+18,2022-08-24 13:13:50+00:00,['1562427965161742344'],@TicketmasterCS Doesn’t explain the discrepancy between venues. https://t.co/QTNSXBoJmZ, doesn’t explain the discrepancy between venues ,True,False
53,1.5624123315141837e+18,2022-08-24 12:11:42+00:00,['1562412331514183680'],@TicketmasterCS But the other venues don’t say the same thing as ours. Ours says no tickets/limited availability. Doesn’t even show the countdowns anymore. Every other venue for the tour shows like Home Park used to., but the other venues don’t say the same thing as ours ours says no ticketslimited availability doesn’t even show the countdowns anymore every other venue for the tour shows like home park used to,True,False
