id,created_at,edit_history_tweet_ids,text,withheld,clean_text,nouns
1.5454685732960666e+18,2022-07-08 18:03:15+00:00,['1545468573296066561'],@RBarnett2018 @jrh3192 Shared on Instagram,,  shared on instagram,instagram
1.544285004200657e+18,2022-07-05 11:40:11+00:00,['1544285004200656899'],"@sneaversons Sorry to hear of your loss Stuart, he sounds like an amazing man and father",, sorry to hear of your loss stuart he sounds like an amazing man and father,sorry loss stuart father
1.5426325626228654e+18,2022-06-30 22:13:58+00:00,['1542632562622865410'],@Aaron_LDN Cos her playing Andrew around?,, cos her playing andrew around,playing andrew
1.5426310633647145e+18,2022-06-30 22:08:00+00:00,['1542631063364714497'],@Aaron_LDN What’s your beef with Tasha,, what’s your beef with tasha,beef tasha
1.529867312530178e+18,2022-05-26 16:49:25+00:00,['1529867312530178048'],@Aaron_LDN Well done babe!! Massive congratulations!! Xx,, well done babe massive congratulations xx,babe congratulation
1.527391183328006e+18,2022-05-19 20:50:10+00:00,['1527391183328006157'],@tessatylertodd @kpmguk @Literacy_Trust Ah I didn’t know you worked for the Literacy Trust? That’s brilliant!,,   ah i didn’t know you worked for the literacy trust that’s brilliant,literacy trust brilliant
1.5237308880009093e+18,2022-05-09 18:25:27+00:00,['1523730888000909312'],AMAZING!!! Very well done to @eleanormerton1 and all Merton staff that work in children’s services. Such a positive report by @Ofstednews https://t.co/jXF1mKdOe0,,amazing very well done to  and all merton staff that work in children’s services such a positive report by  ,staff work service report
1.522692886432727e+18,2022-05-06 21:40:49+00:00,['1522692886432727042'],@EdithmacauleyM @Merton_Council Looking fabulous Edith! Especially after a tiring day yesterday! Xx,,  looking fabulous edith especially after a tiring day yesterday xx,edith yesterday
1.522588042183258e+18,2022-05-06 14:44:12+00:00,['1522588042183258114'],@MarkGale @MatthewMarks42 @MertonTV @MertonTories @MertonLabour It must be tiring running a whole TV production on your own,,     it must be tiring running a whole tv production on your own,production
1.5225863936666337e+18,2022-05-06 14:37:39+00:00,['1522586393666633731'],@MatthewMarks42 @MertonTV @MertonTories @MertonLabour Maybe it’s been hiding under a lawn full of daffodils…,,    maybe it’s been hiding under a lawn full of daffodils,lawn daffodil
1.5225855227697357e+18,2022-05-06 14:34:11+00:00,['1522585522769735680'],@MertonTV @MertonTories @MertonLabour Don’t you mean Lower Morden?,,   don’t you mean lower morden,morden
1.5221199310594417e+18,2022-05-05 07:44:05+00:00,['1522119931059441673'],"@simongrahambsky @MertonLabour Fortunately, the local Labour Party and Cannon Hill candidates do not need to scoop so low, as they have fantastic policies to discuss with residents and they take the time to listen to their feedback and discuss any queries they have instead.",,  fortunately the local labour party and cannon hill candidates do not need to scoop so low as they have fantastic policies to discuss with residents and they take the time to listen to their feedback and discuss any queries they have instead,labour party cannon hill candidate policy resident time feedback query
