id,created_at,edit_history_tweet_ids,text,clean_text,non_english,nouns
1.564174254589223e+18,2022-08-29 08:52:57+00:00,['1564174254589222913'],"Just popping into Lidl for  some back-to-school essentials.. @ Birmingham, United Kingdom https://t.co/aPtyFZzuJL",popping lidl backtoschool essential birmingham united kingdom,True,backtoschool birmingham kingdom 
1.564025867856134e+18,2022-08-28 23:03:19+00:00,['1564025867856134149'],"There's your answer, right there. https://t.co/aEa6tx38b4",there's answer right,True,right 
1.5627411702491464e+18,2022-08-25 09:58:23+00:00,['1562741170249146368'],"Oh God, not again. I could barely cope the first time round. https://t.co/eUHcYSxHY1",god could barely cope first time round,True,god time round 
1.562011802678055e+18,2022-08-23 09:40:09+00:00,['1562011802678054912'],@fillhaze I like 'Spacey Time Music' best.,like 'spacey time music' best,True,time music 
1.5616769968154952e+18,2022-08-22 11:29:45+00:00,['1561676996815495168'],@BoyleLainy @Villaboycey He definately did.,definately,True,
1.5612705061034803e+18,2022-08-21 08:34:30+00:00,['1561270506103480320'],Home! My sat nav always makes me laugh. https://t.co/PqgiO18Gp1,home sat nav always make laugh,True,home laugh 
1.5608502099991306e+18,2022-08-20 04:44:23+00:00,['1560850209999130627'],"#Cornwall Day 10, 19/8/22

Part 3: Holywell Bay
A beautiful beach, busy in parts but managed to find a quite spot by the rocks. Had a paddle but it was a bit too rough for a swim! 

#WestCountryRoadTrip https://t.co/xReAm591ci",day part holywell bay beautiful beach busy part managed find quite spot rock paddle bit rough swim,True,day part holywell beach part spot rock bit swim 
1.560848724019974e+18,2022-08-20 04:38:29+00:00,['1560848724019974144'],"#Cornwall Day 10, Friday 19/8 Part 2:St Agnes

Met a Buffy-alike. Called her Agnes, onvs. 

#WestCountryRoadTrip @ St Agnes, Cornwall https://t.co/Gh69p4znQM",day friday part agnes met buffyalike called agnes onvs agnes cornwall,True,day part buffyalike cornwall 
1.5608475963940577e+18,2022-08-20 04:34:00+00:00,['1560847596394057728'],"#Cornwall Day 10, Friday 19/8. Part 1: Chapel Porth - wheal Coates

Absolutely stunning. Probably the most beautiful walk of my holiday. 

#WestCountryRoadTrip @ Wheal Coates https://t.co/hnrrJG9KwX",day friday part chapel porth wheal coates absolutely stunning probably beautiful walk holiday wheal coates,True,day part chapel porth wheal walk holiday 
1.560326384903508e+18,2022-08-18 18:02:54+00:00,['1560326384903507971'],@fillhaze Awwwww!,awwwww,True,awwwww 
1.5603260511794217e+18,2022-08-18 18:01:34+00:00,['1560326051179421696'],I'VE ONLY GONE AND BOOKED LUISA OMIELAN! https://t.co/XTLTHVO2G9,i've gone booked luisa omielan,True,i luisa omielan 
1.5602294125320645e+18,2022-08-18 11:37:34+00:00,['1560229412532064258'],What's this place? https://t.co/FfY6llAz24,what's place,True,place 
1.5601761079697244e+18,2022-08-18 08:05:45+00:00,['1560176107969724416'],Just posted a photo https://t.co/CiSObEBE4V,posted photo,True,photo 
1.5600413553378222e+18,2022-08-17 23:10:17+00:00,['1560041355337822208'],"Find someone that looks at you the way that Spot and Jerry look at their ball. 

#dogsofinstagram #dogsitting #truelove @trustedhousesitters @ Falmouth, Cornwall https://t.co/jAfYWDfs0W",find someone look way spot jerry look ball falmouth cornwall,True,someone way spot jerry falmouth cornwall 
