Unnamed: 0,id,created_at,edit_history_tweet_ids,text,clean_text,non_english,whitespace
0,1.5650285073732608e+18,2022-08-31 17:27:27+00:00,['1565028507373260801'],"When we were locked down our postie was our connection to the outside world. When someone dumped a used car across our entranceway was prepared to park 1/2 up the road, &amp; walk back to tell us &amp; check we were OK. Fair pay for essential workers. https://t.co/bja9GwWqHT",when we were locked down our postie was our connection to the outside world when someone dumped a used car across our entranceway was prepared to park 12 up the road amp walk back to tell us amp check we were ok fair pay for essential workers ,True,False
1,1.5648908494729216e+18,2022-08-31 08:20:27+00:00,['1564890849472921600'],"Is the term  ""fit for discharge"" a misnomer? People who no longer need acute hospital treatment have to wait for less acute NHS service, support in their own homes or care home places. Too frail, too unfit or too unwell to be discharged safely without such support https://t.co/CLxx3nt7yR",is the term  fit for discharge a misnomer people who no longer need acute hospital treatment have to wait for less acute nhs service support in their own homes or care home places too frail too unfit or too unwell to be discharged safely without such support ,True,False
3,1.5648757804919767e+18,2022-08-31 07:20:34+00:00,['1564875780491976704'],Human beings have rights. Wherever we live. https://t.co/kSlgaEQPLR,human beings have rights wherever we live ,True,False
8,1.5643687562682286e+18,2022-08-29 21:45:50+00:00,['1564368756268228617'],Anyone surprised? https://t.co/8frbvDzdl1,anyone surprised ,True,False
10,1.5639391904377403e+18,2022-08-28 17:18:54+00:00,['1563939190437740544'],"I love the NHS &amp; do not enjoy watching it being destroyed. The fault is not with the NHS but with governments since 3010 that have consistently undermined both social care &amp; the NHS staff, staffing &amp; funding. https://t.co/Mmj5F9P0el",i love the nhs amp do not enjoy watching it being destroyed the fault is not with the nhs but with governments since 3010 that have consistently undermined both social care amp the nhs staff staffing amp funding ,True,False
13,1.5627593874582118e+18,2022-08-25 11:10:47+00:00,['1562759387458211840'],People voting with their feet to leave the NHS &amp; Social Care has already caused a staffing shortage that is putting patients at risk. It seems hypocritical to say they should not strike while poor oay &amp; conditions are losing us staff on a daily basis. https://t.co/8q0qBCL45d,people voting with their feet to leave the nhs amp social care has already caused a staffing shortage that is putting patients at risk it seems hypocritical to say they should not strike while poor oay amp conditions are losing us staff on a daily basis ,True,False
15,1.562404494616445e+18,2022-08-24 11:40:34+00:00,['1562404494616444928'],"Happy Birthday, Joey. https://t.co/pIhBJdMOzW",happy birthday joey ,True,False
20,1.561354034451284e+18,2022-08-21 14:06:25+00:00,['1561354034451283969'],In Cornwall where we face some of the worst problems a major cause is that people cannot leave hospital because social care can not keep or recruit enough staff to deliver home care and staff care homes. Problem is across health &amp; social care. https://t.co/FeAuajiFyJ,in cornwall where we face some of the worst problems a major cause is that people cannot leave hospital because social care can not keep or recruit enough staff to deliver home care and staff care homes problem is across health amp social care ,True,False
21,1.561352864894681e+18,2022-08-21 14:01:46+00:00,['1561352864894681090'],"The Southwest has longest delays in England, Cornwall the longest in the SW, harming sick &amp; injured people. @JayneKirkham4 @AndrewGeorge @RCHTWeCare One reason extreme staff shortage in homecare/ care homes so people can't leave hospital. Other reasons? https://t.co/V24ij3gsmr",the southwest has longest delays in england cornwall the longest in the sw harming sick amp injured people    one reason extreme staff shortage in homecare care homes so people cant leave hospital other reasons ,True,False
22,1.5612758314602742e+18,2022-08-21 08:55:39+00:00,['1561275831460274176'],"This is a joke, right? Mind you there have probably been folks worried about Huckleberry Finn and Call of the Wild since they were first published. Encouraging people to think is risky. https://t.co/yS5Y8zF435",this is a joke right mind you there have probably been folks worried about huckleberry finn and call of the wild since they were first published encouraging people to think is risky ,True,False
23,1.5606313685680374e+18,2022-08-19 14:14:48+00:00,['1560631368568037377'],"Patientsnotice things staff may not. So important for safelty that they speak up -&amp; are heard.  @nigel_morson this one is about safety, pathways with dead ends, detours, multiple visits to GP because of problems in 2ndary care too? https://t.co/0r9DPxt8Oi",patientsnotice things staff may not so important for safelty that they speak up amp are heard   this one is about safety pathways with dead ends detours multiple visits to gp because of problems in 2ndary care too ,True,False
29,1.5598295576241152e+18,2022-08-17 09:08:41+00:00,['1559829557624115200'],Shame is not something they recognise. https://t.co/cIxmvypRmz,shame is not something they recognise ,True,False
30,1.5595485285019648e+18,2022-08-16 14:31:58+00:00,['1559548528501964800'],"Not sure it was a lie exactly. Seems to me he neither knew nor cared what the truth might be. Just says what is expedient in the moment.  Thingvis, it works with lots of people. https://t.co/D7wZx95uVF",not sure it was a lie exactly seems to me he neither knew nor cared what the truth might be just says what is expedient in the moment  thingvis it works with lots of people ,True,False
31,1.5595472387575726e+18,2022-08-16 14:26:51+00:00,['1559547238757572608'],"Good summary of the way a person's mental capacity to make decisions should be assessed. Doubt furniture ever has capacity, it is the person in the bed who may or may not be able to make the decision on their own. https://t.co/LuGVGnp6eb",good summary of the way a persons mental capacity to make decisions should be assessed doubt furniture ever has capacity it is the person in the bed who may or may not be able to make the decision on their own ,True,False
32,1.5595460158118707e+18,2022-08-16 14:21:59+00:00,['1559546015811870722'],"Did you mean, do I like it, or is that the way to do it?  Either way, the answer's no. I don't know about Tunbridge Wells, but not much is trickling down here either. Tory MPs, Tory Council, fine promises but no action. https://t.co/ogRDMTHLqW",did you mean do i like it or is that the way to do it  either way the answers no i dont know about tunbridge wells but not much is trickling down here either tory mps tory council fine promises but no action ,True,False
33,1.5595275297440563e+18,2022-08-16 13:08:32+00:00,['1559527529744056320'],"Come on Sioned, is it probable I'd like anything from this source? Divide &amp; rule is a great tactic though. Poverty &amp; deprivation play out differently in rural &amp; coastal areas - still exist. In both Sheffield &amp; Cornwall low wages,housing, Social Care, cost of living matter. https://t.co/ogRDMTHLqW",come on sioned is it probable id like anything from this source divide amp rule is a great tactic though poverty amp deprivation play out differently in rural amp coastal areas  still exist in both sheffield amp cornwall low wageshousing social care cost of living matter ,True,False
34,1.5595232557861192e+18,2022-08-16 12:51:33+00:00,['1559523255786119169'],"Suspect one of the ""needs"" could be to placate voters in Tory marginals. https://t.co/sMu3pXtU1Z",suspect one of the needs could be to placate voters in tory marginals ,True,False
35,1.5595003471477883e+18,2022-08-16 11:20:31+00:00,['1559500347147788289'],What is the view about fashion for black woven plastic under a mulch of eg bark? Only keeps water in if there is any there in first place. Is it better or worse than organic mulch but no plastic? https://t.co/DpWucgJbrQ,what is the view about fashion for black woven plastic under a mulch of eg bark only keeps water in if there is any there in first place is it better or worse than organic mulch but no plastic ,True,False
36,1.559499533683462e+18,2022-08-16 11:17:17+00:00,['1559499533683462144'],"We were supposed to be getting a new Women's and Children's building in Cornwall @RCHTWeCare - certainly needed. Now ""paused"" while managers are required to submit yet another ""business case"" in the hope it may be funded. As if they had nothing else to do. Same in other places. https://t.co/XA2RHC4RMD",we were supposed to be getting a new womens and childrens building in cornwall   certainly needed now paused while managers are required to submit yet another business case in the hope it may be funded as if they had nothing else to do same in other places ,True,False
41,1.5586292353585807e+18,2022-08-14 01:39:02+00:00,['1558629235358580736'],"So sorry you and Jack are having to go through this. Especially as you know so clearly what Jack actually needs, https://t.co/WdA2YhJetk",so sorry you and jack are having to go through this especially as you know so clearly what jack actually needs ,True,False
43,1.5580062523446764e+18,2022-08-12 08:23:31+00:00,['1558006252344676353'],Important that staff are allowed time to grab a drink. https://t.co/hxsuYAE0n1,important that staff are allowed time to grab a drink ,True,False
44,1.558005889696764e+18,2022-08-12 08:22:05+00:00,['1558005889696763905'],Cornwall Foundation Trust runs Mental Health services and NHS Community and Learning Disability  services. https://t.co/89DLXHxSFJ,cornwall foundation trust runs mental health services and nhs community and learning disability  services ,True,False
46,1.5576496058898555e+18,2022-08-11 08:46:20+00:00,['1557649605889855488'],"Why is communication about dying not a valid subject for high quality research? A Cochrane review was unable to draw firm conclusions because there were too few studies, and perhaps because a 'good outcome' is hard to define precisely. @LastDaysoflifeR @TuffreyWijne https://t.co/J0LBNl4mHD",why is communication about dying not a valid subject for high quality research a cochrane review was unable to draw firm conclusions because there were too few studies and perhaps because a good outcome is hard to define precisely   ,True,False
51,1.557413643872002e+18,2022-08-10 17:08:42+00:00,['1557413643872002049'],"How many people waiting for discharge actually have a fit relative/ friend/neighbour under 80 able to pick up caring tasks? Surely better for RCHT staff to have individual conversations. Please stop blaming ""loved ones"" for underfunded  understaffed, undervalued  social care https://t.co/nHBJ2QhBxb",how many people waiting for discharge actually have a fit relative friendneighbour under 80 able to pick up caring tasks surely better for rcht staff to have individual conversations please stop blaming loved ones for underfunded  understaffed undervalued  social care ,True,False
52,1.557392833602003e+18,2022-08-10 15:46:01+00:00,['1557392833602002950'],Please take your loved one home if you can. Please don't feel guilty if you can't. Hope &amp; assume RCHT staff have individual conversations with each patient &amp; their families so they can leave as soon as possible. So why this post? https://t.co/u7IU36rOzg,please take your loved one home if you can please dont feel guilty if you cant hope amp assume rcht staff have individual conversations with each patient amp their families so they can leave as soon as possible so why this post ,True,False
54,1.557298060820095e+18,2022-08-10 09:29:25+00:00,['1557298060820094977'],Disabled people lose out when services are cut; the closure of Falmouth's only public swimming pool has had a huge impact on those of its customers who are disabled. https://t.co/rZbpBtFuwt,disabled people lose out when services are cut the closure of falmouths only public swimming pool has had a huge impact on those of its customers who are disabled ,True,False
55,1.5572960790954025e+18,2022-08-10 09:21:33+00:00,['1557296079095402496'],"Here you are, @nigel_morson https://t.co/76joQ9lP8w",here you are  ,True,False
62,1.556554056088314e+18,2022-08-08 08:13:01+00:00,['1556554056088313856'],May be 9f interest @LastDaysoflifeR though I am not sure how much data we have on the gender agenda https://t.co/RjnxxTF2Rk,may be 9f interest  though i am not sure how much data we have on the gender agenda ,True,False
68,1.5551414685866394e+18,2022-08-04 10:39:53+00:00,['1555141468586639361'],Worth a read @nigel_morson https://t.co/jFMdphZxaD,worth a read  ,True,False
