id,created_at,edit_history_tweet_ids,text,clean_text,non_english
1.5650677708318024e+18,2022-08-31 20:03:28+00:00,['1565067770831802373'],@MarcIles carbon copy of the  goal against us #villa,carbon copy goal u,False
1.565064879333118e+18,2022-08-31 19:51:59+00:00,['1565064879333117952'],@MichaelT1979 Sticky back,sticky back,False
1.5650040853461606e+18,2022-08-31 15:50:24+00:00,['1565004085346160645'],"Wordle 438 3/6

🟩🟨⬛🟨⬛
🟩🟩🟩⬛🟩
🟩🟩🟩🟩🟩",wordle,False
1.5647180999322583e+18,2022-08-30 20:54:00+00:00,['1564718099932258306'],@JoshSheehan_ Very well played. Great to see you back. Missed you,well played great see back missed,False
1.5646464355257426e+18,2022-08-30 16:09:14+00:00,['1564646435525742599'],"Wordle 437 3/6

⬛🟨⬛⬛⬛
⬛⬛🟨🟨🟩
🟩🟩🟩🟩🟩",wordle,False
1.5643921165282345e+18,2022-08-29 23:18:40+00:00,['1564392116528234510'],"@branwenjeffreys 
I’m almost certain that senior leaders and head teachers really won’t mind if the BBC report on this now https://t.co/7iH689V1Oz",im almost certain senior leader head teacher really wont mind bbc report,False
1.5641698079179735e+18,2022-08-29 08:35:17+00:00,['1564169807917973505'],"Wordle 436 3/6

⬛🟨⬛⬛⬛
🟩🟩🟨🟨⬛
🟩🟩🟩🟩🟩",wordle,False
1.563914450943578e+18,2022-08-28 15:40:35+00:00,['1563914450943578113'],"@coursesbybakers ⭐️⭐️⭐️⭐️⭐️
Went for lunch today. Delicious food. Excellent service. Great views. Good prices. Highly recommend it. @ Courses by Baker's https://t.co/TJpxoqSXTm",went lunch today delicious food excellent service great view good price highly recommend course baker's,False
1.563895011502166e+18,2022-08-28 14:23:21+00:00,['1563895011502166016'],"Wordle 435 3/6

⬛🟨🟨⬛⬛
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩",wordle,False
1.563560333931053e+18,2022-08-27 16:13:27+00:00,['1563560333931053061'],@TheJackDearden @BBCRMsport Could be? It is,could,False
1.5635557502862664e+18,2022-08-27 15:55:14+00:00,['1563555750286266369'],"@OfficialBWFC I know it’s only August but not looking like promotion contenders even with the quality we have 

Too many mistakes. Too many missed chances",know august looking like promotion contender even quality many mistake many missed chance,False
1.5635554251228652e+18,2022-08-27 15:53:57+00:00,['1563555425122865153'],"@TheJackDearden I know it’s only August but not looking like promotion contenders even with the quality we have 

Too many mistakes. Too many missed chances @BOLTONFMSPORT @BoltonFM @OfficialBWFC @MarcIles",know august looking like promotion contender even quality many mistake many missed chance,False
1.5635542932857324e+18,2022-08-27 15:49:27+00:00,['1563554293285732352'],@OfficialBWFC @Argyle Not looking like promotion contenders even with the quality we have,looking like promotion contender even quality,False
1.5634407640170865e+18,2022-08-27 08:18:20+00:00,['1563440764017086464'],"Wordle 434 4/6

⬛🟨⬛🟨⬛
⬛🟨⬛⬛🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",wordle,False
1.5631952522569482e+18,2022-08-26 16:02:45+00:00,['1563195252256948225'],"Hungarians warning education becoming 'too feminine'- report

This is worrying on so many levels…  https://t.co/0crESvMp87",hungarian warning education becoming 'too feminine' report worrying many level,False
1.5630987733244475e+18,2022-08-26 09:39:23+00:00,['1563098773324447744'],"Wordle 433 4/6

⬛⬛⬛🟨⬛
⬛🟩⬛⬛⬛
⬛🟩🟨⬛⬛
🟩🟩🟩🟩🟩",wordle,False
1.56284129189734e+18,2022-08-25 16:36:14+00:00,['1562841291897339904'],"@swiiftex is making tea 
Home made pulled pork and mince burgers 
#Lifeskills @tom_bkay https://t.co/0NG4M4uWI5",making tea home made pulled pork mince burger,False
1.562786363396698e+18,2022-08-25 12:57:58+00:00,['1562786363396698112'],For your enjoyment. 😍☺️ it’s only 5 seconds long… https://t.co/MPpqZ8JGFK,enjoyment second long,False
1.562718260747182e+18,2022-08-25 08:27:21+00:00,['1562718260747182082'],"Wordle 432 3/6

⬛⬛⬛⬛🟨
🟨⬛🟨🟨⬛
🟩🟩🟩🟩🟩",wordle,False
1.5627163765690245e+18,2022-08-25 08:19:52+00:00,['1562716376569024517'],For those collecting GCSEs today https://t.co/gjOtCIKTCG,collecting gcse today,False
1.5627163283726213e+18,2022-08-25 08:19:41+00:00,['1562716328372621317'],For those collecting GCSEs today https://t.co/EhF14D0oH1,collecting gcse today,False
1.5625450845364838e+18,2022-08-24 20:59:13+00:00,['1562545084536483840'],Just posted a photo https://t.co/NVdd4GYLXc,posted photo,False
1.5623506991317445e+18,2022-08-24 08:06:48+00:00,['1562350699131744256'],"Wordle 431 4/6

⬛🟩⬛⬛⬛
⬛🟩🟨⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",wordle,False
1.562180062736257e+18,2022-08-23 20:48:45+00:00,['1562180062736257024'],@OfficialBWFC @Carabao_Cup First half was decent,first half wa decent,False
1.5619970868826604e+18,2022-08-23 08:41:40+00:00,['1561997086882660355'],"Wordle 430 3/6

⬛🟨⬛⬛⬛
⬛⬛🟨🟨🟨
🟩🟩🟩🟩🟩",wordle,False
1.5616395337451438e+18,2022-08-22 09:00:53+00:00,['1561639533745143809'],"Wordle 429 3/6

⬛🟩⬛🟨⬛
⬛🟩🟩⬛🟨
🟩🟩🟩🟩🟩",wordle,False
1.561400573370708e+18,2022-08-21 17:11:20+00:00,['1561400573370707969'],Hypocrites https://t.co/hiVG9ItRkb,hypocrite,False
1.5613986828297994e+18,2022-08-21 17:03:50+00:00,['1561398682829799424'],Hypocrites https://t.co/avqR29ReRg,hypocrite,False
1.5613963822246994e+18,2022-08-21 16:54:41+00:00,['1561396382224699392'],"@GaryLineker @premierleague Cliche alert 
Good game for a neutral",cliche alert good game neutral,False
1.5612709487115674e+18,2022-08-21 08:36:15+00:00,['1561270948711567361'],"Wordle 428 4/6

⬛🟨🟨⬛⬛
🟨⬛🟨⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",wordle,False
1.560986202886574e+18,2022-08-20 13:44:47+00:00,['1560986202886574081'],@MarcIles @OfficialBWFC new DJ?? Where’s the class 1980s/90s Manchester vibes from last season? https://t.co/a0d7EB0mAf,new dj wheres class manchester vibe last season,False
1.5609802226730353e+18,2022-08-20 13:21:01+00:00,['1560980222673035265'],@branwenjeffreys Panicking about how we will pay for energy and unfunded but well deserved pay rises,panicking pay energy unfunded well deserved pay rise,False
