id,created_at,edit_history_tweet_ids,text,withheld,clean_text,nouns
1.5601882150254428e+18,2022-08-18 08:53:52+00:00,['1560188215025442817'],@JamieGSax Many congrats 👏 well deserved!,,many congrats well deserved,
1.5407787712628818e+18,2022-06-25 19:27:40+00:00,['1540778771262881792'],@SandbachSchool @SandbachScMusic so many ex students back here tonight to perform with the band in the second half ❤️ https://t.co/NadfBTAnbn,,many ex student back tonight perform band second half,student perform band half 
1.5407778866546852e+18,2022-06-25 19:24:09+00:00,['1540777886654685186'],@SandbachScMusic @sandbachschool Viva las Vegas rocking it and sounding brilliant outside with the awesome @mattfordsinger #livemusic https://t.co/c5isqIKYC5,,viva la vega rocking sounding brilliant outside awesome,awesome 
1.5396777169282335e+18,2022-06-22 18:32:28+00:00,['1539677716928233475'],@Johntrom75 @BenCornes @thekillers @SandbachScMusic @SandbachSchool Can't wait! Just need you to sort the weather now!! 😎,,can't wait need sort weather,sort weather 
1.51219437460378e+18,2022-04-07 22:23:28+00:00,['1512194374603780096'],@SandbachSchool Brilliant. Well done!!,,brilliant well done,brilliant well 
1.5092569952699228e+18,2022-03-30 19:51:22+00:00,['1509256995269922817'],The @SandbachSchool Big Band sounding mighty fine!! @SandbachScMusic https://t.co/xtdXHQ81JY,,big band sounding mighty fine,band 
1.507340057031725e+18,2022-03-25 12:54:09+00:00,['1507340057031725078'],@grahproc @LeonardCheshire Thank you for having me it was a pleasure to be with you for the evening,,thank wa pleasure evening,thank pleasure evening 
1.506714578952069e+18,2022-03-23 19:28:43+00:00,['1506714578952069129'],@SandbachFoot Fantastic well done gents!,,fantastic well done gent,gent 
1.501610999186604e+18,2022-03-09 17:28:55+00:00,['1501610999186604039'],@SandbachSchool Brilliant well done 👏,,brilliant well done,brilliant well 
1.497609663344431e+18,2022-02-26 16:29:02+00:00,['1497609663344431111'],Bring it on! #engvwal @EnglandRugby v @WalesRugbyUnion https://t.co/YbhxgnZsKk,,bring v,bring v 
1.486458054241624e+18,2022-01-26 21:56:31+00:00,['1486458054241624072'],@InThatRichEarth Says show not prove so what you’ve done answers the question!,,say show prove youve done answer question,show youve question 
1.484852620808315e+18,2022-01-22 11:37:06+00:00,['1484852620808314881'],https://t.co/fCZ2E0vFhi,,,nan 
1.4768632420645683e+18,2021-12-31 10:30:10+00:00,['1476863242064568334'],https://t.co/2y6YFPQ5dP,,,nan 
1.463138434566996e+18,2021-11-23 13:32:41+00:00,['1463138434566995976'],@Thievesbook 😂love the hairstyle and yes please to the book 👍,,love hairstyle yes please book,book 
1.4581582763072143e+18,2021-11-09 19:43:18+00:00,['1458158276307214336'],And they're back 😊 @SandbachSchool Big Band with the incredible @mattfordsinger. Just fantastic to see and sounding as good as ever 👏 👏 https://t.co/P5Fw9uj0W9,,they're back big band incredible fantastic see sounding good ever,band see 
1.4493771010485985e+18,2021-10-16 14:10:03+00:00,['1449377101048598535'],https://t.co/5L8afkxc1B,,,nan 
1.4443874938775388e+18,2021-10-02 19:43:08+00:00,['1444387493877538817'],@Johntrom75 @fodensband Wow that's ace many congratulations!!,,wow that's ace many congratulation,wow congratulation 
1.4436824898689516e+18,2021-09-30 21:01:42+00:00,['1443682489868951558'],@LodgeSandbach So proud of this team and the work they do,,proud team work,team work 
1.440027242965336e+18,2021-09-20 18:57:03+00:00,['1440027242965336079'],@DavidHermitt Congrats!,,congrats,
1.381229794868793e+18,2021-04-11 12:56:59+00:00,['1381229794868793344'],@AidanSevers We are! One of our COVID keeps from this year. Happy to share what we’re doing if you’d like to know.,,one covid keep year happy share youd like know,covid year share 
1.375558050938024e+18,2021-03-26 21:19:30+00:00,['1375558050938023937'],@Hall13R @Year7SandbachSc @SandbachSport @SandbachSchool @FoundationJon Your welcome ...was lovely to have you in school today and to share purple day with you 💜💜💜,,welcome wa lovely school today share purple day,wa school today share day 
1.3728127220736655e+18,2021-03-19 07:30:33+00:00,['1372812722073665539'],@Mjogalvin1 @TheMaccAcademy Congrats on your appointment and welcome to Cheshire East! I'm sure Richard will let you know but do join our heads WhatsApp group invaluable support and a place to let off steam!! 😀,,congrats appointment welcome cheshire east i'm sure richard let know join head whatsapp group invaluable support place let steam,cheshire east let whatsapp group support place steam 
1.3664253742850376e+18,2021-03-01 16:29:30+00:00,['1366425374285037572'],@InThatRichEarth Congrats Connor 👏,,congrats connor,
1.3530995040404767e+18,2021-01-23 21:57:15+00:00,['1353099504040476673'],@Jamie__Sharp Amazing achievement 👏👏,,amazing achievement,achievement 
1.3514782522007265e+18,2021-01-19 10:34:59+00:00,['1351478252200726530'],Huge congratulations to the maths and English department @SandbachSchool. Great to see their hard work and dedication recognised in this way 👏 @PTIEducation https://t.co/DN8z32QGGt,,huge congratulation math english department great see hard work dedication recognised way,congratulation math department work dedication way 
1.3467878024328602e+18,2021-01-06 11:56:48+00:00,['1346787802432860160'],@jtcoaching @SandbachSchool The school is still operational and all staff and students on site who give consent are being tested to keep us all safe.,,school still operational staff student site give consent tested keep u safe,school staff student site consent u 
