id,created_at,edit_history_tweet_ids,text,clean_text,non_english,nouns
1.4711988124462858e+18,2021-12-15 19:21:45+00:00,['1471198812446285833'],"Calling all #MathsTeachers. Apart from the effects of the pandemic, what would you say are the biggest barriers to learning affecting the students in your class(es), particularly those with SEND? #MathsChat #MathsCPDChat #MathsEd",calling apart effect pandemic would say biggest barrier learning affecting student class particularly send,True,effect pandemic barrier class 
1.446035154305274e+18,2021-10-07 08:50:21+00:00,['1446035154305273856'],"My #MathsConf27 workshop choices :

1 - @MrsHawthorne7
2 - @ADyscalculia (Gutted to miss the Exploding Dots workshop!)
3 - @Noni_Rainbow &amp; @MrMattock
4 - @MrMattock
5 - @EmathsUK

Join me at #MathsConf27, get your ticket here: https://t.co/7fsK8pOKVd",workshop choice gutted miss exploding dot workshop amp join get ticket,True,workshop choice dot workshop amp join ticket 
1.4385040847602606e+18,2021-09-16 14:04:34+00:00,['1438504084760260615'],So chuffed to hear this! Congrats Dom and Joe 👍 https://t.co/vLWNLe4Q22,chuffed hear congrats dom joe,True,chuffed joe 
1.4385040070691553e+18,2021-09-16 14:04:16+00:00,['1438504007069155335'],@beechlodge Oh that's fantastic news! Well done Dom and Joe!,that's fantastic news well done dom joe,True,news dom joe 
1.4358832195561226e+18,2021-09-09 08:30:11+00:00,['1435883219556122626'],"@AnniePendrey @LancsHT @MrsTcoaching @DanEdwards_77 @Mr_H1978 @LisaBroome18 @ProudHeadTeach1 @BexHeadTeacher @Suey2chaussures @Gaiinz @SaeedaButt4 @mjtward19 @RachelH82471802 @CharlotteSENCo @PlayPlayRepeat @mooby2000 Thanks Annie, I hope you're well lovely xxx",thanks annie hope well lovely xxx,True,
1.4345754869869855e+18,2021-09-05 17:53:43+00:00,['1434575486986985476'],"@cbokhove Lol, don't worry. I've just started remote 1:1 tutoring, having discovered how much I enjoyed it when I was remote teaching. I just want to make sure that I'm doing everything in the best way I can.",lol worry i've started remote tutoring discovered much enjoyed remote teaching want make sure i'm everything best way,True,lol everything way 
1.434571870335033e+18,2021-09-05 17:39:21+00:00,['1434571870335033348'],@cbokhove Are there any particular studies you'd recommend reading?,particular study recommend reading,True,study reading 
1.432324686101295e+18,2021-08-30 12:49:51+00:00,['1432324686101295105'],"Thanks so much for the share, @HelenAWitty! I'm absolutely passionate about spreading the word about dyscalculia. I'm run online/face-to-face training for schools, I tutor students around the world with dyscalculia and my remote assessment practice starts in September 👍 https://t.co/hwJQZr4dfg",thanks much share i'm absolutely passionate spreading word dyscalculia i'm run onlinefacetoface training school tutor student around world dyscalculia remote assessment practice start september,True,share spreading word dyscalculia i onlinefacetoface school tutor student world dyscalculia assessment practice start 
1.4323244037113364e+18,2021-08-30 12:48:43+00:00,['1432324403711336453'],"@HelenAWitty Thanks so much, Helen, this is a lovely surprise! I'm absolutely passionate about spreading the word about dyscalculia. I'm run online/face-to-face training for schools, I tutor students around the world with dyscalculia and my remote assessment practice starts in September 👍",thanks much helen lovely surprise i'm absolutely passionate spreading word dyscalculia i'm run onlinefacetoface training school tutor student around world dyscalculia remote assessment practice start september,True,helen surprise i spreading word dyscalculia i onlinefacetoface school tutor student world dyscalculia assessment practice start 
1.430854294400643e+18,2021-08-26 11:27:02+00:00,['1430854294400643080'],@MrHtheteacher Ooo looking good! 😍,ooo looking good,True,
1.430483858022142e+18,2021-08-25 10:55:03+00:00,['1430483858022141954'],@calvinrobinson But you didn't actually present evidence. You quoted a Yale professor as *saying* there is evidence. You said there is lots of evidence in a number of countries but at no stage did *you* refer to actual peer-reviewed scientific studies to back these claims up. Disingenuous.,actually present evidence quoted yale professor saying evidence said lot evidence number country stage refer actual peerreviewed scientific study back claim disingenuous,True,evidence yale professor evidence lot evidence number country stage study claim 
1.4304676178532188e+18,2021-08-25 09:50:31+00:00,['1430467617853218819'],Well that clears that up. https://t.co/MDKyEL4lxX,well clear,True,
1.4304673010323087e+18,2021-08-25 09:49:16+00:00,['1430467301032308738'],"@ludawinthesky Amazing, jaw-dropping article. Came straight here to follow you and hope I can add my support to all you do. My dad had encephalitis as part of another illness many years ago and your article has helped me understand some of what I saw him go through so thank you x",amazing jawdropping article came straight follow hope add support dad encephalitis part another illness many year ago article helped understand saw thank,True,jawdropping article hope support part illness year article saw thank 
1.4300598275779912e+18,2021-08-24 06:50:06+00:00,['1430059827577991168'],@Toriaclaire Aw thanks lovely! Looks like you had a lovely time meeting up for seaside Twitter drinks the other day 😍 That's what summer is all about ☀,thanks lovely look like lovely time meeting seaside twitter drink day that's summer,True,time meeting twitter day summer 
1.4300595289351578e+18,2021-08-24 06:48:55+00:00,['1430059528935157762'],@Toriaclaire Morning everyone! How are you all today #TinyVoiceTalks? ☀,morning everyone today,True,morning everyone today 
1.430056632000688e+18,2021-08-24 06:37:24+00:00,['1430056632000688176'],Finally a sunny day here 😍 https://t.co/6RxFREcJNS,finally sunny day,True,day 
1.4297966538804634e+18,2021-08-23 13:24:21+00:00,['1429796653880463361'],"@OSaunders92 It makes such a difference, doesn't it? ☀️",make difference,True,difference 
1.4297707641447096e+18,2021-08-23 11:41:28+00:00,['1429770764144709642'],@OSaunders92 Oh you look STUNNING! And you've found some sun 🤣,look stunning found sun,True,look sun 
1.429716855707607e+18,2021-08-23 08:07:15+00:00,['1429716855707607045'],@curtaindsleep @Gwenelope @ASBOTeacher CAN WE DO THIS FOR TEACHERS PLEASE,teacher please,True,teacher please 
