Unnamed: 0,id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english,whitespace
24,1.5607552644160594e+18,2022-08-19 22:27:07+00:00,['1560755264416059392'],@PictureSporting Great view of day two. https://t.co/V52fmnKuUp,, great view of day two ,True,False
49,1.5558009538440315e+18,2022-08-06 06:20:27+00:00,['1555800953844031489'],https://t.co/afQaLWsJ2l,,,True,False
50,1.5558008808925798e+18,2022-08-06 06:20:10+00:00,['1555800880892579840'],https://t.co/QoVxRk5pka,,,True,False
54,1.555099066001924e+18,2022-08-04 07:51:24+00:00,['1555099066001924098'],https://t.co/cD37ooojez,,,True,False
55,1.555098784547459e+18,2022-08-04 07:50:17+00:00,['1555098784547459072'],https://t.co/aKJCCMFTXc,,,True,False
56,1.5544233389315236e+18,2022-08-02 11:06:18+00:00,['1554423338931523584'],https://t.co/bvUWfFVqYH,,,True,False
84,1.5532956949366374e+18,2022-07-30 08:25:27+00:00,['1553295694936637442'],@BBCSport Love #CommonwealthGames2022 coverage but shocked that the BBC has just spelled marathons with an apostrophe. #punctuation #accuracy please update your graphics.,, love  coverage but shocked that the bbc has just spelled marathons with an apostrophe   please update your graphics,True,False
89,1.5518780680290632e+18,2022-07-26 10:32:18+00:00,['1551878068029063169'],https://t.co/u5EbhpDSJM,,,True,False
118,1.5467093446240174e+18,2022-07-12 04:13:38+00:00,['1546709344624017408'],"Upgrade at last!

https://t.co/nBKUjAETHU",,"upgrade at last

",True,False
143,1.520069773631107e+18,2022-04-29 15:57:30+00:00,['1520069773631107072'],@LivEchoLFC Keep on believing,, keep on believing,True,False
151,1.520068658621526e+18,2022-04-29 15:53:04+00:00,['1520068658621526019'],@rudkin_abigail 1986 wasn't bad.,, 1986 wasnt bad,True,False
167,1.5181462300476293e+18,2022-04-24 08:34:01+00:00,['1518146230047629313'],@AnyVan I booked a removal with you a few weeks ago. I then had more things to move the following week so I was encouraged to book direct with the driver. I paid 75 pounds deposit for the following week but they never showed up. Please can you chase up this fraud for me.,, i booked a removal with you a few weeks ago i then had more things to move the following week so i was encouraged to book direct with the driver i paid 75 pounds deposit for the following week but they never showed up please can you chase up this fraud for me,True,False
182,1.5135900689125745e+18,2022-04-11 18:49:28+00:00,['1513590068912574472'],https://t.co/iZOAKfoSpC,,,True,False
183,1.512056563388801e+18,2022-04-07 13:15:52+00:00,['1512056563388801029'],@Cricket_NHS Enjoying sitting @HomeOfCricket and watching @AnujDal bowling on the first day of the new season. #Cricket #OpeningDay2022,, enjoying sitting  and watching  bowling on the first day of the new season  ,True,False
196,1.511057995437908e+18,2022-04-04 19:07:54+00:00,['1511057995437907970'],https://t.co/wazzfqDbCL,,,True,False
210,1.5015980057865175e+18,2022-03-09 16:37:17+00:00,['1501598005786517508'],https://t.co/VcGObqOWOE,,,True,False
275,1.4983988488379556e+18,2022-02-28 20:44:59+00:00,['1498398848837955593'],https://t.co/6wjOvacyHP,,,True,False
287,1.496505274470969e+18,2022-02-23 15:20:35+00:00,['1496505274470969352'],https://t.co/TaiXkFFDtf,,,True,False
357,1.49022797410859e+18,2022-02-06 07:36:50+00:00,['1490227974108590083'],I support @NEUnion members striking for the first time in the 149-year history of @GDST because it has chosen to remove them from the teachers' pension scheme and cut pensions by 20 per cent each year. Become a supporter below. https://t.co/eBnm7YPjmA #HandsOffOurTPS #23Together,,i support  members striking for the first time in the 149year history of  because it has chosen to remove them from the teachers pension scheme and cut pensions by 20 per cent each year become a supporter below   ,True,False
360,1.4885712279082312e+18,2022-02-01 17:53:31+00:00,['1488571227908231168'],https://t.co/DArianRS9G,,,True,False
361,1.4867776786445844e+18,2022-01-27 19:06:36+00:00,['1486777678644584465'],https://t.co/2aCLnSbJto,,,True,False
396,1.4842293921551565e+18,2022-01-20 18:20:37+00:00,['1484229392155156480'],https://t.co/5lZ6uAGjKJ,,,True,False
429,1.4824778777948488e+18,2022-01-15 22:20:43+00:00,['1482477877794848769'],https://t.co/vKwxSbtA8w,,,True,False
453,1.4813684628156457e+18,2022-01-12 20:52:18+00:00,['1481368462815645705'],https://t.co/RVBGQNRkE6,,,True,False
454,1.481366242846036e+18,2022-01-12 20:43:29+00:00,['1481366242846035978'],https://t.co/aHaG4kmawt,,,True,False
455,1.4807640514708808e+18,2022-01-11 04:50:35+00:00,['1480764051470880774'],https://t.co/m6X0L5Q70v,,,True,False
456,1.4801656344954593e+18,2022-01-09 13:12:42+00:00,['1480165634495459334'],https://t.co/Os1DwNgQ0y,,,True,False
457,1.479307297734201e+18,2022-01-07 04:21:58+00:00,['1479307297734201351'],"The Vodafone Ashes Pink Test is back in 2022. No matter where you are, be a part of the pink celebration in support of the McGrath Foundation and families experiencing breast cancer. https://t.co/W1ecCfsJec #PinkestAshes #IveGotMine #McGrathFoundation https://t.co/X4BJetjawB",,the vodafone ashes pink test is back in 2022 no matter where you are be a part of the pink celebration in support of the mcgrath foundation and families experiencing breast cancer     ,True,False
480,1.4774474792516813e+18,2022-01-02 01:11:43+00:00,['1477447479251681281'],https://t.co/5D5kuYEACT,,,True,False
486,1.4769344961339884e+18,2021-12-31 15:13:18+00:00,['1476934496133988356'],"@HairyBikers Just spent the last couple of days watching the Go North series - so interesting, so personal and quite emotional. So good to see so many worthy food projects supporting mental health and young chefs too. Best series yet. #epic #gonorth #bbcfood #MentalHealthMatters",, just spent the last couple of days watching the go north series  so interesting so personal and quite emotional so good to see so many worthy food projects supporting mental health and young chefs too best series yet    ,True,False
490,1.475233674341892e+18,2021-12-26 22:34:51+00:00,['1475233674341892100'],I'm #1 on a Words With Friends leaderboard! Can you beat me? https://t.co/E04cQPn9fy #MayTheBestFriendWin https://t.co/HBVsBUqfeS,,im  on a words with friends leaderboard can you beat me   ,True,False
