,Topic,Count,Name,details
0,-1,120884,-1_school_year_people_time,"['school', 'year', 'people', 'time', 'child', 'teacher', 'today', 'week', 'thing', 'work']"
1,0,3862,0_birthday_luck_hope_tree,"['birthday', 'luck', 'hope', 'tree', 'glass', 'hair', 'bolton', 'humphrey', 'anniversary', 'grief']"
2,1,3781,1_book_weekend_list_copy,"['book', 'weekend', 'list', 'copy', 'bristol', 'tour', 'world', 'daughter', 'picture', 'lake']"
3,2,3521,2_thank_kind_wish_sorry,"['thank', 'kind', 'wish', 'sorry', 'inclusiondiversity', 'pleasure', 'help', 'gosh', 'thanks', 'please']"
4,3,3504,3_goal_football_cricket_match,"['goal', 'football', 'cricket', 'match', 'club', 'penalty', 'ball', 'team', 'shirt', 'league']"
5,4,3352,4_thanks_thread_comment_question,"['thanks', 'thread', 'comment', 'question', 'answer', 'response', 'james', 'john', 'follower', 'reply']"
6,5,3075,5_time_thing_tomorrow_wait,"['time', 'thing', 'tomorrow', 'wait', 'nothing', 'hello', 'worry', 'everything', 'stuff', 'paul']"
7,6,2804,6_congratulation_brilliant_order_choice,"['congratulation', 'brilliant', 'order', 'choice', 'fact', 'congrats', 'news', 'superb', 'achievement', 'credit']"
8,7,2338,7_week_leeds_yeah_clip,"['week', 'leeds', 'yeah', 'clip', 'recovery', 'hell', 'level', 'case', 'abortion', 'office']"
9,8,2227,8_energy_petition_bill_company,"['energy', 'petition', 'bill', 'company', 'price', 'plan', 'name', 'inflation', 'water', 'river']"
10,9,2069,9_love_family_work_minute,"['love', 'family', 'work', 'minute', 'compassion', 'cupboard', 'castle', 'vibe', 'storm', 'jack']"
11,10,2062,10_money_school_funding_cost,"['money', 'school', 'funding', 'cost', 'budget', 'mate', 'exclusion', 'problem', 'crisis', 'loan']"
12,11,2005,11_glad_place_thankyou_something,"['glad', 'place', 'thankyou', 'something', 'spot', 'goodness', 'passport', 'others', 'attention', 'piece']"
13,12,1993,12_prince_photograph_duchess_message,"['prince', 'photograph', 'duchess', 'message', 'andrew', 'duke', 'princess', 'celebration', 'scotland', 'virginia']"
14,13,1992,13_johnson_boris_tory_election,"['johnson', 'boris', 'tory', 'election', 'donation', 'truss', 'parliament', 'bloke', 'nail', 'mess']"
15,14,1821,14_tweet_twitter_friend_hashtag,"['tweet', 'twitter', 'friend', 'hashtag', 'timeline', 'badge', 'striker', 'bruce', 'people', 'insult']"
16,15,1725,15_point_game_season_bike,"['point', 'game', 'season', 'bike', 'road', 'lane', 'sister', 'cyclist', 'brother', 'cycle']"
17,16,1693,16_photo_home_camera_image,"['photo', 'home', 'camera', 'image', 'smile', 'beautiful', 'cute', 'picture', 'speed', 'inspiration']"
18,17,1598,17_enjoy_bird_theme_today,"['enjoy', 'bird', 'theme', 'today', 'butterfly', 'shot', 'insect', 'flower', 'dragon', 'beetle']"
19,18,1589,18_solidarity_city_hill_community,"['solidarity', 'city', 'hill', 'community', 'council', 'academy', 'plymouth', 'march', 'lewis', 'gavin']"
20,19,1553,19_night_rain_weather_dream,"['night', 'rain', 'weather', 'dream', 'ditto', 'wind', 'beauty', 'sunshine', 'adult', 'rainbow']"
