,Topic,Count,Name,details,Topic name,Topic label,Representative tweets
0,-1,26097,-1_people_time_patient_year,"['people', 'time', 'patient', 'year', 'thing', 'work', 'doctor', 'today', 'week', 'thank']",None,None,[]
1,0,628,0_twitter_tweet_bike_train,"['twitter', 'tweet', 'bike', 'train', 'blog', 'football', 'strike', 'road', 'cycle', 'timeline']",Twitter activity and commuting,Life,"[""[@username] If I could like a tweet a thousand times, it would be this one for the accuracy"", ""Not what I was expecting to see coming off a tube train today. Not sure how they fitted through the doors [image]"", ""[@username] [@username] Twitter is unanimous! Something must be wrong..."" "
2,1,516,1_year_paeds_rotation_rota,"['year', 'paeds', 'rotation', 'rota', 'sorry', 'finger', 'apology', 'lingering', 'dose', 'commiseration']",Medical rotations and politics,Life,"[""Apologies long overdue from the British Government!"", ""[@username] I mean I do manage our rota and don’t get either time or money for it, but that’s because I’m a fool who can’t say no."", ""I loved my rotation at Kings liver! Learned so much, would recommend.""]"
3,2,429,2_thanks_hope_thank_wish,"['thanks', 'hope', 'thank', 'wish', 'thankyou', 'support', 'dream', 'facebook', 'congratulation', 'omfs']",Congraulations and well wishes,Life,"[""[@username] Nicely done, hope you feel fabulous as a result."", ""[@username] Thank you- I appreciate your support."", ""[@username] Thanks Sophie - hope work is ok as it starts again!!""]"
4,3,427,3_time_hour_piece_thank,"['time', 'hour', 'piece', 'thank', 'thanks', 'thing', 'moment', 'snack', 'pleasure', 'something']",Thank you's,Life,"[""[@username] Thank you for taking time to reply. 💔"", ""[@username] It’s a really difficult time isn’t it (the phrase of the moment right now!) thank you, stay safe"", ""I can imagine that would be a seriously difficult piece of work to undertake!""] "
5,4,402,4_tory_party_vote_election,"['tory', 'party', 'vote', 'election', 'voter', 'people', 'corbyn', 'voting', 'labour', 'candidate']",British politics,Life,"[""[@username] She will literally say anything - anything at all - that she thinks will win her votes. Who does that remind you of? #ToxicTories"", ""I can make tea. I can drive a car. I can do the dishes. I can take the dog out. I can breathe in. I can breathe out. I can breathe in. I can breathe out. Vote for me because I can perform basic activities of daily living and stay alive [link to video]""]  "
6,5,363,5_surgeon_surgery_anaesthetic_hand,"['surgeon', 'surgery', 'anaesthetic', 'hand', 'catheter', 'anaesthetist', 'tube', 'knee', 'cardiologist', 'hashtag']",Surgery,Work,"[""[@username] Take a look at this for aspiring cardiothoracic surgeons!"", ""Woman who received double hand transplant regains nearly all function two years on [link]"", ""[@username]  I always thought I’d be an orthopaedic surgeon. I changed my mind when I worked with them.""] "
7,6,349,6_covid_recovery_rule_patient,"['covid', 'recovery', 'rule', 'patient', 'hospital', 'people', 'case', 'care', 'death', 'child']",COVID,Life,"[""How can we help our patients if we’re off sick or isolating with Covid? Can anyone help me out here? Is the gameplan to send us to work with Covid, infecting vulnerable others - or just accept the hit to patients of whole swathes of us being off work? "", ""Day 5, whilst my parents are on their way to visit us😭I hate COVID. Hopefully I’ll be negative soon so we can go out, explore, but also so that I can hug them 😭😭😭😭😭"", ""[@username] Best wishes for a speedy recovery.""]"
8,7,292,7_trainee_consultant_training_course,"['trainee', 'consultant', 'training', 'course', 'trainer', 'foundation', 'vein', 'time', 'deanery', 'cost']",Medical school and training,Life,"[""foundation training *last year"", ""[@username] [@username] Did you do the Basic or Intermediate course?"", ""I wish I could... but yknow, well-rounded foundation programme and all that 😶""]"
9,8,288,8_school_child_student_teacher,"['school', 'child', 'student', 'teacher', 'year', 'filter', 'education', 'hepa', 'attendance', 'parent']",COVID safety in schools and university students,Life,"[""Ben, many of the teachers/TAs you are possibly unfairly impugning have worked throughout the lockdowns with children of key workers and vulnerable children and worked to succesfully try deliver online lessons. They deserve huge respect. [link]"", ""I've read enough to know it was all uncredited grad students"", "" still no Hepa filters in schools. Or any mitigations for that matter. #CovidIsntOver #CovidIsNotOver #SafeEdForAll ""] "
10,9,286,9_child_parent_daughter_guess,"['child', 'parent', 'daughter', 'guess', 'fact', 'opinion', 'mother', 'family', 'april', 'thing']",Family and children,Life,"[""[@username] Shree 420 - my parents favourite 💕"", ""Archie's life support is *not* being withdrawn because his medical team are callous, unchristian, paternalistic or authoritarian. He is - tragically - a child who has no prospect of recovery, who is very likely, medically legally, already to be braindead."", ""[@username] Well what a sad, empty life anyone must have to have this opinion. My daughter absolutely has a brain. And a HEART ❤️.""]"
