,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
29,29,twitter year,0,0_twitter_tweet_bike_train,twitter - tweet - bike - train - blog - football - strike - road - cycle - timeline,1.0,True,"It's my #Twitterversary! I have been on Twitter for 12 years, since 23 Dec 2009 (via @twi_age)."
69,69,pundit guess,9,9_child_parent_daughter_guess,child - parent - daughter - guess - fact - opinion - mother - family - april - thing,1.0,True,English pundits i guess? https://t.co/Lx0ZcdUk6L
90,90,football nothing liverpool team coach sure,0,0_twitter_tweet_bike_train,twitter - tweet - bike - train - blog - football - strike - road - cycle - timeline,1.0,True,"Lol seems like you’ve forgotten i’m a football 🤣🤣. I actually have nothing against Liverpool the team and their coach honestly, just the fans, they’re so annoying and i’m sure you know that too. https://t.co/0BJ10JwFrA"
105,105,twitter year,0,0_twitter_tweet_bike_train,twitter - tweet - bike - train - blog - football - strike - road - cycle - timeline,1.0,True,"It's my #Twitterversary! I have been on Twitter for 11 years, since 23 Dec 2009 (via @twi_age)."
210,210,invasion privacy privacy,2,2_thanks_hope_thank_wish,thanks - hope - thank - wish - thankyou - support - dream - facebook - congratulation - omfs,1.0,True,Co-signed...! such an invasion of privacy even for those that think they’re not invading one’s privacy. https://t.co/35GcSsyZZe
309,309,twitter year,0,0_twitter_tweet_bike_train,twitter - tweet - bike - train - blog - football - strike - road - cycle - timeline,1.0,True,"It's my #Twitterversary! I have been on Twitter for 10 years, since 23 Dec 2009 (via @twi_age)."
459,459,time longterm name default thought,3,3_time_hour_piece_thank,time - hour - piece - thank - thanks - thing - moment - snack - pleasure - something,1.0,True,@oni_blackstock Probably a good time now to solidify an appropriate long-term name if we can before it becomes default. I don’t know what to use. Any thoughts?
462,462,hashtag listingstranscripts,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,1.0,True,@EK_Drake @womenofteal @JFreemanDaily @TheLizArmy @CBlotner_ @BTSMchat @Sabine_NJ @mcintose @AshleySumrallMD @adamhayden @lisaoleary524 @JeremyPivor @symplur @mtmdphd @stales @LungCancerFaces @btrfly12 It never hurts to let them know how useful the public @symplur hashtag listings/transcripts have been. Fortunately @RealChemistry_ is very responsive 🙏😊
663,663,thanks access,2,2_thanks_hope_thank_wish,thanks - hope - thank - wish - thankyou - support - dream - facebook - congratulation - omfs,1.0,True,@JonMarronMD @jillfeldman4 @marklewismd @RachelJimenezMD @EthicsdoctorP @DrWinkfield @crgonzalez @MeredithGould @reshmajagsi @pfanderson @HMSbioethics @aap_peds Thanks! I will have to get library access to read but I look forward to reading it
717,717,alternative please note distinction hashtags help,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,1.0,True,@ErinGillespieMD @SprakerMDPhD @SuzieSiegel @pfanderson @mtmdphd @audvin @DrAttai @drdonsdizon @JAMAOnc @COSMOncology @ASCO @JTrentMDPhD There may also be alternatives that are inclusive. Please note this distinction why different hashtags help in different ways. HT @healWRITEnow https://t.co/O9d9lFHTy3
747,747,action security security matter,2,2_thanks_hope_thank_wish,thanks - hope - thank - wish - thankyou - support - dream - facebook - congratulation - omfs,1.0,True,"@BrandonMahal And #UvaldePolice actions show the lie of 'fighting' #GunViolence with more guns and security. More police, security don't matter when they stand and watch. @GregAbbott_TX @tedcruz https://t.co/roCxmvymBR"
823,823,anyone sort tory rest head time rest look budget cruel bstrd,4,4_tory_party_vote_election,tory - party - vote - election - voter - people - corbyn - voting - labour - candidate,1.0,True,Anyone who talks about #KenClark like he some sort of a different Tory MP then all the rest should slap themselves on the head a few times. He still a Tory no different then all the rest. Any one who doesn’t remember him in 1980s look up his budgets he was one cruel bstrd
930,930,camera film liverpool care,0,0_twitter_tweet_bike_train,twitter - tweet - bike - train - blog - football - strike - road - cycle - timeline,1.0,True,@ScouseSocialis2 If they do I will need a new camera to film Liverpool taking good care of it 😂
1120,1120,bloody hell,0,0_twitter_tweet_bike_train,twitter - tweet - bike - train - blog - football - strike - road - cycle - timeline,1.0,True,Bloody hell. After all this with #BoozyJohnson and we see this and @UKLabour still clinging on to #Starmer https://t.co/Jw5JdVyt0S
1236,1236,beth anything party,4,4_tory_party_vote_election,tory - party - vote - election - voter - people - corbyn - voting - labour - candidate,1.0,True,@BethRigby Come on Beth. Do you really think that the #Met is going to do anything. They more likely to coverup the cops failing inside and outside No10 to stop them parties
