,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
22221,22221,country million people month selfabsorption,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"@MattHancock @RishiSunak How about you get on with actually running the country? Millions of people are wondering how they're going to manage in the coming months, and all we see from the #ToxicTories is fannying about and self-absorption."
9396,9396,communication message share info reception staff phone consultation colleague advice patient contact facilitator gatekeeper,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@FionaQuigs Communication is vital and needs to be two-way. Our GPs have message re need to share info with Reception staff to enable them to coordinate phone consultations with GP and colleagues. My advice to other patients is to see first contact as a facilitator not a gatekeeper.
9954,9954,staff time colleague capacity experience,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@JuliaLa52988125 @DoctorJLam There should be senior staff in ED/hospital available at all times who can advise colleagues on the Mental Capacity Act. Sorry that you have had poor experience of this.
8651,8651,dear shibs,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@dr_shibley Well done dear Shibs.
3880,3880,hospital care strain amount capacity wave pandemic,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"b. Why were the private hospitals allowed to continue performing non-urgent elective care when the NHS was under the greatest strain, and why was the amount of purchased capacity reduced before the widely predicted second wave of the pandemic?"
7866,7866,please sign share,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.9561484182982284,False,"Please read, sign share @DoctorsInUnite @DoctorsXr @RespEpi @COPDdoc @DrEmilyShaw @Medact @eco_medics @EcoTimRoot @DrJulietteBrown @SilvertownTn @EllaRobertaFdn @EllaFoundation @veggielungdoc @climate_gp @ClimateHuman @UKHealthClimate @Richard56 @NickHartGSTT https://t.co/K8yGX1fEWL"
8397,8397,animation report,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,Agree! https://t.co/NIgpX5EItJ We made a lovely animation wrote a report @Medact @Health4GND https://t.co/QR00dE5Zzo
20812,20812,peace talk woman surprise,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,Peace talks more likely to succeed if women involved. No surprise there then! https://t.co/lg79Aj6L2S
16554,16554,sorry hope plague anyone,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"@andrewxclark Sorry to see this! Hope you get off lightly, preferably without passing Plague onto anyone!"
3548,3548,pension retention thread,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.8903802051073779,False,Fix pensions to fix retention of GPs. Vital thread https://t.co/ld5rhozUHY
