,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
22128,22128,grip example sake,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,0.9870067217318336,False,"@SarBritcliffeMP Get a grip, for example sake."
23812,23812,morning surgery list fave surgeon,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,0.9057477735452236,False,@elinlowri Most Thursday mornings in day surgery - my fave list with my fave surgeon.
5800,5800,kneefoot ankle covid revision arthroplasty fusion skill,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,1.0,False,@squatsnscalpels @doctorthomaschr @OrthopodReg I ended up doing knee/foot and ankle to stay local during COVID. Had already done 18months of revision arthroplasty. Was still happy to do STfusions/ankle fusions etc. All transferable skills
6839,6839,hand type,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,1.0,True,Hands up if you call Alzheimer’s ‘type 3 diabetes’ https://t.co/jWDvf5DIMN
11720,11720,trainee load work assessment anaesthetist,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,0.7756371474291688,False,"@rajacexplains @OrthopodReg Erm, surgical trainee here. I’ve learnt loads from you guys, also had work based assessments done by anaesthetists. You guys def. do train us"
11125,11125,surgery surg post foundation spread,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,0.7277506822959426,False,@histevedaly I know! Not interested in surgery but would have liked a gen surg post in foundation just to have a nice spread of jobs...worked out ok though👀
470,470,cool hashtag wikipedia hashtags others,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,0.9450284180141596,False,@TheLizArmy @CBlotner_ @BTSMchat @Sabine_NJ @mcintose @AshleySumrallMD @adamhayden @lisaoleary524 @JeremyPivor Very interesting! Cool to see the hashtag in Wikipedia. @symplur will soon stop tracking the hashtags so we may want to start thinking about how they evolve. Similar for others #bcsm #gyncsm #lcsm #aycsm #mmsm #crcsm @mtmdphd @stales @womenofteal @JFreemanDaily @EK_Drake
18368,18368,cardiologist samsung,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,1.0,True,"cardiologists love samsung, they keep talking about S1s and S2s"
29036,29036,catheter migration trick,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,0.9027425154472968,False,#PD catheter migration - tips tricks and how to prevent it ➡️ https://t.co/cYIanglYuw
12647,12647,degree surgeon issue production author publication order,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,0.7766021992387268,False,"@YavorRM @ldndoc @OrthopodReg @londonsdrcosmo @ASiTofficial @bota_uk No not at all, in the same way as doing a degree in Med Ed doesn’t make you a bad surgeon. My issue is with the mandatory production of first author publications in order to CCT."
6189,6189,ahem knee,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,0.9877486616148384,False,@EdinburghKnee That’s an… ahem… small knee
26685,26685,thought hand front face,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,0.7959220228401179,False,@fakethom Now I’d thought that that was her hand in front of her face but now I’m terrified...
3478,3478,cardiologist anaesthetist,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,0.9140656666030276,False,@richardtill @Jopo_dr Cardiologists hate them. Cardiac anaesthetists love them. 🤷‍♂️
22938,22938,student anaesthetic cannula time anaesthetist,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,0.151362801130896,False,"@AimenH_97 Yes. 100% yes. We also need to see the student helping in anaesthetics 'Can I put the cannula in?' then miss 3 times, and the anaesthetist does it themselves"
11664,11664,female scenario context context surgeon surgeon ltft family reason push,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,0.3958378456057457,False,@ffolliet @nik_henderson I would use female in that scenario. Very different context and in context would also potentially be used for male surgeon- eg male surgeon coming LTFT for family reasons experiencing push back.
6285,6285,year core trainee surgery specialty money backlog surgery infancy investment,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,0.2871841482820731,False,@DrSdeG Have come across this several years ago as a core trainee in surgery. The NHS is chronically underfunded and all surgical specialties (cost money) are faced with huge backlogs. Bariatric surgery remains in its relative infancy and needs serious investment
2900,2900,witchcraft bupivacaine shortage year difference,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,0.3722756827486993,False,"@Bob_Loveridge @drsas27 @AnaestheticsApp @OAAinfo I’m sure it’s all just witchcraft. When we were in a heavy bupivacaine shortage a few years ago, we ended up using isobaric, and that didn’t seem to make any difference either! 🙄"
19644,19644,applies surgery advice patient surgery,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,0.317447941476414,False,@CBizzle1 I believe this applies to all surgery especially knowing when and if you need to intervene 🙏. Really fascinating - so what advice would you give a patient seeking surgery?
5698,5698,tomorrow revision knee,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,1.0,True,Off to Edinburgh tomorrow for a bit of cadaveric revision knee. See you up there @EdinburghKnee 👍🏻
29983,29983,catheter placement advantage clinician chance adhensiolysis omentopexy evidence lead catheter survival,5,5_surgeon_surgery_anaesthetic_hand,surgeon - surgery - anaesthetic - hand - catheter - anaesthetist - tube - knee - cardiologist - hashtag,1.0,True,Advanced catheter placement has many advantages and gives clinicians the chance to perform adhensiolysis and an omentopexy if needed – and there is evidence that ACP leads to higher catheter survival https://t.co/vCRxx8Q4C9
