,Topic,Count,Name,details
0,-1,52324,-1_time_year_work_care,[]
1,0,4322,0_nan_nan nan_nan nan nan_nan tidy,"[('nan', 0.8663345712503131), ('nan nan', 0.8655585310848912), ('nan nan nan', 0.8647819392516106), ('nan tidy', 0.0008395473565831108), ('nacl min', 0.0008395473565831108), ('kane nan', 0.0008395473565831108), ('min nan nan', 0.0008395473565831108), ('min nan', 0.0008395473565831108), ('nan nan tidy', 0.0008395473565831108), ('yucca nan nan', 0.0008395473565831108)]"
2,1,1453,1_que_pra_com_por,"[('que', 0.07543891729119369), ('pra', 0.023533339907529694), ('com', 0.02282367829423898), ('por', 0.018829621872561635), ('para', 0.018383309961762757), ('con', 0.016852349326265084), ('tem', 0.016393193880871383), ('como', 0.015620208944040027), ('los', 0.013519641743431713), ('gente', 0.01300030715573624)]"
3,2,1316,2_thank thank_thank_thank thank thank_thankyou,"[('thank thank', 0.6322186254673937), ('thank', 0.6312043608809753), ('thank thank thank', 0.5650248113850077), ('thankyou', 0.05835883532301836), ('sarah', 0.03957372578673956), ('thank sarah', 0.02216009981411808), ('awful', 0.021941725974481546), ('sarah thank', 0.019540887062383782), ('thankyou thankyou', 0.019540887062383782), ('alison', 0.01721657588734899)]"
4,3,962,3_week_fan_fan week_mention,"[('week', 0.22535508049604114), ('fan', 0.10842686238959469), ('fan week', 0.08381070101831856), ('mention', 0.0757959358309983), ('week thank', 0.05062457177174147), ('fan week thank', 0.05050522703005739), ('follower', 0.049874104875222335), ('week fan', 0.04766440243633368), ('week twitter', 0.04670952365784317), ('twitter mention', 0.04623132114449973)]"
5,4,836,4_horton_photo_horton photo_photo horton,"[('horton', 0.3433770595948197), ('photo', 0.18808775184754198), ('horton photo', 0.17386016387544512), ('photo horton', 0.167411141526433), ('horton photo horton', 0.15913570669200003), ('club', 0.12014653835342079), ('photo horton photo', 0.1109733451964441), ('club horton', 0.09472532628656946), ('horton horton', 0.07778707938205352), ('yacht', 0.037671519601241245)]"
6,5,711,5_congratulation_congratulation congratulation_congratulation congratulation congratulation_proud,"[('congratulation', 0.41582104109899115), ('congratulation congratulation', 0.22841599359474601), ('congratulation congratulation congratulation', 0.12599211896383025), ('proud', 0.05059278929991263), ('achievement', 0.04342197187556582), ('lady', 0.03830444737936137), ('omg', 0.03744776537914918), ('speciality', 0.025598407958708318), ('charlotte', 0.024934351285126125), ('welsh', 0.021609771113775975)]"
7,6,647,6_amp_amp amp_today_work,"[('amp', 0.19298834423130012), ('amp amp', 0.014212392076005553), ('today', 0.010373791771061699), ('work', 0.00925690559745813), ('time', 0.008794671216651855), ('day', 0.008544683922911304), ('year', 0.008088073342006622), ('patient', 0.007247504111295756), ('thank', 0.0067199743395113245), ('practice', 0.006551594050482506)]"
8,7,640,7_van_het_dat_voor,"[('van', 0.08069409271766005), ('het', 0.07736616749936841), ('dat', 0.04709999423235774), ('voor', 0.040949719890017604), ('mijn', 0.03542941384935807), ('die', 0.031114589493077154), ('maar', 0.025297846687604507), ('wat', 0.0235626190288292), ('zijn', 0.023125200959970765), ('ook', 0.022758134278066465)]"
9,8,639,8_california_francisco_surgeon_francisco california,"[('california', 0.12023442517232286), ('francisco', 0.1009537816054682), ('surgeon', 0.09245140166606093), ('francisco california', 0.08722097126952598), ('surgery', 0.07372117751338166), ('california francisco', 0.040331671944903204), ('california francisco california', 0.037111362645105284), ('francisco california francisco', 0.03317367499193762), ('rafael', 0.031628300573146896), ('rafael california', 0.026588885810244964)]"
10,9,574,9_vaccine_vaccination_covid_covid vaccine,"[('vaccine', 0.16559344512263777), ('vaccination', 0.0803751129630797), ('covid', 0.027629051033122017), ('covid vaccine', 0.01889817156758599), ('vaccine vaccine', 0.015229680880663008), ('programme', 0.013004424107501834), ('vaccination programme', 0.012521576222913222), ('risk', 0.012393831809275686), ('announcement', 0.01100721428318862), ('meme', 0.010763800661099433)]"
11,10,566,10_day_day day_today_start,"[('day', 0.29854682689764633), ('day day', 0.17703179952373685), ('today', 0.09085929239118959), ('start', 0.08270402760241842), ('day day day', 0.06271551552732654), ('day today', 0.054719719491567544), ('today day', 0.05218407195692906), ('yeah', 0.05097037268141177), ('health care start', 0.03975708211950655), ('care start', 0.039521690924911125)]"
12,11,537,11_genn_robert_robert genn_paul,"[('genn', 0.09270673997014545), ('robert', 0.08800241152306147), ('robert genn', 0.08732812984077035), ('paul', 0.0639189727016773), ('art', 0.053788867168683814), ('heckel', 0.047362341739727684), ('garden', 0.03292075193942547), ('artist', 0.030922371188516488), ('tree', 0.029949156609389842), ('srusier', 0.029909435673436492)]"
