,0,1,2,3,4,5,6,7,8,9
0,news twitter,meet charity,thank support,result context night october period christmas miracle,family love,article thank interest,thanks help,doctor issue people divide rant plenty people ireland,becomes person cancer vaccine,smear wave violence
1,subtweet glad,charity charity,thank support,cause christmas time,family barry thank goodness need share,thanks article alternative,thanks help,post insurance aviva bank bank ireland quote renewal,bame community vaccine access,violence abuse
2,time tweet,thanks donating,thank support,stage adaptation christmas carol,family member mend,thanks article,thanks detail comment,mystery ireland people dickhead pseudoshinner shite medium outrage brit crap time,vaccine reduction case cancer,refers form abuse someone logic
3,thanks share hashtags please promise peace,bank balaclava,thanks friend journo thanks,people gift,gerry marsden great merseybeat condolence family,print issue ceoworld magazine buffett cover subscription,response lucy,piece writing derrys life familyeveryone,variant people virus,anyone femininitydivine feminine movement post haste
4,people hashtag seat,savvywoman bank others,friend sorry everyone love,kris gift circle people waste,news condolence family friend,issue magazine elon musk spacex cover,ignorance rhiannon lucy cosslett,city derry,japanese progress robotics people virus,reminder nature feminism
5,hashtag hashtags please help thank everyone support today,leap bank insider,thanks friend,sketch people gift something outside knocklyon,news paul condolence club family,couple issue couple game troll winter supersports magazine quality magazine issue cover issue,lucy huffpost,food scene derry year,india case point virus transmission india population people variant survivor nature,show woman review synapsis
6,tiktok whack point head,firmus energy price network customer average year bill,hello thing world word people term identity section,metapod millstone butterfree,support news familyxxx,essential people leader magazine,thanks nigel,psni team case file decision,booster today,abuse journalist
7,tiktok platform,supplier firmus price town network rise hike bill time rate time year,word people,supping buttermilk thing,something tritebut family friend news,article keren manager employee challenge magazine,thanks anthony,psni figure movement murder chief,ticket booster,abuse journalist
8,definition phone phone access phone game tiktok,consumer home heating survey price litre march family year estimate price,people word word,couple week privilege master craftsman camille jacob string bass butter luthier paris,news mate thought family,thing team magazine perspective burgess ceoworld magazine story,thanks hugh,psni attack issue appeal,booster yesterday today,abuse journalist
9,option twitter fails antitrans positive blocking follower list,jonathan pearce,patricia hope christmas,animal world mouse window,woman sister,musk settlement tweet reuters,colour wish,supporter gemma gardai,government step people vaccine part fight vaccine ground covid,dissertation violence woman girl dissertation
10,tweet follower everyone,gareth love,plate julie hope,something something field mouse,auntie platform,elon musk worth stock twitter,argue hope,person gardai order harris govt nphet travel ireland sense confidence gardai,covid vaccine consensus,participant survey dissertation violence woman girl
11,leader twitter handle follower,thanks gareththis kind,julie friend,mouse board game everything mouse thunderbird,anyone echelon cousin friend,amazon founder jeff bezos question elon musk takeover twitter thing tesla china,wish join store,child garda,grandad covid vaccine today fake news community whatsapp share story,manifesto tide violence woman book violence woman
12,follower frisson,dare petrol station home garthdee someone pump,lisa davis,sense securityhubris,loss maria,leader making,peter article right,league ireland,meill share link,smile stranger stranger stranger stranger stranger
13,follower rate,recovery company rise driver halt tank fuel crisis,stephanie roche,plenty work life guard,loss meghan,tatter leadership,lord promise slowness anyone everyone peter,country team time ireland quality wildcard pick rest europe diversity,issue cosmo link,nothing time stranger anything time stranger
