,Topic,Count,Name,details
0,-1,117751,-1_people_time_year_story,"['people', 'time', 'year', 'story', 'journalist', 'today', 'thing', 'news', 'medium', 'work']"
1,0,2875,0_thanks_thank_hope_kind,"['thanks', 'thank', 'hope', 'kind', 'john', 'animal', 'bloody', 'complaint', 'moon', 'work']"
2,1,2312,1_vaccine_covid_coronavirus_vaccination,"['vaccine', 'covid', 'coronavirus', 'vaccination', 'virus', 'people', 'booster', 'case', 'centre', 'pfizer']"
3,2,2121,2_tweet_twitter_account_people,"['tweet', 'twitter', 'account', 'people', 'timeline', 'musk', 'tape', 'time', 'button', 'reply']"
4,3,2066,3_woman_voice_journalist_violence,"['woman', 'voice', 'journalist', 'violence', 'diversity', 'abuse', 'headline', 'harassment', 'story', 'chance']"
5,4,1841,4_photo_photographer_photography_lane,"['photo', 'photographer', 'photography', 'lane', 'image', 'camera', 'instagram', 'museum', 'bike', 'picture']"
6,5,1711,5_week_weekend_sunday_thank,"['week', 'weekend', 'sunday', 'thank', 'hello', 'dream', 'column', 'friday', 'mine', 'thanks']"
7,6,1671,6_tribune_dans_communication_pour,"['tribune', 'dans', 'communication', 'pour', 'marque', 'journalistes', 'cision', 'marketing', 'merci', 'chez']"
8,7,1662,7_tory_vote_party_election,"['tory', 'vote', 'party', 'election', 'seat', 'share', 'labour', 'cent', 'corbyn', 'council']"
9,8,1550,8_health_pain_cancer_doctor,"['health', 'pain', 'cancer', 'doctor', 'hospital', 'patient', 'appointment', 'symptom', 'treatment', 'diagnosis']"
10,9,1420,9_iran_irann_iranda_trkiye,"['iran', 'irann', 'iranda', 'trkiye', 'daha', 'bugn', 'deil', 'gibi', 'ilgili', 'yeni']"
11,10,1413,10_book_smorgasbord_cafe_bookstore,"['book', 'smorgasbord', 'cafe', 'bookstore', 'author', 'smith', 'shelf', 'blogger', 'follower', 'writer']"
12,11,1163,11_ireland_belfast_france_italy,"['ireland', 'belfast', 'france', 'italy', 'dublin', 'poland', 'spain', 'germany', 'psni', 'belgium']"
13,12,1142,12_family_condolence_mind_loss,"['family', 'condolence', 'mind', 'loss', 'thought', 'prayer', 'love', 'respect', 'curry', 'sauce']"
14,13,1127,13_mybcu_daisy_student_campus,"['mybcu', 'daisy', 'student', 'campus', 'team', 'deadline', 'session', 'week', 'client', 'oscar']"
15,14,1020,14_food_lunch_meal_chicken,"['food', 'lunch', 'meal', 'chicken', 'duck', 'dinner', 'gift', 'delivery', 'soup', 'parcel']"
16,15,950,15_congratulation_congrats_award_prize,"['congratulation', 'congrats', 'award', 'prize', 'news', 'flag', 'winner', 'mybcu', 'neuffer', 'muratov']"
17,16,930,16_para_grazie_della_periodistas,"['para', 'grazie', 'della', 'periodistas', 'anche', 'alla', 'pero', 'este', 'como', 'questo']"
18,17,920,17_email_assange_wikileaks_evidence,"['email', 'assange', 'wikileaks', 'evidence', 'mueller', 'mail', 'indictment', 'server', 'extradition', 'password']"
19,18,898,18_johnson_boris_cummings_starmer,"['johnson', 'boris', 'cummings', 'starmer', 'matt', 'hancock', 'hyde', 'marina', 'tone', 'martin']"
20,19,879,19_injury_james_jones_warrington,"['injury', 'james', 'jones', 'warrington', 'saunders', 'witton', 'bond', 'lineup', 'peter', 'hopley']"
