,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
4490,4490,nurse paper hand towel handover course document trust policy,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.6705768635974662,False,@WeStudentNurse Are you even a nurse if you have not had to use a paper hand towel to write handover on once or twice 📝 🤣 and then of course document appropriately according to Trust policy
8644,8644,nurse arse,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,0.5967442538529907,False,"@DrOz As a nurse, I know that you’re an arse."
9622,9622,nurse week,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.6615667552617597,False,Happy Nurses Week btw. https://t.co/DCmfaUNWi4
12087,12087,nurse duty care home,9,9_friend_kenny_home_point,friend - kenny - home - point - morning - people - mate - message - bloody - reply,1.0,True,What should happen to a nurse who slept on duty while employed at a care home? https://t.co/lfqBOHhz8n https://t.co/NzuF1B1YhM
12130,12130,nurse course glove,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,1.0,False,Nurses offered new online course on sustainable glove use https://t.co/svYEkhxNDk https://t.co/cWwmTeTm4L
12662,12662,nurse parent rise childhood hepatitis,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,1.0,False,Nurses supporting parents amid rise in childhood hepatitis across UK https://t.co/4zNotOzrM1 https://t.co/yKyfDlKVz8
12868,12868,nurse complaint chest pain,5,5_birthday_heart_dance_treat,birthday - heart - dance - treat - miss - pizza - wish - failure - instagram - skye,1.0,False,What should happen to a nurse who did not escalate a patient’s complaint about chest pain? https://t.co/JouTQrhD5Q https://t.co/wIFmptK1tx
18411,18411,nurse week,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.6978104411217221,False,What Can You Do To Celebrate National Nurses’ Week? https://t.co/FrVvDFOYXo
18551,18551,nurse charge support patient psychology success psychology patient care article,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.7723274722121289,False,"Nurses are often in charge of providing emotional support for patients, so understanding how psychology applies to them is imperative for their success. How has psychology improved your patient care? Read the full article: ▸ https://t.co/zyJUzLzjGB https://t.co/izGQbz4Ei3"
19824,19824,nurse week nurse nurse,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.3219603631512841,False,Happy Nurses Week: Travel Nurses on What Makes a Great Nurse https://t.co/LuPKDhM1lv
25630,25630,nurse role health researcher find role right skill,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,1.0,True,A clinical academic nurse undertakes a dual role as a clinician and health researcher. Have you ever thought about becoming one? Find out what role involves and if you have the right skills for it. https://t.co/QmcCChockv
25680,25680,nurse year nurse award hundred application nurse congratulation finalist shortlist,3,3_congratulation_luck_award_jenny,congratulation - luck - award - jenny - achievement - team - winner - congrats - hero - football,0.7245940355065283,False,Do you know the next RCN Nurse of the Year? The prestigious nurse awards received hundreds of applications from inspiring nurses. Congratulations to all our #RCNawards finalists. Find out who made it onto the shortlist: https://t.co/nr2iGnqEYS https://t.co/dJ4VMlswen
26202,26202,nurse glove equipment year start,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.938034297257356,False,"Nurses are being urged to cut down on glove use, as the use of plastic personal protective equipment ballooned over the past two years from the start of the COVID-19 pandemic. https://t.co/ZUZHzx64HJ"
26480,26480,nurse staff alert patient hepatitis symptom number case child,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.6216013513020374,False,Nurses and other healthcare staff are urged to be on alert for patients with hepatitis symptoms after a small number of cases were detected in children. https://t.co/GOwkK6soUF
29352,29352,nurse friend champion stop reelection house representative,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.8172769225500314,False,#UnionStrong nurses are thrilled that our friend and #MedicareForAll champion @JamaalBowmanNY won his primary! Next stop: re-election to the U.S. House of Representatives! https://t.co/78JJVsIBp2
29809,29809,nurse endorsement reelection house sherman solidarity demand protection health care,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.3774153200857446,False,"NNU nurses are proud to announce our endorsement of @BradSherman4SFV for re-election to the US House. Rep. Sherman has stood in strong solidarity with RNs’ demands for #SafeStaffing, OSHA protections, and for guaranteed health care with #MedicareForAll! https://t.co/zWAsU2FlWA"
29810,29810,nurse reelection district champion nurse patient role veteran need voice,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.5225282517988589,False,"#UnionStrong NNU nurses are proud to endorse @MarkTakano for re-election in California’s 39th district. As a long-time champion of nurses and patients in the V.A., he understands the vital role RNs play in caring for our veterans and our need for a collective voice on the job. https://t.co/Gjc4pSKlb8"
30002,30002,nurse teacher remote bryan situation school hospital,8,8_food_school_life_meal,food - school - life - meal - child - cream - community - poverty - machine - sense,0.8759351189233224,False,"#UnionStrong nurses support @CTULocal1 teachers' call for remote learning. Chicago RN Bryan Kelly describes what he calls an untenable situation: ""The kids aren't even in school right now, and we're overwhelmed in the pediatric hospitals."" #LoriLockout https://t.co/DvNfuLUjG3"
30093,30093,nurse endorsement friend champion nurse value reelection house representative district,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,1.0,True,#UnionStrong nurses are proud to announce our endorsement of our friend and champion of nurses' values Rep. @JaredHuffman for re-election to the U.S. House of Representatives for California's 2nd District! https://t.co/BXsxfsDBYI
30099,30099,nurse champion friend nurse worker reelection house representative,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,1.0,False,Nurses are proud to endorse Rep. @MarkPocan — a champion and friend of of nurses and all workers — for re-election to the U.S. House of Representatives. #UnionStrong https://t.co/4nfyUuDZd4
30100,30100,nurse endorsement friend champion reelection house representative,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,1.0,False,#UnionStrong nurses are proud to announce our endorsement of our friend and #MedicareForAll champion @JamaalBowmanNY for re-election to the U.S. House of Representatives! https://t.co/CP3Lk0G6Yv
30105,30105,nurse reelection leader champion nurse house representative district,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.918355450163803,False,#UnionStrong nurses are proud to endorse for re-election progressive Congressional leader and champion for nurses @MondaireJones for the US House of Representatives in New York’s 17th District. #MedicareForAll https://t.co/27ddmx2PKb
30106,30106,nurse champion patient worker reelection district,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.6324147288365324,False,"#UnionStrong nurses proudly endorse Rep. @Andy_Levin — a champion for us, our patients, and all workers! — for re-election to U.S. Congress in Michigan's 9th District. https://t.co/FLKeWojaEk"
30653,30653,nurse passage house profession woman importance union wage life million family household president jean ross,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.6570813455371146,False,"Nurses applaud the passage of the #PROAct in the House. “As a profession of predominantly women, we understand the importance our union has played in establishing fair wages improving the lives of millions of families and households across the U.S."" - NNU President Jean Ross https://t.co/lHVrOVd7gN"
30666,30666,nurse care jean ross president nurse standard,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.6323495174256596,False,"""Many nurses feel they can't provide the best care when they're stretched so thin."" - Jean Ross, RN NNU President While some nurses have quit, many are organizing like never before. #UnionStrong RNs will always fight for #SafeStaffing standards. https://t.co/zhq7oSuqUx"
44491,44491,nurse scissors tylenol page hieroglyphic glove,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,1.0,False,"I thought nurses were wild with scissors, pens, tape, 3 gravol, 2 tylenol, a page of hieroglyphics, gloves... https://t.co/xm399M8dpg"
44529,44529,nurse week trinket organization everyone,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.7951802742423218,False,"Second pandemic Nurses’ Week- a trinket from an organization is not going to cut it. Don’t feel like celebrating, knowing what everyone is going through 😕"
45253,45253,nurse hayley award,3,3_congratulation_luck_award_jenny,congratulation - luck - award - jenny - achievement - team - winner - congrats - hero - football,0.4689634249935859,False,Really moving to see Student Nurse Hayley get her award 👏🏻👏🏻👏🏻😇. So proud you will stay with us @IOWNHS when you qualify @JulietPearce4 @karenegrant1 https://t.co/U6sx7UU0tH
53644,53644,nurse purpose person week team,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.3787309207421471,False,@MackMcLean1 It will also 🤞🏻 make me a better nurse. I just have to remind myself that that isn't the purpose. I must be such an awkward person to work with! I did say to them 'poor you' when they said they had been allocated me in their first week with the team 😂
58749,58749,nurse survivor fraser health study hospital readmission illness investigation dyad contact kelseylynchca info,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.0005627229578795,False,Nurses NPs who’ve worked with ICU survivors in Fraser Health are invited to participate in a study ‘Unplanned Hospital Readmission ff. Critical Illness Survival: Investigation of the Survivor-Family Dyad’- Contact Kelsey.lynch@ubc.ca for info.
58772,58772,nurse survivor fraser health study hospital readmission illness investigation dyad contact kelseylynchca info,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.0005626555926793,False,Nurses NPs who’ve worked w/ ICU survivors in Fraser Health are invited to participate in a study ‘Unplanned Hospital Readmission ff. Critical Illness Survival: Investigation of the Survivor-Family Dyad’- Contact Kelsey.lynch@ubc.ca for info. https://t.co/cNCdu4hlF1
58785,58785,nurse survivor fraser health study hospital illness investigation dyad contact kelseylynchca info,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.0005627321540761,False,Nurses NPs who’ve worked with ICU survivors in Fraser Health are invited to participate in a study ‘Unplanned Hospital Readmission...Critical Illness Survival: Investigation of the Survivor-Family Dyad’- Contact Kelsey.lynch@ubc.ca for info. https://t.co/K1MfAwORPm
58810,58810,nurse survivor fraser health study hospital readmission illness investigation dyad contact kelseylynchca info,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.0005627385508021,False,Nurses NPs who’ve worked with ICU survivors in Fraser Health are invited to participate in a study ‘Unplanned Hospital Readmission ff. Critical Illness Survival: An investigation of the Survivor-Family Dyad’- Contact Kelsey.lynch@ubc.ca for info. https://t.co/UVz9grU5wc
58837,58837,nurse survivor fraser health study hospital readmission illness investigation dyad contact kelseylynchca info,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.0005627146864502,False,Nurses NPs who’ve worked w/ ICU survivors in Fraser Health are invited to participate in a study ‘Unplanned Hospital Readmission ff. Critical Illness Survival: An investigation of the Survivor-Family Dyad’- Contact Kelsey.lynch@ubc.ca for info. https://t.co/Gfj9tHa6LH
58862,58862,nurse survivor fraser health study hospital readmission illness investigation dyad contact kelseylynchca,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.0005627443289325,False,Nurses NPs who’ve worked w/ ICU survivors in Fraser Health are invited to participate in a study ‘Unplanned Hospital Readmission ff. Critical Illness Survival: An investigation of the Survivor-Family Dyad’- Contact Kelsey.lynch@ubc.ca for info. #NursingKnows #NursingMatters
64494,64494,nurse week,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.5731354359060292,False,Happy nurses week! https://t.co/3dTjqJu5cm
64570,64570,nurse matron team patient colleague heart everything,5,5_birthday_heart_dance_treat,birthday - heart - dance - treat - miss - pizza - wish - failure - instagram - skye,0.8420236902754032,False,"I’m so proud of these nurses and midwives, our #TeamNorthMid matron team who continue to achieve so much and keep patients and colleagues at the heart of everything they do #leaders #compassion #safety #proudchiefnurse @NorthMidNHS https://t.co/FHUU1sai87"
65774,65774,nurse target home,9,9_friend_kenny_home_point,friend - kenny - home - point - morning - people - mate - message - bloody - reply,0.853753945702478,False,@MattHancock That’s silly just let nhs do their job. Nurses don’t need kinder garden targets to whip them with. Leave your ego at home.
66153,66153,nurse working hour week,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.1814168586725429,False,@healy_martine @savschippy91 @BurnsideNotTosh Nurses are head to toe in PPE working 80 hours a week in them... stop
68166,68166,nurse work heart hospital thanks,5,5_birthday_heart_dance_treat,birthday - heart - dance - treat - miss - pizza - wish - failure - instagram - skye,0.5573467322018713,False,"#InternationalNurseDay there are simply too many amazing nurses to tag here that we all work with everyday. You are the heart of every hospital, you are incredibly appreciated and we simply couldn’t do our jobs without you. Enjoy your special day and thanks for all 😘 https://t.co/FAIie6zZGa"
69276,69276,nurse practitioner week thank colleague,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.2152048678347995,False,"Happy National Nurse Practitioner Week! Thank you to all our NP colleagues - 325,000+ strong! #NPWeek https://t.co/Grutz7qram"
69469,69469,nurse week week colleague nursing,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.2310800501519057,False,It's Neonatal Nurses Week! This week we celebrate our colleagues who work in neonatal nursing! #NeonatalNursesWeek https://t.co/MSJWBuOuqx https://t.co/2wzFzWSA5Z
69538,69538,nurse specialist week theme rise,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.9016381353847844,False,Happy Clinical Nurse Specialist Week! The theme for 2021 is RISE of the CNS. #CNSweek https://t.co/lZsVzBfaP4 https://t.co/DK2RJ0JMos
70446,70446,nurse week,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.6932614091723547,False,"Please join us in celebrating this year’s Forensic Nurses week from November 9–13, 2020. https://t.co/sSndXQYHvV https://t.co/753u0ysAxo"
70479,70479,nurse week,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.9434329475548696,False,Happy Medical-Surgical Nurses Week! https://t.co/7SXJXdW5hm #MSNW20 https://t.co/y4qcRQy63f
70496,70496,nurse week colleague hashtag week,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.2863318413222035,False,It's Orthopaedic Nurses Week! Celebrate your colleagues and use the hashtag: #IAmAnOrthoNurse Have a great week! https://t.co/uCJCB05D1V https://t.co/6NzAlArrDo
70582,70582,nurse week start today nurse hashtag,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.1242477407000688,False,Pediatric Nurses Week starts today! Are you a proud pediatric nurse? Don't forget to use this hashtag -&gt; #ProudPediatricNurse https://t.co/aPZhxBa7Bq https://t.co/1f5QFH73Nm
