,Topic,Count,Name,details
0,-1,76274,-1_time_people_year_music,"['time', 'people', 'year', 'music', 'thing', 'today', 'week', 'song', 'work', 'life']"
1,0,1598,0_tweet_twitter_account_thread,"['tweet', 'twitter', 'account', 'thread', 'blue', 'follower', 'list', 'thing', 'timeline', 'brother']"
2,1,991,1_money_campaign_debt_cash,"['money', 'campaign', 'debt', 'cash', 'scam', 'makeup', 'wage', 'china', 'people', 'refund']"
3,2,965,2_thanks_weekend_thank_life,"['thanks', 'weekend', 'thank', 'life', 'support', 'james', 'thing', 'everything', 'shout', 'worry']"
4,3,904,3_video_punk_youtube_brum,"['video', 'punk', 'youtube', 'brum', 'accent', 'studio', 'channel', 'skin', 'clip', 'music']"
5,4,887,4_playlist_tune_week_show,"['playlist', 'tune', 'week', 'show', 'season', 'music', 'song', 'friday', 'thanks', 'simon']"
6,5,802,5_summer_moon_vibe_beach,"['summer', 'moon', 'vibe', 'beach', 'jamie', 'spin', 'wall', 'break', 'poster', 'naples']"
7,6,721,6_ticket_hotel_sale_seat,"['ticket', 'hotel', 'sale', 'seat', 'booking', 'lineup', 'management', 'stadium', 'system', 'solo']"
8,7,689,7_bracket_head_guitar_mitski,"['bracket', 'head', 'guitar', 'mitski', 'song', 'round', 'chris', 'bridge', 'pizza', 'cycle']"
9,8,639,8_light_heart_music_song,"['light', 'heart', 'music', 'song', 'netflix', 'beauty', 'angel', 'crochet', 'blanket', 'album']"
10,9,627,9_coffee_cake_chocolate_toast,"['coffee', 'cake', 'chocolate', 'toast', 'cream', 'cheese', 'milk', 'sugar', 'cafe', 'complaint']"
