,Topic,Count,Name,details,Topic name,Topic label,Representative tweets
0,-1,61432,-1_people_year_time_thing,"['people', 'year', 'time', 'thing', 'music', 'today', 'week', 'song', 'life', 'thanks']",Outliers,None,None
1,0,978,0_tweet_twitter_account_follower,"['tweet', 'twitter', 'account', 'follower', 'timeline', 'anxiety', 'feed', 'parody', 'audience', 'thing']",Twitter activity,Life,"[""[@username] My most successful tweet this year was nonsense about sportswear 😑😂"", ""Lucky to have some very talented people on my timeline"", ""this timeline in four frames [link]""]"
2,1,765,1_tory_corbyn_labour_party,"['tory', 'corbyn', 'labour', 'party', 'union', 'policy', 'truss', 'flag', 'pension', 'starmer']",British politics,Life,"[""Liz Truss, this morning. [link]"", ""I hope Jeremy Corbyn is doing okay"", ""Anyone who doesn't pick Greggs is a Tory, I don't make the rules [link]""]"
3,2,597,2_album_review_cover_jack,"['album', 'review', 'cover', 'jack', 'list', 'duet', 'year', 'poverty', 'song', 'release']",Music projects,Work,"[""[@username] [@username] Haha my album cover has leaked"", ""[@username] Thank you so much @tenementtv for this lovely review of my EP! 😍"", ""[@username] Big ask I know, but do you fancy doing a duet with @TimBraggmusic for his new album #TallStoriesOnShortStreet? He has a voice like Van Morrison meets Phil Lynott and I am co-writing and producing this exciting project! DM me""]"
4,3,593,3_race_horse_winner_weight,"['race', 'horse', 'winner', 'weight', 'chase', 'year', 'runner', 'handicap', 'fence', 'lottery']",Sport & Lottery,Life,"[""Ha. Not sure I shot anything except the floor. Never made it on the horse 😀"", ""[@username] Lottery Winners for sure @LotteryWinners just incredible""]"
5,4,587,4_photo_camera_photographer_shot,"['photo', 'camera', 'photographer', 'shot', 'shape', 'picture', 'photography', 'image', 'google', 'photograph']",Photography,Life,"[""What a sublime #EXTRAordinary photograph of the extra ordinary human musician, [@username] via [@username] (Who is the photographer..? 💫) [link]"",""[@username] What’s that idiot know about photography, I have worked 30 years to get to a high level then he walks in to a top job""]"
6,5,576,5_morning_listen_burg_ralph,"['morning', 'listen', 'burg', 'ralph', 'breakfast', 'chris', 'sailor', 'blog', 'mornin', 'kanye']",Music,Life,"[""singing drake has my heart always, he really be up in my feelings with those vocals every time 😂🥺"", ""Kanyes marketing works on me. Ngl."", ""MORNING SAILORS HOW ARE WE DOIN THIS SUNDAY https://t.co/5II6AyLguY""]"
7,6,542,6_thanks_thank_support_james,"['thanks', 'thank', 'support', 'james', 'worry', 'please', 'lemon', 'serotonin', 'sugar', 'holy']",Thank you's,Life,"[""[@username] Thanks Jane"", ""[@username] Aaaaw thank you! 😍"", ""[@username]  Thank you for the continued support 👍""]"
8,7,540,7_time_breath_breathe_people,"['time', 'breath', 'breathe', 'people', 'thing', 'something', 'place', 'yeah', 'change', 'everything']",Music opinions,Life,"[""How gorgeous is [@username]? Such a breath of fresh air and fun, plus terrific music choices. On @BBCRadio3 right now."", ""First time seeing you ! A set I won’t miss"", ""[@username] fare thee weel, my bonny lass""? Took me a few goes at saying it under my breath though!""] "
9,8,537,8_festival_jazz_tree_glastonbury,"['festival', 'jazz', 'tree', 'glastonbury', 'plant', 'road', 'string', 'decade', 'quartet', 'agent']",Festivals,Life,"[""certified best backing singers ever !! available for festivals !! !!! [link]"", ""Best flag at Glastonbury so far… 😀 [link]"", ""One thing I’ve NEVER had fomo over is Glastonbury… have fun in the mud""]"
10,9,533,9_drug_wage_talent_growth,"['drug', 'wage', 'talent', 'growth', 'worker', 'rise', 'economy', 'staff', 'inflation', 'panel']",Money,Life,"[""I want a pay rise for everyone✊🏽 [link]"", ""I swear ‘NFTs’ was all I heard this past week. And I’m still clueless on how it all works 😬"", ""[@username] About £7 a week I do charge at work for free as much as possible mind.""]"
11,10,502,10_christmas_soup_merry_xmas,"['christmas', 'soup', 'merry', 'xmas', 'biscuit', 'crochet', 'carol', 'blanket', 'dinner', 'yorkshire']",Christmas,Life,"[""Merry Christmas 💝"", ""I cooked Christmas dinner today and it was a success 😇🥂"", ""I’m sorry but my mum makes THE best Christmas log. I could eat it for breakfast, lunch and dinner for the rest of my life.""]"
12,11,499,11_woman_trans_argument_gender,"['woman', 'trans', 'argument', 'gender', 'people', 'misogynist', 'debate', 'reminder', 'right', 'misogyny']",Gender,Life,"[""Afghan Women Protest Against Taliban Restrictions [link]"", ""Hopefully with a lot of new allegations surfacing that the bad ones are weeded out to allow some of the incredible humans in our scene to flourish and become the new standard. Book more womxn on tours. Hold people accountable for inappropriate behaviour. Cut off abusers."", "
13,12,492,12_scotland_glasgow_kingdom_composer,"['scotland', 'glasgow', 'kingdom', 'composer', 'independence', 'lineup', 'agenda', 'hydro', 'bias', 'edinburgh']",Scotland,Life,"[""Noooooooo I'm Scottish but I don't live in Scotland 😭😭😭 this looks amazing!"", ""[@username] none in scotland 🥴"", ""[@username] People who say support for Scottish independence is 'just like any other form of nationalism' probably ought to have a bit of a think about this image. Historically Scotland has always prospered when we've had close ties to Europe. Less so when we've been isolated on this island.""]"
14,13,486,13_video_youtube_channel_handmade,"['video', 'youtube', 'channel', 'handmade', 'club', 'music', 'composition', 'watch', 'gang', 'july']",Internet videos,Life,"[""[@username] [@username] [@username] Great video. Good on you. Thanks."", ""WATCH WATCH WATCH [link]"", ""what movie should i watch rn""]"
15,14,425,14_ticket_wembley_stadium_price,"['ticket', 'wembley', 'stadium', 'price', 'booking', 'show', 'sale', 'ticketmaster', 'diamond', 'pricing']",Tickets,Life,"[""Lol did anyone even manage to get Sam fender tickets????"", ""Glasgow folk! I stupidly have 2 different gig tickets for tomorrow so am giving away one for @untootherspdx at King Tut’s for anyone who wants it. Give me a shout if you would like it! 🦅"", ""anyone selling an @AllTimeLow ticket for glasgow tomorrow??""]"
