,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
38263,38263,legitimacy trans issue woman refuge prison care setting right share space individual,2,2_woman_trans_gender_misogynist,woman - trans - gender - misogynist - right - abortion - people - argument - violence - misogyny,1.0,False,"@james44090700 @OwenJones84 I have never argued against the legitimacy of trans issues. I argue that it's not transphobic for vulnerable women accessing women's only spaces (refuges, prisons, intimate care settings etc), to have the right to choose not to share that space with male bodied individuals."
47364,47364,melania sunglass pain disgust,2,2_woman_trans_gender_misogynist,woman - trans - gender - misogynist - right - abortion - people - argument - violence - misogyny,1.0,False,Melania must wear sunglasses so we can’t see her pain and disgust. https://t.co/LdAs4FS3AJ
38097,38097,mass woman number group person misogyny reason,2,2_woman_trans_gender_misogynist,woman - trans - gender - misogynist - right - abortion - people - argument - violence - misogyny,1.0,False,"@TomPowdrill @rob_marchant Yet the mass of women who've been attacked, assaulted, raped etc, are systematically ignored, vilified, humiliated, disbelieved or abusively dishonesty aligned with any number of extremist groups by this person. He isn't accused of bullying misogyny without reason."
37832,37832,opposition capital domination control woman,2,2_woman_trans_gender_misogynist,woman - trans - gender - misogynist - right - abortion - people - argument - violence - misogyny,0.9584490709232716,False,"@Scienceofsport @CEJacksonLaw ""DESTROYS OPPOSITION..."" In capitals. Because that's what this is all about isn't it. -Destruction. -Domination. -Control. The age old, tediously unoriginal aim to subjugate women. So who is actually being erased? 🤔"
37289,37289,woman risk privacy dignity fact people threat people right,2,2_woman_trans_gender_misogynist,woman - trans - gender - misogynist - right - abortion - people - argument - violence - misogyny,0.909962458461358,False,"@Lawla_3 @RodiaRomanovna @notwaving @marksandspencer @b_biffa So all women should be put at risk, have their privacy dignity ignored, because you ""personally"" are ignorant of the fact that male bodied people are a potential threat to female bodied people? My rights are not yours to give away."
85927,85927,highlight homophobe everyone tent bimini everyone behaviour,2,2_woman_trans_gender_misogynist,woman - trans - gender - misogynist - right - abortion - people - argument - violence - misogyny,0.9152590464105936,False,although the highlight was @nevethevamp shouting “HOMOPHOBE” at everyone walking out the tent when bimini started “ally!” at everyone entering. icon behaviour 😂
37401,37401,bingo issue woman year case position prison health care refuge sport,2,2_woman_trans_gender_misogynist,woman - trans - gender - misogynist - right - abortion - people - argument - violence - misogyny,1.0,False,"@RobinHancock99 @TerfyMcTerfy @youngvulgarian Bingo! Now you get it! Because this *is* the issue women have been shouting about for years. It's about men. In this case, men manipulated their way into govt positions. What about when they manipulate themselves into women's prisons? Health care roles? Refuges? Sports? etc"
74284,74284,hell argument surface fight person,2,2_woman_trans_gender_misogynist,woman - trans - gender - misogynist - right - abortion - people - argument - violence - misogyny,0.6733637574866319,False,"@displacerq @ToniBoy84 @SkyNews Who the hell was I defending? No one. If you think my argument is nuanced then I'm not sure you are allowing for thought at all. I care not to scratch this surface for it is very complex. Again, if you are spoiling for a fight, I am the wrong person. I am also not your foe."
37613,37613,bigotry woman intimate care male individual safety dignity threat woman threat dress,2,2_woman_trans_gender_misogynist,woman - trans - gender - misogynist - right - abortion - people - argument - violence - misogyny,1.0,False,"@SamMaxis13 It isn't bigotry for disabled women to choose not receive intimate care from male bodied individuals. Respecting safety dignity is not bigotry. Men are a threat to women, that threat is not reduced by them wearing a dress."
1577,1577,night opportunity alopecia community awareness condition woman violence masculinity,2,2_woman_trans_gender_misogynist,woman - trans - gender - misogynist - right - abortion - people - argument - violence - misogyny,1.0,False,"Last night, Will Smith had the opportunity to advocate for the alopecia community and raise awareness of what is a traumatic condition for those who live with it. Whether staged or not, “defending” a woman with violence is toxic masculinity at its finest."
38088,38088,sophistry neck internet voice argument choice reason word manipulative,2,2_woman_trans_gender_misogynist,woman - trans - gender - misogynist - right - abortion - people - argument - violence - misogyny,0.6192510404996443,False,"@crit_gen @millihill @vrarda1 @OwenJones84 It's the usual sophistry we've come to expect from this neck of the internet. Misrepresenting women's voices, gaslighting making fallacious arguments is a deliberate choice. OJ does it because he knows it works. There's a reason why the word ""manipulative"" starts with ""man"""
17396,17396,victim yeah motherfucker hospital paper chris rock oscar,2,2_woman_trans_gender_misogynist,woman - trans - gender - misogynist - right - abortion - people - argument - violence - misogyny,0.7506817420716834,False,"“I’m not a victim. Yeah, that shit hurt, motherfucker. But I shook that shit off and went to work the next day. I don’t go to the hospital for a paper cut.” Chris Rock addressing the Will Smith Oscars slap. https://t.co/v31xaQRHVc"
39985,39985,olivia homophobic,2,2_woman_trans_gender_misogynist,woman - trans - gender - misogynist - right - abortion - people - argument - violence - misogyny,0.9953367139423622,False,olivia and billy joel tbh its homophobic that i wasnt at msg for that
37742,37742,kind demand woman unkind thing agree shut,2,2_woman_trans_gender_misogynist,woman - trans - gender - misogynist - right - abortion - people - argument - violence - misogyny,0.9095544437414624,False,"""Behave better"" ""Be nice"" ""Be kind"" All the usual demands made of women who dare to speak, even when they are being respectful, inclusive, not at all unkind. But they all really mean the same thing: ""Shut up agree with me, or I'll shut you up."" N.B. I won't shut up 👍🏽"
85580,85580,violence people land,2,2_woman_trans_gender_misogynist,woman - trans - gender - misogynist - right - abortion - people - argument - violence - misogyny,1.0,True,"We are determined to seek #JusticeForDomAndBruno @BorisJohnson, it's on you to finally stand up to @jairbolsonaro and the violence he has enabled and encouraged in the #Amazon against Indigenous Peoples and their lands. https://t.co/oWEQfSPqBQ"
14268,14268,woman nerve,2,2_woman_trans_gender_misogynist,woman - trans - gender - misogynist - right - abortion - people - argument - violence - misogyny,1.0,False,@SkyNews From the woman who wants to destroy the UK she has a nerve
8288,8288,ignorance arrogance misogyny,2,2_woman_trans_gender_misogynist,woman - trans - gender - misogynist - right - abortion - people - argument - violence - misogyny,0.7713305060047327,False,"@MintRoyale Ignorance, arrogance and misogyny"
432,432,trans space,2,2_woman_trans_gender_misogynist,woman - trans - gender - misogynist - right - abortion - people - argument - violence - misogyny,1.0,False,@twitwacivist @stuinpool @EnarialP @JackMerched So are trans men excluded from female only spaces?
