,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,thought,okay,lmaooooooo friend davide,friend family member copy repost someone anyone,candidate picture,hill,tiktok video,ball time ball,robert feelin friend,course,twisp,paige dont confide tramp dami,programme,clip game soooo,situation
1,thought,okay,davide,twitter copy repost time someone violence hotline mind,candidate,hill,join tiktok please awareness,ball,robert,course,twit mate,paige,programme,clip,situationmaybe statement
2,thought,okay,davide,follower copy repost tweet someone suicide prevention helpline copy,candidate,hill,steph prob crack tiktoks second,ball,robert,course,nottwisp version twisp twisp drama,paige dump,programme,clip anyone baywatch minute clip,situation
3,florida,relate level,girl,paint,gonna,school,thread,bacon whats epistemology,pootle part,staff management data transition team,time,cheek dami anything,disney,birthday,nurse hospital
4,florida,level,girl,paint collision,gonna,school,thread,outhouse bacon,copper branch poutine,staff management data transition team,time,dami kissing,disney,birthday,nurse hospital
5,florida,level,girl,paint,gonna,school,thread,bacon butty sleeping heat,hercule poirot switch,staff management data system management,time,dami relationship counsellor,borat disney word,birthday,nurse hospital
6,morning,health care assistant thank,year,maine float harbor,position,hell,care hermiston,port talbot,emergency department fork,shift jerseyshore jersey shore,agree,pair,thanks headsup film marvel canon enough,birthday birthday,state
7,morning,career healthcare assistant team taster role,year,maine float harbor,position,hell,care hermiston,berncastle piersporter,emergency department fork,shift jerseyshore jersey shore,agree,pair,watch marvel obsession,share birthday,state initiative prevalence state initiative
8,morning,carer health care assistant teacher,year,maine float harbor,position,heck,care hermiston,port talbot,emergency department fork,shift jerseyshore jersey shore,agree,pair,marvel collection generation,birthday birthday,state
9,imagine plenty friend people,recruiter people newbie,compliment feel notice,week city,night shift position fruita,cook sooooooo,hermiston,work,warn wpeds kennewick,risk management alexandria,something,laura frat work,post theme,nsala midnight,cvor license
10,friend moon type friend everyone,recruiter,profile cause compliment,time week city stadium singer,night shift position fruita,cooker,hermiston,work,warn wpeds kennewick,risk management alexandria,something,laura stay,theme,time today tennessee night,cvor license
