,Topic,Count,Name,details,Topic name,Topic category,Representative tweets
0,-1,109348,-1_nurse_time_people_year,"['nurse', 'time', 'people', 'year', 'care', 'health', 'today', 'patient', 'nursing', 'work']","Nursing, Congratulations'",None,"[""@HonoraryGeordi_ Congratulations + very well deserved ☺️"", """"A clinical academic nurse undertakes a dual role as a clinician and health researcher. Have you ever thought about becoming one? Find out what role involves and if you have the right skills for it. https://t.co/QmcCChockv"", ""@studentnurse_fi That's great to hear! Have you considered being nominated for the RCNi Student Nurse Awards? Find out more here: https://t.co/aGWbRkjDJB""] "
1,0,6137,0_morning_hope_coffee_thing,"['morning', 'hope', 'coffee', 'thing', 'weekend', 'chris', 'person', 'everyone', 'sorry', 'evening']","Good morning, food",Life,"[""@JonDev6 Morning Jon 😃"",""#nursesactive dashed out between the clouds for coffee https://t.co/z2aEAdeAFk "", ""Hot chocolate purchased and heading south! 🚂 https://t.co/a6h5jaX8c3""]"
2,1,3977,1_thank_enjoy_brilliant_support,"['thank', 'enjoy', 'brilliant', 'support', 'thankyou', 'whoop', 'jackie', 'yeah', 'thanks', 'help']",Thank you's,Life,"[""@BurkettYYC @netflix Brilliant!"", @alisonleary1 Thank you ❤️❤️"",""@Muniya17784177 @WomenNhs Thank you @Muniya17784177 and for your eternal support.""], "
3,2,3209,2_shift_night_tonight_match,"['shift', 'night', 'tonight', 'match', 'ward', 'sleep', 'game', 'bless', 'emotion', 'today']","Shifts, sleep/tired",Work,"[""@StNurseProject @RomyHudson Night Shift tonight. #StNProject"", ""Oh early shift. Last one in MN."", ""Sleep problems are more complex in children with a learning disability, which can have a knock-on effect on their families. Find out how one nursing team set up a sleep resource library for parents and get tips on how to improve a child’s sleep routine. https://t.co/MrHIHLIx0o""]"
4,3,2892,3_congratulation_luck_award_jenny,"['congratulation', 'luck', 'award', 'jenny', 'achievement', 'team', 'winner', 'congrats', 'hero', 'football']",Congratulations,Life,"[""@_kdbxo @luciaaclarke Congratulations!"", ""@drphiliplee1 Good luck! Although I’m sure you won’t need it."", ""@charliersmith1 @parkrunUK Way to go Charlie! Big achievement!""]"
5,4,2618,4_thanks_follow_work_welcome,"['thanks', 'follow', 'work', 'welcome', 'wait', 'rest', 'glad', 'anything', 'dream', 'fire']","Expressions - Thanks, Welcome, Great work",Life,"[""@eri173 All good thanks, how's work been for you?"", ""@DempseyLyn Welcome to the QNI family, Lyn!"", ""Great work @Aus_CC https://t.co/oCqY1O8EFB"", ""Hey Craig thanks for the follow!""]"
6,5,2505,5_birthday_heart_dance_treat,"['birthday', 'heart', 'dance', 'treat', 'miss', 'pizza', 'wish', 'failure', 'instagram', 'skye']",Happy birthday,Life,"[""@itvnews Happy Birthday Bob💙"", ""@TheRangeUK Wow fab treat 🤩""]"
7,6,2185,6_week_mile_start_monday,"['week', 'mile', 'start', 'monday', 'hill', 'earth', 'office', 'sunset', 'shiv', 'tuesday']","Exercise, outdoors and days of week",Life,"[""Happy Monday #ChildrenAndYoungPeopleNurses 💙 https://t.co/c97jf4hAEh"", ""The top of the hill! #NursesActive https://t.co/JzSfEP9zQo"", """"Worst week ever, why is it not over yet #giveusabreak"", ""Sea sunrise #30DaysWild @30DaysWild @WildlifeTrusts https://t.co/IcJ2Zcj0Mo""]"
8,7,2097,7_time_girl_something_article,"['time', 'girl', 'something', 'article', 'kind', 'folk', 'reading', 'copy', 'round', 'lmao']",Miscellaneous,Life,"[""Time spent writing an article &lt; time spent submitting an article 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️ #AcademicChatter"", ""@ClaireHowells10 Have a fabulous time"", ""@cathi_leah Well done girl!"", ""@DarkMarkRises @themes Not sure The Times can do that""]"
9,8,1880,8_food_school_life_meal,"['food', 'school', 'life', 'meal', 'child', 'cream', 'community', 'poverty', 'machine', 'sense']","School nurses, Food donations and meals, general life ",Life,"[""School Nurses are well placed to support emotional #Wellbeing https://t.co/N438XJvetX"", ""Life just isn't fair 😔😔😔"", ""ICE CREAM 👌🏼👌🏼👌🏼👌🏼 https://t.co/m5Pd6wTs8V"", ""Food for Life are proud to support this incredible programme empower pupils to put good food at the heart of their school community👫🍛#SchoolFoodChampions Learn more and apply👇 https://t.co/jRLiuEyP2a https://t.co/ibFvQYGNHz""]"
10,9,1697,9_friend_kenny_home_point,"['friend', 'kenny', 'home', 'point', 'morning', 'people', 'mate', 'message', 'bloody', 'reply']","Friends, home, opinions on people",Life,"[""I’m so proud of my friends"",""And back home again #NursesActive https://t.co/EttdU2fCiE"",  ""@reece_dinsdale Yes and often people who have jobs use them #toryscum""]"
