,0,1,2,3,4,5,6,7,8,9
0, ,wait , boy grudges ,someone  ,  yay ,deaths  , rules joy , i years ,advice   ,internet 
1,   ,wait , boys  ,  someone , yay  ,  deaths ,joy  , i years , advice , hey internet access everyone learn ppl cannot infrastructure 
2, , wait ,boys   ,someone ,yay  ,deaths ,  everyone lots joy  ,wow i years , i advice ,  internet 
3, i ,tbh , edge girls , i time ,hill    ,business  ,cars ,rn term care  ,look ,  loss  
4, i   ,tbh i ,  girls ,i time  ,hill   , business , car b ,rn term care  ,look tho ,loss 
5,i  ,i tbh  ,girls    ,i time  ,i dybbuk ghost muswell hill moment   ,  acquisition ,hell william car mad ,rn term care  ,son  look  ,loss 
6,yeah lot ,aww wanna sis ,debs ,concord   concord nc  ,school ,rn medsurginpatient adult  bethel ak  ,afternoon man  ,term care rn  ,lair reviews festival , loss condolences mother family friends 
7,  lot , sis ,debs  ,concord  concord nc  ,school  ,rn medsurginpatient adult  bethel ak  ,afternoon  ,term care rn  ,lady gaga concert   , man condolences family friends 
8,toh lot ,sis  ,deji  ,concord  concord nc  ,school  ,rn medsurginpatient adult  bethel ak  ,way afternoon    ,term care rn  , i tv days r rl  outlets  r variety concerts ,please condolences family colleagues friends sadness fons 
9,something  , while  ,okay    ,coordinator rn days lebanon  ,hi laura  ,ak  worker  sitka ak  ,morning   ,fuck , site ,condolences  
10,something , while til  ,          okay ,coordinator rn days lebanon  , laura inspirations doctor trustee touch round woman colleague ,ak  worker  sitka ak  ,morning  ,fuck  , site   , condolences memories 
11,something     ,while , okay ,coordinator rn days lebanon  ,i laura trip  ,ak  worker  sitka ak  ,morning   ,fuck shit ,pullover site ,condolences 
12,thing ,scones scones ,tripping  ,pm  lenoir nc  ,boys snack time  ,  o levels infection healing process pressure infection immobility , thank everyone   ,   years ,mentor    ,count  ago 
13, thing  , i scones  , trip ,pm  lenoir nc  ,pikaa  snacks ,measures colleagues patients family friends suite action resources support staff organisations infection prevention control excellence   , aww thank everyone  ,years  ,mentees mentorship  stories , count  
14,thing   , i loads schofield one mind  , trip     ,pm  lenoir nc  , snacks ,guidelines treatment infections ,thank everyone ,years  ,time opportunity  mentorship            , counts 
15, today  ,arfsrn nights fort smith ar  , birthday  ,cornacuteed  meeker co  ,pa aicupcu rn spirit  camp hill  , i amazon  ,start  , ill something laugh , hehe things , sorry loss 
16,today ,arfsrn nights fort smith ar  ,  birthday  ,cornacuteed  meeker co  ,pa aicupcu rn spirit  camp hill  ,expedia ,start ,  giggle  ,i things   , sorry loss 
17, today   ,arfsrn nights fort smith ar  , birthday  ,cornacuteed  meeker co  ,pa aicupcu rn spirit  camp hill  ,amazon , start , laugh ,  i things , sorry loss 
18,i situation  ,thank  ,job title ,cna  lakeview  ,health rnap spirit  camp hill  ,glenn superstore character ,attention i car day  standard  ,fucking idiot ,spot friend ,joe 
19,situation  ,   thank , year passepartout name job title book vibes ,cna  lakeview  ,health rnap spirit  camp hill  , i couple characters ,car day reverse gear , i bs  idiot ,spot  ,joe 
