,Topic,Count,Name,details
0,-1,52352,-1_patient_amp_covid_health,[]
1,0,17307,0_nan nan_nan nan nan_nan_nan year,"[('nan nan', 0.01403678695780646), ('nan nan nan', 0.014036601033915427), ('nan', 0.014035417528297593), ('nan year', 0.00022796674574496745), ('year nan', 0.00022796674574496745), ('nan year nan', 0.00022796674574496745), ('nan nan nanna', 0.00022796674574496745), ('nan nan year', 0.00022796674574496745), ('nan nanna', 0.00022796674574496745), ('nanna', 0.00020139116765380475)]"
2,1,1550,1_thank thank thank_thank thank_thank_hey thank thank,"[('thank thank thank', 0.12877490205518846), ('thank thank', 0.12408698780370474), ('thank', 0.043619774386399246), ('hey thank thank', 0.00251824745092384), ('thank thank hey', 0.00251824745092384), ('thank hey', 0.00251824745092384), ('thank hey thank', 0.00251824745092384), ('hey thank', 0.002224678836053286), ('thanksim thank', 0.001406191666709983), ('thank yep thank', 0.001406191666709983)]"
3,2,1129,2_food life_food_meal_caterer,"[('food life', 0.010739781097226224), ('food', 0.01056257453727288), ('meal', 0.00734228101079431), ('caterer', 0.007243401117614451), ('school meal', 0.007206442941126843), ('school food', 0.005735157943956179), ('school', 0.00476613529593986), ('food life school', 0.0037529235903166285), ('life school', 0.003709663827741873), ('cook', 0.003400301787947491)]"
4,3,860,3_time time time_time time_time_time time well,"[('time time time', 0.19862449780311428), ('time time', 0.1677726347508766), ('time', 0.026399947507450006), ('time time well', 0.00452303780417936), ('well time time', 0.00452303780417936), ('time well time', 0.00452303780417936), ('time well', 0.004214425879577218), ('well time', 0.0038263728859077935), ('tbh time time', 0.0025256684231400386), ('time time right', 0.0025256684231400386)]"
5,4,817,4_leo_today leo_leo today_leo youre,"[('leo', 0.05575008068581609), ('today leo', 0.02537366714823938), ('leo today', 0.012694600851459093), ('leo youre', 0.011476200322176507), ('leo time', 0.009404521782753616), ('leo leo', 0.008180471723776402), ('leo today leo', 0.007201948038455766), ('leo friend', 0.0068623570492625284), ('leo thing', 0.006404866579311694), ('leo work', 0.006160203073001264)]"
6,5,707,5_congratulation congratulation_congratulation congratulation congratulation_congratulation_yay congratulation congratulation,"[('congratulation congratulation', 0.20082805669540887), ('congratulation congratulation congratulation', 0.2007431106230801), ('congratulation', 0.08897331806012392), ('yay congratulation congratulation', 0.0069593829625553185), ('congratulation yay congratulation', 0.0069593829625553185), ('yay congratulation', 0.0069593829625553185), ('congratulation brian', 0.0069593829625553185), ('congratulation congratulation youre', 0.006598290822695244), ('youre congratulation', 0.006318581707561483), ('congratulation yay', 0.006318581707561483)]"
7,6,674,6_day day day_day day_day_well day day,"[('day day day', 0.21055313211191384), ('day day', 0.14989591828368837), ('day', 0.02468425627751102), ('well day day', 0.00763318214288571), ('well day', 0.00668000855122556), ('day day well', 0.005461427390108688), ('shit day day', 0.005461427390108688), ('sir day day', 0.005461427390108688), ('day shit day', 0.005461427390108688), ('day man day', 0.005461427390108688)]"
8,7,651,7_morning morning_morning morning morning_morning_get morning,"[('morning morning', 0.15479852180611284), ('morning morning morning', 0.15472764958192387), ('morning', 0.045776027145659), ('get morning', 0.009317502430354984), ('morning get morning', 0.009197201347460087), ('morning thing', 0.008795031823304784), ('morning chick', 0.007683472279584916), ('morning thing morning', 0.0073577610779680695), ('morning get', 0.007329193186087319), ('chick', 0.006780706332599266)]"
9,8,581,8_che_con_non_anche,"[('che', 0.020398861741170234), ('con', 0.009916531004460096), ('non', 0.009873493593815431), ('anche', 0.009572038440229018), ('del', 0.00736473150542065), ('sono', 0.0069325057438749576), ('gli', 0.005942634953998749), ('perch', 0.005832007312963158), ('tutto', 0.005254635517749034), ('della', 0.005065259949557576)]"
