,Topic,Count,Name,details
0,-1,93233,-1_nurse_people_time_year,"['nurse', 'people', 'time', 'year', 'today', 'care', 'health', 'patient', 'work', 'thing']"
1,0,2929,0_morning_morning morning_hope_friend,"['morning', 'morning morning', 'hope', 'friend', 'morning morning morning', 'walk', 'chris', 'kenny', 'morning kenny', 'morning chris']"
2,1,1569,1_thank thank thank_thank thank_thank_ahaha thank,"['thank thank thank', 'thank thank', 'thank', 'ahaha thank', 'thank thank mine', 'thank thank ahaha', 'thank mine thank', 'thank ahaha thank', 'thank ahaha', 'mine thank thank']"
3,2,1075,2_christmas_card_pocket_gift,"['christmas', 'card', 'pocket', 'gift', 'pocket card', 'trip', 'order', 'pack', 'merry christmas', 'nursing pocket card']"
4,3,1057,3_congratulation_congratulation congratulation_congratulation congratulation congratulation_bless,"['congratulation', 'congratulation congratulation', 'congratulation congratulation congratulation', 'bless', 'awww', 'achievement', 'programme', 'taste', 'congrats', 'programme module']"
5,4,1049,4_baby_charity_donation_unit,"['baby', 'charity', 'donation', 'unit', 'family', 'blanket', 'thanks', 'fund', 'ventilator', 'thank']"
6,5,1035,5_tory_party_labour_corbyn,"['tory', 'party', 'labour', 'corbyn', 'starmer', 'election', 'voter', 'idiot', 'tory tory', 'tory party']"
7,6,1002,6_week_mile_stuff_week week,"['week', 'mile', 'stuff', 'week week', 'stuff stuff', 'stuff stuff stuff', 'mile week', 'mile mile', 'week mile', 'badge']"
8,7,1002,7_time_time time_time time time_glad,"['time', 'time time', 'time time time', 'glad', 'glad time', 'time thank', 'time glad', 'thank', 'thank time', 'time issue']"
9,8,992,8_article_journal_collection_dementia,"['article', 'journal', 'collection', 'dementia', 'issue', 'research', 'contact hour', 'health', 'bioinformatics', 'contact']"
10,9,916,9_thanks_thanks thanks_afternoon_yeah,"['thanks', 'thanks thanks', 'afternoon', 'yeah', 'morning', 'thanks thanks thanks', 'star', 'thank', 'share', 'everyone']"
