,Topic,Count,Name,details
0,-1,80832,-1_patient_nurse_nursing_health,[]
1,0,3842,0_nan_nandos_nanna_nangyare,"[('nan', 0.24720130077134084), ('nandos', 0.0051950693001815975), ('nanna', 0.002367480770399184), ('nangyare', 0.0017965791325773373), ('anong', 0.0017965791325773373), ('reallyyy', 0.0017965791325773373), ('whatsapping', 0.0016189910097903371), ('nandy', 0.0016189910097903371), ('ganahan', 0.0013380813608834781), ('doggo', 0.0012079602089164498)]"
2,1,1519,1_wayhay_copy_email_post,"[('wayhay', 0.1082617559595405), ('copy', 0.09608771228662857), ('email', 0.07970413559187978), ('post', 0.06910677025678942), ('say', 0.030547328273545702), ('fortyfort', 0.009760218145424228), ('forty', 0.00940208951506409), ('pediatrics', 0.007976144415344718), ('fort', 0.00650365295722201), ('lpn', 0.006007719626547014)]"
3,2,1513,2_left_right_jew_wright,"[('left', 0.18424031346094935), ('right', 0.10921909030514346), ('jew', 0.003315386400148636), ('wright', 0.002820996869276372), ('propelling', 0.0020664135416380925), ('infiltrate', 0.0018400440923816673), ('rein', 0.001707872018573608), ('static', 0.0015759945284777373), ('ali', 0.0013516797777252904), ('serf', 0.0012336089641837062)]"
4,3,1503,3_calculated_kindle_mine_book,"[('calculated', 0.07784023428864509), ('kindle', 0.07713327825837299), ('mine', 0.0581506608376295), ('book', 0.05336913888358768), ('every', 0.03835687788645506), ('ive', 0.027861028972765493), ('downsize', 0.0006646797132485253), ('prestatyn', 0.0005605798881021973), ('ukulele', 0.0005122681581627696), ('hols', 0.0003819721369360226)]"
5,4,1502,4_arsed_promised_hat_eating,"[('arsed', 0.06766815908995573), ('promised', 0.06629478947536699), ('hat', 0.06383343522639535), ('eating', 0.060094155157169066), ('finding', 0.05646672479196229), ('probably', 0.050931146075171886), ('tweet', 0.04538607602564385), ('cant', 0.027024798829958598), ('waffle', 0.00034325877608290675), ('ton', 0.00029396588203032165)]"
6,5,1433,5_amp_fabulous_celebration_sharing,"[('amp', 0.010074556579423495), ('fabulous', 0.002071032387424641), ('celebration', 0.0020504469186078886), ('sharing', 0.0013587341619029332), ('pleased', 0.001355480158553099), ('supportive', 0.0012882585342927472), ('able', 0.0012703739459506203), ('itamp', 0.0012692468563316307), ('productivity', 0.0012197095242992484), ('devon', 0.0012197095242992484)]"
7,6,1328,6_vaccine_vaccination_vaccinated_booster,"[('vaccine', 0.03379736048833325), ('vaccination', 0.02164491037151574), ('vaccinated', 0.019163747022538924), ('booster', 0.013323620926611398), ('flu', 0.009178862286510587), ('dose', 0.009178862286510587), ('jab', 0.006900055161474005), ('covid', 0.0057735897970580385), ('immunity', 0.005756859008679797), ('pfizer', 0.004804108117608982)]"
8,7,1204,7_thank_amir_cuz_mon,"[('thank', 0.1549555939637993), ('amir', 0.004873159819343853), ('cuz', 0.0034059653805058056), ('mon', 0.0029168594862183568), ('awe', 0.0025553982591917947), ('theyre', 0.0006379454523378563), ('post', 0.00028919655431304206), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
9,8,1150,8_beach_flyball_weekly_another,"[('beach', 0.04947302344043239), ('flyball', 0.04568798551212365), ('weekly', 0.04323649944058292), ('another', 0.03636761817234754), ('evening', 0.03341388958094184), ('walk', 0.030343431051834905), ('social', 0.025586046063635823), ('team', 0.018418801873917943), ('week', 0.015170749215115973), ('time', 0.008371954960250286)]"
10,9,1142,9_food_meal_caterer_served,"[('food', 0.023297553765629152), ('meal', 0.015274451320066497), ('caterer', 0.014257935097715705), ('served', 0.013325789104733803), ('school', 0.011164946372778421), ('healthy', 0.008604412362103964), ('catering', 0.008219375139299006), ('sustainable', 0.008016021681331087), ('bronze', 0.0076176817096001445), ('pupil', 0.007599606607127234)]"
11,10,1140,10_rover_rufus_helicopter_lol,"[('rover', 0.5462555181492897), ('rufus', 0.005176397634570333), ('helicopter', 0.003667215424088554), ('lol', 0.0005542041906511668), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
12,11,1052,11_leo_may_relationship_today,"[('leo', 0.10102446849778667), ('may', 0.008151773167843818), ('relationship', 0.006843628448072218), ('today', 0.005619457885687492), ('might', 0.005264681958435723), ('creative', 0.004881883120109055), ('could', 0.004821291017445072), ('energy', 0.004497623280849374), ('routine', 0.004473129159833951), ('eager', 0.004205320805488532)]"
13,12,990,12_coming_yes_please_say,"[('coming', 0.09199491947085725), ('yes', 0.054352622514597757), ('please', 0.05316854380725167), ('say', 0.03864572592376699), ('biggest', 0.00048062472101358404), ('duty', 0.0004267859849294784), ('unit', 0.0002382798165946419), ('line', 0.00022500590833607952), ('fan', 0.00022345657913879014), ('come', 9.554847932831344e-05)]"
14,13,965,13_twitter_tweet_retweet_tweeting,"[('twitter', 0.03891066334202275), ('tweet', 0.02384555492097814), ('retweet', 0.012842929518418481), ('tweeting', 0.012153931088150991), ('retweeted', 0.007808435093146504), ('retweeting', 0.0066832841190763315), ('tweeter', 0.006306972502759913), ('account', 0.004453686901406653), ('reply', 0.003502135132017936), ('twitterversity', 0.0032031726939777782)]"
15,14,832,14_che_non_una_per,"[('che', 0.05186874739802837), ('non', 0.03369752319056897), ('una', 0.02884580523310379), ('per', 0.025988057890885603), ('con', 0.02562704852992429), ('sono', 0.02394429223719689), ('anche', 0.02082205292871452), ('del', 0.020114297823597405), ('nel', 0.016444574255329962), ('perch', 0.01582559489042543)]"
16,15,786,15_birthday_happy_belated_vlog,"[('birthday', 0.08353156667827545), ('happy', 0.03006046221547932), ('belated', 0.01465620034982754), ('vlog', 0.011013128850131363), ('balloon', 0.008345125322566609), ('bday', 0.008000358985094097), ('happiest', 0.006829808055487374), ('twin', 0.005542126687207289), ('xxx', 0.0050574998533159336), ('jade', 0.004321146651770625)]"
17,16,675,16_neonatal_unit_baby_donation,"[('neonatal', 0.04587361000279176), ('unit', 0.019810473123856857), ('baby', 0.018759848799103945), ('donation', 0.010642121718769429), ('nnu', 0.009329093220231581), ('fund', 0.00901498691520385), ('graduate', 0.008536820417017392), ('george', 0.008508991807605252), ('fundraising', 0.008370186230042388), ('touch', 0.008109669578469593)]"
18,17,638,17_mask_wearing_wear_mandate,"[('mask', 0.06570316218839635), ('wearing', 0.027464004772361418), ('wear', 0.01878289937967195), ('mandate', 0.012883570586562516), ('nose', 0.009474253575952137), ('face', 0.00784533914634956), ('ffp', 0.006370249514619792), ('highrisk', 0.0061674210511855725), ('visor', 0.006100551893647333), ('masked', 0.005693004047248221)]"
19,18,629,18_review_book_library_novel,"[('review', 0.01767212945773544), ('book', 0.017543615743790285), ('library', 0.013465281897813437), ('novel', 0.011532115193071974), ('reading', 0.008283371008238954), ('author', 0.008178268492541775), ('via', 0.007279379200408012), ('bookshop', 0.0065804427048911426), ('pile', 0.0055972229921742505), ('tbr', 0.005464875116562021)]"
20,19,623,19_fight_nnu_union_pandemic,"[('fight', 0.008930426615981335), ('nnu', 0.008501914917888763), ('union', 0.008008490209069208), ('pandemic', 0.007445585642086871), ('unsafe', 0.006893504796035505), ('protection', 0.006427681182804591), ('ratio', 0.006416939043301029), ('fighting', 0.006404932769620885), ('asheville', 0.0059067409233101486), ('safety', 0.005900027108245021)]"
21,20,585,20_scorpio_may_might_could,"[('scorpio', 0.1518431341031779), ('may', 0.0136023576277116), ('might', 0.011559648036388313), ('could', 0.010023773888467171), ('relationship', 0.0076450800260820274), ('toda', 0.006972303397368689), ('energy', 0.0058799296419954385), ('today', 0.005855800474970521), ('close', 0.005616729696272158), ('tension', 0.005279054649530692)]"
