"",original_text,work?
154304,@4AdsthePoet Thank you Zoe 🙏,False
5691,@Tolu_xo Thank you baby 💕💕,False
61309,@SPFT_NurseEd Thank you!!!,False
28707,"@osoplain Thank you, Sweetie! https://t.co/rldOvnJYrm",False
16006,@DrNLK0 Thank YOU! ⭐️,False
144563,@davrmoi @auntyhetty1 @joannereid48 @BronaghBelfast Thank you Moira 😊,False
104856,@UMassWalker Thank you!,False
94260,@SekoiaUK @springhillcare @Dmb12B @Ginny20 @GBcareawards Thank you ☺️,False
37991,@JoeRouse18 @AntoniaBrown Thank you :),False
38495,@AmandaJane_1972 @uhbwNHS Thank you Amanda 💜,False
45773,@Cacacacarmy Thank you 😘,False
130393,@NickiSparling1 @kennygibsonnhs @matronlindy @NorthwayRuth @4AdsthePoet @C_Carmichael83 @LindaChibuzor @irisbenson100 @jomwlever @OOhhMatron @richardlittleda @lynnturner31 @dmonty007 @kwelsh1 @oldnanchris @CalvinMoorley @The_Debs_Effect @TinaSouth3 @nikki_ledingham @reboverend_RNc @JackieSmith_nmc @Ewout1985 @Louise90999815 @jcstaff_ @JennytheM @DrJude_G @KathEvans2 @Lodge4Betty @Cosmicwomble @KateSlater2 @warnetony @MAAPPUK @StNurseProject @HorizonsNHS @paularich1977 @FabNHSStuff @actionhappiness @WeRGlobalNurses @WeNurses @iHealthVisiting @MidwivesRCM @RoyLilley @HilaryGarratt @RandallCath @SamSherrington @NursingEmma @DavidHarling1 @PVNursing @PhilJeffery19 @ShearbarnPark Thank you,False
71625,"@SybilFagbs @CNMAHPIO @cammycamzz @DigitalNorthMid @NorthMidNHS Thank you Dale, Sybil and Camara #thebest",False
1653,"VT/NH -RN-Home Health - Cavendish, VT https://t.co/d0mjtd7BMM",False
103564,"Hey PatMac, RN thanks for the follow!",False
90924,@reece_dinsdale And Thank you❤,False
17287,@NurtureHealth2 Thank you!,False
52449,@_Hales_B Thank you 😌,False
6090,@chris_dlamini @TeesLDNursing @TeessideUni @TeesUniSHLS Thank you Chris it is much appreciated 😊,False
110306,@HelenSGidley Sorry it was meant to say my mums birthday! Oops,False
3212,@IshMotherBec :( our kitties came to us with ear mange amongst other things. Her health will settle I’m sure,False
104117,Hey Twila Jensen thanks for the follow!,False
78900,@gilly901_gill @allofusinmind Thank you for all you do @gilly901_gill,False
138298,@JamesCraigmyle Thank you for answering my question. 👍,False
79103,@jomcd101 @shutcake @allofusinmind @WYpartnership @NHS_RobW @barnsleybart @DawnPea17874720 Thank you @jomcd101,False
148697,@SimonGibson20 @HelenforrestH @Mrs_Milesy @UHDBIPCT @UHDBTrust Thank you Simon 😊xx,False
153774,@TinaSouth3 @LondonMarathon @Triciahandley @porthcawparkrun Thank you Tina 🙏,False
133048,Thank you @bbclysedoucet and @CliveMyrieBBC for reporting from Ukraine. 🙏💕,False
133990,PURE CONFUSION (not new to me),False
122292,"@JTSilius I’m sorry, I don’t know 😐",False
