,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,okay,tear,part,uuuu,deffo swearing,washing machine care home role infection control guideline make model,photo,time,weetman victim,need tiktoks,idea tweet,youjust supermarket,mmmm gotta hill,wait,thank story life life watch story,team week,point,loss,nurse phoenix arizona,experience
1,okay,heartfelt thank tear,part,huhuhu,whoop defo bloke,sars health communication province city inattention population protocolsguidelines infection control site plan lockdown seaton house,photo,time,victim disease,tiktok video,tweet video child wall,supermarket staff place,start good hill,wait,story life,shark week week landon,point,loss,nurse phoenix arizona,experience
2,okay,tear,part,fuuuuuck,deffo food,sharing risk transmission access action resource staff infection prevention control excellence,photo,time,victim mention,today tiktok break,amadioha tweet,supermarket game,hill,wait,life story base case,today week,point,loss,nurse phoenix arizona,kind experience
3,thank,standard hand hygiene,school exhippies,show,gonna,sapphire steel adventure,game grandparent,term care,lift,year,facebook,chapter florida orlando,merry,feel,laura,simba,medsurginpatient adult bethel,news condolence family friend,genius,bill stitch people kipper care bill
4,thank,standard hand hygiene,school,show,gonna,metal,grandparent,term care,feel lifting,year,facebook,florida,romance merry pippin,feel,laura,birb,medsurginpatient adult bethel,community keeper deer tree surgeon condolence family,genius,bill bill
5,thank,increase disease approach hand hygiene,school,show,gonna,metal,grandparent,term care,lift,year,facebook,florida,merry everyone hope time,feel,laura trip,abba manner,medsurginpatient adult bethel,condolence family,genius,bill
6,program,morning,heck,hour hour hour,congratulation,wait year mahuman covid karon,noon,nursing assistant diem,courage sound result,janesville pharmacy perm janesville,agree,ltac webster texas,aicupcu spirit camp hill,nooooo,gainesville,play,warn wpeds kennewick,condolence,gold finger,thing petrol change department transport petrol road
7,programme,morning,hell,hour hour,congratulation,director impact covid area health service effect patient staff break,afternoon,time diem diem nursing right,courage cadwalladr letter,janesville pharmacy perm janesville,agree,ltac texas,aicupcu spirit camp hill,nooooo,gainesville,play,warn wpeds kennewick,condolence,finger,petrol petrol
8,programme,morning,hell,hour scheme,congratulation,covid belief health care woman child nurse,afternoon,nurse diem,courage stand keep,janesville pharmacy perm janesville,agree work,ltac texas,aicupcu spirit camp hill,nooooooo,gainesville,play,warn wpeds kennewick,condolence,finger,petrol work storm
9,crap scomo time question,light positivity,astro chef,swim,stone venice nekromantia,wash price,hero,option,fight,peace waste life,twitter,look,health rnap spirit camp hill,hello hayley keren,position,idea,gotta code,sorry loss,side,mile
10,time issue,positivity time,chef,profile swim,love place stone wall stone love,homeid sunday pvsamp reaction slipper binmore washing machinefloor guest octoberi,hero,option,fight,peace,twitter,look,health rnap spirit camp hill,luck everyone course today hayley buckle ride,position,idea,code,sorry loss,appraisal iingon side,mile
11,time question,positivity clap,chef,swim,crystal,everything wash exercise something,hero,option,driving fight right,peace,gotta twitter comedy,look,health rnap spirit camp hill,thats hayley,position,idea,code sorry,sorry loss,need need side need side,mile
12,thanks,telemetrymedsurg,snack,forty fort pediatrics,wise,machine,greeting,something,relaxing exercise,sound plan,thank tweet,goodness smile,care hermiston,tomorrow,night shift position fruita,idea people,warn wpeds night kennewick,john thaw,research,pcutele college station
13,thanks,telemetrymedsurg,snack,forty fort pediatrics,wise,billion dollar cream machine doin,hello,something,home exercise,sound start area,tweet thanks,smile,care hermiston,tomorrow,night shift position fruita,idea tree,warn wpeds night kennewick,john,research project millennium,pcutele college station
14,thanks,telemetrymedsurg,snack wnna something sweet,forty fort pediatrics,wiser,machine,hello,something,exercise,sound trail system,sorry thank tweet,smiling,care hermiston,tomorrow,night shift position fruita,idea connection,warn wpeds night kennewick,gosh john rostill waht,research post,pcutele college station
15,rote school effort poetry perspective,thanks everyone,parcel anything,night,legend glastonbury,worm brain,enjoy,term,yeah toast,love,francesca brother baby harry spot,friend share disney sense thing,hermiston,person today,news,start,information,sorry,answer speak pivot,rise adult
16,video birth support poetry statement,thank everyone,nothing parcel service,night,memory joss stone perform song james glastonbury sausage,today flea pipette worming pipette,enjoy,term,toast goal,love,harry potter film exists,practice disney,hermiston,thing today,news,start,info,sorry,combination speak,year rise album
17,poem,thanks everyone,parcel,night,post glastonbury music politics research,worm,enjoy,term,toast,love,gonna william child harry,disney asset,hermiston,someone today,news,start,info,sorry,speak,think rise
18,thing,thanks share,congratulation success meal year food life standard meal child,care night,bitten midge kielder body itch repellent skin hope,baby infection,beautiful,time time someone,alley essex,love love love,look tweet,situation thing disney wear mask damper plan,amazon,today,news congratulation,week,home adult,statement,straight promise,palestinian goverment
19,thing,thanks share,city catering city council silver food life school food food life,care night,something bite cellulitis,infection,beautiful,someone others time,note load people boiz point bristol trade history,love ideal,tweet,wear mask transmission,amazon,today,news shaun congratulation newsstoriesleaks approach,week,adult,statement,promise,israel
20,thing,thank share,school meal start covid meal food life caterer meal pupil school meal school,care night,minute evydogs mouth look abscess spat roll cello tape goodness,patient diff bacteria,beautiful total,somehow time,bristol airport worst,love love love,tweet,costco people mask,countryappropriate site amazon thing,phew today,news congratulation,week,adult,statement,promise mind people,history nation partition plan palestine establishment state israel part mandate palestine mandate
21,trick value,everyone,clever,nicupicu night,crime something brand item phone people capitalism,throwback squad,mate,folk,solidarity,year everything carry,please,virus shitty symptom,mother christmas,feeling,life cabinet,condition,student,rodriguez thanks follow,business,flood cleanup family friend
22,trick mine,everyone,clever girl,nicupicu night,crime,nothing throw,mind mate,folk,solidarity,gosh time year,please bastard,trial virus glhf,christmas daddo,feeling,course nobody cabinet integrity position,condition everything,student,valdez thanks follow,business,thanks flood relief contact
