,0,1,2,3,4
0,okay,anything voice admiration,staff member registration please process data database,mane level,damn line stomach
1,okay,cringe compliment someone,staff management data system management,level today,stomach
2,okay,compliment,staff management data transition team,threshold,stomach
3,photo,positivity,risk management alexandria,morning,harry cruise
4,photo,something call positivity press,risk management alexandria,morning,online cruise year pure escapism book something picture world home space york anyone
5,photo,objectivity,risk management alexandria,morning,year cruise july trip
6,robert kennedy john kennedy,oncology abilene,care colleague action infection prevention control resource care setting resource video,friend,cvor license
7,robert holiday,oncology abilene,care film staff infection prevention control excellence colleague space action resource,friend,cvor license
8,robert,oncology abilene,halton region infection prevention control,friend,cvor license
9,truth fire safety care home,abilene,couple,coordinator lebanon,lenoir
10,care home specifier product anxiety apprehension fire door,abilene,couple,coordinator lebanon,lenoir
11,truth fire safety care home,abilene,time couple,coordinator lebanon,lenoir
12,perfume,room abilene,chat someone,shift jerseyshore jersey shore,hazleton
13,therapy home sleep shift este lauder perfume,room abilene,ityou chat approach,shift jerseyshore jersey shore,hazleton
14,rush perfume,room abilene,passionate rnlds chat,shift jerseyshore jersey shore,hazleton
15,health river junction,lmao feel,case,coordinator gunnison,cvor nbstsa housing shift
16,health river junction,tryna feel,case,coordinator gunnison,cvor nbstsa housing shift
17,health river junction,feel show,case well,coordinator gunnison,cvor nbstsa housing shift
18,child health river,peace,please,apology,shift rotation hazleton
19,child health river,peace,please,david wakeley apology,shift rotation hazleton
20,cholera child cross river,peace mind,please,apology,shift rotation hazleton
21,rnhome health cavendish,hero,thnx confidence,beat super,circulatorscrub fall
22,rnhome health cavendish,hero welcome,action confidence statement self random cartoon person,super,circulatorscrub fall
23,rnhome health cavendish,hero,confidence thing,super,circulatorscrub fall
24,health river,programme,differ catheterisation venipuncture cannula training month hdus forward something tracheett,plonker,cvor
25,health river,programme,catheterisation competency practice male cannula blood supervision student package male others,plonker,vclever
26,health river,excellent programme,anaesthetist procedure,plix dear,cvor
27,thank,thanks everyone,donkey politician,mate,truss country sewage shore hyde
28,thank,thank everyone realise,donkey,mate,sewer
29,thank,thanks everyone,donkey tool project,mate,someone today sewer street
30,smile,love,lmaoooooo minute,weekend,trial
31,smile,love,minute,weekend,trial
32,rant easy judge distance detail animal smile,love,minute,weekend,trial
33,thanks pleasure,anything,hour,iron thor captain marvel widow year year movie,hayley
34,thank pleasure,anything,hour,marvel collection generation,hayley
35,thanks pleasure,anything,hour,watch marvel obsession,hayley
36,agree,love ideal,plan,cricket discovery,book review harmony keene
37,agree,treat love,plan,granddaughter game cricket,book review decay
38,agree,love love,plan,cricket,book review hall
