,Topic,Count,Name,details
0,-1,118004,-1_nurse_time_people_care,"['nurse', 'time', 'people', 'care', 'health', 'today', 'work', 'year', 'patient', 'week']"
1,0,2151,0_thank thank thank_thank thank_thank_thank ahaha thank,"['thank thank thank', 'thank thank', 'thank', 'thank ahaha thank', 'thank ahaha', 'thank thank ahaha', 'mine thank thank', 'thankyo thank thank', 'ahaha thank thank', 'ahaha thank']"
2,1,1890,1_morning_hope_morning morning_morning morning morning,"['morning', 'hope', 'morning morning', 'morning morning morning', 'morning hope', 'hope morning', 'hope hope', 'afternoon', 'merv', 'maggie']"
3,2,1752,2_friend_morning_thanks_chris,"['friend', 'morning', 'thanks', 'chris', 'kenny', 'morning kenny', 'morning chris', 'kenny friend', 'morning kenny friend', 'thankyou']"
4,3,1452,3_photo_brilliant_picture_beautiful,"['photo', 'brilliant', 'picture', 'beautiful', 'cute', 'brilliant brilliant', 'neck', 'shot', 'camera', 'photo photo']"
5,4,1330,4_article_journal_dementia_issue,"['article', 'journal', 'dementia', 'issue', 'collection', 'research', 'street', 'throat', 'bioinformatics', 'topic']"
6,5,1323,5_tory_party_labour_corbyn,"['tory', 'party', 'labour', 'corbyn', 'starmer', 'election', 'idiot', 'tory tory', 'voter', 'tory party']"
7,6,1283,6_tweet_twitter_comment_follower,"['tweet', 'twitter', 'comment', 'follower', 'tweet tweet', 'reply', 'retweet', 'tweet twitter', 'people', 'twitter twitter']"
8,7,1258,7_birthday_birthday birthday_birthday birthday birthday_cheer,"['birthday', 'birthday birthday', 'birthday birthday birthday', 'cheer', 'talent', 'birthday today', 'balloon', 'birthday hope', 'cheer birthday', 'birthday cheer']"
9,8,1236,8_year_year year_mine_year year year,"['year', 'year year', 'mine', 'year year year', 'everything', 'year mine', 'time year', 'mine year', 'time', 'year everything']"
10,9,1228,9_student_nurse_nursing_award,"['student', 'nurse', 'nursing', 'award', 'student nurse', 'nursing award', 'police', 'nurse nurse', 'category', 'congratulation']"
11,10,1189,10_congratulation_congratulation congratulation_congratulation congratulation congratulation_ruth,"['congratulation', 'congratulation congratulation', 'congratulation congratulation congratulation', 'ruth', 'achievement', 'morning ruth', 'news congratulation', 'congratulation news', 'news', 'shaun']"
12,11,1169,11_time_time time_time time time_list,"['time', 'time time', 'time time time', 'list', 'problem', 'hell', 'time list', 'dear', 'problem time', 'list time']"
13,12,1127,12_book_copy_review_book book,"['book', 'copy', 'review', 'book book', 'reading', 'book review', 'carol', 'club', 'article time', 'time']"
14,13,1089,13_vaccine_vaccination_covid_booster,"['vaccine', 'vaccination', 'covid', 'booster', 'covid vaccine', 'dose', 'people', 'gonna', 'canada', 'health']"
15,14,1064,14_news_johnson_boris_news news,"['news', 'johnson', 'boris', 'news news', 'boris johnson', 'news news news', 'liar', 'resignation', 'office', 'decision']"
