,Topic,Count,Name,details
0,-1,30962,-1_train_time_people_year,"['train', 'time', 'people', 'year', 'line', 'thing', 'service', 'work', 'today', 'station']"
1,0,745,0_rail_railway_industry_network,"['rail', 'railway', 'industry', 'network', 'shapps', 'fare', 'franchise', 'cabinet', 'privatisation', 'government']"
2,1,650,1_manchester_doncaster_sheffield_chris,"['manchester', 'doncaster', 'sheffield', 'chris', 'september', 'leeds', 'tank', 'class', 'david', 'june']"
3,2,556,2_season_game_hastings_football,"['season', 'game', 'hastings', 'football', 'league', 'goal', 'play', 'ball', 'card', 'step']"
4,3,468,3_tory_party_election_labour,"['tory', 'party', 'election', 'labour', 'vote', 'picket', 'voter', 'leader', 'leadership', 'people']"
5,4,465,4_tweet_twitter_cake_audience,"['tweet', 'twitter', 'cake', 'audience', 'people', 'account', 'plant', 'someone', 'year', 'pancake']"
6,5,399,5_covid_vaccine_passport_symptom,"['covid', 'vaccine', 'passport', 'symptom', 'virus', 'hospital', 'vaccination', 'people', 'doctor', 'coronavirus']"
7,6,395,6_thanks_john_thank_reply,"['thanks', 'john', 'thank', 'reply', 'jackie', 'retweet', 'response', 'read', 'sorry', 'wait']"
8,7,383,7_photo_image_photographer_picture,"['photo', 'image', 'photographer', 'picture', 'poster', 'mouse', 'railway', 'tiktok', 'thanks', 'station']"
9,8,344,8_phone_camera_realme_battery,"['phone', 'camera', 'realme', 'battery', 'apple', 'device', 'huawei', 'honor', 'samsung', 'sensor']"
10,9,307,9_bond_film_street_york,"['bond', 'film', 'street', 'york', 'yorkshire', 'james', 'line', 'movie', 'victoria', 'moor']"
11,10,295,10_johnson_boris_starmer_party,"['johnson', 'boris', 'starmer', 'party', 'tory', 'keir', 'minister', 'parliament', 'scandal', 'government']"
12,11,289,11_thanks_thank_neighbour_susan,"['thanks', 'thank', 'neighbour', 'susan', 'sophie', 'juicy', 'jason', 'anne', 'rebecca', 'simon']"
13,12,285,12_song_sound_music_tune,"['song', 'sound', 'music', 'tune', 'album', 'queen', 'noise', 'guitar', 'theme', 'playlist']"
14,13,256,13_church_conference_bishop_archbishop,"['church', 'conference', 'bishop', 'archbishop', 'religion', 'england', 'lambeth', 'marriage', 'communion', 'diocese']"
15,14,252,14_treasury_budget_sunak_funding,"['treasury', 'budget', 'sunak', 'funding', 'crack', 'moon', 'money', 'plan', 'government', 'spending']"
16,15,252,15_news_congratulation_journalist_newspaper,"['news', 'congratulation', 'journalist', 'newspaper', 'congrats', 'press', 'story', 'journalism', 'source', 'book']"
17,16,249,16_driver_wind_wage_wall,"['driver', 'wind', 'wage', 'wall', 'signaller', 'train', 'windscreen', 'lorry', 'brick', 'minimum']"
18,17,243,17_video_youtube_clip_focus,"['video', 'youtube', 'clip', 'focus', 'footage', 'channel', 'music', 'official', 'engineering', 'look']"
19,18,239,18_ticket_fare_machine_office,"['ticket', 'fare', 'machine', 'office', 'refund', 'clerk', 'staff', 'booking', 'season', 'passenger']"
20,19,238,19_number_death_case_duck,"['number', 'death', 'case', 'duck', 'scotland', 'lift', 'restriction', 'excuse', 'rabbit', 'stats']"
