,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
81794,81794,pile pressurebut kind offer treasure covid attack teacher offer support,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.2873392852422108,False,"This pile on makes no sense. Yes we are all stressed and feeling the pressure-but a kind offer from a national treasure, who is still suffering from covid and is experienced in working across the age ranges- is not an attack on teachers. It’s an offer of support. See it as such. https://t.co/qDVlHSlWD1"
41297,41297,myth highway code change,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,Common myths about what UK Highway Code changes will mean https://t.co/tGTA5VX1O3
31820,31820,formula lesson,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.5643154909081184,False,"@SeanHarris_NE @MrJamesCCC I would say the same. It depends. More often than not I do, but I wouldn't want to have a prescribed formula for each lesson."
2435,2435,morning chat teaching opportunity podcast specialist child teacher,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.4435754344490167,False,"@Toriaclaire Good morning #TinyVoiceTalks. I was honoured to have a chat about teaching and opportunities with @Toriaclaire and @vsvemily for the latest podcast 👇 I’m a #PrimaryScience specialist, teaching children and supporting teachers. https://t.co/4y4BqjhmDB"
39009,39009,appearance calendar news weather lincolnshire show mids richard whiteley presenter crowd presenter time,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,1.0,False,"@ICTEvangelist My first appearance was during the Calendar (regional ITV news) weather, live from the Lincolnshire Show in the mid-80s. Richard “twice nightly” Whiteley was the presenter and they needed a crowd to be behind the presenters. Good times."
58238,58238,thank basis mind downstairs stood cool garden couple minute,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,1.0,False,@9thCultureGal Thank you. I’m not patient with ill but I’m being careful with this cuz on the basis of the hive mind it seems so unpredictable. I just went downstairs to make a cup of tea and stood in the nice cool garden for a couple of minutes and I am very happy to be back in my bed now.
102086,102086,favourite holiday,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.7683531920054953,False,@overhere1 My favourite. Used to go on holiday a lot to Skye. 🙂
65363,65363,markingfeedback policy planning report,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,@PrimaryRocks1 Our marking/feedback policy is sensible and purposeful. We are two-form so planning is often shared. Our report pro forma is simple and efficient. #PrimaryRocks
17659,17659,whistle number child space break school bell,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,1.0,False,@LibDemStephen @toadworrier @lchasewrites @Miss_Snuffy how is it abusive to use a whistle to signal to a large number of children in and outdoor space that break is over? do you not agree with school bells either?
91002,91002,wife hollywood night premier superbad party hotel chat cera,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.144527547168604,False,@Sethrogen My wife and I stayed at the Hollywood Roosevelt the night of the premier of Superbad and the after party was in the hotel. I peed next to McLovin and had a lovely chat to Michael Cera.
34843,34843,thanks lunch,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,@Derek_Charnwood Hi. Thanks Derek. It came close whilst having lunch out
8199,8199,series start time future crime drama,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.3848884095225071,False,"@C_L_Cobb83 I tried to join in for current series but gave up 10 mins in. I’ll give it a try from the start, some time in the future. I do like a good crime drama."
34510,34510,something difference holiday today mood,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.8232251194045039,False,One more! Having something to look forward to make such a difference to wellbeing. Booked a holiday today and my mood has lifted 100%.
23536,23536,year academisation,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.925416447223029,False,Rapped? Really? Just Rapped? For years we warned that this is where academisation would lead. Very few believed us then. Very many do now. https://t.co/sTzsmAJ65t
112697,112697,call webinar tomorrow knowledgerich curriculum hist geog focus literacy inclusion disadvantage programme,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,"Last call for this FREE webinar tomorrow: 1.30-4.30pm. Open to all. The 'why' 'how' of building a KS2 knowledge-rich curriculum in hist, geog RE. A focus on literacy inclusion especially re disadvantage, with practical egs from the @HaringeyEduc #OpeningWorlds programme. https://t.co/V7qiCu5HYb"
59526,59526,term holiday teeth claw ziggy monster,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.96384051664002,False,Trying to have a lie in to start the half term holiday and the cat is sinking it’s teeth and claws into my toes. Bloody #Caturday - literally! He’s called Ziggy but maybe Scary Monster would have been more apt.
40934,40934,force longitude life darlo,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.3063751103671402,False,"@darlocyclesick It's a guy who's in the forces, rides a Longitude and lives in Darlo, but no."
82244,82244,book spine reading culture,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,@CMW2786 I've done 2 for @EdRoundtables. One on creating and curating diverse book spines and one on building a positive reading culture
103058,103058,course reecemogg queen johnson,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,"@danielmgmoylan @BorisJohnson @RhonddaBryant Of course you’re right, it was Reece-Mogg who lied to the Queen, Johnson only lied to Parliament!"
103670,103670,travel behaviour parent environment time road,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,@londonbeyond123 #SchoolStreets are aiming to shift the travel behaviour of parents and improve the environment for #children. This will take time. Sadly it's obviously shifting #traffic and #pollution to other roads like #LTNs.
24721,24721,thought youth safety work profile,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,"@sebchapleau @HICitizens It was just a thought about whether we could include in our youth safety work - are they an easy win? High profile, visible, tangible? Are they effective?"
113309,113309,research guide curriculum book structure curriculum,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,@MrVallanceTeach @MrMountstevens Have written about this in @ClareSealy (ed) Research Ed Guide to the Curriculum. See also forthcoming book on subject structures and curriculum by @Ruth_Ashbee.
25032,25032,snakebite london cover band taxi home,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,@LeeDonaghy Totally agree. Best snakebite in London to. And the best covers bands. And you always end up in a really dodgy taxi home.
59727,59727,raincoat grapevine police thief route depeche mode prudence siouxsie banshee,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.4152372049250345,False,My #5CoverSongsULove are: 1. Lola: Raincoats 2. Heard it through the Grapevine: Slits 3. Police and Thieves: Clash 4. Route 66: Depeche Mode 5. Dear Prudence: Siouxsie Banshees @yesokwaitmaybe
23797,23797,mandatory nonmandatory loophole spiv department blind figleaf,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,"Mandatory or non-mandatory, this won't work. Too many loopholes, too many spivs and a Department that has shown itself more than happy to turn a blind eye to what is actually going on. Another figleaf. https://t.co/If1O03VBim"
37650,37650,school talk closure failure,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,1.0,False,We must make schools safe Talk of closures is due to the government's failure to make them safe - not because the public want them to close. https://t.co/5LKzIkWDUe
58183,58183,case writing rest novel,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,@mum_of_feral5 @nowtcheesy @Toriaclaire @AVisserFuray A lot of these are brilliantly shaped and crafted. In some cases the writing of the rest of the novel never quite catches up. But sometimes it does.
1523,1523,sauce receipt mushroom catsup,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,"@BethanAngharadL I hate red sauce. But I've just remembered, she wrote out a ""receipt"" for mushroom catsup."
69260,69260,respond madam manager,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,"@BexHeadTeacher @Missymusician81 I’d respond formally with Dear Sir or Madam and yours sincerely, copying in their manager."
58124,58124,suspect innit,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,"@shotbyshaun Um. Yes. Well. There’s a lot of usual suspects going on, innit 😭"
79351,79351,everyone country,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.7543051276206971,False,Everyone in the country should see this! https://t.co/ToBGadzS8x
93550,93550,child family friend colleague teaching school thank friend life,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,"@HJDulake I will miss the children, families and my EYFS/KS1 friends and colleagues SO much. I've loved teaching in our school - thank you. And I've made friends for life there. That really means a lot. I know I will stay in touch! Xx"
91375,91375,twaddle person class value,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,"Patronising twaddle Apparently being a polite , hardworking happy person is a middle class value. Patronising twaddle https://t.co/mUnvrYNwmV"
11177,11177,referendum independence liverpool,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,@ShnrSnr @sarasa191 @Northernbred1 @McrMomentum We need to have a referendum on independence 🤣 Liverpool has already unilaterally declared.
54460,54460,case time love curran someone role doubt improvement,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.1910284727889345,False,@cricket_badger I thought this might well be the case. In time I’d love to see Sam Curran develop into someone that could potentially fill this role overseas but again have doubts and would need to see some real improvement
64188,64188,stage isolation food time potato smile,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.6725764879804631,False,Officially at the stage of isolation where we're running out of food. About the only time I can get away with having potato smiles for two days in a row 😆
9547,9547,school form entry specialist year,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.0,False,@GrindrodHazel @CllWolves In school (2-3 form entry) there hasn't been an MFL specialist for about 5 years.
83870,83870,picket line,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.7343894516409153,False,See you all on a picket line soon. https://t.co/gEcP08gy5L
17135,17135,pleasure enjoyment doubt,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,1.0,False,@davewvero53 @anitawood__ @cerirushent @Comcultgirl @thefish64 @Anna_D12 @DevlindeSade @Miss_Snuffy You can get pleasure and enjoyment no doubt but what are you actually understanding about it though?
19391,19391,plenty time morning,-1,-1_school_time_year_people,school - time - year - people - child - teacher - today - thing - week - work,0.4303622775291843,False,@pritipatel being given plenty of air time to destroy the BBC this morning https://t.co/GQikSwXG7y
